Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
2,AWD00031c1,diary,397,5,,"",Neuf Berquin,"[2.67213, 50.66065]","",place,Neuf Berquin,"{""place""=>[""Neuf Berquin""], ""location""=>[""true""], ""name""=>[""Neuf-Berquin""], ""lat""=>[""50.66065""], ""long""=>[""2.67213""], ""id""=>[""2990685""]}",2969234,Vieux-Berquin,"[2.64444, 50.69489]"
3,AWD00031c1,diary,397,4,1916-07-01 00:00:00 UTC,1 Jul 1916,Neuf Berquin,"[2.67213, 50.66065]","",diaryDate,1 Jul 1916,"{""day""=>[""1""], ""month""=>[""Jul""], ""year""=>[""1916""]}",2969234,Vieux-Berquin,"[2.64444, 50.69489]"
5,AWD00031c1,diary,397,2,1916-07-01 00:00:00 UTC,1 Jul 1916,Neuf Berquin,"[2.67213, 50.66065]","",activity,resting,{},2969234,Vieux-Berquin,"[2.64444, 50.69489]"
11,AWD00031c1,diary,397,2,1916-07-01 00:00:00 UTC,1 Jul 1916,Neuf Berquin,"[2.67213, 50.66065]","",domestic,religion,{},2969234,Vieux-Berquin,"[2.64444, 50.69489]"
12,AWD00031c1,diary,397,5,1916-07-02 00:00:00 UTC,2 Jul 1916,Neuf Berquin,"[2.67213, 50.66065]","",diaryDate,2 Jul 1916,"{""day""=>[""2""], ""month""=>[""Jul""], ""year""=>[""1916""]}",2969234,Vieux-Berquin,"[2.64444, 50.69489]"
2,AWD00031ce,diary,398,5,1916-07-03 00:00:00 UTC,3 Jul 1916,Neuf Berquin,"[2.67213, 50.66065]","",diaryDate,3 Jul 1916,"{""day""=>[""3""], ""month""=>[""Jul""], ""year""=>[""1916""]}",2969234,Vieux-Berquin,"[2.64444, 50.69489]"
3,AWD00031ce,diary,398,2,1916-07-03 00:00:00 UTC,3 Jul 1916,Neuf Berquin,"[2.67213, 50.66065]","",domestic,medical,{},2969234,Vieux-Berquin,"[2.64444, 50.69489]"
4,AWD00031db,diary,399,4,1916-07-04 00:00:00 UTC,4 Jul 1916,Neuf Berquin,"[2.67213, 50.66065]","",diaryDate,4 Jul 1916,"{""day""=>[""4""], ""month""=>[""Jul""], ""year""=>[""1916""]}",2969234,Vieux-Berquin,"[2.64444, 50.69489]"
2,AWD00031da,diary,401,3,1916-07-04 00:00:00 UTC,4 Jul 1916,Neuf Berquin,"[2.67213, 50.66065]","",weather,rain,{},2969234,Vieux-Berquin,"[2.64444, 50.69489]"
3,AWD00031da,diary,401,4,1916-07-05 00:00:00 UTC,5 Jul 1916,Neuf Berquin,"[2.67213, 50.66065]","",diaryDate,5 Jul 1916,"{""day""=>[""5""], ""month""=>[""Jul""], ""year""=>[""1916""]}",2969234,Vieux-Berquin,"[2.64444, 50.69489]"
4,AWD00031da,diary,401,2,1916-07-05 00:00:00 UTC,5 Jul 1916,Neuf Berquin,"[2.67213, 50.66065]","",domestic,inspections,{},2969234,Vieux-Berquin,"[2.64444, 50.69489]"
1,AWD00031dk,diary,402,2,1916-07-06 00:00:00 UTC,6 Jul 1916,Neuf Berquin,"[2.67213, 50.66065]","",diaryDate,6 Jul 1916,"{""day""=>[""6""], ""month""=>[""Jul""], ""year""=>[""1916""]}",2969234,Vieux-Berquin,"[2.64444, 50.69489]"
