Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
2,AWD00031g6,diary,721,2,1917-07-01 00:00:00 UTC,1 Jul 1917,"","[0.0, 0.0]","",diaryDate,1 Jul 1917,"{""day""=>[""1""], ""month""=>[""Jul""], ""year""=>[""1917""]}",2985684,Pozières,"[2.72929, 50.04047]"
3,AWD00031g6,diary,721,6,1917-07-01 00:00:00 UTC,1 Jul 1917,"Brusle, Brvsle","[0.0, 0.0]","",place,"Brusle, Brvsle","{""place""=>[""Brusle"", ""Brvsle""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2972554,Tincourt-Boucly,"[3.04282, 49.93839]"
4,AWD00031g6,diary,721,3,1917-07-01 00:00:00 UTC,1 Jul 1917,"Brusle, Brvsle","[0.0, 0.0]","",diaryDate,1 Jul 1917,"{""day""=>[""1""], ""month""=>[""Jul""], ""year""=>[""1917""]}",2972554,Tincourt-Boucly,"[3.04282, 49.93839]"
5,AWD00031g6,diary,721,2,1917-07-01 00:00:00 UTC,1 Jul 1917,"Brusle, Brvsle","[0.0, 0.0]","",domestic,parades,{},2972554,Tincourt-Boucly,"[3.04282, 49.93839]"
7,AWD00031g6,diary,721,5,1917-07-02 00:00:00 UTC,2 Jul 1917,"Brusle, Brvsle","[0.0, 0.0]","",diaryDate,2 Jul 1917,"{""day""=>[""2""], ""month""=>[""Jul""], ""year""=>[""1917""]}",2972554,Tincourt-Boucly,"[3.04282, 49.93839]"
8,AWD00031g6,diary,721,3,1917-07-02 00:00:00 UTC,2 Jul 1917,"Brusle, Brvsle","[0.0, 0.0]","",person,Corporal  Storey,"{""first""=>[""""], ""surname""=>[""Storey""], ""rank""=>[""Corporal""], ""number""=>[""""], ""reason""=>[""departed_posted""], ""unit""=>[""21st Lancers""]}",2972554,Tincourt-Boucly,"[3.04282, 49.93839]"
1,AWD00031j1,diary,722,3,1917-07-03 00:00:00 UTC,3 Jul 1917,"Brusle, Brvsle","[0.0, 0.0]","",diaryDate,3 Jul 1917,"{""day""=>[""3""], ""month""=>[""Jul""], ""year""=>[""1917""]}",2972554,Tincourt-Boucly,"[3.04282, 49.93839]"
5,AWD00031j1,diary,722,2,1917-07-03 00:00:00 UTC,3 Jul 1917,"Brusle, Brvsle","[0.0, 0.0]","",activity,casualty,{},2972554,Tincourt-Boucly,"[3.04282, 49.93839]"
6,AWD00031j1,diary,722,3,1917-07-04 00:00:00 UTC,4 Jul 1917,"Brusle, Brvsle","[0.0, 0.0]","",diaryDate,4 Jul 1917,"{""day""=>[""4""], ""month""=>[""Jul""], ""year""=>[""1917""]}",2972554,Tincourt-Boucly,"[3.04282, 49.93839]"
7,AWD00031j1,diary,722,2,1917-07-04 00:00:00 UTC,4 Jul 1917,"Brusle, Brvsle","[0.0, 0.0]","",activity,casualty,{},2972554,Tincourt-Boucly,"[3.04282, 49.93839]"
