Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD00031uj,diary,450,4,1918-01-01 00:00:00 UTC,1 Jan 1918,"","[0.0, 0.0]","",diaryDate,1 Jan 1918,"{""day""=>[""1""], ""month""=>[""Jan""], ""year""=>[""1918""]}",2985684,Pozières,"[2.72929, 50.04047]"
6,AWD00031uj,diary,450,3,1918-01-01 00:00:00 UTC,1 Jan 1918,Fresnoy au Val,"[2.05636, 49.83517]","",place,Fresnoy au Val,"{""place""=>[""Fresnoy au Val""], ""location""=>[""true""], ""name""=>[""Fresnoy-au-Val""], ""lat""=>[""49.83517""], ""long""=>[""2.05636""], ""id""=>[""3017153""]}",3017153,Fresnoy-au-Val,"[2.05636, 49.83517]"
11,AWD00031uj,diary,450,2,1918-01-01 00:00:00 UTC,1 Jan 1918,Villeret,"[0.0, 0.0]","",place,Villeret,"{""place""=>[""Villeret""], ""location""=>[""true""], ""name""=>[""Fresnoy-au-Val"", ""Villeret""], ""lat""=>[""49.83517"", ""49.95326""], ""long""=>[""2.05636"", ""3.1917""], ""id""=>[""3017153"", ""2968454""]}",2968454,Villeret,"[3.1917, 49.95326]"
13,AWD00031uj,diary,450,4,1918-01-01 00:00:00 UTC,1 Jan 1918,Villeret,"[0.0, 0.0]","",person,Captain A M Bell,"{""first""=>[""A M""], ""surname""=>[""Bell""], ""rank""=>[""Captain""], ""number""=>[""""], ""reason""=>[""award""], ""unit""=>[""""]}",2968454,Villeret,"[3.1917, 49.95326]"
14,AWD00031uj,diary,450,4,1918-01-02 00:00:00 UTC,2 Jan 1918,Villeret,"[0.0, 0.0]","",diaryDate,2 Jan 1918,"{""day""=>[""2""], ""month""=>[""Jan""], ""year""=>[""1918""]}",2968454,Villeret,"[3.1917, 49.95326]"
16,AWD00031uj,diary,450,2,1918-01-02 00:00:00 UTC,2 Jan 1918,Villeret,"[0.0, 0.0]","",weather,cold,{},2968454,Villeret,"[3.1917, 49.95326]"
21,AWD00031uj,diary,450,4,1918-01-07 00:00:00 UTC,7 Jan 1918,Villeret,"[0.0, 0.0]","",diaryDate,7 Jan 1918,"{""day""=>[""7""], ""month""=>[""Jan""], ""year""=>[""1918""]}",2968454,Villeret,"[3.1917, 49.95326]"
23,AWD00031uj,diary,450,3,1918-01-07 00:00:00 UTC,7 Jan 1918,Villeret,"[0.0, 0.0]","",person,Captain D Howard,"{""first""=>[""D""], ""surname""=>[""Howard""], ""rank""=>[""Captain""], ""number""=>[""""], ""reason""=>[""commander""], ""unit""=>[""""]}",2968454,Villeret,"[3.1917, 49.95326]"
25,AWD00031uj,diary,450,4,1918-01-07 00:00:00 UTC,7 Jan 1918,Villeret,"[0.0, 0.0]","",person,Captain F C Clare,"{""first""=>[""F C""], ""surname""=>[""Clare""], ""rank""=>[""Captain""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""""]}",2968454,Villeret,"[3.1917, 49.95326]"
26,AWD00031uj,diary,450,2,1918-01-07 00:00:00 UTC,7 Jan 1918,Villeret,"[0.0, 0.0]","",place,"villeret, Villeret","{""place""=>[""villeret"", ""Villeret""], ""location""=>[""true"", ""false""], ""name""=>[""Villeret""], ""lat""=>[""48.47658"", ""49.95326""], ""long""=>[""4.5899"", ""3.1917""], ""id""=>[""2968455"", ""2968454""]}",2968454,Villeret,"[3.1917, 49.95326]"
27,AWD00031uj,diary,450,4,1918-01-08 00:00:00 UTC,8 Jan 1918,Villeret,"[0.0, 0.0]","",diaryDate,8 Jan 1918,"{""day""=>[""8""], ""month""=>[""Jan""], ""year""=>[""1918""]}",2968454,Villeret,"[3.1917, 49.95326]"
31,AWD00031uj,diary,450,2,1918-01-08 00:00:00 UTC,8 Jan 1918,Villeret,"[0.0, 0.0]","",weather,cold,{},2968454,Villeret,"[3.1917, 49.95326]"
34,AWD00031uj,diary,450,4,1918-01-14 00:00:00 UTC,14 Jan 1918,Villeret,"[0.0, 0.0]","",diaryDate,14 Jan 1918,"{""day""=>[""14""], ""month""=>[""Jan""], ""year""=>[""1918""]}",2968454,Villeret,"[3.1917, 49.95326]"
36,AWD00031uj,diary,450,2,1918-01-14 00:00:00 UTC,14 Jan 1918,Villeret,"[0.0, 0.0]","",weather,rain,{},2968454,Villeret,"[3.1917, 49.95326]"
38,AWD00031uj,diary,450,5,1918-01-17 00:00:00 UTC,17 Jan 1918,Villeret,"[0.0, 0.0]","",diaryDate,17 Jan 1918,"{""day""=>[""17""], ""month""=>[""Jan""], ""year""=>[""1918""]}",2968454,Villeret,"[3.1917, 49.95326]"
39,AWD00031uj,diary,450,2,1918-01-17 00:00:00 UTC,17 Jan 1918,Villeret,"[0.0, 0.0]","",strength,other: 51,{},2968454,Villeret,"[3.1917, 49.95326]"
40,AWD00031uj,diary,450,3,1918-01-17 00:00:00 UTC,17 Jan 1918,Villeret,"[0.0, 0.0]","",activity,movement,{},2968454,Villeret,"[3.1917, 49.95326]"
1,AWD00031v8,diary,451,4,1918-01-18 00:00:00 UTC,18 Jan 1918,Villeret,"[0.0, 0.0]","",diaryDate,18 Jan 1918,"{""day""=>[""18""], ""month""=>[""Jan""], ""year""=>[""1918""]}",2968454,Villeret,"[3.1917, 49.95326]"
4,AWD00031v8,diary,451,3,1918-01-18 00:00:00 UTC,18 Jan 1918,Fresnoy au Val,"[2.05636, 49.83517]","",place,Fresnoy au Val,"{""place""=>[""Fresnoy au Val""], ""location""=>[""true""], ""name""=>[""Fresnoy-au-Val""], ""lat""=>[""49.83517""], ""long""=>[""2.05636""], ""id""=>[""3017153""]}",3017153,Fresnoy-au-Val,"[2.05636, 49.83517]"
10,AWD00031v8,diary,451,5,1918-01-24 00:00:00 UTC,24 Jan 1918,Fresnoy au Val,"[2.05636, 49.83517]","",diaryDate,24 Jan 1918,"{""day""=>[""24""], ""month""=>[""Jan""], ""year""=>[""1918""]}",3017153,Fresnoy-au-Val,"[2.05636, 49.83517]"
11,AWD00031v8,diary,451,2,1918-01-24 00:00:00 UTC,24 Jan 1918,Fresnoy au Val,"[2.05636, 49.83517]","",activity,other,{},3017153,Fresnoy-au-Val,"[2.05636, 49.83517]"
13,AWD00031v8,diary,451,5,1918-01-25 00:00:00 UTC,25 Jan 1918,Fresnoy au Val,"[2.05636, 49.83517]","",diaryDate,25 Jan 1918,"{""day""=>[""25""], ""month""=>[""Jan""], ""year""=>[""1918""]}",3017153,Fresnoy-au-Val,"[2.05636, 49.83517]"
14,AWD00031v8,diary,451,2,1918-01-26 00:00:00 UTC,26 Jan 1918,Fresnoy au Val,"[2.05636, 49.83517]","",diaryDate,26 Jan 1918,"{""day""=>[""26""], ""month""=>[""Jan""], ""year""=>[""1918""]}",3017153,Fresnoy-au-Val,"[2.05636, 49.83517]"
15,AWD00031v8,diary,451,5,1918-01-27 00:00:00 UTC,27 Jan 1918,Fresnoy au Val,"[2.05636, 49.83517]","",diaryDate,27 Jan 1918,"{""day""=>[""27""], ""month""=>[""Jan""], ""year""=>[""1918""]}",3017153,Fresnoy-au-Val,"[2.05636, 49.83517]"
16,AWD00031v8,diary,451,4,1918-01-27 00:00:00 UTC,27 Jan 1918,Fresnoy au Val,"[2.05636, 49.83517]","",domestic,rations,{},3017153,Fresnoy-au-Val,"[2.05636, 49.83517]"
17,AWD00031v8,diary,451,4,1918-01-28 00:00:00 UTC,28 Jan 1918,Fresnoy au Val,"[2.05636, 49.83517]","",diaryDate,28 Jan 1918,"{""day""=>[""28""], ""month""=>[""Jan""], ""year""=>[""1918""]}",3017153,Fresnoy-au-Val,"[2.05636, 49.83517]"
21,AWD00031v8,diary,451,3,1918-01-28 00:00:00 UTC,28 Jan 1918,Fresnoy au Val,"[2.05636, 49.83517]","",casualties,"killed: 1, wounded: 7",{},3017153,Fresnoy-au-Val,"[2.05636, 49.83517]"
22,AWD00031v8,diary,451,4,1918-01-28 00:00:00 UTC,28 Jan 1918,Fresnoy au Val,"[2.05636, 49.83517]","",person,Private W Hill,"{""first""=>[""W""], ""surname""=>[""Hill""], ""rank""=>[""Private""], ""number""=>[""5580""], ""reason""=>[""casualty_kia""], ""unit""=>[""""]}",3017153,Fresnoy-au-Val,"[2.05636, 49.83517]"
