Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD00032vx,diary,5,4,1917-07-10 00:00:00 UTC,10 Jul 1917,"","[0.0, 0.0]","",diaryDate,10 Jul 1917,"{""day""=>[""10""], ""month""=>[""Jul""], ""year""=>[""1917""]}",2985684,Pozières,"[2.72929, 50.04047]"
3,AWD00032vx,diary,5,2,1917-07-10 00:00:00 UTC,10 Jul 1917,"","[0.0, 0.0]","",gridRef,M 15 a 0 4,{},2985684,Pozières,"[2.72929, 50.04047]"
6,AWD00032vx,diary,5,3,1917-07-10 00:00:00 UTC,10 Jul 1917,Nieuport Dunes,"[0.0, 0.0]","",place,Nieuport Dunes,"{""place""=>[""Nieuport Dunes""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
7,AWD00032vx,diary,5,4,1917-07-10 00:00:00 UTC,10 Jul 1917,Nieuport Dunes,"[0.0, 0.0]","",person,Second Lieutenant W D Twycross,"{""first""=>[""W D""], ""surname""=>[""Twycross""], ""rank""=>[""Second Lieutenant""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""""]}",,,
8,AWD00032vx,diary,5,2,1917-07-10 06:00:00 UTC,10 Jul 1917,Nieuport Dunes,"[0.0, 0.0]",0600AM,time,0600AM,{},,,
11,AWD00032vx,diary,5,2,1917-07-10 00:00:00 UTC,10 Jul 1917,Nieuport Dunes,"[0.0, 0.0]","",diaryDate,10 Jul 1917,"{""day""=>[""10""], ""month""=>[""Jul""], ""year""=>[""1917""]}",,,
13,AWD00032vx,diary,5,4,1917-07-10 00:00:00 UTC,10 Jul 1917,Nieuport Dunes,"[0.0, 0.0]","",activity,fire,{},,,
14,AWD00032vx,diary,5,2,1917-07-10 18:45:00 UTC,10 Jul 1917,Nieuport Dunes,"[0.0, 0.0]",0645PM,time,0645PM,{},,,
16,AWD00032vx,diary,5,3,1917-07-10 18:45:00 UTC,10 Jul 1917,Nieuport Dunes,"[0.0, 0.0]",0645PM,activity,fire,{},,,
18,AWD00032vx,diary,5,2,1917-07-10 18:45:00 UTC,10 Jul 1917,Nieuport Dunes,"[0.0, 0.0]",0645PM,unit,"1st Northamptons Regt, 1st Northamptons Reg","{""name""=>[""1st Northamptons Regt"", ""1st Northamptons Reg""], ""context""=>[""other""]}",,,
22,AWD00032vx,diary,5,6,1917-07-11 00:00:00 UTC,11 Jul 1917,Nieuport Dunes,"[0.0, 0.0]","",diaryDate,11 Jul 1917,"{""day""=>[""11""], ""month""=>[""Jul""], ""year""=>[""1917""]}",,,
23,AWD00032vx,diary,5,4,1917-07-11 00:00:00 UTC,11 Jul 1917,Nieuport Dunes,"[0.0, 0.0]","",activity,training,{},,,
25,AWD00032vx,diary,5,4,1917-07-16 00:00:00 UTC,16 Jul 1917,Nieuport Dunes,"[0.0, 0.0]","",diaryDate,16 Jul 1917,"{""day""=>[""16""], ""month""=>[""Jul""], ""year""=>[""1917""]}",,,
26,AWD00032vx,diary,5,5,1917-07-17 00:00:00 UTC,17 Jul 1917,Nieuport Dunes,"[0.0, 0.0]","",diaryDate,17 Jul 1917,"{""day""=>[""17""], ""month""=>[""Jul""], ""year""=>[""1917""]}",,,
28,AWD00032vx,diary,5,3,1917-07-17 00:00:00 UTC,17 Jul 1917,Nieuport Dunes,"[0.0, 0.0]","",activity,reconnoitered,{},,,
