Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD00033k8,diary,327,4,1917-01-01 00:00:00 UTC,1 Jan 1917,"","[0.0, 0.0]","",diaryDate,1 Jan 1917,"{""day""=>[""1""], ""month""=>[""Jan""], ""year""=>[""1917""]}",2985684,Pozières,"[2.72929, 50.04047]"
3,AWD00033k8,diary,327,3,1917-01-01 00:00:00 UTC,1 Jan 1917,"Baizieuz, BAIZIEUX, Baizieux","[0.0, 0.0]","",place,"Baizieuz, BAIZIEUX, Baizieux","{""place""=>[""Baizieuz"", ""BAIZIEUX"", ""Baizieux""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",3035294,Baizieux,"[2.51777, 49.99293]"
4,AWD00033k8,diary,327,2,1917-01-01 00:00:00 UTC,1 Jan 1917,"Baizieuz, BAIZIEUX, Baizieux","[0.0, 0.0]","",casualties,sick: 50,{},3035294,Baizieux,"[2.51777, 49.99293]"
5,AWD00033k8,diary,327,4,1917-01-02 00:00:00 UTC,2 Jan 1917,"Baizieuz, BAIZIEUX, Baizieux","[0.0, 0.0]","",diaryDate,2 Jan 1917,"{""day""=>[""2""], ""month""=>[""Jan""], ""year""=>[""1917""]}",3035294,Baizieux,"[2.51777, 49.99293]"
6,AWD00033k8,diary,327,2,1917-01-02 00:00:00 UTC,2 Jan 1917,"Baizieuz, BAIZIEUX, Baizieux","[0.0, 0.0]","",person,"Captain  DONALD, Darald","{""first""=>[""""], ""surname""=>[""DONALD"", ""Darald""], ""rank""=>[""Captain""], ""number""=>[""""], ""reason""=>[""departed_leave""], ""unit""=>[""""]}",3035294,Baizieux,"[2.51777, 49.99293]"
7,AWD00033k8,diary,327,2,1917-01-02 00:00:00 UTC,2 Jan 1917,"Baizieuz, BAIZIEUX, Baizieux","[0.0, 0.0]","",person,Captain  ,"{""first""=>[""""], ""surname""=>[""""], ""rank""=>[""Captain""], ""number""=>[""""], ""reason""=>[""commander"", ""departed_leave""], ""unit""=>[""""]}",3035294,Baizieux,"[2.51777, 49.99293]"
8,AWD00033k8,diary,327,3,1917-01-03 00:00:00 UTC,3 Jan 1917,"Baizieuz, BAIZIEUX, Baizieux","[0.0, 0.0]","",diaryDate,3 Jan 1917,"{""day""=>[""3""], ""month""=>[""Jan""], ""year""=>[""1917""]}",3035294,Baizieux,"[2.51777, 49.99293]"
9,AWD00033k8,diary,327,4,1917-01-03 00:00:00 UTC,3 Jan 1917,"Baizieuz, BAIZIEUX, Baizieux","[0.0, 0.0]","",weather,cold,{},3035294,Baizieux,"[2.51777, 49.99293]"
10,AWD00033k8,diary,327,4,1917-01-04 00:00:00 UTC,4 Jan 1917,"Baizieuz, BAIZIEUX, Baizieux","[0.0, 0.0]","",diaryDate,4 Jan 1917,"{""day""=>[""4""], ""month""=>[""Jan""], ""year""=>[""1917""]}",3035294,Baizieux,"[2.51777, 49.99293]"
12,AWD00033k8,diary,327,4,1917-01-05 00:00:00 UTC,5 Jan 1917,"Baizieuz, BAIZIEUX, Baizieux","[0.0, 0.0]","",diaryDate,5 Jan 1917,"{""day""=>[""5""], ""month""=>[""Jan""], ""year""=>[""1917""]}",3035294,Baizieux,"[2.51777, 49.99293]"
