Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
4,AWD00034ba,diary,140,5,,"","","[0.0, 0.0]","",weather,rain,{},2985684,Pozières,"[2.72929, 50.04047]"
7,AWD00034ba,diary,140,4,1916-01-01 00:00:00 UTC,1 Jan 1916,"","[0.0, 0.0]","",diaryDate,1 Jan 1916,"{""day""=>[""1""], ""month""=>[""Jan""], ""year""=>[""1916""]}",2985684,Pozières,"[2.72929, 50.04047]"
9,AWD00034ba,diary,140,5,1916-01-01 00:00:00 UTC,1 Jan 1916,"","[0.0, 0.0]","",person,Second Lieutenant  Neal,"{""first""=>[""""], ""surname""=>[""Neal""], ""rank""=>[""Second Lieutenant""], ""number""=>[""""], ""reason""=>[""casualty_died""], ""unit""=>[""""]}",2985684,Pozières,"[2.72929, 50.04047]"
10,AWD00034ba,diary,140,5,1916-01-02 00:00:00 UTC,2 Jan 1916,"","[0.0, 0.0]","",diaryDate,2 Jan 1916,"{""day""=>[""2""], ""month""=>[""Jan""], ""year""=>[""1916""]}",2985684,Pozières,"[2.72929, 50.04047]"
11,AWD00034ba,diary,140,3,1916-01-02 00:00:00 UTC,2 Jan 1916,"Noeux-les-Mines, noeux les mines, NOEUX LES MINES","[2.66667, 50.48333]","",place,"Noeux-les-Mines, noeux les mines, NOEUX LES MINES","{""place""=>[""Noeux-les-Mines"", ""noeux les mines"", ""NOEUX LES MINES""], ""location""=>[""true""], ""name""=>[""Nœux-les-Mines""], ""lat""=>[""50.48333""], ""long""=>[""2.66667""], ""id""=>[""2990287""]}",2990287,Nœux-les-Mines,"[2.66667, 50.48333]"
12,AWD00034ba,diary,140,4,1916-01-02 00:00:00 UTC,2 Jan 1916,"Noeux-les-Mines, noeux les mines, NOEUX LES MINES","[2.66667, 50.48333]","",domestic,inspections,{},2990287,Nœux-les-Mines,"[2.66667, 50.48333]"
15,AWD00034ba,diary,140,2,1916-01-02 00:00:00 UTC,2 Jan 1916,"Noeux-les-Mines, noeux les mines, NOEUX LES MINES","[2.66667, 50.48333]","",domestic,parades,{},2990287,Nœux-les-Mines,"[2.66667, 50.48333]"
17,AWD00034ba,diary,140,4,1916-01-03 00:00:00 UTC,3 Jan 1916,"Noeux-les-Mines, noeux les mines, NOEUX LES MINES","[2.66667, 50.48333]","",diaryDate,3 Jan 1916,"{""day""=>[""3""], ""month""=>[""Jan""], ""year""=>[""1916""]}",2990287,Nœux-les-Mines,"[2.66667, 50.48333]"
18,AWD00034ba,diary,140,5,1916-01-03 00:00:00 UTC,3 Jan 1916,"Noeux-les-Mines, noeux les mines, NOEUX LES MINES","[2.66667, 50.48333]","",domestic,inspections,{},2990287,Nœux-les-Mines,"[2.66667, 50.48333]"
23,AWD00034ba,diary,140,4,1916-01-04 00:00:00 UTC,4 Jan 1916,"Noeux-les-Mines, noeux les mines, NOEUX LES MINES","[2.66667, 50.48333]","",diaryDate,4 Jan 1916,"{""day""=>[""4""], ""month""=>[""Jan""], ""year""=>[""1916""]}",2990287,Nœux-les-Mines,"[2.66667, 50.48333]"
24,AWD00034ba,diary,140,4,1916-01-04 00:00:00 UTC,4 Jan 1916,"Noeux-les-Mines, noeux les mines, NOEUX LES MINES","[2.66667, 50.48333]","",domestic,parades,{},2990287,Nœux-les-Mines,"[2.66667, 50.48333]"
26,AWD00034ba,diary,140,3,1916-01-04 00:00:00 UTC,4 Jan 1916,"Noeux-les-Mines, noeux les mines, NOEUX LES MINES","[2.66667, 50.48333]","",domestic,inspections,{},2990287,Nœux-les-Mines,"[2.66667, 50.48333]"
27,AWD00034ba,diary,140,4,1916-01-05 00:00:00 UTC,5 Jan 1916,"Noeux-les-Mines, noeux les mines, NOEUX LES MINES","[2.66667, 50.48333]","",diaryDate,5 Jan 1916,"{""day""=>[""5""], ""month""=>[""Jan""], ""year""=>[""1916""]}",2990287,Nœux-les-Mines,"[2.66667, 50.48333]"
28,AWD00034ba,diary,140,5,1916-01-05 00:00:00 UTC,5 Jan 1916,"Noeux-les-Mines, noeux les mines, NOEUX LES MINES","[2.66667, 50.48333]","",domestic,parades,{},2990287,Nœux-les-Mines,"[2.66667, 50.48333]"
31,AWD00034ba,diary,140,2,1916-01-05 00:00:00 UTC,5 Jan 1916,"Noeux-les-Mines, noeux les mines, NOEUX LES MINES","[2.66667, 50.48333]","",domestic,hygiene,{},2990287,Nœux-les-Mines,"[2.66667, 50.48333]"
32,AWD00034ba,diary,140,4,1916-01-06 00:00:00 UTC,6 Jan 1916,"Noeux-les-Mines, noeux les mines, NOEUX LES MINES","[2.66667, 50.48333]","",diaryDate,6 Jan 1916,"{""day""=>[""6""], ""month""=>[""Jan""], ""year""=>[""1916""]}",2990287,Nœux-les-Mines,"[2.66667, 50.48333]"
33,AWD00034ba,diary,140,3,1916-01-06 00:00:00 UTC,6 Jan 1916,"Noeux-les-Mines, noeux les mines, NOEUX LES MINES","[2.66667, 50.48333]","",domestic,inspections,{},2990287,Nœux-les-Mines,"[2.66667, 50.48333]"
34,AWD00034ba,diary,140,5,1916-01-07 00:00:00 UTC,7 Jan 1916,"Noeux-les-Mines, noeux les mines, NOEUX LES MINES","[2.66667, 50.48333]","",diaryDate,7 Jan 1916,"{""day""=>[""7""], ""month""=>[""Jan""], ""year""=>[""1916""]}",2990287,Nœux-les-Mines,"[2.66667, 50.48333]"
35,AWD00034ba,diary,140,2,1916-01-07 00:00:00 UTC,7 Jan 1916,"Noeux-les-Mines, noeux les mines, NOEUX LES MINES","[2.66667, 50.48333]","",activity,movement,{},2990287,Nœux-les-Mines,"[2.66667, 50.48333]"
2,AWD00034b7,diary,141,5,1916-01-08 00:00:00 UTC,8 Jan 1916,"Noeux-les-Mines, noeux les mines, NOEUX LES MINES","[2.66667, 50.48333]","",diaryDate,8 Jan 1916,"{""day""=>[""8""], ""month""=>[""Jan""], ""year""=>[""1916""]}",2990287,Nœux-les-Mines,"[2.66667, 50.48333]"
8,AWD00034b7,diary,141,2,1916-01-08 00:00:00 UTC,8 Jan 1916,"Noeux-les-Mines, noeux les mines, NOEUX LES MINES","[2.66667, 50.48333]","",activity,repair,{},2990287,Nœux-les-Mines,"[2.66667, 50.48333]"
9,AWD00034b7,diary,141,3,1916-01-08 00:00:00 UTC,8 Jan 1916,"Noeux-les-Mines, noeux les mines, NOEUX LES MINES","[2.66667, 50.48333]","",casualties,wounded: 1,{},2990287,Nœux-les-Mines,"[2.66667, 50.48333]"
11,AWD00034b7,diary,141,5,1916-01-09 00:00:00 UTC,9 Jan 1916,"Noeux-les-Mines, noeux les mines, NOEUX LES MINES","[2.66667, 50.48333]","",diaryDate,9 Jan 1916,"{""day""=>[""9""], ""month""=>[""Jan""], ""year""=>[""1916""]}",2990287,Nœux-les-Mines,"[2.66667, 50.48333]"
13,AWD00034b7,diary,141,3,1916-01-09 00:00:00 UTC,9 Jan 1916,"Noeux-les-Mines, noeux les mines, NOEUX LES MINES","[2.66667, 50.48333]","",activity,repair,{},2990287,Nœux-les-Mines,"[2.66667, 50.48333]"
17,AWD00034b7,diary,141,5,1916-01-10 00:00:00 UTC,10 Jan 1916,"Noeux-les-Mines, noeux les mines, NOEUX LES MINES","[2.66667, 50.48333]","",diaryDate,10 Jan 1916,"{""day""=>[""10""], ""month""=>[""Jan""], ""year""=>[""1916""]}",2990287,Nœux-les-Mines,"[2.66667, 50.48333]"
18,AWD00034b7,diary,141,3,1916-01-10 00:00:00 UTC,10 Jan 1916,"Noeux-les-Mines, noeux les mines, NOEUX LES MINES","[2.66667, 50.48333]","",casualties,wounded: 1,{},2990287,Nœux-les-Mines,"[2.66667, 50.48333]"
24,AWD00034b7,diary,141,2,1916-01-10 00:00:00 UTC,10 Jan 1916,"Noeux-les-Mines, noeux les mines, NOEUX LES MINES","[2.66667, 50.48333]","",place,Chalk Pit,"{""place""=>[""Chalk Pit""], ""location""=>[""false""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2990287,Nœux-les-Mines,"[2.66667, 50.48333]"
25,AWD00034b7,diary,141,4,1916-01-10 00:00:00 UTC,10 Jan 1916,"Noeux-les-Mines, noeux les mines, NOEUX LES MINES","[2.66667, 50.48333]","",activity,fire,{},2990287,Nœux-les-Mines,"[2.66667, 50.48333]"
27,AWD00034b7,diary,141,2,1916-01-10 00:00:00 UTC,10 Jan 1916,"Noeux-les-Mines, noeux les mines, NOEUX LES MINES","[2.66667, 50.48333]","",casualties,killed: 5,{},2990287,Nœux-les-Mines,"[2.66667, 50.48333]"
28,AWD00034b7,diary,141,2,1916-01-10 00:00:00 UTC,10 Jan 1916,"Noeux-les-Mines, noeux les mines, NOEUX LES MINES","[2.66667, 50.48333]","",casualties,killed: 2,{},2990287,Nœux-les-Mines,"[2.66667, 50.48333]"
30,AWD00034b7,diary,141,4,1916-01-11 00:00:00 UTC,11 Jan 1916,"Noeux-les-Mines, noeux les mines, NOEUX LES MINES","[2.66667, 50.48333]","",diaryDate,11 Jan 1916,"{""day""=>[""11""], ""month""=>[""Jan""], ""year""=>[""1916""]}",2990287,Nœux-les-Mines,"[2.66667, 50.48333]"
33,AWD00034b7,diary,141,3,1916-01-11 00:00:00 UTC,11 Jan 1916,"Noeux-les-Mines, noeux les mines, NOEUX LES MINES","[2.66667, 50.48333]","",casualties,"killed: 6, wounded: 12",{},2990287,Nœux-les-Mines,"[2.66667, 50.48333]"
