Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD00034pi,diary,4,5,1919-03-10 00:00:00 UTC,10 Mar 1919,"","[0.0, 0.0]","",diaryDate,10 Mar 1919,"{""day""=>[""10""], ""month""=>[""Mar""], ""year""=>[""1919""]}",2985684,Pozières,"[2.72929, 50.04047]"
2,AWD00034pi,diary,4,2,1919-03-10 00:00:00 UTC,10 Mar 1919,"","[0.0, 0.0]","",place,"Stowlangtoft, Suffolk","{""place""=>[""Stowlangtoft, Suffolk""], ""location""=>[""false"", ""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2985684,Pozières,"[2.72929, 50.04047]"
3,AWD00034pi,diary,4,5,1919-03-10 00:00:00 UTC,10 Mar 1919,"","[0.0, 0.0]","",person,Lieutenant Colonel B W Collier,"{""first""=>[""B W""], ""surname""=>[""Collier""], ""rank""=>[""Lieutenant Colonel""], ""number""=>[""""], ""reason""=>[""commander""], ""unit""=>[""""]}",2985684,Pozières,"[2.72929, 50.04047]"
4,AWD00034pi,diary,4,2,1919-03-10 00:00:00 UTC,10 Mar 1919,"stowlangtoft, STOWLANGTOFT","[2.04511, 49.81214]","",place,"stowlangtoft, STOWLANGTOFT","{""place""=>[""stowlangtoft"", ""STOWLANGTOFT""], ""location""=>[""true""], ""name""=>["""", ""Courcelles-sous-Moyencourt""], ""lat""=>["""", ""49.81214""], ""long""=>["""", ""2.04511""], ""id""=>["""", ""3023091""]}",,,
5,AWD00034pi,diary,4,2,1919-03-10 08:00:00 UTC,10 Mar 1919,"stowlangtoft, STOWLANGTOFT","[2.04511, 49.81214]",0800AM,time,0800AM,{},,,
6,AWD00034pi,diary,4,2,1919-03-10 08:00:00 UTC,10 Mar 1919,"Suffolk, suffolk","[0.0, 0.0]",0800AM,place,"Suffolk, suffolk","{""place""=>[""Suffolk"", ""suffolk""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
7,AWD00034pi,diary,4,4,1919-03-10 08:00:00 UTC,10 Mar 1919,"Suffolk, suffolk","[0.0, 0.0]",0800AM,activity,movement,{},,,
8,AWD00034pi,diary,4,2,1919-03-10 10:40:00 UTC,10 Mar 1919,"Suffolk, suffolk","[0.0, 0.0]",1040AM,time,1040AM,{},,,
9,AWD00034pi,diary,4,4,1919-03-10 10:40:00 UTC,10 Mar 1919,"Suffolk, suffolk","[0.0, 0.0]",1040AM,activity,movement,{},,,
11,AWD00034pi,diary,4,4,1919-03-10 10:40:00 UTC,10 Mar 1919,Thurston,"[0.80749, 52.25244]",1040AM,place,Thurston,"{""place""=>[""Thurston""], ""location""=>[""true""], ""name""=>[""Thurston""], ""lat""=>[""52.25244""], ""long""=>[""0.80749""], ""id""=>[""2635877""]}",,,
14,AWD00034pi,diary,4,3,1919-03-10 10:40:00 UTC,10 Mar 1919,Thurston,"[0.80749, 52.25244]",1040AM,strength,"officer: 31, other: 699",{},,,
15,AWD00034pi,diary,4,2,1919-03-11 00:00:00 UTC,11 Mar 1919,Thurston,"[0.80749, 52.25244]","",diaryDate,11 Mar 1919,"{""day""=>[""11""], ""month""=>[""Mar""], ""year""=>[""1919""]}",,,
17,AWD00034pi,diary,4,4,1919-03-11 00:00:00 UTC,11 Mar 1919,Dover,"[1.3, 51.13333]","",place,Dover,"{""place""=>[""Dover""], ""location""=>[""true""], ""name""=>[""Dover""], ""lat""=>[""51.13333""], ""long""=>[""1.3""], ""id""=>[""2651048""]}",2651048,Dover,"[1.3, 51.13333]"
23,AWD00034pi,diary,4,3,1919-03-11 00:00:00 UTC,11 Mar 1919,Dover,"[1.3, 51.13333]","",diaryDate,11 Mar 1919,"{""day""=>[""11""], ""month""=>[""Mar""], ""year""=>[""1919""]}",2651048,Dover,"[1.3, 51.13333]"
24,AWD00034pi,diary,4,3,1919-03-11 00:00:00 UTC,11 Mar 1919,Dover,"[0.0, 0.0]","",place,Dover,"{""place""=>[""Dover""], ""location""=>[""true""], ""name""=>[""Dover Port"", ""Dover"", """"], ""lat""=>[""51.12604"", ""51.13333"", """"], ""long""=>[""1.32795"", ""1.3"", """"], ""id""=>[""9253020"", ""2651048"", """"]}",2651048,Dover,"[1.3, 51.13333]"
25,AWD00034pi,diary,4,2,1919-03-11 14:00:00 UTC,11 Mar 1919,Dover,"[0.0, 0.0]",0200PM,time,0200PM,{},2651048,Dover,"[1.3, 51.13333]"
26,AWD00034pi,diary,4,4,1919-03-11 14:00:00 UTC,11 Mar 1919,Dover,"[0.0, 0.0]",0200PM,activity,movement,{},2651048,Dover,"[1.3, 51.13333]"
29,AWD00034pi,diary,4,2,1919-03-11 14:00:00 UTC,11 Mar 1919,Dover,"[0.0, 0.0]",0200PM,activity,movement,{},2651048,Dover,"[1.3, 51.13333]"
31,AWD00034pi,diary,4,4,1919-03-11 14:00:00 UTC,11 Mar 1919,dunkerke,"[2.68217, 51.11565]",0200PM,place,dunkerke,"{""place""=>[""dunkerke""], ""location""=>[""true""], ""name""=>[""Oostduinkerke""], ""lat""=>[""51.11565""], ""long""=>[""2.68217""], ""id""=>[""2789794""]}",2789794,Oostduinkerke,"[2.68217, 51.11565]"
32,AWD00034pi,diary,4,2,1919-03-11 17:30:00 UTC,11 Mar 1919,dunkerke,"[2.68217, 51.11565]",0530PM,time,0530PM,{},2789794,Oostduinkerke,"[2.68217, 51.11565]"
