Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD000357u,diary,100,3,1915-01-01 00:00:00 UTC,1 Jan 1915,"","[0.0, 0.0]","",diaryDate,1 Jan 1915,"{""day""=>[""1""], ""month""=>[""Jan""], ""year""=>[""1915""]}",2985684,Pozières,"[2.72929, 50.04047]"
3,AWD000357u,diary,100,5,1915-01-01 00:00:00 UTC,1 Jan 1915,La Couture,"[2.7071, 50.58212]","",place,La Couture,"{""place""=>[""La Couture""], ""location""=>[""true""], ""name""=>[""La Couture""], ""lat""=>[""50.58212""], ""long""=>[""2.7071""], ""id""=>[""3009805""]}",3009805,La Couture,"[2.7071, 50.58212]"
4,AWD000357u,diary,100,4,1915-01-01 00:00:00 UTC,1 Jan 1915,La Couture,"[2.7071, 50.58212]","",weather,overcast,{},3009805,La Couture,"[2.7071, 50.58212]"
5,AWD000357u,diary,100,4,1915-01-01 00:00:00 UTC,1 Jan 1915,La Couture,"[2.7071, 50.58212]","",person,Captain  Reid,"{""first""=>[""""], ""surname""=>[""Reid""], ""rank""=>[""Captain""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""""]}",3009805,La Couture,"[2.7071, 50.58212]"
6,AWD000357u,diary,100,2,1915-01-01 00:00:00 UTC,1 Jan 1915,La Couture,"[2.7071, 50.58212]","",activity,reconnoitered,{},3009805,La Couture,"[2.7071, 50.58212]"
8,AWD000357u,diary,100,3,1915-01-01 00:00:00 UTC,1 Jan 1915,La Couture,"[2.7071, 50.58212]","",person,Lieutenant  Woolner,"{""first""=>[""""], ""surname""=>[""Woolner""], ""rank""=>[""Lieutenant""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""""]}",3009805,La Couture,"[2.7071, 50.58212]"
9,AWD000357u,diary,100,4,1915-01-01 00:00:00 UTC,1 Jan 1915,La Couture,"[2.7071, 50.58212]","",person,Lieutenant  Palmer,"{""first""=>[""""], ""surname""=>[""Palmer""], ""rank""=>[""Lieutenant""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""""]}",3009805,La Couture,"[2.7071, 50.58212]"
10,AWD000357u,diary,100,4,1915-01-01 00:00:00 UTC,1 Jan 1915,La Couture,"[2.7071, 50.58212]","",person,Lieutenant  Hamblin,"{""first""=>[""""], ""surname""=>[""Hamblin""], ""rank""=>[""Lieutenant""], ""number""=>[""""], ""reason""=>[""other"", ""commander""], ""unit""=>[""""]}",3009805,La Couture,"[2.7071, 50.58212]"
11,AWD000357u,diary,100,2,1915-01-01 00:00:00 UTC,1 Jan 1915,La Couture,"[2.7071, 50.58212]","",activity,repair,{},3009805,La Couture,"[2.7071, 50.58212]"
12,AWD000357u,diary,100,3,1915-01-01 00:00:00 UTC,1 Jan 1915,Port Arthur,"[0.0, 0.0]","",place,Port Arthur,"{""place""=>[""Port Arthur""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2990589,Neuve-Chapelle,"[2.78196, 50.58582]"
