Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD00035km,diary,5,3,1915-11-16 00:00:00 UTC,16 Nov 1915,"","[0.0, 0.0]","",diaryDate,16 Nov 1915,"{""day""=>[""16""], ""month""=>[""Nov""], ""year""=>[""1915""]}",2985684,Pozières,"[2.72929, 50.04047]"
6,AWD00035km,diary,5,3,1915-11-16 00:00:00 UTC,16 Nov 1915,Salisbury,"[-1.79569, 51.06931]","",place,Salisbury,"{""place""=>[""Salisbury""], ""location""=>[""true""], ""name""=>[""Salisbury""], ""lat""=>[""51.06931""], ""long""=>[""-1.79569""], ""id""=>[""2638664""]}",2638664,Salisbury,"[-1.79569, 51.06931]"
7,AWD00035km,diary,5,2,1915-11-16 05:30:00 UTC,16 Nov 1915,Salisbury,"[-1.79569, 51.06931]",0530AM,time,0530AM,{},2638664,Salisbury,"[-1.79569, 51.06931]"
11,AWD00035km,diary,5,3,1915-11-17 00:00:00 UTC,17 Nov 1915,Salisbury,"[-1.79569, 51.06931]","",diaryDate,17 Nov 1915,"{""day""=>[""17""], ""month""=>[""Nov""], ""year""=>[""1915""]}",2638664,Salisbury,"[-1.79569, 51.06931]"
12,AWD00035km,diary,5,3,1915-11-17 00:00:00 UTC,17 Nov 1915,Southampton,"[-1.40428, 50.90395]","",place,Southampton,"{""place""=>[""Southampton""], ""location""=>[""true""], ""name""=>[""Southampton""], ""lat""=>[""50.90395""], ""long""=>[""-1.40428""], ""id""=>[""2637487""]}",2637487,Southampton,"[-1.40428, 50.90395]"
13,AWD00035km,diary,5,2,1915-11-17 16:30:00 UTC,17 Nov 1915,Southampton,"[-1.40428, 50.90395]",0430PM,time,0430PM,{},2637487,Southampton,"[-1.40428, 50.90395]"
16,AWD00035km,diary,5,3,1915-11-18 00:00:00 UTC,18 Nov 1915,Southampton,"[-1.40428, 50.90395]","",diaryDate,18 Nov 1915,"{""day""=>[""18""], ""month""=>[""Nov""], ""year""=>[""1915""]}",2637487,Southampton,"[-1.40428, 50.90395]"
17,AWD00035km,diary,5,3,1915-11-18 00:00:00 UTC,18 Nov 1915,Havre,"[0.0, 0.0]","",place,Havre,"{""place""=>[""Havre""], ""location""=>[""true""], ""name""=>[""Le Havre Port"", ""Le Havre"", ""Havré""], ""lat""=>[""49.48519"", ""49.4938"", ""50.46401""], ""long""=>[""0.11564"", ""0.10767"", ""4.04675""], ""id""=>[""9253593"", ""3003796"", ""2796353""]}",3003796,Le Havre,"[0.10767, 49.4938]"
20,AWD00035km,diary,5,2,1915-11-18 00:00:00 UTC,18 Nov 1915,Havre,"[0.0, 0.0]","",activity,movement,{},3003796,Le Havre,"[0.10767, 49.4938]"
21,AWD00035km,diary,5,3,1915-11-19 00:00:00 UTC,19 Nov 1915,Havre,"[0.0, 0.0]","",diaryDate,19 Nov 1915,"{""day""=>[""19""], ""month""=>[""Nov""], ""year""=>[""1915""]}",3003796,Le Havre,"[0.10767, 49.4938]"
22,AWD00035km,diary,5,2,1915-11-19 00:00:00 UTC,19 Nov 1915,"Steenbecque, Sternlecques","[0.0, 0.0]","",place,"Steenbecque, Sternlecques","{""place""=>[""Steenbecque"", ""Sternlecques""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
24,AWD00035km,diary,5,2,1915-11-19 00:00:00 UTC,19 Nov 1915,"Steenbecque, Sternlecques","[0.0, 0.0]","",activity,movement,{},,,
28,AWD00035km,diary,5,2,1915-11-19 00:00:00 UTC,19 Nov 1915,"Steenbecque, Sternlecques","[0.0, 0.0]","",activity,movement,{},,,
33,AWD00035km,diary,5,2,1915-11-19 09:15:00 UTC,19 Nov 1915,"Steenbecque, Sternlecques","[0.0, 0.0]",0915AM,time,0915AM,{},,,
35,AWD00035km,diary,5,2,1915-11-19 09:15:00 UTC,19 Nov 1915,"Steenbecque, Sternlecques","[0.0, 0.0]",0915AM,place,"La Pierrière, La Piersiere","{""place""=>[""La Pierrière"", ""La Piersiere""], ""location""=>[""false"", ""true""], ""name""=>[""Steenbecque"", """"], ""lat""=>[""50.67421"", """"], ""long""=>[""2.48442"", """"], ""id""=>[""2973826"", """"]}",,,
36,AWD00035km,diary,5,2,1915-11-23 00:00:00 UTC,23 Nov 1915,"Steenbecque, Sternlecques","[0.0, 0.0]","",diaryDate,23 Nov 1915,"{""day""=>[""23""], ""month""=>[""Nov""], ""year""=>[""1915""]}",,,
