Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD00035wu,diary,114,4,1915-01-02 00:00:00 UTC,2 Jan 1915,"","[0.0, 0.0]","",diaryDate,2 Jan 1915,"{""day""=>[""2""], ""month""=>[""Jan""], ""year""=>[""1915""]}",2985684,Pozières,"[2.72929, 50.04047]"
3,AWD00035wu,diary,114,2,1915-01-02 00:00:00 UTC,2 Jan 1915,"","[0.0, 0.0]","",person," ,A Feneran","{""first""=>["""", ""A""], ""surname""=>[""Feneran""], ""rank""=>[""""], ""number""=>[""""], ""reason""=>[""commander"", ""other""], ""unit""=>[""A Coy."", """"]}",2985684,Pozières,"[2.72929, 50.04047]"
4,AWD00035wu,diary,114,3,1915-01-02 00:00:00 UTC,2 Jan 1915,"","[0.0, 0.0]","",activity,line,{},2985684,Pozières,"[2.72929, 50.04047]"
7,AWD00035wu,diary,114,4,1915-01-02 00:00:00 UTC,2 Jan 1915,Epinette,"[3.3, 50.65]","",place,Epinette,"{""place""=>[""Epinette""], ""location""=>[""true""], ""name""=>["""", ""Épinette""], ""lat""=>["""", ""50.65""], ""long""=>["""", ""3.3""], ""id""=>["""", ""2798722""]}",2999136,Le Touret,"[2.71246, 50.56268]"
8,AWD00035wu,diary,114,4,1915-01-03 00:00:00 UTC,3 Jan 1915,Epinette,"[3.3, 50.65]","",diaryDate,3 Jan 1915,"{""day""=>[""3""], ""month""=>[""Jan""], ""year""=>[""1915""]}",2999136,Le Touret,"[2.71246, 50.56268]"
9,AWD00035wu,diary,114,3,1915-01-03 00:00:00 UTC,3 Jan 1915,Epinette,"[3.3, 50.65]","",activity,repair,{},2999136,Le Touret,"[2.71246, 50.56268]"
10,AWD00035wu,diary,114,2,1915-01-03 00:00:00 UTC,3 Jan 1915,Epinette,"[3.3, 50.65]","",casualties,killed: 1,{},2999136,Le Touret,"[2.71246, 50.56268]"
13,AWD00035wu,diary,114,2,1915-01-03 00:00:00 UTC,3 Jan 1915,Epinette,"[3.3, 50.65]","",activity,line,{},2999136,Le Touret,"[2.71246, 50.56268]"
16,AWD00035wu,diary,114,3,1915-01-03 00:00:00 UTC,3 Jan 1915,Epinette,"[3.3, 50.65]","",weather,rain,{},2999136,Le Touret,"[2.71246, 50.56268]"
17,AWD00035wu,diary,114,4,1915-01-04 00:00:00 UTC,4 Jan 1915,Epinette,"[3.3, 50.65]","",diaryDate,4 Jan 1915,"{""day""=>[""4""], ""month""=>[""Jan""], ""year""=>[""1915""]}",2999136,Le Touret,"[2.71246, 50.56268]"
19,AWD00035wu,diary,114,2,1915-01-04 00:00:00 UTC,4 Jan 1915,Epinette,"[3.3, 50.65]","",activity,line,{},2999136,Le Touret,"[2.71246, 50.56268]"
20,AWD00035wu,diary,114,4,1915-01-04 00:00:00 UTC,4 Jan 1915,Epinette,"[3.3, 50.65]","",activity,repair,{},2999136,Le Touret,"[2.71246, 50.56268]"
21,AWD00035wu,diary,114,4,1915-01-04 00:00:00 UTC,4 Jan 1915,Epinette,"[3.3, 50.65]","",activity,enemy_activity,{},2999136,Le Touret,"[2.71246, 50.56268]"
22,AWD00035wu,diary,114,2,1915-01-04 00:00:00 UTC,4 Jan 1915,Epinette,"[3.3, 50.65]","",activity,fire,{},2999136,Le Touret,"[2.71246, 50.56268]"
1,AWD00035xz,diary,115,5,1915-01-04 00:00:00 UTC,4 Jan 1915,Epinette,"[3.3, 50.65]","",diaryDate,4 Jan 1915,"{""day""=>[""4""], ""month""=>[""Jan""], ""year""=>[""1915""]}",2999136,Le Touret,"[2.71246, 50.56268]"
