Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD000375c,diary,3,4,1916-01-01 00:00:00 UTC,1 Jan 1916,"","[0.0, 0.0]","",diaryDate,1 Jan 1916,"{""day""=>[""1""], ""month""=>[""Jan""], ""year""=>[""1916""]}",2985684,Pozières,"[2.72929, 50.04047]"
2,AWD000375c,diary,3,3,1916-01-01 00:00:00 UTC,1 Jan 1916,"","[0.0, 0.0]","",person,Colonel  Dalsiac,"{""first""=>[""""], ""surname""=>[""Dalsiac""], ""rank""=>[""Colonel""], ""number""=>[""""], ""reason""=>[""commander"", ""other"", ""joined""], ""unit""=>[""60th Divisional Train"", """", ""OC 60TH DIV TRAIN""]}",2985684,Pozières,"[2.72929, 50.04047]"
6,AWD000375c,diary,3,2,1916-01-02 00:00:00 UTC,2 Jan 1916,"","[0.0, 0.0]","",diaryDate,2 Jan 1916,"{""day""=>[""2""], ""month""=>[""Jan""], ""year""=>[""1916""]}",2985684,Pozières,"[2.72929, 50.04047]"
7,AWD000375c,diary,3,2,1916-01-03 00:00:00 UTC,3 Jan 1916,"","[0.0, 0.0]","",diaryDate,3 Jan 1916,"{""day""=>[""3""], ""month""=>[""Jan""], ""year""=>[""1916""]}",2985684,Pozières,"[2.72929, 50.04047]"
8,AWD000375c,diary,3,2,1916-01-04 00:00:00 UTC,4 Jan 1916,"","[0.0, 0.0]","",diaryDate,4 Jan 1916,"{""day""=>[""4""], ""month""=>[""Jan""], ""year""=>[""1916""]}",2985684,Pozières,"[2.72929, 50.04047]"
10,AWD000375c,diary,3,2,1916-01-05 00:00:00 UTC,5 Jan 1916,"","[0.0, 0.0]","",diaryDate,5 Jan 1916,"{""day""=>[""5""], ""month""=>[""Jan""], ""year""=>[""1916""]}",2985684,Pozières,"[2.72929, 50.04047]"
11,AWD000375c,diary,3,2,1916-01-06 00:00:00 UTC,6 Jan 1916,"","[0.0, 0.0]","",diaryDate,6 Jan 1916,"{""day""=>[""6""], ""month""=>[""Jan""], ""year""=>[""1916""]}",2985684,Pozières,"[2.72929, 50.04047]"
12,AWD000375c,diary,3,2,1916-01-07 00:00:00 UTC,7 Jan 1916,"","[0.0, 0.0]","",diaryDate,7 Jan 1916,"{""day""=>[""7""], ""month""=>[""Jan""], ""year""=>[""1916""]}",2985684,Pozières,"[2.72929, 50.04047]"
13,AWD000375c,diary,3,3,1916-01-08 00:00:00 UTC,8 Jan 1916,"","[0.0, 0.0]","",diaryDate,8 Jan 1916,"{""day""=>[""8""], ""month""=>[""Jan""], ""year""=>[""1916""]}",2985684,Pozières,"[2.72929, 50.04047]"
15,AWD000375c,diary,3,2,1916-01-09 00:00:00 UTC,9 Jan 1916,"","[0.0, 0.0]","",diaryDate,9 Jan 1916,"{""day""=>[""9""], ""month""=>[""Jan""], ""year""=>[""1916""]}",2985684,Pozières,"[2.72929, 50.04047]"
17,AWD000375c,diary,3,3,1916-01-10 00:00:00 UTC,10 Jan 1916,"","[0.0, 0.0]","",diaryDate,10 Jan 1916,"{""day""=>[""10""], ""month""=>[""Jan""], ""year""=>[""1916""]}",2985684,Pozières,"[2.72929, 50.04047]"
20,AWD000375c,diary,3,2,1916-01-11 00:00:00 UTC,11 Jan 1916,"","[0.0, 0.0]","",diaryDate,11 Jan 1916,"{""day""=>[""11""], ""month""=>[""Jan""], ""year""=>[""1916""]}",2985684,Pozières,"[2.72929, 50.04047]"
21,AWD000375c,diary,3,2,1916-01-12 00:00:00 UTC,12 Jan 1916,"","[0.0, 0.0]","",diaryDate,12 Jan 1916,"{""day""=>[""12""], ""month""=>[""Jan""], ""year""=>[""1916""]}",2985684,Pozières,"[2.72929, 50.04047]"
22,AWD000375c,diary,3,2,1916-01-12 00:00:00 UTC,12 Jan 1916,"Lealvillers, lealvillers","[2.5096, 50.06447]","",place,"Lealvillers, lealvillers","{""place""=>[""Lealvillers"", ""lealvillers""], ""location""=>[""true""], ""name""=>[""Léalvillers""], ""lat""=>[""50.06447""], ""long""=>[""2.5096""], ""id""=>[""3005384""]}",3005384,Léalvillers,"[2.5096, 50.06447]"
23,AWD000375c,diary,3,2,1916-01-13 00:00:00 UTC,13 Jan 1916,"Lealvillers, lealvillers","[2.5096, 50.06447]","",diaryDate,13 Jan 1916,"{""day""=>[""13""], ""month""=>[""Jan""], ""year""=>[""1916""]}",3005384,Léalvillers,"[2.5096, 50.06447]"
24,AWD000375c,diary,3,2,1916-01-14 00:00:00 UTC,14 Jan 1916,"Lealvillers, lealvillers","[2.5096, 50.06447]","",diaryDate,14 Jan 1916,"{""day""=>[""14""], ""month""=>[""Jan""], ""year""=>[""1916""]}",3005384,Léalvillers,"[2.5096, 50.06447]"
27,AWD000375c,diary,3,2,1916-01-15 00:00:00 UTC,15 Jan 1916,"Lealvillers, lealvillers","[2.5096, 50.06447]","",diaryDate,15 Jan 1916,"{""day""=>[""15""], ""month""=>[""Jan""], ""year""=>[""1916""]}",3005384,Léalvillers,"[2.5096, 50.06447]"
28,AWD000375c,diary,3,2,1916-01-16 00:00:00 UTC,16 Jan 1916,"Lealvillers, lealvillers","[2.5096, 50.06447]","",diaryDate,16 Jan 1916,"{""day""=>[""16""], ""month""=>[""Jan""], ""year""=>[""1916""]}",3005384,Léalvillers,"[2.5096, 50.06447]"
30,AWD000375c,diary,3,2,1916-01-17 00:00:00 UTC,17 Jan 1916,"Lealvillers, lealvillers","[2.5096, 50.06447]","",diaryDate,17 Jan 1916,"{""day""=>[""17""], ""month""=>[""Jan""], ""year""=>[""1916""]}",3005384,Léalvillers,"[2.5096, 50.06447]"
31,AWD000375c,diary,3,2,1916-01-18 00:00:00 UTC,18 Jan 1916,"Lealvillers, lealvillers","[2.5096, 50.06447]","",diaryDate,18 Jan 1916,"{""day""=>[""18""], ""month""=>[""Jan""], ""year""=>[""1916""]}",3005384,Léalvillers,"[2.5096, 50.06447]"
33,AWD000375c,diary,3,2,1916-01-19 00:00:00 UTC,19 Jan 1916,"Lealvillers, lealvillers","[2.5096, 50.06447]","",diaryDate,19 Jan 1916,"{""day""=>[""19""], ""month""=>[""Jan""], ""year""=>[""1916""]}",3005384,Léalvillers,"[2.5096, 50.06447]"
34,AWD000375c,diary,3,2,1916-01-20 00:00:00 UTC,20 Jan 1916,"Lealvillers, lealvillers","[2.5096, 50.06447]","",diaryDate,20 Jan 1916,"{""day""=>[""20""], ""month""=>[""Jan""], ""year""=>[""1916""]}",3005384,Léalvillers,"[2.5096, 50.06447]"
35,AWD000375c,diary,3,2,1916-01-21 00:00:00 UTC,21 Jan 1916,"Lealvillers, lealvillers","[2.5096, 50.06447]","",diaryDate,21 Jan 1916,"{""day""=>[""21""], ""month""=>[""Jan""], ""year""=>[""1916""]}",3005384,Léalvillers,"[2.5096, 50.06447]"
36,AWD000375c,diary,3,2,1916-01-22 00:00:00 UTC,22 Jan 1916,"Lealvillers, lealvillers","[2.5096, 50.06447]","",diaryDate,22 Jan 1916,"{""day""=>[""22""], ""month""=>[""Jan""], ""year""=>[""1916""]}",3005384,Léalvillers,"[2.5096, 50.06447]"
38,AWD000375c,diary,3,2,1916-01-23 00:00:00 UTC,23 Jan 1916,"Lealvillers, lealvillers","[2.5096, 50.06447]","",diaryDate,23 Jan 1916,"{""day""=>[""23""], ""month""=>[""Jan""], ""year""=>[""1916""]}",3005384,Léalvillers,"[2.5096, 50.06447]"
39,AWD000375c,diary,3,2,1916-01-24 00:00:00 UTC,24 Jan 1916,"Lealvillers, lealvillers","[2.5096, 50.06447]","",diaryDate,24 Jan 1916,"{""day""=>[""24""], ""month""=>[""Jan""], ""year""=>[""1916""]}",3005384,Léalvillers,"[2.5096, 50.06447]"
40,AWD000375c,diary,3,2,1916-01-25 00:00:00 UTC,25 Jan 1916,"Lealvillers, lealvillers","[2.5096, 50.06447]","",diaryDate,25 Jan 1916,"{""day""=>[""25""], ""month""=>[""Jan""], ""year""=>[""1916""]}",3005384,Léalvillers,"[2.5096, 50.06447]"
