Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
4,AWD00037dd,diary,4,2,1918-10-01 00:00:00 UTC,1 Oct 1918,"","[0.0, 0.0]","",diaryDate,1 Oct 1918,"{""day""=>[""1""], ""month""=>[""Oct""], ""year""=>[""1918""]}",2985684,Pozières,"[2.72929, 50.04047]"
5,AWD00037dd,diary,4,3,1918-10-01 00:00:00 UTC,1 Oct 1918,"","[0.0, 0.0]","",activity,training,{},2985684,Pozières,"[2.72929, 50.04047]"
6,AWD00037dd,diary,4,4,1918-10-01 00:00:00 UTC,1 Oct 1918,Ytres,"[3.0, 50.06667]","",place,Ytres,"{""place""=>[""Ytres""], ""location""=>[""true""], ""name""=>[""Ytres""], ""lat""=>[""50.06667""], ""long""=>[""3""], ""id""=>[""2967200""]}",2967200,Ytres,"[3.0, 50.06667]"
7,AWD00037dd,diary,4,4,1918-10-01 00:00:00 UTC,1 Oct 1918,Ytres,"[3.0, 50.06667]","",activity,resting,{},2967200,Ytres,"[3.0, 50.06667]"
8,AWD00037dd,diary,4,2,1918-10-01 00:00:00 UTC,1 Oct 1918,Ytres,"[3.0, 50.06667]","",place,"Ytres, ytres","{""place""=>[""Ytres"", ""ytres""], ""location""=>[""true"", ""false""], ""name""=>[""Ytres"", """"], ""lat""=>[""50.06667"", """"], ""long""=>[""3"", """"], ""id""=>[""2967200"", """"]}",2967200,Ytres,"[3.0, 50.06667]"
9,AWD00037dd,diary,4,4,1918-10-01 00:00:00 UTC,1 Oct 1918,Ytres,"[3.0, 50.06667]","",domestic,accomodation,{},2967200,Ytres,"[3.0, 50.06667]"
10,AWD00037dd,diary,4,2,1918-10-01 00:00:00 UTC,1 Oct 1918,Ytres,"[3.0, 50.06667]","",domestic,hygiene,{},2967200,Ytres,"[3.0, 50.06667]"
16,AWD00037dd,diary,4,2,1918-10-09 00:00:00 UTC,9 Oct 1918,Ytres,"[3.0, 50.06667]","",diaryDate,9 Oct 1918,"{""day""=>[""9""], ""month""=>[""Oct""], ""year""=>[""1918""]}",2967200,Ytres,"[3.0, 50.06667]"
17,AWD00037dd,diary,4,2,1918-10-09 00:00:00 UTC,9 Oct 1918,Ytres,"[3.0, 50.06667]","",place,"Vauxelles, Vauxcelles","{""place""=>[""Vauxelles"", ""Vauxcelles""], ""location""=>[""false"", ""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2967200,Ytres,"[3.0, 50.06667]"
21,AWD00037dd,diary,4,3,1918-10-09 00:00:00 UTC,9 Oct 1918,Ytres,"[3.0, 50.06667]","",activity,movement,{},2967200,Ytres,"[3.0, 50.06667]"
22,AWD00037dd,diary,4,2,1918-10-09 14:00:00 UTC,9 Oct 1918,Ytres,"[3.0, 50.06667]",0200PM,time,0200PM,{},2967200,Ytres,"[3.0, 50.06667]"
24,AWD00037dd,diary,4,2,1918-10-09 14:00:00 UTC,9 Oct 1918,Ytres,"[3.0, 50.06667]",0200PM,place,bantouzelle,"{""place""=>[""bantouzelle""], ""location""=>[""true"", ""false""], ""name""=>[""Bantouzelle"", """"], ""lat""=>[""50.06074"", """"], ""long""=>[""3.20585"", """"], ""id""=>[""3035100"", """"]}",2967200,Ytres,"[3.0, 50.06667]"
25,AWD00037dd,diary,4,2,1918-10-09 14:00:00 UTC,9 Oct 1918,Ytres,"[3.0, 50.06667]",0200PM,domestic,accomodation,{},2967200,Ytres,"[3.0, 50.06667]"
26,AWD00037dd,diary,4,3,1918-10-10 00:00:00 UTC,10 Oct 1918,Ytres,"[3.0, 50.06667]","",diaryDate,10 Oct 1918,"{""day""=>[""10""], ""month""=>[""Oct""], ""year""=>[""1918""]}",2967200,Ytres,"[3.0, 50.06667]"
28,AWD00037dd,diary,4,5,1918-10-10 00:00:00 UTC,10 Oct 1918,Bantouzelle,"[3.20585, 50.06074]","",place,Bantouzelle,"{""place""=>[""Bantouzelle""], ""location""=>[""true""], ""name""=>[""Bantouzelle""], ""lat""=>[""50.06074""], ""long""=>[""3.20585""], ""id""=>[""3035100""]}",3035100,Bantouzelle,"[3.20585, 50.06074]"
29,AWD00037dd,diary,4,2,1918-10-10 00:00:00 UTC,10 Oct 1918,Bantouzelle,"[3.20585, 50.06074]","",activity,movement,{},3035100,Bantouzelle,"[3.20585, 50.06074]"
1,AWD00037dj,diary,5,2,1918-10-10 00:00:00 UTC,10 Oct 1918,Bantouzelle,"[3.20585, 50.06074]","",diaryDate,10 Oct 1918,"{""day""=>[""10""], ""month""=>[""Oct""], ""year""=>[""1918""]}",3035100,Bantouzelle,"[3.20585, 50.06074]"
2,AWD00037dj,diary,5,3,1918-10-10 00:00:00 UTC,10 Oct 1918,Bantouzelle,"[3.20585, 50.06074]","",place,lesdain,"{""place""=>[""lesdain""], ""location""=>[""false""], ""name""=>[""Lesdain""], ""lat""=>[""50.09854""], ""long""=>[""3.26786""], ""id""=>[""3001245""]}",3035100,Bantouzelle,"[3.20585, 50.06074]"
3,AWD00037dj,diary,5,4,1918-10-10 00:00:00 UTC,10 Oct 1918,bantouzelle,"[3.20585, 50.06074]","",place,bantouzelle,"{""place""=>[""bantouzelle""], ""location""=>[""true""], ""name""=>[""Bantouzelle""], ""lat""=>[""50.06074""], ""long""=>[""3.20585""], ""id""=>[""3035100""]}",3035100,Bantouzelle,"[3.20585, 50.06074]"
7,AWD00037dj,diary,5,4,1918-10-10 00:00:00 UTC,10 Oct 1918,bantouzelle,"[3.20585, 50.06074]","",weather,fine,{},3035100,Bantouzelle,"[3.20585, 50.06074]"
8,AWD00037dj,diary,5,3,1918-10-11 00:00:00 UTC,11 Oct 1918,bantouzelle,"[3.20585, 50.06074]","",diaryDate,11 Oct 1918,"{""day""=>[""11""], ""month""=>[""Oct""], ""year""=>[""1918""]}",3035100,Bantouzelle,"[3.20585, 50.06074]"
9,AWD00037dj,diary,5,5,1918-10-11 00:00:00 UTC,11 Oct 1918,lesdain,"[3.26786, 50.09854]","",place,lesdain,"{""place""=>[""lesdain""], ""location""=>[""true""], ""name""=>[""Lesdain""], ""lat""=>[""50.09854""], ""long""=>[""3.26786""], ""id""=>[""3001245""]}",3001245,Lesdain,"[3.26786, 50.09854]"
10,AWD00037dj,diary,5,3,1918-10-11 00:00:00 UTC,11 Oct 1918,lesdain,"[3.26786, 50.09854]","",place,caudry,"{""place""=>[""caudry""], ""location""=>[""false""], ""name""=>[""Caudry""], ""lat""=>[""50.1249""], ""long""=>[""3.41186""], ""id""=>[""3028205""]}",3001245,Lesdain,"[3.26786, 50.09854]"
12,AWD00037dj,diary,5,3,1918-10-11 00:00:00 UTC,11 Oct 1918,lesdain,"[3.26786, 50.09854]","",activity,movement,{},3001245,Lesdain,"[3.26786, 50.09854]"
16,AWD00037dj,diary,5,4,1918-10-12 00:00:00 UTC,12 Oct 1918,lesdain,"[3.26786, 50.09854]","",diaryDate,12 Oct 1918,"{""day""=>[""12""], ""month""=>[""Oct""], ""year""=>[""1918""]}",3001245,Lesdain,"[3.26786, 50.09854]"
17,AWD00037dj,diary,5,7,1918-10-12 00:00:00 UTC,12 Oct 1918,caudry,"[3.41186, 50.1249]","",place,caudry,"{""place""=>[""caudry""], ""location""=>[""true""], ""name""=>[""Caudry""], ""lat""=>[""50.1249""], ""long""=>[""3.41186""], ""id""=>[""3028205""]}",3028205,Caudry,"[3.41186, 50.1249]"
22,AWD00037dj,diary,5,3,1918-10-12 00:00:00 UTC,12 Oct 1918,caudry,"[3.41186, 50.1249]","",place,viesly road,"{""place""=>[""viesly road""], ""location""=>[""false""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",3028205,Caudry,"[3.41186, 50.1249]"
23,AWD00037dj,diary,5,2,1918-10-12 00:00:00 UTC,12 Oct 1918,caudry,"[3.41186, 50.1249]","",unit,"5th division, 37th division","{""name""=>[""5th division"", ""37th division""], ""context""=>[""relieved"", ""relieved_by""]}",3028205,Caudry,"[3.41186, 50.1249]"
