Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD000380x,diary,4,5,1914-08-30 00:00:00 UTC,30 Aug 1914,"","[0.0, 0.0]","",diaryDate,30 Aug 1914,"{""day""=>[""30""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2985684,Pozières,"[2.72929, 50.04047]"
3,AWD000380x,diary,4,4,1914-08-30 00:00:00 UTC,30 Aug 1914,"","[0.0, 0.0]","",strength,"officer: 24, other: 876",{},2985684,Pozières,"[2.72929, 50.04047]"
4,AWD000380x,diary,4,4,1914-08-30 00:00:00 UTC,30 Aug 1914,"","[0.0, 0.0]","",person,Lieutenant W M Geddes,"{""first""=>[""W M""], ""surname""=>[""Geddes""], ""rank""=>[""Lieutenant""], ""number""=>[""""], ""reason""=>[""departed_sick""], ""unit""=>[""""]}",2985684,Pozières,"[2.72929, 50.04047]"
7,AWD000380x,diary,4,2,1914-08-30 00:00:00 UTC,30 Aug 1914,"","[0.0, 0.0]","",domestic,medical,{},2985684,Pozières,"[2.72929, 50.04047]"
10,AWD000380x,diary,4,5,1914-08-30 00:00:00 UTC,30 Aug 1914,"","[0.0, 0.0]","",person,Sergeant  Street,"{""first""=>[""""], ""surname""=>[""Street""], ""rank""=>[""Sergeant""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""""]}",2985684,Pozières,"[2.72929, 50.04047]"
11,AWD000380x,diary,4,6,1914-08-30 00:00:00 UTC,30 Aug 1914,"","[0.0, 0.0]","",person,Sergeant  King,"{""first""=>[""""], ""surname""=>[""King""], ""rank""=>[""Sergeant""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""""]}",2985684,Pozières,"[2.72929, 50.04047]"
12,AWD000380x,diary,4,2,1914-08-30 00:00:00 UTC,30 Aug 1914,"Gibralter, Gibraltar","[0.0, 0.0]","",place,"Gibralter, Gibraltar","{""place""=>[""Gibralter"", ""Gibraltar""], ""location""=>[""true""], ""name""=>[""Grottenherten"", ""Gibraltar""], ""lat""=>[""50.99658"", ""50.67359""], ""long""=>[""6.48743"", ""3.25243""], ""id""=>[""2914760"", ""2797555""]}",2797555,Gibraltar,"[3.25243, 50.67359]"
14,AWD000380x,diary,4,5,1914-08-30 00:00:00 UTC,30 Aug 1914,"Gibralter, Gibraltar","[0.0, 0.0]","",person,Private  Ellis,"{""first""=>[""""], ""surname""=>[""Ellis""], ""rank""=>[""Private""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""""]}",2797555,Gibraltar,"[3.25243, 50.67359]"
15,AWD000380x,diary,4,5,1914-08-30 00:00:00 UTC,30 Aug 1914,"Gibralter, Gibraltar","[0.0, 0.0]","",person,Private  Rowlands,"{""first""=>[""""], ""surname""=>[""Rowlands""], ""rank""=>[""Private""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""""]}",2797555,Gibraltar,"[3.25243, 50.67359]"
16,AWD000380x,diary,4,4,1914-08-30 00:00:00 UTC,30 Aug 1914,"Gibralter, Gibraltar","[0.0, 0.0]","",person,Private  King,"{""first""=>[""""], ""surname""=>[""King""], ""rank""=>[""Private""], ""number""=>[""""], ""reason""=>[""other"", ""departed_posted""], ""unit""=>[""""]}",2797555,Gibraltar,"[3.25243, 50.67359]"
17,AWD000380x,diary,4,4,1914-08-30 00:00:00 UTC,30 Aug 1914,"Gibralter, Gibraltar","[0.0, 0.0]","",person,"Private  Hitchings, HITCHINGS, Hitching, Hitchens","{""first""=>[""""], ""surname""=>[""Hitchings"", ""HITCHINGS"", ""Hitching"", ""Hitchens""], ""rank""=>[""Private""], ""number""=>[""""], ""reason""=>[""other"", ""departed_posted""], ""unit""=>[""""]}",2797555,Gibraltar,"[3.25243, 50.67359]"
19,AWD000380x,diary,4,2,1914-08-30 00:00:00 UTC,30 Aug 1914,"Gibralter, Gibraltar","[0.0, 0.0]","",person,",other H S G,Sir H S G Miles","{""first""=>[""H S G"", ""Sir H S G""], ""surname""=>[""Miles""], ""rank""=>["""", ""other""], ""number""=>[""""], ""reason""=>[""commander""], ""unit""=>["""", ""Governor & C-in-C of Gibraltar""]}",2797555,Gibraltar,"[3.25243, 50.67359]"
1,AWD00037y9,diary,5,4,1914-08-30 00:00:00 UTC,30 Aug 1914,"Gibralter, Gibraltar","[0.0, 0.0]","",diaryDate,30 Aug 1914,"{""day""=>[""30""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2797555,Gibraltar,"[3.25243, 50.67359]"
3,AWD00037y9,diary,5,3,1914-08-31 00:00:00 UTC,31 Aug 1914,"Gibralter, Gibraltar","[0.0, 0.0]","",diaryDate,31 Aug 1914,"{""day""=>[""31""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2797555,Gibraltar,"[3.25243, 50.67359]"
4,AWD00037y9,diary,5,2,1914-08-31 00:00:00 UTC,31 Aug 1914,"Gibralter, Gibraltar","[0.0, 0.0]","",activity,movement,{},2797555,Gibraltar,"[3.25243, 50.67359]"
5,AWD00037y9,diary,5,3,1914-08-31 00:00:00 UTC,31 Aug 1914,"Gibralter, Gibraltar","[0.0, 0.0]","",place,Gibraltar,"{""place""=>[""Gibraltar""], ""location""=>[""false""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2797555,Gibraltar,"[3.25243, 50.67359]"
