Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD0003841,diary,3,4,1916-02-24 00:00:00 UTC,24 Feb 1916,"","[0.0, 0.0]","",diaryDate,24 Feb 1916,"{""day""=>[""24""], ""month""=>[""Feb""], ""year""=>[""1916""]}",2985684,Pozières,"[2.72929, 50.04047]"
2,AWD000384s,diary,4,3,1916-02-24 00:00:00 UTC,24 Feb 1916,"","[0.0, 0.0]","",diaryDate,24 Feb 1916,"{""day""=>[""24""], ""month""=>[""Feb""], ""year""=>[""1916""]}",2985684,Pozières,"[2.72929, 50.04047]"
3,AWD000384s,diary,4,3,1916-02-24 00:00:00 UTC,24 Feb 1916,Morlancourt,"[2.6304, 49.95113]","",place,Morlancourt,"{""place""=>[""Morlancourt""], ""location""=>[""true""], ""name""=>[""Morlancourt""], ""lat""=>[""49.95113""], ""long""=>[""2.6304""], ""id""=>[""2991769""]}",2991769,Morlancourt,"[2.6304, 49.95113]"
5,AWD000384s,diary,4,3,1916-02-24 00:00:00 UTC,24 Feb 1916,Morlancourt,"[2.6304, 49.95113]","",person,Captain C C Bamber,"{""first""=>[""C C""], ""surname""=>[""Bamber""], ""rank""=>[""Captain""], ""number""=>[""""], ""reason""=>[""commander""], ""unit""=>[""2nd R Warwicks Regt"", """", ""2nd R Warpicks Rept""]}",2991769,Morlancourt,"[2.6304, 49.95113]"
6,AWD000384s,diary,4,4,1916-02-24 00:00:00 UTC,24 Feb 1916,Morlancourt,"[2.6304, 49.95113]","",person,Lieutenant S R P Walter,"{""first""=>[""S R P""], ""surname""=>[""Walter""], ""rank""=>[""Lieutenant""], ""number""=>[""""], ""reason""=>[""commander""], ""unit""=>[""""]}",2991769,Morlancourt,"[2.6304, 49.95113]"
7,AWD000384s,diary,4,4,1916-02-24 00:00:00 UTC,24 Feb 1916,Morlancourt,"[2.6304, 49.95113]","",person,Second Lieutenant J C Young,"{""first""=>[""J C""], ""surname""=>[""Young""], ""rank""=>[""Second Lieutenant""], ""number""=>[""""], ""reason""=>[""commander""], ""unit""=>[""""]}",2991769,Morlancourt,"[2.6304, 49.95113]"
8,AWD000384s,diary,4,4,1916-02-24 00:00:00 UTC,24 Feb 1916,Morlancourt,"[2.6304, 49.95113]","",person,Lieutenant R A T Miller,"{""first""=>[""R A T""], ""surname""=>[""Miller""], ""rank""=>[""Lieutenant""], ""number""=>[""""], ""reason""=>[""commander""], ""unit""=>[""""]}",2991769,Morlancourt,"[2.6304, 49.95113]"
9,AWD000384s,diary,4,4,1916-02-24 00:00:00 UTC,24 Feb 1916,Morlancourt,"[2.6304, 49.95113]","",person,Second Lieutenant C S Gibson,"{""first""=>[""C S""], ""surname""=>[""Gibson""], ""rank""=>[""Second Lieutenant""], ""number""=>[""""], ""reason""=>[""commander""], ""unit""=>[""""]}",2991769,Morlancourt,"[2.6304, 49.95113]"
10,AWD000384s,diary,4,4,1916-02-24 00:00:00 UTC,24 Feb 1916,Morlancourt,"[2.6304, 49.95113]","",person,Second Lieutenant R M C Ormrod,"{""first""=>[""R M C""], ""surname""=>[""Ormrod""], ""rank""=>[""Second Lieutenant""], ""number""=>[""""], ""reason""=>[""commander""], ""unit""=>[""""]}",2991769,Morlancourt,"[2.6304, 49.95113]"
11,AWD000384s,diary,4,4,1916-02-24 00:00:00 UTC,24 Feb 1916,Morlancourt,"[2.6304, 49.95113]","",person, F Chick,"{""first""=>[""F""], ""surname""=>[""Chick""], ""rank""=>[""""], ""number""=>[""""], ""reason""=>[""commander""], ""unit""=>[""""]}",2991769,Morlancourt,"[2.6304, 49.95113]"
13,AWD000384s,diary,4,4,1916-02-24 00:00:00 UTC,24 Feb 1916,Morlancourt,"[2.6304, 49.95113]","",person,Lieutenant W E Dickson,"{""first""=>[""W E""], ""surname""=>[""Dickson""], ""rank""=>[""Lieutenant""], ""number""=>[""""], ""reason""=>[""commander""], ""unit""=>[""""]}",2991769,Morlancourt,"[2.6304, 49.95113]"
14,AWD000384s,diary,4,3,1916-02-24 00:00:00 UTC,24 Feb 1916,Morlancourt,"[2.6304, 49.95113]","",person,Lieutenant G B Schon,"{""first""=>[""G B""], ""surname""=>[""Schon""], ""rank""=>[""Lieutenant""], ""number""=>[""""], ""reason""=>[""commander""], ""unit""=>[""""]}",2991769,Morlancourt,"[2.6304, 49.95113]"
2,AWD000384z,diary,5,4,1916-02-24 00:00:00 UTC,24 Feb 1916,Morlancourt,"[2.6304, 49.95113]","",diaryDate,24 Feb 1916,"{""day""=>[""24""], ""month""=>[""Feb""], ""year""=>[""1916""]}",2991769,Morlancourt,"[2.6304, 49.95113]"
5,AWD000384z,diary,5,3,1916-02-24 00:00:00 UTC,24 Feb 1916,Morlancourt,"[2.6304, 49.95113]","",person,Sergeant A H Earl,"{""first""=>[""A H""], ""surname""=>[""Earl""], ""rank""=>[""Sergeant""], ""number""=>[""1757""], ""reason""=>[""other"", ""commander"", ""joined""], ""unit""=>[""""]}",2991769,Morlancourt,"[2.6304, 49.95113]"
6,AWD000384z,diary,5,2,1916-02-24 00:00:00 UTC,24 Feb 1916,Morlancourt,"[2.6304, 49.95113]","",person,Sergeant E Hursey,"{""first""=>[""E""], ""surname""=>[""Hursey""], ""rank""=>[""Sergeant""], ""number""=>[""9573""], ""reason""=>[""joined"", ""commander""], ""unit""=>[""2nd The Queens"", """"]}",2991769,Morlancourt,"[2.6304, 49.95113]"
11,AWD000384z,diary,5,3,1916-02-24 00:00:00 UTC,24 Feb 1916,Morlancourt,"[2.6304, 49.95113]","",person,Captain C C Bamber,"{""first""=>[""C C""], ""surname""=>[""Bamber""], ""rank""=>[""Captain""], ""number""=>[""""], ""reason""=>[""commander""], ""unit""=>[""""]}",2991769,Morlancourt,"[2.6304, 49.95113]"
13,AWD000384z,diary,5,2,1916-02-24 00:00:00 UTC,24 Feb 1916,Morlancourt,"[2.6304, 49.95113]","",person,"Lieutenant W E,W Dickson, Dickinson","{""first""=>[""W E"", ""W""], ""surname""=>[""Dickson"", ""Dickinson""], ""rank""=>[""Lieutenant""], ""number""=>[""""], ""reason""=>[""commander""], ""unit""=>[""""]}",2991769,Morlancourt,"[2.6304, 49.95113]"
14,AWD000384z,diary,5,2,1916-02-24 00:00:00 UTC,24 Feb 1916,Morlancourt,"[2.6304, 49.95113]","",person,"Captain C C,CC Bamber","{""first""=>[""C C"", ""CC""], ""surname""=>[""Bamber""], ""rank""=>[""Captain""], ""number""=>[""""], ""reason""=>[""other"", ""commander""], ""unit""=>[""""]}",2991769,Morlancourt,"[2.6304, 49.95113]"
15,AWD000384z,diary,5,2,1916-02-24 00:00:00 UTC,24 Feb 1916,"morlancourt, Morlancourt","[2.6304, 49.95113]","",place,"morlancourt, Morlancourt","{""place""=>[""morlancourt"", ""Morlancourt""], ""location""=>[""true""], ""name""=>[""Morlancourt""], ""lat""=>[""49.95113""], ""long""=>[""2.6304""], ""id""=>[""2991769""]}",2991769,Morlancourt,"[2.6304, 49.95113]"
18,AWD000384z,diary,5,4,1916-02-25 00:00:00 UTC,25 Feb 1916,"morlancourt, Morlancourt","[2.6304, 49.95113]","",diaryDate,25 Feb 1916,"{""day""=>[""25""], ""month""=>[""Feb""], ""year""=>[""1916""]}",2991769,Morlancourt,"[2.6304, 49.95113]"
21,AWD000384z,diary,5,2,1916-02-25 00:00:00 UTC,25 Feb 1916,"morlancourt, Morlancourt","[2.6304, 49.95113]","",place,"morlancourt, Morlancourt","{""place""=>[""morlancourt"", ""Morlancourt""], ""location""=>[""true""], ""name""=>[""Morlancourt""], ""lat""=>[""49.95113""], ""long""=>[""2.6304""], ""id""=>[""2991769""]}",2991769,Morlancourt,"[2.6304, 49.95113]"
22,AWD000384z,diary,5,4,1916-02-26 00:00:00 UTC,26 Feb 1916,"morlancourt, Morlancourt","[2.6304, 49.95113]","",diaryDate,26 Feb 1916,"{""day""=>[""26""], ""month""=>[""Feb""], ""year""=>[""1916""]}",2991769,Morlancourt,"[2.6304, 49.95113]"
23,AWD000384z,diary,5,4,1916-02-28 00:00:00 UTC,28 Feb 1916,"morlancourt, Morlancourt","[2.6304, 49.95113]","",diaryDate,28 Feb 1916,"{""day""=>[""28""], ""month""=>[""Feb""], ""year""=>[""1916""]}",2991769,Morlancourt,"[2.6304, 49.95113]"
1,AWD000382k,diary,6,2,1916-02-27 00:00:00 UTC,27 Feb 1916,"morlancourt, Morlancourt","[2.6304, 49.95113]","",diaryDate,27 Feb 1916,"{""day""=>[""27""], ""month""=>[""Feb""], ""year""=>[""1916""]}",2991769,Morlancourt,"[2.6304, 49.95113]"
6,AWD000382k,diary,6,2,1916-02-27 00:00:00 UTC,27 Feb 1916,"morlancourt, Morlancourt","[2.6304, 49.95113]","",diaryDate,27 Feb 1916,"{""day""=>[""27""], ""month""=>[""Feb""], ""year""=>[""1916""]}",2991769,Morlancourt,"[2.6304, 49.95113]"
8,AWD000382k,diary,6,3,1916-02-27 00:00:00 UTC,27 Feb 1916,"morlancourt, Morlancourt","[2.6304, 49.95113]","",activity,repair,{},2991769,Morlancourt,"[2.6304, 49.95113]"
9,AWD000382k,diary,6,4,1916-02-28 00:00:00 UTC,28 Feb 1916,"morlancourt, Morlancourt","[2.6304, 49.95113]","",diaryDate,28 Feb 1916,"{""day""=>[""28""], ""month""=>[""Feb""], ""year""=>[""1916""]}",2991769,Morlancourt,"[2.6304, 49.95113]"
10,AWD000382k,diary,6,4,1916-02-28 00:00:00 UTC,28 Feb 1916,"morlancourt, Morlancourt","[2.6304, 49.95113]","",activity,repair,{},2991769,Morlancourt,"[2.6304, 49.95113]"
13,AWD000382k,diary,6,4,1916-02-28 00:00:00 UTC,28 Feb 1916,Ville,"[0.0, 0.0]","",place,Ville,"{""place""=>[""Ville""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2968894,Villé,"[7.30574, 48.34266]"
14,AWD000382k,diary,6,3,1916-02-28 09:30:00 UTC,28 Feb 1916,Ville,"[0.0, 0.0]",0930AM,time,0930AM,{},2968894,Villé,"[7.30574, 48.34266]"
16,AWD000382k,diary,6,4,1916-02-29 00:00:00 UTC,29 Feb 1916,Ville,"[0.0, 0.0]","",diaryDate,29 Feb 1916,"{""day""=>[""29""], ""month""=>[""Feb""], ""year""=>[""1916""]}",2968894,Villé,"[7.30574, 48.34266]"
18,AWD000382k,diary,6,2,1916-02-29 00:00:00 UTC,29 Feb 1916,Ville,"[0.0, 0.0]","",activity,repair,{},2968894,Villé,"[7.30574, 48.34266]"
1,AWD000385b,diary,8,5,1916-03-01 00:00:00 UTC,1 Mar 1916,Ville,"[0.0, 0.0]","",diaryDate,1 Mar 1916,"{""day""=>[""1""], ""month""=>[""Mar""], ""year""=>[""1916""]}",2968894,Villé,"[7.30574, 48.34266]"
9,AWD000385b,diary,8,4,1916-03-02 00:00:00 UTC,2 Mar 1916,Ville,"[0.0, 0.0]","",diaryDate,2 Mar 1916,"{""day""=>[""2""], ""month""=>[""Mar""], ""year""=>[""1916""]}",2968894,Villé,"[7.30574, 48.34266]"
14,AWD000385b,diary,8,2,1916-03-02 00:00:00 UTC,2 Mar 1916,Ville,"[0.0, 0.0]","",place,Crawley Ridge,"{""place""=>[""Crawley Ridge""], ""location""=>[""false"", ""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2968894,Villé,"[7.30574, 48.34266]"
15,AWD000385b,diary,8,3,1916-03-02 00:00:00 UTC,2 Mar 1916,Ville,"[0.0, 0.0]","",weather,rain,{},2968894,Villé,"[7.30574, 48.34266]"
16,AWD000385b,diary,8,2,1916-03-02 00:00:00 UTC,2 Mar 1916,Ville,"[0.0, 0.0]","",activity,repair,{},2968894,Villé,"[7.30574, 48.34266]"
17,AWD000385b,diary,8,4,1916-03-03 00:00:00 UTC,3 Mar 1916,Ville,"[0.0, 0.0]","",diaryDate,3 Mar 1916,"{""day""=>[""3""], ""month""=>[""Mar""], ""year""=>[""1916""]}",2968894,Villé,"[7.30574, 48.34266]"
18,AWD000385b,diary,8,6,1916-03-03 00:00:00 UTC,3 Mar 1916,Ville,"[0.0, 0.0]","",person,Captain C C Bamber,"{""first""=>[""C C""], ""surname""=>[""Bamber""], ""rank""=>[""Captain""], ""number""=>[""""], ""reason""=>[""commander""], ""unit""=>[""""]}",2968894,Villé,"[7.30574, 48.34266]"
19,AWD000385b,diary,8,2,1916-03-03 00:00:00 UTC,3 Mar 1916,Ville,"[0.0, 0.0]","",place,Crawley Ridge,"{""place""=>[""Crawley Ridge""], ""location""=>[""false"", ""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2968894,Villé,"[7.30574, 48.34266]"
23,AWD000385b,diary,8,3,1916-03-03 00:00:00 UTC,3 Mar 1916,Ville,"[0.0, 0.0]","",place,"84 Fire Trench, 83 Fire Trench, 84.5 Fire Trench","{""place""=>[""84 Fire Trench"", ""83 Fire Trench"", ""84.5 Fire Trench""], ""location""=>[""false""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2968894,Villé,"[7.30574, 48.34266]"
25,AWD000385b,diary,8,4,1916-03-04 00:00:00 UTC,4 Mar 1916,Ville,"[0.0, 0.0]","",diaryDate,4 Mar 1916,"{""day""=>[""4""], ""month""=>[""Mar""], ""year""=>[""1916""]}",2968894,Villé,"[7.30574, 48.34266]"
28,AWD000385b,diary,8,3,1916-03-04 00:00:00 UTC,4 Mar 1916,Ville,"[0.0, 0.0]","",activity,construction,{},2968894,Villé,"[7.30574, 48.34266]"
30,AWD000385b,diary,8,4,1916-03-05 00:00:00 UTC,5 Mar 1916,Ville,"[0.0, 0.0]","",diaryDate,5 Mar 1916,"{""day""=>[""5""], ""month""=>[""Mar""], ""year""=>[""1916""]}",2968894,Villé,"[7.30574, 48.34266]"
31,AWD000385b,diary,8,2,1916-03-05 00:00:00 UTC,5 Mar 1916,Ville,"[0.0, 0.0]","",place,Crawley Ridge,"{""place""=>[""Crawley Ridge""], ""location""=>[""false"", ""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2968894,Villé,"[7.30574, 48.34266]"
33,AWD000385b,diary,8,5,1916-03-06 00:00:00 UTC,6 Mar 1916,Ville,"[0.0, 0.0]","",diaryDate,6 Mar 1916,"{""day""=>[""6""], ""month""=>[""Mar""], ""year""=>[""1916""]}",2968894,Villé,"[7.30574, 48.34266]"
34,AWD000385b,diary,8,2,1916-03-06 00:00:00 UTC,6 Mar 1916,Ville,"[0.0, 0.0]","",unit,"1st R W F Section, 1st S S R Section","{""name""=>[""1st R W F Section"", ""1st S S R Section""], ""context""=>[""relieved""]}",2968894,Villé,"[7.30574, 48.34266]"
37,AWD000385b,diary,8,2,1916-03-06 00:00:00 UTC,6 Mar 1916,Ville,"[0.0, 0.0]","",place,"84.5 Fire Trench, 83 Fire Trench","{""place""=>[""84.5 Fire Trench"", ""83 Fire Trench""], ""location""=>[""false""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2968894,Villé,"[7.30574, 48.34266]"
41,AWD000385b,diary,8,5,1916-03-07 00:00:00 UTC,7 Mar 1916,Ville,"[0.0, 0.0]","",diaryDate,7 Mar 1916,"{""day""=>[""7""], ""month""=>[""Mar""], ""year""=>[""1916""]}",2968894,Villé,"[7.30574, 48.34266]"
43,AWD000385b,diary,8,2,1916-03-07 00:00:00 UTC,7 Mar 1916,Ville,"[0.0, 0.0]","",place,Crawley Ridge,"{""place""=>[""Crawley Ridge""], ""location""=>[""true"", ""false""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2968894,Villé,"[7.30574, 48.34266]"
44,AWD000385b,diary,8,2,1916-03-07 00:00:00 UTC,7 Mar 1916,Ville,"[0.0, 0.0]","",activity,construction,{},2968894,Villé,"[7.30574, 48.34266]"
1,AWD000387b,diary,9,2,,"1 Mar,Nov 1916, 1918",Ville,"[0.0, 0.0]","",diaryDate,"1 Mar,Nov 1916, 1918","{""day""=>[""1""], ""month""=>[""Mar"", ""Nov""], ""year""=>[""1916"", ""1918""]}",2968894,Villé,"[7.30574, 48.34266]"
22,AWD000387b,diary,9,2,,"1 Mar,Nov 1916, 1918",Ville,"[0.0, 0.0]","",place,Ruesnes,"{""place""=>[""Ruesnes""], ""location""=>[""false""], ""name""=>[""Saint-Python""], ""lat""=>[""50.19001""], ""long""=>[""3.48027""], ""id""=>[""2977304""]}",2968894,Villé,"[7.30574, 48.34266]"
23,AWD000387b,diary,9,3,,"1 Mar,Nov 1916, 1918",Ville,"[0.0, 0.0]","",activity,movement,{},2968894,Villé,"[7.30574, 48.34266]"
27,AWD000387b,diary,9,2,,"1 Mar,Nov 1916, 1918",Ville,"[0.0, 0.0]","",place,Villers-Pol,"{""place""=>[""Villers-Pol""], ""location""=>[""false"", ""true""], ""name""=>[""Saint-Python""], ""lat""=>[""50.19001""], ""long""=>[""3.48027""], ""id""=>[""2977304""]}",2968894,Villé,"[7.30574, 48.34266]"
29,AWD000387b,diary,9,2,,"1 Mar,Nov 1916, 1918",Ville,"[0.0, 0.0]","",person,Captain C Bamber,"{""first""=>[""C""], ""surname""=>[""Bamber""], ""rank""=>[""Captain""], ""number""=>[""""], ""reason""=>[""joined"", ""commander""], ""unit""=>[""""]}",2968894,Villé,"[7.30574, 48.34266]"
31,AWD000387b,diary,9,2,,"1 Mar,Nov 1916, 1918",Ville,"[0.0, 0.0]","",activity,repair,{},2968894,Villé,"[7.30574, 48.34266]"
39,AWD000387b,diary,9,2,,"1 Mar,Nov 1916, 1918",Ville,"[0.0, 0.0]","",activity,repair,{},2968894,Villé,"[7.30574, 48.34266]"
46,AWD000387b,diary,9,2,,"1 Mar,Nov 1916, 1918",Ville,"[0.0, 0.0]","",activity,attack,{},2968894,Villé,"[7.30574, 48.34266]"
1,AWD000385i,diary,10,4,1916-03-15 00:00:00 UTC,15 Mar 1916,Ville,"[0.0, 0.0]","",diaryDate,15 Mar 1916,"{""day""=>[""15""], ""month""=>[""Mar""], ""year""=>[""1916""]}",2968894,Villé,"[7.30574, 48.34266]"
3,AWD000385i,diary,10,2,1916-03-15 00:00:00 UTC,15 Mar 1916,Ville,"[0.0, 0.0]","",activity,repair,{},2968894,Villé,"[7.30574, 48.34266]"
5,AWD000385i,diary,10,3,1916-03-15 00:00:00 UTC,15 Mar 1916,Ville,"[0.0, 0.0]","",person,Lieutenant R A T Miller,"{""first""=>[""R A T""], ""surname""=>[""Miller""], ""rank""=>[""Lieutenant""], ""number""=>[""""], ""reason""=>[""departed_leave""], ""unit""=>[""""]}",2968894,Villé,"[7.30574, 48.34266]"
7,AWD000385i,diary,10,3,1916-03-16 00:00:00 UTC,16 Mar 1916,Ville,"[0.0, 0.0]","",diaryDate,16 Mar 1916,"{""day""=>[""16""], ""month""=>[""Mar""], ""year""=>[""1916""]}",2968894,Villé,"[7.30574, 48.34266]"
8,AWD000385i,diary,10,2,1916-03-16 00:00:00 UTC,16 Mar 1916,Ville,"[0.0, 0.0]","",unit,"No 4 Section, No 3 Section","{""name""=>[""No 4 Section"", ""No 3 Section""], ""context""=>[""relieved""]}",2968894,Villé,"[7.30574, 48.34266]"
11,AWD000385i,diary,10,3,1916-03-17 00:00:00 UTC,17 Mar 1916,Ville,"[0.0, 0.0]","",diaryDate,17 Mar 1916,"{""day""=>[""17""], ""month""=>[""Mar""], ""year""=>[""1916""]}",2968894,Villé,"[7.30574, 48.34266]"
12,AWD000385i,diary,10,4,1916-03-17 00:00:00 UTC,17 Mar 1916,Ville,"[0.0, 0.0]","",person,Lieutenant S R R Walter,"{""first""=>[""S R R""], ""surname""=>[""Walter""], ""rank""=>[""Lieutenant""], ""number""=>[""""], ""reason""=>[""joined""], ""unit""=>[""""]}",2968894,Villé,"[7.30574, 48.34266]"
13,AWD000385i,diary,10,3,1916-03-17 00:00:00 UTC,17 Mar 1916,Ville,"[0.0, 0.0]","",person,Second Lieutenant J C Young,"{""first""=>[""J C""], ""surname""=>[""Young""], ""rank""=>[""Second Lieutenant""], ""number""=>[""""], ""reason""=>[""joined""], ""unit""=>[""""]}",2968894,Villé,"[7.30574, 48.34266]"
14,AWD000385i,diary,10,3,1916-03-17 00:00:00 UTC,17 Mar 1916,Ville,"[0.0, 0.0]","",person,Second Lieutenant C S Gibson,"{""first""=>[""C S""], ""surname""=>[""Gibson""], ""rank""=>[""Second Lieutenant""], ""number""=>[""""], ""reason""=>[""joined""], ""unit""=>[""""]}",2968894,Villé,"[7.30574, 48.34266]"
15,AWD000385i,diary,10,3,1916-03-17 00:00:00 UTC,17 Mar 1916,Ville,"[0.0, 0.0]","",unit,91st Infantry Brigade,"{""name""=>[""91st Infantry Brigade""], ""context""=>[""other""]}",2968894,Villé,"[7.30574, 48.34266]"
16,AWD000385i,diary,10,2,1916-03-17 00:00:00 UTC,17 Mar 1916,Ville,"[0.0, 0.0]","",unit,"No1 Section, No2 Section","{""name""=>[""No1 Section"", ""No2 Section""], ""context""=>[""other""]}",2968894,Villé,"[7.30574, 48.34266]"
18,AWD000385i,diary,10,3,1916-03-18 00:00:00 UTC,18 Mar 1916,Ville,"[0.0, 0.0]","",diaryDate,18 Mar 1916,"{""day""=>[""18""], ""month""=>[""Mar""], ""year""=>[""1916""]}",2968894,Villé,"[7.30574, 48.34266]"
19,AWD000385i,diary,10,3,1916-03-18 00:00:00 UTC,18 Mar 1916,Ville,"[0.0, 0.0]","",weather,fine,{},2968894,Villé,"[7.30574, 48.34266]"
20,AWD000385i,diary,10,4,1916-03-18 00:00:00 UTC,18 Mar 1916,Ville,"[0.0, 0.0]","",person,Second Lieutenant J C Young,"{""first""=>[""J C""], ""surname""=>[""Young""], ""rank""=>[""Second Lieutenant""], ""number""=>[""""], ""reason""=>[""departed_sick""], ""unit""=>[""""]}",2968894,Villé,"[7.30574, 48.34266]"
22,AWD000385i,diary,10,3,1916-03-19 00:00:00 UTC,19 Mar 1916,Ville,"[0.0, 0.0]","",diaryDate,19 Mar 1916,"{""day""=>[""19""], ""month""=>[""Mar""], ""year""=>[""1916""]}",2968894,Villé,"[7.30574, 48.34266]"
23,AWD000385i,diary,10,3,1916-03-19 00:00:00 UTC,19 Mar 1916,Ville,"[0.0, 0.0]","",weather,fine,{},2968894,Villé,"[7.30574, 48.34266]"
24,AWD000385i,diary,10,3,1916-03-20 00:00:00 UTC,20 Mar 1916,Ville,"[0.0, 0.0]","",diaryDate,20 Mar 1916,"{""day""=>[""20""], ""month""=>[""Mar""], ""year""=>[""1916""]}",2968894,Villé,"[7.30574, 48.34266]"
