Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
2,AWD0003as1,diary,333,4,1918-01-01 00:00:00 UTC,1 Jan 1918,"","[0.0, 0.0]","",diaryDate,1 Jan 1918,"{""day""=>[""1""], ""month""=>[""Jan""], ""year""=>[""1918""]}",2985684,Pozières,"[2.72929, 50.04047]"
3,AWD0003as1,diary,333,3,1918-01-01 00:00:00 UTC,1 Jan 1918,"BEAULEN COURT, BEAULEN-COURT, BEAULENCOURT","[0.0, 0.0]","",place,"BEAULEN COURT, BEAULEN-COURT, BEAULENCOURT","{""place""=>[""BEAULEN COURT"", ""BEAULEN-COURT"", ""BEAULENCOURT""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",3034281,Beaulencourt,"[2.86667, 50.06667]"
5,AWD0003as1,diary,333,5,1918-01-01 00:00:00 UTC,1 Jan 1918,"BEAULEN COURT, BEAULEN-COURT, BEAULENCOURT","[0.0, 0.0]","",person,Lieutenant  Moser,"{""first""=>[""""], ""surname""=>[""Moser""], ""rank""=>[""Lieutenant""], ""number""=>[""""], ""reason""=>[""departed_posted""], ""unit""=>[""13th Essex""]}",3034281,Beaulencourt,"[2.86667, 50.06667]"
8,AWD0003as1,diary,333,4,1918-01-02 00:00:00 UTC,2 Jan 1918,"BEAULEN COURT, BEAULEN-COURT, BEAULENCOURT","[0.0, 0.0]","",diaryDate,2 Jan 1918,"{""day""=>[""2""], ""month""=>[""Jan""], ""year""=>[""1918""]}",3034281,Beaulencourt,"[2.86667, 50.06667]"
12,AWD0003as1,diary,333,3,1918-01-03 00:00:00 UTC,3 Jan 1918,"BEAULEN COURT, BEAULEN-COURT, BEAULENCOURT","[0.0, 0.0]","",diaryDate,3 Jan 1918,"{""day""=>[""3""], ""month""=>[""Jan""], ""year""=>[""1918""]}",3034281,Beaulencourt,"[2.86667, 50.06667]"
13,AWD0003as1,diary,333,4,1918-01-04 00:00:00 UTC,4 Jan 1918,"BEAULEN COURT, BEAULEN-COURT, BEAULENCOURT","[0.0, 0.0]","",diaryDate,4 Jan 1918,"{""day""=>[""4""], ""month""=>[""Jan""], ""year""=>[""1918""]}",3034281,Beaulencourt,"[2.86667, 50.06667]"
14,AWD0003as1,diary,333,5,1918-01-04 00:00:00 UTC,4 Jan 1918,"BEAULEN COURT, BEAULEN-COURT, BEAULENCOURT","[0.0, 0.0]","",person,Lieutenant  Moser,"{""first""=>[""""], ""surname""=>[""Moser""], ""rank""=>[""Lieutenant""], ""number""=>[""""], ""reason""=>[""returned_posted""], ""unit""=>[""""]}",3034281,Beaulencourt,"[2.86667, 50.06667]"
15,AWD0003as1,diary,333,5,1918-01-05 00:00:00 UTC,5 Jan 1918,"BEAULEN COURT, BEAULEN-COURT, BEAULENCOURT","[0.0, 0.0]","",diaryDate,5 Jan 1918,"{""day""=>[""5""], ""month""=>[""Jan""], ""year""=>[""1918""]}",3034281,Beaulencourt,"[2.86667, 50.06667]"
16,AWD0003as1,diary,333,5,1918-01-06 00:00:00 UTC,6 Jan 1918,"BEAULEN COURT, BEAULEN-COURT, BEAULENCOURT","[0.0, 0.0]","",diaryDate,6 Jan 1918,"{""day""=>[""6""], ""month""=>[""Jan""], ""year""=>[""1918""]}",3034281,Beaulencourt,"[2.86667, 50.06667]"
22,AWD0003as1,diary,333,2,1918-01-06 00:00:00 UTC,6 Jan 1918,"BEAULEN COURT, BEAULEN-COURT, BEAULENCOURT","[0.0, 0.0]","",activity,line,{},3034281,Beaulencourt,"[2.86667, 50.06667]"
23,AWD0003as1,diary,333,4,1918-01-07 00:00:00 UTC,7 Jan 1918,"BEAULEN COURT, BEAULEN-COURT, BEAULENCOURT","[0.0, 0.0]","",diaryDate,7 Jan 1918,"{""day""=>[""7""], ""month""=>[""Jan""], ""year""=>[""1918""]}",3034281,Beaulencourt,"[2.86667, 50.06667]"
24,AWD0003as1,diary,333,4,1918-01-08 00:00:00 UTC,8 Jan 1918,"BEAULEN COURT, BEAULEN-COURT, BEAULENCOURT","[0.0, 0.0]","",diaryDate,8 Jan 1918,"{""day""=>[""8""], ""month""=>[""Jan""], ""year""=>[""1918""]}",3034281,Beaulencourt,"[2.86667, 50.06667]"
