Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD0003c7u,diary,232,4,1914-10-01 00:00:00 UTC,1 Oct 1914,"","[0.0, 0.0]","",diaryDate,1 Oct 1914,"{""day""=>[""1""], ""month""=>[""Oct""], ""year""=>[""1914""]}",2985684,Pozières,"[2.72929, 50.04047]"
4,AWD0003c7u,diary,232,2,1914-10-01 00:00:00 UTC,1 Oct 1914,"Fme de l'Epitaphe, Fe de L'Epitaphe","[0.0, 0.0]","",place,"Fme de l'Epitaphe, Fe de L'Epitaphe","{""place""=>[""Fme de l'Epitaphe"", ""Fe de L'Epitaphe""], ""location""=>[""true""], ""name""=>[""Beuvry"", ""Bonn""], ""lat""=>[""50.51674"", ""50.73438""], ""long""=>[""2.68541"", ""7.09549""], ""id""=>[""3032903"", ""2946447""]}",3020786,"Droizy,","[3.39345, 49.27703]"
5,AWD0003c7u,diary,232,2,1914-10-01 00:00:00 UTC,1 Oct 1914,"Fme de l'Epitaphe, Fe de L'Epitaphe","[0.0, 0.0]","",unit,"W.Ridings, W Ridings","{""name""=>[""W.Ridings"", ""W Ridings""], ""context""=>[""other""]}",3020786,"Droizy,","[3.39345, 49.27703]"
7,AWD0003c7u,diary,232,2,1914-10-01 00:00:00 UTC,1 Oct 1914,"Lepitaphe, EPITAPHE","[0.0, 0.0]","",place,"Lepitaphe, EPITAPHE","{""place""=>[""Lepitaphe"", ""EPITAPHE""], ""location""=>[""true""], ""name""=>[""Bondues"", ""Mentque-Nortbécourt""], ""lat""=>[""50.70196"", ""50.78347""], ""long""=>[""3.09497"", ""2.08554""], ""id""=>[""3031817"", ""2994496""]}",,,
8,AWD0003c7u,diary,232,2,1914-10-01 00:00:00 UTC,1 Oct 1914,"Lepitaphe, EPITAPHE","[0.0, 0.0]","",unit,KOSBs,"{""name""=>[""KOSBs""], ""context""=>[""other""]}",,,
9,AWD0003c7u,diary,232,2,1914-10-01 00:00:00 UTC,1 Oct 1914,"Lepitaphe, EPITAPHE","[0.0, 0.0]","",unit,"W.Kents, W Kents","{""name""=>[""W.Kents"", ""W Kents""], ""context""=>[""other""]}",,,
10,AWD0003c7u,diary,232,2,1914-10-01 00:00:00 UTC,1 Oct 1914,"Lepitaphe, EPITAPHE","[0.0, 0.0]","",place,Chacrise,"{""place""=>[""Chacrise""], ""location""=>[""false""], ""name""=>[""Chacrise""], ""lat""=>[""49.30464""], ""long""=>[""3.40428""], ""id""=>[""3027667""]}",,,
11,AWD0003c7u,diary,232,4,1914-10-01 00:00:00 UTC,1 Oct 1914,"Lepitaphe, EPITAPHE","[0.0, 0.0]","",weather,fine,{},,,
18,AWD0003c7u,diary,232,2,1914-10-01 00:00:00 UTC,1 Oct 1914,"Lepitaphe, EPITAPHE","[0.0, 0.0]","",place,Cerseuil,"{""place""=>[""Cerseuil""], ""location""=>[""false""], ""name""=>[""Cerseuil""], ""lat""=>[""49.32453""], ""long""=>[""3.51893""], ""id""=>[""3027822""]}",,,
20,AWD0003c7u,diary,232,2,1914-10-01 00:00:00 UTC,1 Oct 1914,"Lepitaphe, EPITAPHE","[0.0, 0.0]","",domestic,uniform,{},,,
26,AWD0003c7u,diary,232,3,1914-10-01 00:00:00 UTC,1 Oct 1914,"Lepitaphe, EPITAPHE","[0.0, 0.0]","",unit,Suffolk Regt,"{""name""=>[""Suffolk Regt""], ""context""=>[""other""]}",,,
27,AWD0003c7u,diary,232,3,1914-10-01 00:00:00 UTC,1 Oct 1914,"Lepitaphe, EPITAPHE","[0.0, 0.0]","",unit,Devons,"{""name""=>[""Devons""], ""context""=>[""other""]}",,,
1,AWD0003cbh,diary,233,4,1914-10-01 00:00:00 UTC,1 Oct 1914,"Lepitaphe, EPITAPHE","[0.0, 0.0]","",diaryDate,1 Oct 1914,"{""day""=>[""1""], ""month""=>[""Oct""], ""year""=>[""1914""]}",,,
4,AWD0003cbh,diary,233,2,1914-10-01 00:00:00 UTC,1 Oct 1914,"Fe de l'Epitaphe, Fe de L'Epitaphe","[3.51893, 49.32453]","",place,"Fe de l'Epitaphe, Fe de L'Epitaphe","{""place""=>[""Fe de l'Epitaphe"", ""Fe de L'Epitaphe""], ""location""=>[""true""], ""name""=>[""Cerseuil"", """"], ""lat""=>[""49.32453"", """"], ""long""=>[""3.51893"", """"], ""id""=>[""3027822"", """"]}",3020786,"Droizy,","[3.39345, 49.27703]"
5,AWD0003cbh,diary,233,4,1914-10-01 00:00:00 UTC,1 Oct 1914,"Fe de l'Epitaphe, Fe de L'Epitaphe","[3.51893, 49.32453]","",person,Lieutenant  Caulfield,"{""first""=>[""""], ""surname""=>[""Caulfield""], ""rank""=>[""Lieutenant""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""""]}",3020786,"Droizy,","[3.39345, 49.27703]"
9,AWD0003cbh,diary,233,2,1914-10-01 15:00:00 UTC,1 Oct 1914,"Fe de l'Epitaphe, Fe de L'Epitaphe","[3.51893, 49.32453]",0300PM,time,0300PM,{},3020786,"Droizy,","[3.39345, 49.27703]"
10,AWD0003cbh,diary,233,4,1914-10-01 15:00:00 UTC,1 Oct 1914,"Fe de l'Epitaphe, Fe de L'Epitaphe","[3.51893, 49.32453]",0300PM,domestic,inspections,{},3020786,"Droizy,","[3.39345, 49.27703]"
11,AWD0003cbh,diary,233,2,1914-10-01 17:15:00 UTC,1 Oct 1914,"Fe de l'Epitaphe, Fe de L'Epitaphe","[3.51893, 49.32453]",0515PM,time,0515PM,{},3020786,"Droizy,","[3.39345, 49.27703]"
13,AWD0003cbh,diary,233,2,1914-10-01 17:15:00 UTC,1 Oct 1914,"Fe de l'Epitaphe, Fe de L'Epitaphe","[3.51893, 49.32453]",0515PM,place,"Fme de l'Epitaphe, Fme de L'Epitaphe","{""place""=>[""Fme de l'Epitaphe"", ""Fme de L'Epitaphe""], ""location""=>[""true"", ""false""], ""name""=>[""Cerseuil"", ""Acy""], ""lat""=>[""49.32453"", ""49.34524""], ""long""=>[""3.51893"", ""3.41167""], ""id""=>[""3027822"", ""3038675""]}",3020786,"Droizy,","[3.39345, 49.27703]"
18,AWD0003cbh,diary,233,2,1914-10-01 17:15:00 UTC,1 Oct 1914,"Fe de l'Epitaphe, Fe de L'Epitaphe","[3.51893, 49.32453]",0515PM,place,Bucy le Bras,"{""place""=>[""Bucy le Bras""], ""location""=>[""true"", ""false""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",3020786,"Droizy,","[3.39345, 49.27703]"
19,AWD0003cbh,diary,233,2,1914-10-01 17:15:00 UTC,1 Oct 1914,"Fe de l'Epitaphe, Fe de L'Epitaphe","[3.51893, 49.32453]",0515PM,domestic,accomodation,{},3020786,"Droizy,","[3.39345, 49.27703]"
20,AWD0003cbh,diary,233,2,1914-10-01 17:15:00 UTC,1 Oct 1914,"Fe de l'Epitaphe, Fe de L'Epitaphe","[3.51893, 49.32453]",0515PM,place,Les Crouttes,"{""place""=>[""Les Crouttes""], ""location""=>[""true"", ""false""], ""name""=>[""Cerseuil"", """"], ""lat""=>[""49.32453"", """"], ""long""=>[""3.51893"", """"], ""id""=>[""3027822"", """"]}",3020786,"Droizy,","[3.39345, 49.27703]"
21,AWD0003cbh,diary,233,2,1914-10-01 17:15:00 UTC,1 Oct 1914,"Fe de l'Epitaphe, Fe de L'Epitaphe","[3.51893, 49.32453]",0515PM,place,Launoy,"{""place""=>[""Launoy""], ""location""=>[""true"", ""false""], ""name""=>[""Launoy""], ""lat""=>[""49.26369""], ""long""=>[""3.40095""], ""id""=>[""3006004""]}",3020786,"Droizy,","[3.39345, 49.27703]"
22,AWD0003cbh,diary,233,2,1914-10-01 17:15:00 UTC,1 Oct 1914,"Fe de l'Epitaphe, Fe de L'Epitaphe","[3.51893, 49.32453]",0515PM,place,Les Crouttes,"{""place""=>[""Les Crouttes""], ""location""=>[""false"", ""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",3020786,"Droizy,","[3.39345, 49.27703]"
23,AWD0003cbh,diary,233,2,1914-10-01 17:15:00 UTC,1 Oct 1914,"Fe de l'Epitaphe, Fe de L'Epitaphe","[3.51893, 49.32453]",0515PM,domestic,accomodation,{},3020786,"Droizy,","[3.39345, 49.27703]"
1,AWD0003c88,diary,234,3,1914-10-01 00:00:00 UTC,1 Oct 1914,"Fe de l'Epitaphe, Fe de L'Epitaphe","[3.51893, 49.32453]","",diaryDate,1 Oct 1914,"{""day""=>[""1""], ""month""=>[""Oct""], ""year""=>[""1914""]}",3020786,"Droizy,","[3.39345, 49.27703]"
2,AWD0003c88,diary,234,2,1914-10-01 00:00:00 UTC,1 Oct 1914,"Fe de l'Epitaphe, Fe de L'Epitaphe","[3.51893, 49.32453]","",place,Pte de la Folie,"{""place""=>[""Pte de la Folie""], ""location""=>[""false""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",3020786,"Droizy,","[3.39345, 49.27703]"
3,AWD0003c88,diary,234,2,1914-10-01 00:00:00 UTC,1 Oct 1914,"Fe de l'Epitaphe, Fe de L'Epitaphe","[3.51893, 49.32453]","",place,Violaine,"{""place""=>[""Violaine""], ""location""=>[""false""], ""name""=>[""Maast-et-Violaine""], ""lat""=>[""49.28191""], ""long""=>[""3.44952""], ""id""=>[""2996924""]}",3020786,"Droizy,","[3.39345, 49.27703]"
5,AWD0003c88,diary,234,2,1914-10-01 00:00:00 UTC,1 Oct 1914,"Fe de l'Epitaphe, Fe de L'Epitaphe","[3.51893, 49.32453]","",place,Les Crouttes,"{""place""=>[""Les Crouttes""], ""location""=>[""false"", ""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",3020786,"Droizy,","[3.39345, 49.27703]"
6,AWD0003c88,diary,234,2,1914-10-01 00:00:00 UTC,1 Oct 1914,"Fe de l'Epitaphe, Fe de L'Epitaphe","[3.51893, 49.32453]","",activity,movement,{},3020786,"Droizy,","[3.39345, 49.27703]"
7,AWD0003c88,diary,234,4,1914-10-01 00:00:00 UTC,1 Oct 1914,"Fe de l'Epitaphe, Fe de L'Epitaphe","[3.51893, 49.32453]","",unit,"8th Bge Am Col, 15th Bge Am Col, 27th Bge Am Col, 28th Bge Am Col","{""name""=>[""8th Bge Am Col"", ""15th Bge Am Col"", ""27th Bge Am Col"", ""28th Bge Am Col""], ""context""=>[""joined""]}",3020786,"Droizy,","[3.39345, 49.27703]"
13,AWD0003c88,diary,234,2,1914-10-01 17:30:00 UTC,1 Oct 1914,"Fe de l'Epitaphe, Fe de L'Epitaphe","[3.51893, 49.32453]",0530PM,time,0530PM,{},3020786,"Droizy,","[3.39345, 49.27703]"
14,AWD0003c88,diary,234,3,1914-10-01 17:30:00 UTC,1 Oct 1914,"Fe de l'Epitaphe, Fe de L'Epitaphe","[3.51893, 49.32453]",0530PM,weather,fine,{},3020786,"Droizy,","[3.39345, 49.27703]"
16,AWD0003c88,diary,234,3,1914-10-01 17:30:00 UTC,1 Oct 1914,"Fe de l'Epitaphe, Fe de L'Epitaphe","[3.51893, 49.32453]",0530PM,person,Captain  Harding,"{""first""=>[""""], ""surname""=>[""Harding""], ""rank""=>[""Captain""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""""]}",3020786,"Droizy,","[3.39345, 49.27703]"
18,AWD0003c88,diary,234,4,1914-10-01 17:30:00 UTC,1 Oct 1914,"Fe de l'Epitaphe, Fe de L'Epitaphe","[3.51893, 49.32453]",0530PM,activity,reconnoitered,{},3020786,"Droizy,","[3.39345, 49.27703]"
19,AWD0003c88,diary,234,2,1914-10-01 18:15:00 UTC,1 Oct 1914,"Fe de l'Epitaphe, Fe de L'Epitaphe","[3.51893, 49.32453]",0615PM,time,0615PM,{},3020786,"Droizy,","[3.39345, 49.27703]"
20,AWD0003c88,diary,234,4,1914-10-01 18:15:00 UTC,1 Oct 1914,"Fe de l'Epitaphe, Fe de L'Epitaphe","[3.51893, 49.32453]",0615PM,person,Major  McNalty,"{""first""=>[""""], ""surname""=>[""McNalty""], ""rank""=>[""Major""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""""]}",3020786,"Droizy,","[3.39345, 49.27703]"
