Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD0003cvx,diary,217,5,1917-01-01 00:00:00 UTC,1 Jan 1917,"","[0.0, 0.0]","",diaryDate,1 Jan 1917,"{""day""=>[""1""], ""month""=>[""Jan""], ""year""=>[""1917""]}",2985684,Pozières,"[2.72929, 50.04047]"
2,AWD0003cvx,diary,217,2,1917-01-01 00:00:00 UTC,1 Jan 1917,Trenches,"[2.45427, 49.9853]","",place,Trenches,"{""place""=>[""Trenches""], ""location""=>[""true""], ""name""=>[""Bavelincourt"", """"], ""lat""=>[""49.9853"", """"], ""long""=>[""2.45427"", """"], ""id""=>[""3034511"", """"]}",2788726,Poperinge,"[2.72659, 50.85386]"
3,AWD0003cvx,diary,217,2,1917-01-01 00:00:00 UTC,1 Jan 1917,Trenches,"[2.45427, 49.9853]","",activity,movement,{},2788726,Poperinge,"[2.72659, 50.85386]"
4,AWD0003cvx,diary,217,4,1917-01-01 00:00:00 UTC,1 Jan 1917,Trenches,"[2.45427, 49.9853]","",person,Captain W R Birrell,"{""first""=>[""W R""], ""surname""=>[""Birrell""], ""rank""=>[""Captain""], ""number""=>[""""], ""reason""=>[""returned_leave""], ""unit""=>[""""]}",2788726,Poperinge,"[2.72659, 50.85386]"
6,AWD0003cvx,diary,217,4,1917-01-01 00:00:00 UTC,1 Jan 1917,Trenches,"[2.45427, 49.9853]","",person,Captain  Strauss,"{""first""=>[""""], ""surname""=>[""Strauss""], ""rank""=>[""Captain""], ""number""=>[""""], ""reason""=>[""returned_leave""], ""unit""=>[""""]}",2788726,Poperinge,"[2.72659, 50.85386]"
8,AWD0003cvx,diary,217,5,1917-01-01 00:00:00 UTC,1 Jan 1917,Trenches,"[2.45427, 49.9853]","",person,Lieutenant Colonel H W Green,"{""first""=>[""H W""], ""surname""=>[""Green""], ""rank""=>[""Lieutenant Colonel""], ""number""=>[""""], ""reason""=>[""award""], ""unit""=>[""""]}",2788726,Poperinge,"[2.72659, 50.85386]"
9,AWD0003cvx,diary,217,5,1917-01-01 00:00:00 UTC,1 Jan 1917,Trenches,"[2.45427, 49.9853]","",person,Captain W R Birrell,"{""first""=>[""W R""], ""surname""=>[""Birrell""], ""rank""=>[""Captain""], ""number""=>[""""], ""reason""=>[""award""], ""unit""=>[""""]}",2788726,Poperinge,"[2.72659, 50.85386]"
10,AWD0003cvx,diary,217,4,1917-01-02 00:00:00 UTC,2 Jan 1917,Trenches,"[2.45427, 49.9853]","",diaryDate,2 Jan 1917,"{""day""=>[""2""], ""month""=>[""Jan""], ""year""=>[""1917""]}",2788726,Poperinge,"[2.72659, 50.85386]"
12,AWD0003cvx,diary,217,2,1917-01-02 00:00:00 UTC,2 Jan 1917,Trenches,"[2.45427, 49.9853]","",activity,line,{},2788726,Poperinge,"[2.72659, 50.85386]"
13,AWD0003cvx,diary,217,5,1917-01-03 00:00:00 UTC,3 Jan 1917,Trenches,"[2.45427, 49.9853]","",diaryDate,3 Jan 1917,"{""day""=>[""3""], ""month""=>[""Jan""], ""year""=>[""1917""]}",2788726,Poperinge,"[2.72659, 50.85386]"
14,AWD0003cvx,diary,217,2,1917-01-03 17:00:00 UTC,3 Jan 1917,Trenches,"[2.45427, 49.9853]",0500PM,time,0500PM,{},2788726,Poperinge,"[2.72659, 50.85386]"
