Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
3,AWD0003d5l,other,389,2,,,,[],,date,19 Dec 1918,{},,,
2,AWD0003d4f,diary,390,2,,"","","[0.0, 0.0]","",person,"Lieutenant Colonel H W D MacCARTHY-O'LEARY, MacCarthy-O'Leary","{""first""=>[""H W D""], ""surname""=>[""MacCARTHY-O'LEARY"", ""MacCarthy-O'Leary""], ""rank""=>[""Lieutenant Colonel""], ""number""=>[""""], ""reason""=>[""commander"", ""author""], ""unit""=>[""1st Bn. Royal Irish Rifles"", ""R. Irish Rifles""]}",2985684,Pozières,"[2.72929, 50.04047]"
5,AWD0003d4f,diary,390,2,1918-03-23 00:00:00 UTC,23 Mar 1918,"","[0.0, 0.0]","",diaryDate,23 Mar 1918,"{""day""=>[""23""], ""month""=>[""Mar""], ""year""=>[""1918""]}",2985684,Pozières,"[2.72929, 50.04047]"
15,AWD0003d4f,diary,390,3,1918-03-23 00:00:00 UTC,23 Mar 1918,"","[0.0, 0.0]","",activity,movement,{},2985684,Pozières,"[2.72929, 50.04047]"
22,AWD0003d4f,diary,390,2,1918-03-23 00:00:00 UTC,23 Mar 1918,"","[0.0, 0.0]","",place,"Cugny , Cugny","{""place""=>[""Cugny "", ""Cugny""], ""location""=>[""false""], ""name""=>[""Cugny"", """"], ""lat""=>[""49.70761"", """"], ""long""=>[""3.15266"", """"], ""id""=>[""3022146"", """"]}",2985684,Pozières,"[2.72929, 50.04047]"
25,AWD0003d4f,diary,390,2,1918-03-23 00:00:00 UTC,23 Mar 1918,"","[0.0, 0.0]","",activity,enemy_activity,{},2985684,Pozières,"[2.72929, 50.04047]"
36,AWD0003d4f,diary,390,2,1918-03-23 00:00:00 UTC,23 Mar 1918,"","[0.0, 0.0]","",activity,fire,{},2985684,Pozières,"[2.72929, 50.04047]"
37,AWD0003d4f,diary,390,2,1918-03-23 00:00:00 UTC,23 Mar 1918,"","[0.0, 0.0]","",activity,withdraw,{},2985684,Pozières,"[2.72929, 50.04047]"
40,AWD0003d4f,diary,390,2,1918-03-23 00:00:00 UTC,23 Mar 1918,"","[0.0, 0.0]","",place,Beaulieu,"{""place""=>[""Beaulieu""], ""location""=>[""false""], ""name""=>["""", ""Beaulieu""], ""lat""=>["""", ""45.1279""], ""long""=>["""", ""3.9411""], ""id""=>["""", ""3034272""]}",2985684,Pozières,"[2.72929, 50.04047]"
52,AWD0003d4f,diary,390,2,1918-03-23 00:00:00 UTC,23 Mar 1918,"","[0.0, 0.0]","",domestic,rations,{},2985684,Pozières,"[2.72929, 50.04047]"
2,AWD0003d5t,report,391,2,,,,[],,place,Cugny,"{""place""=>[""Cugny""], ""location""=>[""false""], ""name""=>[""Cugny""], ""lat""=>[""49.70761""], ""long""=>[""3.15266""], ""id""=>[""3022146""]}",,,
3,AWD0003d5t,report,391,2,,,,[],,place,Villeselve,"{""place""=>[""Villeselve""], ""location""=>[""false""], ""name""=>[""Villeselve""], ""lat""=>[""49.68942""], ""long""=>[""3.1102""], ""id""=>[""2968302""]}",,,
11,AWD0003d5t,report,391,2,,,,[],,weather,fog,{},,,
13,AWD0003d5t,report,391,2,,,,[],,activity,reconnoitered,{},,,
21,AWD0003d5t,report,391,2,,,,[],,place,Ollezy,"{""place""=>[""Ollezy""], ""location""=>[""false""], ""name""=>[""Ollezy""], ""lat""=>[""49.73456""], ""long""=>[""3.14399""], ""id""=>[""2989596""]}",,,
23,AWD0003d5t,report,391,3,,,,[],,activity,enemy_activity,{},,,
28,AWD0003d5t,report,391,2,,,,[],,activity,fire,{},,,
31,AWD0003d5t,report,391,3,,,,[],,activity,withdraw,{},,,
