Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD0003d7n,diary,4,4,1918-02-01 00:00:00 UTC,1 Feb 1918,"","[0.0, 0.0]","",diaryDate,1 Feb 1918,"{""day""=>[""1""], ""month""=>[""Feb""], ""year""=>[""1918""]}",2985684,Pozières,"[2.72929, 50.04047]"
2,AWD0003d7n,diary,4,6,1918-02-01 00:00:00 UTC,1 Feb 1918,"","[0.0, 0.0]","",activity,reserve,{},2985684,Pozières,"[2.72929, 50.04047]"
3,AWD0003d7n,diary,4,5,1918-02-01 00:00:00 UTC,1 Feb 1918,"","[0.0, 0.0]","",activity,quiet,{},2985684,Pozières,"[2.72929, 50.04047]"
4,AWD0003d7n,diary,4,4,1918-02-02 00:00:00 UTC,2 Feb 1918,"","[0.0, 0.0]","",diaryDate,2 Feb 1918,"{""day""=>[""2""], ""month""=>[""Feb""], ""year""=>[""1918""]}",2985684,Pozières,"[2.72929, 50.04047]"
5,AWD0003d7n,diary,4,4,1918-02-03 00:00:00 UTC,3 Feb 1918,"","[0.0, 0.0]","",diaryDate,3 Feb 1918,"{""day""=>[""3""], ""month""=>[""Feb""], ""year""=>[""1918""]}",2985684,Pozières,"[2.72929, 50.04047]"
6,AWD0003d7n,diary,4,3,1918-02-03 00:00:00 UTC,3 Feb 1918,"","[0.0, 0.0]","",activity,quiet,{},2985684,Pozières,"[2.72929, 50.04047]"
7,AWD0003d7n,diary,4,6,1918-02-03 00:00:00 UTC,3 Feb 1918,"","[0.0, 0.0]","",activity,reserve,{},2985684,Pozières,"[2.72929, 50.04047]"
8,AWD0003d7n,diary,4,3,1918-02-03 00:00:00 UTC,3 Feb 1918,"","[0.0, 0.0]","",activity,quiet,{},2985684,Pozières,"[2.72929, 50.04047]"
9,AWD0003d7n,diary,4,4,1918-02-04 00:00:00 UTC,4 Feb 1918,"","[0.0, 0.0]","",diaryDate,4 Feb 1918,"{""day""=>[""4""], ""month""=>[""Feb""], ""year""=>[""1918""]}",2985684,Pozières,"[2.72929, 50.04047]"
11,AWD0003d7n,diary,4,3,1918-02-05 00:00:00 UTC,5 Feb 1918,"","[0.0, 0.0]","",diaryDate,5 Feb 1918,"{""day""=>[""5""], ""month""=>[""Feb""], ""year""=>[""1918""]}",2985684,Pozières,"[2.72929, 50.04047]"
12,AWD0003d7n,diary,4,3,1918-02-05 00:00:00 UTC,5 Feb 1918,"","[0.0, 0.0]","",person,Captain R J Wilkinson,"{""first""=>[""R J""], ""surname""=>[""Wilkinson""], ""rank""=>[""Captain""], ""number""=>[""""], ""reason""=>[""departed_sick""], ""unit""=>[""""]}",2985684,Pozières,"[2.72929, 50.04047]"
13,AWD0003d7n,diary,4,3,1918-02-06 00:00:00 UTC,6 Feb 1918,"","[0.0, 0.0]","",diaryDate,6 Feb 1918,"{""day""=>[""6""], ""month""=>[""Feb""], ""year""=>[""1918""]}",2985684,Pozières,"[2.72929, 50.04047]"
14,AWD0003d7n,diary,4,3,1918-02-06 00:00:00 UTC,6 Feb 1918,"","[0.0, 0.0]","",activity,line,{},2985684,Pozières,"[2.72929, 50.04047]"
15,AWD0003d7n,diary,4,3,1918-02-06 00:00:00 UTC,6 Feb 1918,"","[0.0, 0.0]","",activity,quiet,{},2985684,Pozières,"[2.72929, 50.04047]"
16,AWD0003d7n,diary,4,3,1918-02-07 00:00:00 UTC,7 Feb 1918,"","[0.0, 0.0]","",diaryDate,7 Feb 1918,"{""day""=>[""7""], ""month""=>[""Feb""], ""year""=>[""1918""]}",2985684,Pozières,"[2.72929, 50.04047]"
17,AWD0003d7n,diary,4,6,1918-02-07 00:00:00 UTC,7 Feb 1918,"","[0.0, 0.0]","",unit,10th Royal Irish Rifles,"{""name""=>[""10th Royal Irish Rifles""], ""context""=>[""relieved"", ""relieved_by""]}",2985684,Pozières,"[2.72929, 50.04047]"
18,AWD0003d7n,diary,4,3,1918-02-07 00:00:00 UTC,7 Feb 1918,"","[0.0, 0.0]","",activity,quiet,{},2985684,Pozières,"[2.72929, 50.04047]"
19,AWD0003d7n,diary,4,4,1918-02-07 00:00:00 UTC,7 Feb 1918,"","[0.0, 0.0]","",activity,reserve,{},2985684,Pozières,"[2.72929, 50.04047]"
20,AWD0003d7n,diary,4,3,1918-02-08 00:00:00 UTC,8 Feb 1918,"","[0.0, 0.0]","",diaryDate,8 Feb 1918,"{""day""=>[""8""], ""month""=>[""Feb""], ""year""=>[""1918""]}",2985684,Pozières,"[2.72929, 50.04047]"
22,AWD0003d7n,diary,4,2,1918-02-08 00:00:00 UTC,8 Feb 1918,"","[0.0, 0.0]","",activity,reserve,{},2985684,Pozières,"[2.72929, 50.04047]"
23,AWD0003d7n,diary,4,3,1918-02-09 00:00:00 UTC,9 Feb 1918,"","[0.0, 0.0]","",diaryDate,9 Feb 1918,"{""day""=>[""9""], ""month""=>[""Feb""], ""year""=>[""1918""]}",2985684,Pozières,"[2.72929, 50.04047]"
24,AWD0003d7n,diary,4,2,1918-02-09 00:00:00 UTC,9 Feb 1918,"","[0.0, 0.0]","",unit,"9th (N.I.H.H Royal Irish Fusiliers, 9th N.I.H. Royal Irish Fusiliers","{""name""=>[""9th (N.I.H.H Royal Irish Fusiliers"", ""9th N.I.H. Royal Irish Fusiliers""], ""context""=>[""relieved"", ""relieved_by""]}",2985684,Pozières,"[2.72929, 50.04047]"
25,AWD0003d7n,diary,4,2,1918-02-09 00:00:00 UTC,9 Feb 1918,"","[0.0, 0.0]","",activity,support,{},2985684,Pozières,"[2.72929, 50.04047]"
26,AWD0003d7n,diary,4,3,1918-02-09 00:00:00 UTC,9 Feb 1918,"","[0.0, 0.0]","",activity,quiet,{},2985684,Pozières,"[2.72929, 50.04047]"
28,AWD0003d7n,diary,4,3,1918-02-09 00:00:00 UTC,9 Feb 1918,"","[0.0, 0.0]","",person,Lieutenant  Michie,"{""first""=>[""""], ""surname""=>[""Michie""], ""rank""=>[""Lieutenant""], ""number""=>[""""], ""reason""=>[""departed_sick""], ""unit""=>[""""]}",2985684,Pozières,"[2.72929, 50.04047]"
29,AWD0003d7n,diary,4,3,1918-02-10 00:00:00 UTC,10 Feb 1918,"","[0.0, 0.0]","",diaryDate,10 Feb 1918,"{""day""=>[""10""], ""month""=>[""Feb""], ""year""=>[""1918""]}",2985684,Pozières,"[2.72929, 50.04047]"
32,AWD0003d7n,diary,4,3,1918-02-11 00:00:00 UTC,11 Feb 1918,"","[0.0, 0.0]","",diaryDate,11 Feb 1918,"{""day""=>[""11""], ""month""=>[""Feb""], ""year""=>[""1918""]}",2985684,Pozières,"[2.72929, 50.04047]"
33,AWD0003d7n,diary,4,6,1918-02-11 00:00:00 UTC,11 Feb 1918,"","[0.0, 0.0]","",activity,quiet,{},2985684,Pozières,"[2.72929, 50.04047]"
34,AWD0003d7n,diary,4,3,1918-02-11 00:00:00 UTC,11 Feb 1918,"","[0.0, 0.0]","",weather,fine,{},2985684,Pozières,"[2.72929, 50.04047]"
