Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD0003dc7,diary,5,3,1918-02-01 00:00:00 UTC,1 Feb 1918,"","[0.0, 0.0]","",diaryDate,1 Feb 1918,"{""day""=>[""1""], ""month""=>[""Feb""], ""year""=>[""1918""]}",2985684,Pozières,"[2.72929, 50.04047]"
5,AWD0003dc7,diary,5,3,1918-02-01 00:00:00 UTC,1 Feb 1918,"","[0.0, 0.0]","",activity,working,{},2985684,Pozières,"[2.72929, 50.04047]"
6,AWD0003dc7,diary,5,2,1918-02-04 00:00:00 UTC,4 Feb 1918,"","[0.0, 0.0]","",diaryDate,4 Feb 1918,"{""day""=>[""4""], ""month""=>[""Feb""], ""year""=>[""1918""]}",2985684,Pozières,"[2.72929, 50.04047]"
7,AWD0003dc7,diary,5,5,1918-02-04 00:00:00 UTC,4 Feb 1918,Hasler Camp,"[0.0, 0.0]","",place,Hasler Camp,"{""place""=>[""Hasler Camp""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
10,AWD0003dc7,diary,5,5,1918-02-04 00:00:00 UTC,4 Feb 1918,Hasler Camp,"[0.0, 0.0]","",activity,training,{},,,
11,AWD0003dc7,diary,5,7,1918-02-04 00:00:00 UTC,4 Feb 1918,Hasler Camp,"[0.0, 0.0]","",person,Second Lieutenant  O'Brien,"{""first""=>[""""], ""surname""=>[""O'Brien""], ""rank""=>[""Second Lieutenant""], ""number""=>[""""], ""reason""=>[""returned_leave""], ""unit""=>[""""]}",,,
13,AWD0003dc7,diary,5,4,1918-02-04 00:00:00 UTC,4 Feb 1918,Hasler Camp,"[0.0, 0.0]","",person,Second Lieutenant  McClelland,"{""first""=>[""""], ""surname""=>[""McClelland""], ""rank""=>[""Second Lieutenant""], ""number""=>[""""], ""reason""=>[""departed_training""], ""unit""=>[""Bombing course"", """"]}",,,
14,AWD0003dc7,diary,5,2,1918-02-04 00:00:00 UTC,4 Feb 1918,Hasler Camp,"[0.0, 0.0]","",diaryDate,4 Feb 1918,"{""day""=>[""4""], ""month""=>[""Feb""], ""year""=>[""1918""]}",,,
15,AWD0003dc7,diary,5,4,1918-02-05 00:00:00 UTC,5 Feb 1918,Hasler Camp,"[0.0, 0.0]","",diaryDate,5 Feb 1918,"{""day""=>[""5""], ""month""=>[""Feb""], ""year""=>[""1918""]}",,,
18,AWD0003dc7,diary,5,2,1918-02-05 00:00:00 UTC,5 Feb 1918,Hasler Camp,"[-0.76389, 51.24827]","",place,Hasler Camp,"{""place""=>[""Hasler Camp""], ""location""=>[""true""], ""name""=>["""", ""Aldershot""], ""lat""=>["""", ""51.24827""], ""long""=>["""", ""-0.76389""], ""id""=>["""", ""2657540""]}",,,
