Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD0003dg1,diary,5,5,1918-05-01 00:00:00 UTC,1 May 1918,"","[0.0, 0.0]","",diaryDate,1 May 1918,"{""day""=>[""1""], ""month""=>[""May""], ""year""=>[""1918""]}",2985684,Pozières,"[2.72929, 50.04047]"
4,AWD0003dg1,diary,5,4,1918-05-03 00:00:00 UTC,3 May 1918,"","[0.0, 0.0]","",diaryDate,3 May 1918,"{""day""=>[""3""], ""month""=>[""May""], ""year""=>[""1918""]}",2985684,Pozières,"[2.72929, 50.04047]"
5,AWD0003dg1,diary,5,5,1918-05-03 00:00:00 UTC,3 May 1918,"","[0.0, 0.0]","",person,Lieutenant D A Grant,"{""first""=>[""D A""], ""surname""=>[""Grant""], ""rank""=>[""Lieutenant""], ""number""=>[""""], ""reason""=>[""joined""], ""unit""=>[""""]}",2985684,Pozières,"[2.72929, 50.04047]"
6,AWD0003dg1,diary,5,5,1918-05-03 00:00:00 UTC,3 May 1918,"","[0.0, 0.0]","",person,Second Lieutenant A Morrison,"{""first""=>[""A""], ""surname""=>[""Morrison""], ""rank""=>[""Second Lieutenant""], ""number""=>[""""], ""reason""=>[""joined""], ""unit""=>[""""]}",2985684,Pozières,"[2.72929, 50.04047]"
7,AWD0003dg1,diary,5,4,1918-05-04 00:00:00 UTC,4 May 1918,"","[0.0, 0.0]","",diaryDate,4 May 1918,"{""day""=>[""4""], ""month""=>[""May""], ""year""=>[""1918""]}",2985684,Pozières,"[2.72929, 50.04047]"
8,AWD0003dg1,diary,5,2,1918-05-10 00:00:00 UTC,10 May 1918,"","[0.0, 0.0]","",diaryDate,10 May 1918,"{""day""=>[""10""], ""month""=>[""May""], ""year""=>[""1918""]}",2985684,Pozières,"[2.72929, 50.04047]"
9,AWD0003dg1,diary,5,5,1918-05-10 00:00:00 UTC,10 May 1918,"","[0.0, 0.0]","",activity,training,{},2985684,Pozières,"[2.72929, 50.04047]"
11,AWD0003dg1,diary,5,4,1918-05-10 00:00:00 UTC,10 May 1918,"","[0.0, 0.0]","",diaryDate,10 May 1918,"{""day""=>[""10""], ""month""=>[""May""], ""year""=>[""1918""]}",2985684,Pozières,"[2.72929, 50.04047]"
12,AWD0003dg1,diary,5,5,1918-05-10 00:00:00 UTC,10 May 1918,"","[0.0, 0.0]","",person,Lieutenant D A Grant,"{""first""=>[""D A""], ""surname""=>[""Grant""], ""rank""=>[""Lieutenant""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""""]}",2985684,Pozières,"[2.72929, 50.04047]"
13,AWD0003dg1,diary,5,5,1918-05-10 00:00:00 UTC,10 May 1918,"","[0.0, 0.0]","",person,"Second Lieutenant  RITCHIE, Ritchie","{""first""=>[""""], ""surname""=>[""RITCHIE"", ""Ritchie""], ""rank""=>[""Second Lieutenant""], ""number""=>[""""], ""reason""=>[""commander""], ""unit""=>[""""]}",2985684,Pozières,"[2.72929, 50.04047]"
15,AWD0003dg1,diary,5,4,1918-05-12 00:00:00 UTC,12 May 1918,"","[0.0, 0.0]","",diaryDate,12 May 1918,"{""day""=>[""12""], ""month""=>[""May""], ""year""=>[""1918""]}",2985684,Pozières,"[2.72929, 50.04047]"
17,AWD0003dg1,diary,5,4,1918-05-12 00:00:00 UTC,12 May 1918,"","[0.0, 0.0]","",person,"General Herbert PLUMER, Plumer","{""first""=>[""Herbert""], ""surname""=>[""PLUMER"", ""Plumer""], ""rank""=>[""General""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""""]}",2985684,Pozières,"[2.72929, 50.04047]"
20,AWD0003dg1,diary,5,3,1918-05-12 00:00:00 UTC,12 May 1918,"","[0.0, 0.0]","",domestic,inspections,{},2985684,Pozières,"[2.72929, 50.04047]"
23,AWD0003dg1,diary,5,4,1918-05-12 00:00:00 UTC,12 May 1918,"","[0.0, 0.0]","",person,"Lieutenant  POLLARD, Pollard","{""first""=>[""""], ""surname""=>[""POLLARD"", ""Pollard""], ""rank""=>[""Lieutenant""], ""number""=>[""""], ""reason""=>[""commander""], ""unit""=>[""""]}",2985684,Pozières,"[2.72929, 50.04047]"
25,AWD0003dg1,diary,5,4,1918-05-14 00:00:00 UTC,14 May 1918,"","[0.0, 0.0]","",diaryDate,14 May 1918,"{""day""=>[""14""], ""month""=>[""May""], ""year""=>[""1918""]}",2985684,Pozières,"[2.72929, 50.04047]"
26,AWD0003dg1,diary,5,5,1918-05-14 00:00:00 UTC,14 May 1918,"","[0.0, 0.0]","",person,"Field Marshal Sir Douglas,Douglas Haig","{""first""=>[""Sir Douglas"", ""Douglas""], ""surname""=>[""Haig""], ""rank""=>[""Field Marshal""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""""]}",2985684,Pozières,"[2.72929, 50.04047]"
27,AWD0003dg1,diary,5,2,1918-05-14 00:00:00 UTC,14 May 1918,"","[0.0, 0.0]","",unit,"30th AMERICAN DIVISION, 30th American division","{""name""=>[""30th AMERICAN DIVISION"", ""30th American division""], ""context""=>[""other"", ""joined""]}",2985684,Pozières,"[2.72929, 50.04047]"
28,AWD0003dg1,diary,5,3,1918-05-14 00:00:00 UTC,14 May 1918,"","[0.0, 0.0]","",domestic,inspections,{},2985684,Pozières,"[2.72929, 50.04047]"
31,AWD0003dg1,diary,5,5,1918-05-15 00:00:00 UTC,15 May 1918,"","[0.0, 0.0]","",diaryDate,15 May 1918,"{""day""=>[""15""], ""month""=>[""May""], ""year""=>[""1918""]}",2985684,Pozières,"[2.72929, 50.04047]"
32,AWD0003dg1,diary,5,5,1918-05-15 00:00:00 UTC,15 May 1918,"","[0.0, 0.0]","",person,Lieutenant Colonel  Sworder,"{""first""=>[""""], ""surname""=>[""Sworder""], ""rank""=>[""Lieutenant Colonel""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""""]}",2985684,Pozières,"[2.72929, 50.04047]"
33,AWD0003dg1,diary,5,2,1918-05-15 00:00:00 UTC,15 May 1918,"","[0.0, 0.0]","",person,"Lieutenant Colonel LORD,Lord Dudley DUDLEY - GORDON, Gordon","{""first""=>[""LORD"", ""Lord Dudley""], ""surname""=>[""DUDLEY - GORDON"", ""Gordon""], ""rank""=>[""Lieutenant Colonel""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""""]}",2985684,Pozières,"[2.72929, 50.04047]"
