Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD0003drh,cover,391,2,,,,[],,diaryDate,"1 May,Jul 1919, 1918","{""day""=>[""1""], ""month""=>[""May"", ""Jul""], ""year""=>[""1919"", ""1918""]}",,,
1,AWD0003drd,diary,392,2,1918-07-27 00:00:00 UTC,27 Jul 1918,"","[0.0, 0.0]","",diaryDate,27 Jul 1918,"{""day""=>[""27""], ""month""=>[""Jul""], ""year""=>[""1918""]}",2985684,Pozières,"[2.72929, 50.04047]"
2,AWD0003drd,diary,392,3,1918-07-27 00:00:00 UTC,27 Jul 1918,Aldershot,"[-0.76389, 51.24827]","",place,Aldershot,"{""place""=>[""Aldershot""], ""location""=>[""true""], ""name""=>[""Aldershot""], ""lat""=>[""51.24827""], ""long""=>[""-0.76389""], ""id""=>[""2657540""]}",2657540,Aldershot,"[-0.76389, 51.24827]"
3,AWD0003drd,diary,392,2,1918-07-27 00:00:00 UTC,27 Jul 1918,Aldershot,"[-0.76389, 51.24827]","",diaryDate,27 Jul 1918,"{""day""=>[""27""], ""month""=>[""Jul""], ""year""=>[""1918""]}",2657540,Aldershot,"[-0.76389, 51.24827]"
4,AWD0003drd,diary,392,4,1918-07-27 00:00:00 UTC,27 Jul 1918,Aldershot,"[-0.76389, 51.24827]","",person,Lieutenant D O Thomas,"{""first""=>[""D O""], ""surname""=>[""Thomas""], ""rank""=>[""Lieutenant""], ""number""=>[""""], ""reason""=>[""commander"", ""other""], ""unit""=>[""""]}",2657540,Aldershot,"[-0.76389, 51.24827]"
5,AWD0003drd,diary,392,4,1918-07-27 00:00:00 UTC,27 Jul 1918,Aldershot,"[-0.76389, 51.24827]","",person,Second Lieutenant N G Cockaday,"{""first""=>[""N G""], ""surname""=>[""Cockaday""], ""rank""=>[""Second Lieutenant""], ""number""=>[""""], ""reason""=>[""commander"", ""other""], ""unit""=>[""""]}",2657540,Aldershot,"[-0.76389, 51.24827]"
8,AWD0003drd,diary,392,2,1918-07-27 06:00:00 UTC,27 Jul 1918,Aldershot,"[-0.76389, 51.24827]",0600AM,time,0600AM,{},2657540,Aldershot,"[-0.76389, 51.24827]"
9,AWD0003drd,diary,392,3,1918-07-27 06:00:00 UTC,27 Jul 1918,Aldershot,"[-0.76389, 51.24827]",0600AM,activity,movement,{},2657540,Aldershot,"[-0.76389, 51.24827]"
11,AWD0003drd,diary,392,4,1918-07-29 00:00:00 UTC,29 Jul 1918,Aldershot,"[-0.76389, 51.24827]","",diaryDate,29 Jul 1918,"{""day""=>[""29""], ""month""=>[""Jul""], ""year""=>[""1918""]}",2657540,Aldershot,"[-0.76389, 51.24827]"
13,AWD0003drd,diary,392,3,1918-07-29 23:29:00 UTC,29 Jul 1918,Aldershot,"[-0.76389, 51.24827]",1129PM,time,1129PM,{},2657540,Aldershot,"[-0.76389, 51.24827]"
