Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
2,AWD0003e5j,diary,4,4,1918-08-01 00:00:00 UTC,1 Aug 1918,"","[0.0, 0.0]","",diaryDate,1 Aug 1918,"{""day""=>[""1""], ""month""=>[""Aug""], ""year""=>[""1918""]}",2985684,Pozières,"[2.72929, 50.04047]"
3,AWD0003e5j,diary,4,2,1918-08-01 00:00:00 UTC,1 Aug 1918,"","[0.0, 0.0]","",place,Boulogne,"{""place""=>[""Boulogne""], ""location""=>[""false""], ""name""=>["""", ""Boulogne-sur-Mer""], ""lat""=>["""", ""50.71667""], ""long""=>["""", ""1.61667""], ""id""=>["""", ""3031133""]}",2985684,Pozières,"[2.72929, 50.04047]"
4,AWD0003e5j,diary,4,3,1918-08-01 00:00:00 UTC,1 Aug 1918,"","[0.0, 0.0]","",activity,movement,{},2985684,Pozières,"[2.72929, 50.04047]"
5,AWD0003e5j,diary,4,3,1918-08-01 00:00:00 UTC,1 Aug 1918,"","[0.0, 0.0]","",place,Le Havre,"{""place""=>[""Le Havre""], ""location""=>[""false""], ""name""=>[""Le Havre""], ""lat""=>[""49.4938""], ""long""=>[""0.10767""], ""id""=>[""3003796""]}",2985684,Pozières,"[2.72929, 50.04047]"
6,AWD0003e5j,diary,4,2,1918-08-01 00:00:00 UTC,1 Aug 1918,"","[0.0, 0.0]","",weather,fine,{},2985684,Pozières,"[2.72929, 50.04047]"
7,AWD0003e5j,diary,4,2,1918-08-01 00:00:00 UTC,1 Aug 1918,"","[0.0, 0.0]","",strength,"officer: 41, other: 709",{},2985684,Pozières,"[2.72929, 50.04047]"
8,AWD0003e5j,diary,4,2,1918-08-01 00:00:00 UTC,1 Aug 1918,"","[0.0, 0.0]","",place,Boulogne,"{""place""=>[""Boulogne""], ""location""=>[""false""], ""name""=>["""", ""Boulogne-sur-Mer""], ""lat""=>["""", ""50.71667""], ""long""=>["""", ""1.61667""], ""id""=>["""", ""3031133""]}",2985684,Pozières,"[2.72929, 50.04047]"
9,AWD0003e5j,diary,4,2,1918-08-01 00:00:00 UTC,1 Aug 1918,"","[0.0, 0.0]","",activity,movement,{},2985684,Pozières,"[2.72929, 50.04047]"
12,AWD0003e5j,diary,4,4,1918-08-02 00:00:00 UTC,2 Aug 1918,"","[0.0, 0.0]","",diaryDate,2 Aug 1918,"{""day""=>[""2""], ""month""=>[""Aug""], ""year""=>[""1918""]}",2985684,Pozières,"[2.72929, 50.04047]"
13,AWD0003e5j,diary,4,3,1918-08-02 00:00:00 UTC,2 Aug 1918,"","[0.0, 0.0]","",activity,movement,{},2985684,Pozières,"[2.72929, 50.04047]"
14,AWD0003e5j,diary,4,4,1918-08-02 00:00:00 UTC,2 Aug 1918,"","[0.0, 0.0]","",place,Samer,"{""place""=>[""Samer""], ""location""=>[""false""], ""name""=>[""Samer""], ""lat""=>[""50.6384""], ""long""=>[""1.74628""], ""id""=>[""2976291""]}",2985684,Pozières,"[2.72929, 50.04047]"
15,AWD0003e5j,diary,4,2,1918-08-02 00:00:00 UTC,2 Aug 1918,"","[0.0, 0.0]","",weather,rain,{},2985684,Pozières,"[2.72929, 50.04047]"
16,AWD0003e5j,diary,4,2,1918-08-02 00:00:00 UTC,2 Aug 1918,"","[0.0, 0.0]","",activity,movement,{},2985684,Pozières,"[2.72929, 50.04047]"
19,AWD0003e5j,diary,4,2,1918-08-02 00:00:00 UTC,2 Aug 1918,"","[0.0, 0.0]","",place,"Haut Pichot, Le Haut Pichot","{""place""=>[""Haut Pichot"", ""Le Haut Pichot""], ""location""=>[""false"", ""true""], ""name""=>[""Haut-Pichot"", """"], ""lat""=>[""50.61294"", """"], ""long""=>[""1.68509"", """"], ""id""=>[""3013668"", """"]}",2985684,Pozières,"[2.72929, 50.04047]"
20,AWD0003e5j,diary,4,2,1918-08-02 00:00:00 UTC,2 Aug 1918,"","[0.0, 0.0]","",place,Frencq,"{""place""=>[""Frencq""], ""location""=>[""false"", ""true""], ""name""=>[""Frencq""], ""lat""=>[""50.56067""], ""long""=>[""1.69928""], ""id""=>[""3017226""]}",2985684,Pozières,"[2.72929, 50.04047]"
21,AWD0003e5j,diary,4,3,1918-08-02 00:00:00 UTC,2 Aug 1918,"","[0.0, 0.0]","",person,Lieutenant H N Parker,"{""first""=>[""H N""], ""surname""=>[""Parker""], ""rank""=>[""Lieutenant""], ""number""=>[""""], ""reason""=>[""joined"", ""departed_posted"", ""commander""], ""unit""=>[""18th Battalion Gloucestershire Regt"", ""49th Infantry Brigade"", """"]}",2985684,Pozières,"[2.72929, 50.04047]"
22,AWD0003e5j,diary,4,4,1918-08-03 00:00:00 UTC,3 Aug 1918,"","[0.0, 0.0]","",diaryDate,3 Aug 1918,"{""day""=>[""3""], ""month""=>[""Aug""], ""year""=>[""1918""]}",2985684,Pozières,"[2.72929, 50.04047]"
23,AWD0003e5j,diary,4,2,1918-08-03 00:00:00 UTC,3 Aug 1918,"","[0.0, 0.0]","",domestic,accomodation,{},2985684,Pozières,"[2.72929, 50.04047]"
25,AWD0003e5j,diary,4,2,1918-08-03 00:00:00 UTC,3 Aug 1918,"","[0.0, 0.0]","",domestic,sport,{},2985684,Pozières,"[2.72929, 50.04047]"
26,AWD0003e5j,diary,4,4,1918-08-04 00:00:00 UTC,4 Aug 1918,"","[0.0, 0.0]","",diaryDate,4 Aug 1918,"{""day""=>[""4""], ""month""=>[""Aug""], ""year""=>[""1918""]}",2985684,Pozières,"[2.72929, 50.04047]"
27,AWD0003e5j,diary,4,2,1918-08-04 00:00:00 UTC,4 Aug 1918,"","[0.0, 0.0]","",domestic,parades,{},2985684,Pozières,"[2.72929, 50.04047]"
28,AWD0003e5j,diary,4,2,1918-08-04 00:00:00 UTC,4 Aug 1918,"","[0.0, 0.0]","",domestic,religion,{},2985684,Pozières,"[2.72929, 50.04047]"
30,AWD0003e5j,diary,4,2,1918-08-04 00:00:00 UTC,4 Aug 1918,"","[0.0, 0.0]","",person,Major B K Cooke,"{""first""=>[""B K""], ""surname""=>[""Cooke""], ""rank""=>[""Major""], ""number""=>[""""], ""reason""=>[""commander"", ""other""], ""unit""=>[""Court of Inquiry"", ""18th Battalion Gloucestershire Regt""]}",2985684,Pozières,"[2.72929, 50.04047]"
