Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD0003ecf,diary,127,2,,"","","[0.0, 0.0]","",place,"BRAMSHOTT STATION, Bramshott Station","{""place""=>[""BRAMSHOTT STATION"", ""Bramshott Station""], ""location""=>[""false"", ""true""], ""name""=>["""", ""Hérissart""], ""lat""=>["""", ""50.02685""], ""long""=>["""", ""2.41621""], ""id""=>["""", ""3013446""]}",2985684,Pozières,"[2.72929, 50.04047]"
2,AWD0003ecf,diary,127,4,,"",Bramshott,"[-0.79812, 51.0896]","",place,Bramshott,"{""place""=>[""Bramshott""], ""location""=>[""true""], ""name""=>[""Bramshott""], ""lat""=>[""51.0896""], ""long""=>[""-0.79812""], ""id""=>[""2654909""]}",2654909,Bramshott,"[-0.79812, 51.0896]"
3,AWD0003ecf,diary,127,3,1915-10-03 00:00:00 UTC,3 Oct 1915,Bramshott,"[-0.79812, 51.0896]","",diaryDate,3 Oct 1915,"{""day""=>[""3""], ""month""=>[""Oct""], ""year""=>[""1915""]}",2654909,Bramshott,"[-0.79812, 51.0896]"
4,AWD0003ecf,diary,127,3,1915-10-03 18:45:00 UTC,3 Oct 1915,Bramshott,"[-0.79812, 51.0896]",0645PM,time,0645PM,{},2654909,Bramshott,"[-0.79812, 51.0896]"
5,AWD0003ecf,diary,127,3,1915-10-03 18:45:00 UTC,3 Oct 1915,Bramshott,"[-0.79812, 51.0896]",0645PM,activity,movement,{},2654909,Bramshott,"[-0.79812, 51.0896]"
7,AWD0003ecf,diary,127,2,1915-03-01 00:00:00 UTC,1 Mar 1915,Bramshott,"[-0.79812, 51.0896]","",diaryDate,1 Mar 1915,"{""day""=>[""1""], ""month""=>[""Mar""], ""year""=>[""1915""]}",2654909,Bramshott,"[-0.79812, 51.0896]"
9,AWD0003ecf,diary,127,4,1915-03-01 00:00:00 UTC,1 Mar 1915,Bramshott,"[-0.79812, 51.0896]","",place,Folkestone,"{""place""=>[""Folkestone""], ""location""=>[""false"", ""true""], ""name""=>[""Folkestone""], ""lat""=>[""51.08169""], ""long""=>[""1.16734""], ""id""=>[""2649258""]}",2654909,Bramshott,"[-0.79812, 51.0896]"
10,AWD0003ecf,diary,127,2,1915-03-01 00:00:00 UTC,1 Mar 1915,Bramshott,"[-0.79812, 51.0896]","",activity,movement,{},2654909,Bramshott,"[-0.79812, 51.0896]"
11,AWD0003ecf,diary,127,2,1915-03-01 00:00:00 UTC,1 Mar 1915,"BOULOGNE SUR MER, Boulogne sur Mer","[1.61667, 50.71667]","",place,"BOULOGNE SUR MER, Boulogne sur Mer","{""place""=>[""BOULOGNE SUR MER"", ""Boulogne sur Mer""], ""location""=>[""true""], ""name""=>[""Boulogne-sur-Mer""], ""lat""=>[""50.71667""], ""long""=>[""1.61667""], ""id""=>[""3031133""]}",3031133,Boulogne-sur-Mer,"[1.61667, 50.71667]"
12,AWD0003ecf,diary,127,2,1915-03-01 00:00:00 UTC,1 Mar 1915,"BOULOGNE SUR MER, Boulogne sur Mer","[1.61667, 50.71667]","",place,"boulogne, Boulogne","{""place""=>[""boulogne"", ""Boulogne""], ""location""=>[""true"", ""false""], ""name""=>[""Boulogne-sur-Mer""], ""lat""=>[""50.71667""], ""long""=>[""1.61667""], ""id""=>[""3031133""]}",3031133,Boulogne-sur-Mer,"[1.61667, 50.71667]"
13,AWD0003ecf,diary,127,3,1915-03-01 00:00:00 UTC,1 Mar 1915,"BOULOGNE SUR MER, Boulogne sur Mer","[1.61667, 50.71667]","",domestic,accomodation,{},3031133,Boulogne-sur-Mer,"[1.61667, 50.71667]"
15,AWD0003ecf,diary,127,3,1915-03-01 00:00:00 UTC,1 Mar 1915,"BOULOGNE SUR MER, Boulogne sur Mer, Boulogne Sur Mer","[1.61667, 50.71667]","",place,"BOULOGNE SUR MER, Boulogne sur Mer, Boulogne Sur Mer","{""place""=>[""BOULOGNE SUR MER"", ""Boulogne sur Mer"", ""Boulogne Sur Mer""], ""location""=>[""true""], ""name""=>[""Boulogne-sur-Mer""], ""lat""=>[""50.71667""], ""long""=>[""1.61667""], ""id""=>[""3031133""]}",3031133,Boulogne-sur-Mer,"[1.61667, 50.71667]"
16,AWD0003ecf,diary,127,5,1915-10-04 00:00:00 UTC,4 Oct 1915,"BOULOGNE SUR MER, Boulogne sur Mer, Boulogne Sur Mer","[1.61667, 50.71667]","",diaryDate,4 Oct 1915,"{""day""=>[""4""], ""month""=>[""Oct""], ""year""=>[""1915""]}",3031133,Boulogne-sur-Mer,"[1.61667, 50.71667]"
17,AWD0003ecf,diary,127,2,1915-10-04 12:00:00 UTC,4 Oct 1915,"BOULOGNE SUR MER, Boulogne sur Mer, Boulogne Sur Mer","[1.61667, 50.71667]",1200PM,time,1200PM,{},3031133,Boulogne-sur-Mer,"[1.61667, 50.71667]"
18,AWD0003ecf,diary,127,4,1915-10-04 12:00:00 UTC,4 Oct 1915,"BOULOGNE SUR MER, Boulogne sur Mer, Boulogne Sur Mer","[1.61667, 50.71667]",1200PM,activity,movement,{},3031133,Boulogne-sur-Mer,"[1.61667, 50.71667]"
20,AWD0003ecf,diary,127,2,1915-10-04 00:00:00 UTC,4 Oct 1915,"BOULOGNE SUR MER, Boulogne sur Mer, Boulogne Sur Mer","[1.61667, 50.71667]",1200AM,time,1200AM,{},3031133,Boulogne-sur-Mer,"[1.61667, 50.71667]"
23,AWD0003ecf,diary,127,4,1915-10-05 00:00:00 UTC,5 Oct 1915,"BOULOGNE SUR MER, Boulogne sur Mer, Boulogne Sur Mer","[1.61667, 50.71667]","",diaryDate,5 Oct 1915,"{""day""=>[""5""], ""month""=>[""Oct""], ""year""=>[""1915""]}",3031133,Boulogne-sur-Mer,"[1.61667, 50.71667]"
24,AWD0003ecf,diary,127,2,1915-10-05 00:00:00 UTC,5 Oct 1915,"BOULOGNE SUR MER, Boulogne sur Mer, Boulogne Sur Mer","[1.61667, 50.71667]","",activity,movement,{},3031133,Boulogne-sur-Mer,"[1.61667, 50.71667]"
25,AWD0003ecf,diary,127,8,1915-10-05 00:00:00 UTC,5 Oct 1915,Flesselles,"[2.26119, 50.00202]","",place,Flesselles,"{""place""=>[""Flesselles""], ""location""=>[""true""], ""name""=>[""Flesselles""], ""lat""=>[""50.00202""], ""long""=>[""2.26119""], ""id""=>[""3018332""]}",3018332,Flesselles,"[2.26119, 50.00202]"
27,AWD0003ecf,diary,127,4,1915-10-05 00:00:00 UTC,5 Oct 1915,Flesselles,"[2.26119, 50.00202]","",place,Flesselles,"{""place""=>[""Flesselles""], ""location""=>[""true""], ""name""=>[""Flesselles""], ""lat""=>[""50.00202""], ""long""=>[""2.26119""], ""id""=>[""3018332""]}",3018332,Flesselles,"[2.26119, 50.00202]"
28,AWD0003ecf,diary,127,2,1915-10-05 00:00:00 UTC,5 Oct 1915,Flesselles,"[2.26119, 50.00202]","",activity,movement,{},3018332,Flesselles,"[2.26119, 50.00202]"
29,AWD0003ecf,diary,127,4,1915-10-05 00:00:00 UTC,5 Oct 1915,Vignacourt,"[2.19743, 50.01236]","",place,Vignacourt,"{""place""=>[""Vignacourt""], ""location""=>[""true""], ""name""=>[""Vignacourt""], ""lat""=>[""50.01236""], ""long""=>[""2.19743""], ""id""=>[""2969146""]}",2969146,Vignacourt,"[2.19743, 50.01236]"
34,AWD0003ecf,diary,127,5,1915-10-06 00:00:00 UTC,6 Oct 1915,Vignacourt,"[2.19743, 50.01236]","",diaryDate,6 Oct 1915,"{""day""=>[""6""], ""month""=>[""Oct""], ""year""=>[""1915""]}",2969146,Vignacourt,"[2.19743, 50.01236]"
35,AWD0003ecf,diary,127,3,1915-10-06 00:00:00 UTC,6 Oct 1915,Vignacourt,"[2.19743, 50.01236]","",domestic,inspections,{},2969146,Vignacourt,"[2.19743, 50.01236]"
36,AWD0003ecf,diary,127,3,1915-10-06 00:00:00 UTC,6 Oct 1915,Vignacourt,"[2.19743, 50.01236]","",place,Vignacourt,"{""place""=>[""Vignacourt""], ""location""=>[""true""], ""name""=>[""Vignacourt""], ""lat""=>[""50.01236""], ""long""=>[""2.19743""], ""id""=>[""2969146""]}",2969146,Vignacourt,"[2.19743, 50.01236]"
37,AWD0003ecf,diary,127,4,1915-10-06 00:00:00 UTC,6 Oct 1915,Vignacourt,"[2.19743, 50.01236]","",activity,training,{},2969146,Vignacourt,"[2.19743, 50.01236]"
38,AWD0003ecf,diary,127,4,1915-10-07 00:00:00 UTC,7 Oct 1915,Vignacourt,"[2.19743, 50.01236]","",diaryDate,7 Oct 1915,"{""day""=>[""7""], ""month""=>[""Oct""], ""year""=>[""1915""]}",2969146,Vignacourt,"[2.19743, 50.01236]"
39,AWD0003ecf,diary,127,2,1915-10-07 00:00:00 UTC,7 Oct 1915,Vignacourt,"[2.19743, 50.01236]","",domestic,inspections,{},2969146,Vignacourt,"[2.19743, 50.01236]"
40,AWD0003ecf,diary,127,2,1915-10-08 00:00:00 UTC,8 Oct 1915,Vignacourt,"[2.19743, 50.01236]","",diaryDate,8 Oct 1915,"{""day""=>[""8""], ""month""=>[""Oct""], ""year""=>[""1915""]}",2969146,Vignacourt,"[2.19743, 50.01236]"
42,AWD0003ecf,diary,127,3,1915-10-08 00:00:00 UTC,8 Oct 1915,Vignacourt,"[2.19743, 50.01236]","",diaryDate,8 Oct 1915,"{""day""=>[""8""], ""month""=>[""Oct""], ""year""=>[""1915""]}",2969146,Vignacourt,"[2.19743, 50.01236]"
43,AWD0003ecf,diary,127,2,1915-10-08 00:00:00 UTC,8 Oct 1915,Vignacourt,"[2.19743, 50.01236]","",domestic,inspections,{},2969146,Vignacourt,"[2.19743, 50.01236]"
44,AWD0003ecf,diary,127,5,1915-10-08 15:00:00 UTC,8 Oct 1915,Vignacourt,"[2.19743, 50.01236]",0300PM,time,0300PM,{},2969146,Vignacourt,"[2.19743, 50.01236]"
