Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD0003eg8,diary,268,4,,"",Folkestone,"[1.16734, 51.08169]","",place,Folkestone,"{""place""=>[""Folkestone""], ""location""=>[""true""], ""name""=>[""Folkestone"", """"], ""lat""=>[""51.08169"", """"], ""long""=>[""1.16734"", """"], ""id""=>[""2649258"", """"]}",2649258,Folkestone,"[1.16734, 51.08169]"
2,AWD0003eg8,diary,268,5,1915-10-03 00:00:00 UTC,3 Oct 1915,Folkestone,"[1.16734, 51.08169]","",diaryDate,3 Oct 1915,"{""day""=>[""3""], ""month""=>[""Oct""], ""year""=>[""1915""]}",2649258,Folkestone,"[1.16734, 51.08169]"
3,AWD0003eg8,diary,268,2,1915-10-03 00:00:00 UTC,3 Oct 1915,"France, FRANCE","[0.0, 0.0]","",place,"France, FRANCE","{""place""=>[""France"", ""FRANCE""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2787825,Rome,"[3.70284, 50.69854]"
5,AWD0003eg8,diary,268,3,1915-10-03 22:00:00 UTC,3 Oct 1915,"France, FRANCE","[0.0, 0.0]",1000PM,time,1000PM,{},2787825,Rome,"[3.70284, 50.69854]"
6,AWD0003eg8,diary,268,7,1915-10-03 22:00:00 UTC,3 Oct 1915,"France, FRANCE","[0.0, 0.0]",1000PM,activity,movement,{},2787825,Rome,"[3.70284, 50.69854]"
8,AWD0003eg8,diary,268,3,1915-10-03 01:00:00 UTC,3 Oct 1915,"France, FRANCE","[0.0, 0.0]",0100AM,time,0100AM,{},2787825,Rome,"[3.70284, 50.69854]"
9,AWD0003eg8,diary,268,6,1915-10-03 01:00:00 UTC,3 Oct 1915,Boulogne,"[1.61667, 50.71667]",0100AM,place,Boulogne,"{""place""=>[""Boulogne""], ""location""=>[""true""], ""name""=>[""Boulogne-sur-Mer""], ""lat""=>[""50.71667""], ""long""=>[""1.61667""], ""id""=>[""3031133""]}",3031862,Bologne,"[5.14209, 48.20004]"
10,AWD0003eg8,diary,268,5,1915-10-04 00:00:00 UTC,4 Oct 1915,Boulogne,"[1.61667, 50.71667]","",diaryDate,4 Oct 1915,"{""day""=>[""4""], ""month""=>[""Oct""], ""year""=>[""1915""]}",3031862,Bologne,"[5.14209, 48.20004]"
11,AWD0003eg8,diary,268,2,1915-10-04 23:00:00 UTC,4 Oct 1915,Boulogne,"[1.61667, 50.71667]",1100PM,time,1100PM,{},3031862,Bologne,"[5.14209, 48.20004]"
12,AWD0003eg8,diary,268,9,1915-10-04 23:00:00 UTC,4 Oct 1915,Boulogne,"[1.61667, 50.71667]",1100PM,activity,movement,{},3031862,Bologne,"[5.14209, 48.20004]"
