Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD0003fwe,diary,235,5,1915-10-04 00:00:00 UTC,4 Oct 1915,"","[0.0, 0.0]","",diaryDate,4 Oct 1915,"{""day""=>[""4""], ""month""=>[""Oct""], ""year""=>[""1915""]}",2985684,Pozières,"[2.72929, 50.04047]"
4,AWD0003fwe,diary,235,5,1915-10-04 00:00:00 UTC,4 Oct 1915,Liphook,"[-0.8032, 51.07673]","",place,Liphook,"{""place""=>[""Liphook""], ""location""=>[""true""], ""name""=>[""Liphook""], ""lat""=>[""51.07673""], ""long""=>[""-0.8032""], ""id""=>[""2644419""]}",2644419,Liphook,"[-0.8032, 51.07673]"
5,AWD0003fwe,diary,235,3,1915-10-04 03:00:00 UTC,4 Oct 1915,Liphook,"[-0.8032, 51.07673]",0300AM,time,0300AM,{},2644419,Liphook,"[-0.8032, 51.07673]"
8,AWD0003fwe,diary,235,5,1915-10-05 00:00:00 UTC,5 Oct 1915,Liphook,"[-0.8032, 51.07673]","",diaryDate,5 Oct 1915,"{""day""=>[""5""], ""month""=>[""Oct""], ""year""=>[""1915""]}",2644419,Liphook,"[-0.8032, 51.07673]"
9,AWD0003fwe,diary,235,3,1915-10-05 00:00:00 UTC,5 Oct 1915,Liphook,"[-0.8032, 51.07673]","",place,Liphook,"{""place""=>[""Liphook""], ""location""=>[""true""], ""name""=>[""Liphook""], ""lat""=>[""51.07673""], ""long""=>[""-0.8032""], ""id""=>[""2644419""]}",2644419,Liphook,"[-0.8032, 51.07673]"
10,AWD0003fwe,diary,235,3,1915-10-05 00:00:00 UTC,5 Oct 1915,Liphook,"[-0.8032, 51.07673]","",activity,movement,{},2644419,Liphook,"[-0.8032, 51.07673]"
11,AWD0003fwe,diary,235,3,1915-10-05 17:30:00 UTC,5 Oct 1915,Liphook,"[-0.8032, 51.07673]",0530PM,time,0530PM,{},2644419,Liphook,"[-0.8032, 51.07673]"
14,AWD0003fwe,diary,235,2,1915-10-05 17:30:00 UTC,5 Oct 1915,Liphook,"[-0.8032, 51.07673]",0530PM,place,Ostrohove,"{""place""=>[""Ostrohove""], ""location""=>[""false""], ""name""=>[""Boulogne-sur-Mer"", """"], ""lat""=>[""50.71667"", """"], ""long""=>[""1.61667"", """"], ""id""=>[""3031133"", """"]}",2644419,Liphook,"[-0.8032, 51.07673]"
15,AWD0003fwe,diary,235,6,1915-10-05 17:30:00 UTC,5 Oct 1915,Boulogne,"[1.61667, 50.71667]",0530PM,place,Boulogne,"{""place""=>[""Boulogne""], ""location""=>[""true""], ""name""=>[""Boulogne-sur-Mer""], ""lat""=>[""50.71667""], ""long""=>[""1.61667""], ""id""=>[""3031133""]}",3031862,Bologne,"[5.14209, 48.20004]"
16,AWD0003fwe,diary,235,3,1915-10-05 23:30:00 UTC,5 Oct 1915,Boulogne,"[1.61667, 50.71667]",1130PM,time,1130PM,{},3031862,Bologne,"[5.14209, 48.20004]"
