Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
2,AWD0003gah,diary,5,2,1915-10-01 00:00:00 UTC,1 Oct 1915,"","[0.0, 0.0]","",diaryDate,1 Oct 1915,"{""day""=>[""1""], ""month""=>[""Oct""], ""year""=>[""1915""]}",2985684,Pozières,"[2.72929, 50.04047]"
4,AWD0003gah,diary,5,4,1915-10-01 00:00:00 UTC,1 Oct 1915,Bramshott,"[0.0, 0.0]","",place,Bramshott,"{""place""=>[""Bramshott""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2654909,Bramshott,"[-0.79812, 51.0896]"
5,AWD0003gah,diary,5,4,1915-10-03 00:00:00 UTC,3 Oct 1915,Bramshott,"[0.0, 0.0]","",diaryDate,3 Oct 1915,"{""day""=>[""3""], ""month""=>[""Oct""], ""year""=>[""1915""]}",2654909,Bramshott,"[-0.79812, 51.0896]"
6,AWD0003gah,diary,5,2,1915-10-03 22:15:00 UTC,3 Oct 1915,Bramshott,"[0.0, 0.0]",1015PM,time,1015PM,{},2654909,Bramshott,"[-0.79812, 51.0896]"
7,AWD0003gah,diary,5,5,1915-10-03 22:15:00 UTC,3 Oct 1915,Bramshott,"[0.0, 0.0]",1015PM,person,Major H C J BISS,"{""first""=>[""H C J""], ""surname""=>[""BISS""], ""rank""=>[""Major""], ""number""=>[""""], ""reason""=>[""commander""], ""unit""=>[""""]}",2654909,Bramshott,"[-0.79812, 51.0896]"
8,AWD0003gah,diary,5,2,1915-10-03 22:15:00 UTC,3 Oct 1915,Bramshott,"[0.0, 0.0]",1015PM,activity,movement,{},2654909,Bramshott,"[-0.79812, 51.0896]"
10,AWD0003gah,diary,5,5,1915-10-04 00:00:00 UTC,4 Oct 1915,Bramshott,"[0.0, 0.0]","",diaryDate,4 Oct 1915,"{""day""=>[""4""], ""month""=>[""Oct""], ""year""=>[""1915""]}",2654909,Bramshott,"[-0.79812, 51.0896]"
11,AWD0003gah,diary,5,2,1915-10-04 00:15:00 UTC,4 Oct 1915,Bramshott,"[0.0, 0.0]",1215AM,time,1215AM,{},2654909,Bramshott,"[-0.79812, 51.0896]"
12,AWD0003gah,diary,5,5,1915-10-04 00:15:00 UTC,4 Oct 1915,Bramshott,"[0.0, 0.0]",1215AM,person,Captain C O SLACKE,"{""first""=>[""C O""], ""surname""=>[""SLACKE""], ""rank""=>[""Captain""], ""number""=>[""""], ""reason""=>[""commander""], ""unit""=>[""""]}",2654909,Bramshott,"[-0.79812, 51.0896]"
14,AWD0003gah,diary,5,3,1915-10-04 01:20:00 UTC,4 Oct 1915,Bramshott,"[0.0, 0.0]",0120AM,time,0120AM,{},2654909,Bramshott,"[-0.79812, 51.0896]"
15,AWD0003gah,diary,5,5,1915-10-04 01:20:00 UTC,4 Oct 1915,Bramshott,"[0.0, 0.0]",0120AM,person,Captain J W Harper,"{""first""=>[""J W""], ""surname""=>[""Harper""], ""rank""=>[""Captain""], ""number""=>[""""], ""reason""=>[""commander""], ""unit""=>[""""]}",2654909,Bramshott,"[-0.79812, 51.0896]"
16,AWD0003gah,diary,5,2,1915-10-04 00:00:00 UTC,4 Oct 1915,Bramshott,"[0.0, 0.0]","",diaryDate,4 Oct 1915,"{""day""=>[""4""], ""month""=>[""Oct""], ""year""=>[""1915""]}",2654909,Bramshott,"[-0.79812, 51.0896]"
17,AWD0003gah,diary,5,4,1915-10-04 00:00:00 UTC,4 Oct 1915,Southampton,"[-1.40428, 50.90395]","",place,Southampton,"{""place""=>[""Southampton""], ""location""=>[""true""], ""name""=>[""Southampton""], ""lat""=>[""50.90395""], ""long""=>[""-1.40428""], ""id""=>[""2637487""]}",2637487,Southampton,"[-1.40428, 50.90395]"
18,AWD0003gah,diary,5,2,1915-10-04 02:00:00 UTC,4 Oct 1915,Southampton,"[-1.40428, 50.90395]",0200AM,time,0200AM,{},2637487,Southampton,"[-1.40428, 50.90395]"
19,AWD0003gah,diary,5,5,1915-10-04 02:00:00 UTC,4 Oct 1915,Southampton,"[-1.40428, 50.90395]",0200AM,activity,movement,{},2637487,Southampton,"[-1.40428, 50.90395]"
24,AWD0003gah,diary,5,2,1915-10-04 00:00:00 UTC,4 Oct 1915,Southampton,"[-1.40428, 50.90395]","",diaryDate,4 Oct 1915,"{""day""=>[""4""], ""month""=>[""Oct""], ""year""=>[""1915""]}",2637487,Southampton,"[-1.40428, 50.90395]"
26,AWD0003gah,diary,5,2,1915-10-04 19:00:00 UTC,4 Oct 1915,Southampton,"[-1.40428, 50.90395]",0700PM,time,0700PM,{},2637487,Southampton,"[-1.40428, 50.90395]"
27,AWD0003gah,diary,5,5,1915-10-05 00:00:00 UTC,5 Oct 1915,Southampton,"[-1.40428, 50.90395]","",diaryDate,5 Oct 1915,"{""day""=>[""5""], ""month""=>[""Oct""], ""year""=>[""1915""]}",2637487,Southampton,"[-1.40428, 50.90395]"
28,AWD0003gah,diary,5,4,1915-10-05 00:00:00 UTC,5 Oct 1915,Le Havre,"[0.10767, 49.4938]","",place,Le Havre,"{""place""=>[""Le Havre""], ""location""=>[""true""], ""name""=>[""Le Havre""], ""lat""=>[""49.4938""], ""long""=>[""0.10767""], ""id""=>[""3003796""]}",3003796,Le Havre,"[0.10767, 49.4938]"
29,AWD0003gah,diary,5,3,1915-10-05 01:15:00 UTC,5 Oct 1915,Le Havre,"[0.10767, 49.4938]",0115AM,time,0115AM,{},3003796,Le Havre,"[0.10767, 49.4938]"
30,AWD0003gah,diary,5,3,1915-10-05 01:15:00 UTC,5 Oct 1915,Le Havre,"[0.10767, 49.4938]",0115AM,activity,movement,{},3003796,Le Havre,"[0.10767, 49.4938]"
33,AWD0003gah,diary,5,3,1915-10-05 06:30:00 UTC,5 Oct 1915,Le Havre,"[0.10767, 49.4938]",0630AM,time,0630AM,{},3003796,Le Havre,"[0.10767, 49.4938]"
34,AWD0003gah,diary,5,2,1915-10-05 06:30:00 UTC,5 Oct 1915,Le Havre,"[0.10767, 49.4938]",0630AM,activity,movement,{},3003796,Le Havre,"[0.10767, 49.4938]"
38,AWD0003gah,diary,5,2,1915-10-05 06:30:00 UTC,5 Oct 1915,Le Havre,"[0.10767, 49.4938]",0630AM,place,Rouen,"{""place""=>[""Rouen""], ""location""=>[""false"", ""true""], ""name""=>[""Rouen""], ""lat""=>[""49.44313""], ""long""=>[""1.09932""], ""id""=>[""2982652""]}",3003796,Le Havre,"[0.10767, 49.4938]"
39,AWD0003gah,diary,5,2,1915-10-05 06:30:00 UTC,5 Oct 1915,Le Havre,"[0.10767, 49.4938]",0630AM,place,"Aboucourt, Aboncourt","{""place""=>[""Aboucourt"", ""Aboncourt""], ""location""=>[""false"", ""true""], ""name""=>[""Rouen""], ""lat""=>[""49.44313""], ""long""=>[""1.09932""], ""id""=>[""2982652""]}",3003796,Le Havre,"[0.10767, 49.4938]"
40,AWD0003gah,diary,5,4,1915-10-05 06:30:00 UTC,5 Oct 1915,Le Havre,"[0.10767, 49.4938]",0630AM,place,Amiens,"{""place""=>[""Amiens""], ""location""=>[""true"", ""false""], ""name""=>[""Amiens""], ""lat""=>[""49.9""], ""long""=>[""2.3""], ""id""=>[""3037854""]}",3003796,Le Havre,"[0.10767, 49.4938]"
41,AWD0003gah,diary,5,3,1915-10-05 20:15:00 UTC,5 Oct 1915,Le Havre,"[0.10767, 49.4938]",0815PM,time,0815PM,{},3003796,Le Havre,"[0.10767, 49.4938]"
42,AWD0003gah,diary,5,4,1915-10-05 20:15:00 UTC,5 Oct 1915,Amiens,"[2.3, 49.9]",0815PM,place,Amiens,"{""place""=>[""Amiens""], ""location""=>[""true""], ""name""=>[""Amiens""], ""lat""=>[""49.9""], ""long""=>[""2.3""], ""id""=>[""3037854""]}",3037854,Amiens,"[2.3, 49.9]"
43,AWD0003gah,diary,5,4,1915-10-05 20:15:00 UTC,5 Oct 1915,Amiens,"[2.3, 49.9]",0815PM,activity,movement,{},3037854,Amiens,"[2.3, 49.9]"
44,AWD0003gah,diary,5,2,1915-10-05 20:15:00 UTC,5 Oct 1915,Amiens,"[2.3, 49.9]",0815PM,place,Poulainville,"{""place""=>[""Poulainville""], ""location""=>[""true"", ""false""], ""name""=>["""", ""Poulainville""], ""lat""=>["""", ""49.94745""], ""long""=>["""", ""2.31373""], ""id""=>["""", ""2985821""]}",3037854,Amiens,"[2.3, 49.9]"
45,AWD0003gah,diary,5,2,1915-10-05 00:00:00 UTC,5 Oct 1915,Amiens,"[2.3, 49.9]","",diaryDate,5 Oct 1915,"{""day""=>[""5""], ""month""=>[""Oct""], ""year""=>[""1915""]}",3037854,Amiens,"[2.3, 49.9]"
46,AWD0003gah,diary,5,4,1915-10-05 00:00:00 UTC,5 Oct 1915,Poulainville,"[2.31373, 49.94745]","",place,Poulainville,"{""place""=>[""Poulainville""], ""location""=>[""true""], ""name""=>[""Poulainville""], ""lat""=>[""49.94745""], ""long""=>[""2.31373""], ""id""=>[""2985821""]}",2985821,Poulainville,"[2.31373, 49.94746]"
47,AWD0003gah,diary,5,3,1915-10-05 23:30:00 UTC,5 Oct 1915,Poulainville,"[2.31373, 49.94745]",1130PM,time,1130PM,{},2985821,Poulainville,"[2.31373, 49.94746]"
48,AWD0003gah,diary,5,2,1915-10-05 23:30:00 UTC,5 Oct 1915,Poulainville,"[2.31373, 49.94745]",1130PM,place,Poulainville,"{""place""=>[""Poulainville""], ""location""=>[""true"", ""false""], ""name""=>[""Poulainville""], ""lat""=>[""49.94745""], ""long""=>[""2.31373""], ""id""=>[""2985821""]}",2985821,Poulainville,"[2.31373, 49.94746]"
51,AWD0003gah,diary,5,2,1915-10-05 23:30:00 UTC,5 Oct 1915,Poulainville,"[2.31373, 49.94745]",1130PM,domestic,accomodation,{},2985821,Poulainville,"[2.31373, 49.94746]"
1,AWD0003gi2,diary,6,4,1915-10-07 00:00:00 UTC,7 Oct 1915,Poulainville,"[2.31373, 49.94745]","",diaryDate,7 Oct 1915,"{""day""=>[""7""], ""month""=>[""Oct""], ""year""=>[""1915""]}",2985821,Poulainville,"[2.31373, 49.94746]"
2,AWD0003gi2,diary,6,4,1915-10-07 00:00:00 UTC,7 Oct 1915,Poulainville,"[2.31373, 49.94745]","",place,Poulainville,"{""place""=>[""Poulainville""], ""location""=>[""true""], ""name""=>[""Poulainville""], ""lat""=>[""49.94745""], ""long""=>[""2.31373""], ""id""=>[""2985821""]}",2985821,Poulainville,"[2.31373, 49.94746]"
3,AWD0003gi2,diary,6,3,1915-10-07 03:00:00 UTC,7 Oct 1915,Poulainville,"[2.31373, 49.94745]",0300AM,time,0300AM,{},2985821,Poulainville,"[2.31373, 49.94746]"
5,AWD0003gi2,diary,6,2,1915-10-07 03:00:00 UTC,7 Oct 1915,Poulainville,"[2.31373, 49.94745]",0300AM,domestic,accomodation,{},2985821,Poulainville,"[2.31373, 49.94746]"
6,AWD0003gi2,diary,6,2,1915-10-07 03:00:00 UTC,7 Oct 1915,Poulainville,"[2.31373, 49.94745]",0300AM,domestic,inspections,{},2985821,Poulainville,"[2.31373, 49.94746]"
7,AWD0003gi2,diary,6,2,1915-10-07 00:00:00 UTC,7 Oct 1915,Poulainville,"[2.31373, 49.94745]","",diaryDate,7 Oct 1915,"{""day""=>[""7""], ""month""=>[""Oct""], ""year""=>[""1915""]}",2985821,Poulainville,"[2.31373, 49.94746]"
8,AWD0003gi2,diary,6,2,1915-10-07 00:00:00 UTC,7 Oct 1915,Poulainville,"[2.31373, 49.94745]","",domestic,inspections,{},2985821,Poulainville,"[2.31373, 49.94746]"
9,AWD0003gi2,diary,6,2,1915-10-07 17:00:00 UTC,7 Oct 1915,Poulainville,"[2.31373, 49.94745]",0500PM,time,0500PM,{},2985821,Poulainville,"[2.31373, 49.94746]"
10,AWD0003gi2,diary,6,2,1915-10-07 17:00:00 UTC,7 Oct 1915,Poulainville,"[2.31373, 49.94745]",0500PM,place,Poulainville,"{""place""=>[""Poulainville""], ""location""=>[""true""], ""name""=>[""Poulainville""], ""lat""=>[""49.94745""], ""long""=>[""2.31373""], ""id""=>[""2985821""]}",2985821,Poulainville,"[2.31373, 49.94746]"
13,AWD0003gi2,diary,6,5,1915-10-08 00:00:00 UTC,8 Oct 1915,Poulainville,"[2.31373, 49.94745]","",diaryDate,8 Oct 1915,"{""day""=>[""8""], ""month""=>[""Oct""], ""year""=>[""1915""]}",2985821,Poulainville,"[2.31373, 49.94746]"
18,AWD0003gi2,diary,6,7,1915-10-08 00:00:00 UTC,8 Oct 1915,Poulainville,"[2.31373, 49.94745]","",domestic,inspections,{},2985821,Poulainville,"[2.31373, 49.94746]"
19,AWD0003gi2,diary,6,5,1915-10-09 00:00:00 UTC,9 Oct 1915,Poulainville,"[2.31373, 49.94745]","",diaryDate,9 Oct 1915,"{""day""=>[""9""], ""month""=>[""Oct""], ""year""=>[""1915""]}",2985821,Poulainville,"[2.31373, 49.94746]"
20,AWD0003gi2,diary,6,2,1915-10-09 00:00:00 UTC,9 Oct 1915,Poulainville,"[2.31373, 49.94745]","",place,Poulainville,"{""place""=>[""Poulainville""], ""location""=>[""true""], ""name""=>[""Poulainville""], ""lat""=>[""49.94745""], ""long""=>[""2.31373""], ""id""=>[""2985821""]}",2985821,Poulainville,"[2.31373, 49.94746]"
21,AWD0003gi2,diary,6,5,1915-10-10 00:00:00 UTC,10 Oct 1915,Poulainville,"[2.31373, 49.94745]","",diaryDate,10 Oct 1915,"{""day""=>[""10""], ""month""=>[""Oct""], ""year""=>[""1915""]}",2985821,Poulainville,"[2.31373, 49.94746]"
22,AWD0003gi2,diary,6,2,1915-10-10 00:00:00 UTC,10 Oct 1915,Poulainville,"[2.31373, 49.94745]","",domestic,religion,{},2985821,Poulainville,"[2.31373, 49.94746]"
23,AWD0003gi2,diary,6,5,1915-10-11 00:00:00 UTC,11 Oct 1915,Poulainville,"[2.31373, 49.94745]","",diaryDate,11 Oct 1915,"{""day""=>[""11""], ""month""=>[""Oct""], ""year""=>[""1915""]}",2985821,Poulainville,"[2.31373, 49.94746]"
24,AWD0003gi2,diary,6,2,1915-10-11 00:00:00 UTC,11 Oct 1915,Poulainville,"[2.31373, 49.94745]","",domestic,parades,{},2985821,Poulainville,"[2.31373, 49.94746]"
26,AWD0003gi2,diary,6,2,1915-10-11 00:00:00 UTC,11 Oct 1915,Poulainville,"[2.31373, 49.94745]","",activity,construction,{},2985821,Poulainville,"[2.31373, 49.94746]"
27,AWD0003gi2,diary,6,2,1915-10-11 00:00:00 UTC,11 Oct 1915,Poulainville,"[2.31373, 49.94745]","",domestic,hygiene,{},2985821,Poulainville,"[2.31373, 49.94746]"
28,AWD0003gi2,diary,6,5,1915-10-12 00:00:00 UTC,12 Oct 1915,Poulainville,"[2.31373, 49.94745]","",diaryDate,12 Oct 1915,"{""day""=>[""12""], ""month""=>[""Oct""], ""year""=>[""1915""]}",2985821,Poulainville,"[2.31373, 49.94746]"
30,AWD0003gi2,diary,6,3,1915-10-12 00:00:00 UTC,12 Oct 1915,Poulainville,"[2.31373, 49.94745]","",domestic,parades,{},2985821,Poulainville,"[2.31373, 49.94746]"
31,AWD0003gi2,diary,6,5,1915-10-13 00:00:00 UTC,13 Oct 1915,Poulainville,"[2.31373, 49.94745]","",diaryDate,13 Oct 1915,"{""day""=>[""13""], ""month""=>[""Oct""], ""year""=>[""1915""]}",2985821,Poulainville,"[2.31373, 49.94746]"
36,AWD0003gi2,diary,6,2,1915-10-13 00:00:00 UTC,13 Oct 1915,Poulainville,"[2.31373, 49.94745]","",place,Poulainville,"{""place""=>[""Poulainville""], ""location""=>[""true""], ""name""=>[""Poulainville""], ""lat""=>[""49.94745""], ""long""=>[""2.31373""], ""id""=>[""2985821""]}",2985821,Poulainville,"[2.31373, 49.94746]"
37,AWD0003gi2,diary,6,5,1915-10-14 00:00:00 UTC,14 Oct 1915,Poulainville,"[2.31373, 49.94745]","",diaryDate,14 Oct 1915,"{""day""=>[""14""], ""month""=>[""Oct""], ""year""=>[""1915""]}",2985821,Poulainville,"[2.31373, 49.94746]"
38,AWD0003gi2,diary,6,5,1915-10-14 00:00:00 UTC,14 Oct 1915,Poulainville,"[2.31373, 49.94745]","",domestic,parades,{},2985821,Poulainville,"[2.31373, 49.94746]"
39,AWD0003gi2,diary,6,5,1915-10-15 00:00:00 UTC,15 Oct 1915,Poulainville,"[2.31373, 49.94745]","",diaryDate,15 Oct 1915,"{""day""=>[""15""], ""month""=>[""Oct""], ""year""=>[""1915""]}",2985821,Poulainville,"[2.31373, 49.94746]"
40,AWD0003gi2,diary,6,2,1915-10-15 00:00:00 UTC,15 Oct 1915,Poulainville,"[2.31373, 49.94745]","",activity,training,{},2985821,Poulainville,"[2.31373, 49.94746]"
42,AWD0003gi2,diary,6,5,1915-10-16 00:00:00 UTC,16 Oct 1915,Poulainville,"[2.31373, 49.94745]","",diaryDate,16 Oct 1915,"{""day""=>[""16""], ""month""=>[""Oct""], ""year""=>[""1915""]}",2985821,Poulainville,"[2.31373, 49.94746]"
43,AWD0003gi2,diary,6,2,1915-10-16 00:00:00 UTC,16 Oct 1915,Poulainville,"[2.31373, 49.94745]","",place,Poulainville,"{""place""=>[""Poulainville""], ""location""=>[""true""], ""name""=>[""Poulainville""], ""lat""=>[""49.94745""], ""long""=>[""2.31373""], ""id""=>[""2985821""]}",2985821,Poulainville,"[2.31373, 49.94746]"
45,AWD0003gi2,diary,6,2,1915-10-16 00:00:00 UTC,16 Oct 1915,Poulainville,"[2.31373, 49.94745]","",activity,training,{},2985821,Poulainville,"[2.31373, 49.94746]"
1,AWD0003gg1,diary,7,5,1915-10-17 00:00:00 UTC,17 Oct 1915,Poulainville,"[2.31373, 49.94745]","",diaryDate,17 Oct 1915,"{""day""=>[""17""], ""month""=>[""Oct""], ""year""=>[""1915""]}",2985821,Poulainville,"[2.31373, 49.94746]"
2,AWD0003gg1,diary,7,5,1915-10-17 00:00:00 UTC,17 Oct 1915,Poulainville,"[2.31373, 49.94745]","",place,Poulainville,"{""place""=>[""Poulainville""], ""location""=>[""true""], ""name""=>[""Poulainville""], ""lat""=>[""49.94745""], ""long""=>[""2.31373""], ""id""=>[""2985821""]}",2985821,Poulainville,"[2.31373, 49.94746]"
3,AWD0003gg1,diary,7,2,1915-10-17 00:00:00 UTC,17 Oct 1915,Poulainville,"[2.31373, 49.94745]","",domestic,religion,{},2985821,Poulainville,"[2.31373, 49.94746]"
4,AWD0003gg1,diary,7,3,1915-10-17 00:00:00 UTC,17 Oct 1915,Poulainville,"[2.31373, 49.94745]","",domestic,parades,{},2985821,Poulainville,"[2.31373, 49.94746]"
7,AWD0003gg1,diary,7,3,1915-10-18 00:00:00 UTC,18 Oct 1915,Poulainville,"[2.31373, 49.94745]","",diaryDate,18 Oct 1915,"{""day""=>[""18""], ""month""=>[""Oct""], ""year""=>[""1915""]}",2985821,Poulainville,"[2.31373, 49.94746]"
9,AWD0003gg1,diary,7,3,1915-10-18 00:00:00 UTC,18 Oct 1915,Poulainville,"[2.31373, 49.94745]","",place,Amiens,"{""place""=>[""Amiens""], ""location""=>[""false""], ""name""=>[""Amiens""], ""lat""=>[""49.9""], ""long""=>[""2.3""], ""id""=>[""3037854""]}",2985821,Poulainville,"[2.31373, 49.94746]"
10,AWD0003gg1,diary,7,2,1915-10-18 00:00:00 UTC,18 Oct 1915,Poulainville,"[2.31373, 49.94745]","",diaryDate,18 Oct 1915,"{""day""=>[""18""], ""month""=>[""Oct""], ""year""=>[""1915""]}",2985821,Poulainville,"[2.31373, 49.94746]"
14,AWD0003gg1,diary,7,5,1915-10-19 00:00:00 UTC,19 Oct 1915,Poulainville,"[2.31373, 49.94745]","",diaryDate,19 Oct 1915,"{""day""=>[""19""], ""month""=>[""Oct""], ""year""=>[""1915""]}",2985821,Poulainville,"[2.31373, 49.94746]"
16,AWD0003gg1,diary,7,2,1915-10-19 00:00:00 UTC,19 Oct 1915,Poulainville,"[2.31373, 49.94745]","",domestic,parades,{},2985821,Poulainville,"[2.31373, 49.94746]"
17,AWD0003gg1,diary,7,5,1915-10-20 00:00:00 UTC,20 Oct 1915,Poulainville,"[2.31373, 49.94745]","",diaryDate,20 Oct 1915,"{""day""=>[""20""], ""month""=>[""Oct""], ""year""=>[""1915""]}",2985821,Poulainville,"[2.31373, 49.94746]"
18,AWD0003gg1,diary,7,5,1915-10-20 00:00:00 UTC,20 Oct 1915,Poulainville,"[2.31373, 49.94745]","",person,Major  BISS,"{""first""=>[""""], ""surname""=>[""BISS""], ""rank""=>[""Major""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""""]}",2985821,Poulainville,"[2.31373, 49.94746]"
