Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD0003hnj,diary,439,3,1916-04-24 00:00:00 UTC,24 Apr 1916,"","[0.0, 0.0]","",diaryDate,24 Apr 1916,"{""day""=>[""24""], ""month""=>[""Apr""], ""year""=>[""1916""]}",2985684,Pozières,"[2.72929, 50.04047]"
2,AWD0003hnj,diary,439,4,1916-04-24 00:00:00 UTC,24 Apr 1916,"Grantham, grantham","[-0.64184, 52.91149]","",place,"Grantham, grantham","{""place""=>[""Grantham"", ""grantham""], ""location""=>[""true""], ""name""=>[""Grantham""], ""lat""=>[""52.91149""], ""long""=>[""-0.64184""], ""id""=>[""2648208""]}",2648208,Grantham,"[-0.64184, 52.91149]"
3,AWD0003hnj,diary,439,2,1916-04-24 00:00:00 UTC,24 Apr 1916,"Grantham, grantham","[-0.64184, 52.91149]","",diaryDate,24 Apr 1916,"{""day""=>[""24""], ""month""=>[""Apr""], ""year""=>[""1916""]}",2648208,Grantham,"[-0.64184, 52.91149]"
5,AWD0003hnj,diary,439,2,1916-04-24 00:00:00 UTC,24 Apr 1916,"Grantham, grantham","[-0.64184, 52.91149]","",strength,"officer: 10, other: 143",{},2648208,Grantham,"[-0.64184, 52.91149]"
6,AWD0003hnj,diary,439,7,1916-04-24 00:00:00 UTC,24 Apr 1916,"Grantham, grantham","[-0.64184, 52.91149]","",person,Major J S Harper,"{""first""=>[""J S""], ""surname""=>[""Harper""], ""rank""=>[""Major""], ""number""=>[""""], ""reason""=>[""promotion""], ""unit""=>[""""]}",2648208,Grantham,"[-0.64184, 52.91149]"
7,AWD0003hnj,diary,439,5,1916-04-24 00:00:00 UTC,24 Apr 1916,"Grantham, grantham","[-0.64184, 52.91149]","",person,Second Lieutenant E Clifford,"{""first""=>[""E""], ""surname""=>[""Clifford""], ""rank""=>[""Second Lieutenant""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""""]}",2648208,Grantham,"[-0.64184, 52.91149]"
8,AWD0003hnj,diary,439,5,1916-04-24 00:00:00 UTC,24 Apr 1916,"Grantham, grantham","[-0.64184, 52.91149]","",person,Second Lieutenant J G Cregan,"{""first""=>[""J G""], ""surname""=>[""Cregan""], ""rank""=>[""Second Lieutenant""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""""]}",2648208,Grantham,"[-0.64184, 52.91149]"
9,AWD0003hnj,diary,439,5,1916-04-24 00:00:00 UTC,24 Apr 1916,"Grantham, grantham","[-0.64184, 52.91149]","",person,Second Lieutenant J Swaffield,"{""first""=>[""J""], ""surname""=>[""Swaffield""], ""rank""=>[""Second Lieutenant""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""""]}",2648208,Grantham,"[-0.64184, 52.91149]"
11,AWD0003hnj,diary,439,5,1916-04-24 00:00:00 UTC,24 Apr 1916,"Grantham, grantham","[-0.64184, 52.91149]","",person,Second Lieutenant L Cherry,"{""first""=>[""L""], ""surname""=>[""Cherry""], ""rank""=>[""Second Lieutenant""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""""]}",2648208,Grantham,"[-0.64184, 52.91149]"
12,AWD0003hnj,diary,439,5,1916-04-24 00:00:00 UTC,24 Apr 1916,"Grantham, grantham","[-0.64184, 52.91149]","",person,Second Lieutenant F Hadley,"{""first""=>[""F""], ""surname""=>[""Hadley""], ""rank""=>[""Second Lieutenant""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""""]}",2648208,Grantham,"[-0.64184, 52.91149]"
