Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD0003hsp,diary,2,6,1915-12-11 00:00:00 UTC,11 Dec 1915,"","[0.0, 0.0]","",diaryDate,11 Dec 1915,"{""day""=>[""11""], ""month""=>[""Dec""], ""year""=>[""1915""]}",2985684,Pozières,"[2.72929, 50.04047]"
2,AWD0003hsp,diary,2,7,1915-12-11 00:00:00 UTC,11 Dec 1915,Blackdown,"[-2.7407, 51.31205]","",place,Blackdown,"{""place""=>[""Blackdown""], ""location""=>[""true""], ""name""=>[""Blackdown""], ""lat""=>[""51.31205""], ""long""=>[""-2.7407""], ""id""=>[""6619490""]}",6619490,Blackdown,"[-2.7407, 51.31205]"
4,AWD0003hsp,diary,2,4,1915-12-11 11:00:00 UTC,11 Dec 1915,Blackdown,"[-2.7407, 51.31205]",1100AM,time,1100AM,{},6619490,Blackdown,"[-2.7407, 51.31205]"
5,AWD0003hsp,diary,2,4,1915-12-11 11:00:00 UTC,11 Dec 1915,Blackdown,"[-2.7407, 51.31205]",1100AM,activity,movement,{},6619490,Blackdown,"[-2.7407, 51.31205]"
6,AWD0003hsp,diary,2,2,1915-12-11 11:00:00 UTC,11 Dec 1915,Blackdown,"[-2.7407, 51.31205]",1100AM,activity,other,{},6619490,Blackdown,"[-2.7407, 51.31205]"
9,AWD0003hsp,diary,2,6,1915-12-11 11:00:00 UTC,11 Dec 1915,Blackdown,"[-2.7407, 51.31205]",1100AM,place,Blackdown,"{""place""=>[""Blackdown""], ""location""=>[""true""], ""name""=>[""Blackdown"", """"], ""lat""=>[""51.31205"", """"], ""long""=>[""-2.7407"", """"], ""id""=>[""6619490"", """"]}",6619490,Blackdown,"[-2.7407, 51.31205]"
10,AWD0003hsp,diary,2,7,1915-12-12 00:00:00 UTC,12 Dec 1915,Blackdown,"[-2.7407, 51.31205]","",diaryDate,12 Dec 1915,"{""day""=>[""12""], ""month""=>[""Dec""], ""year""=>[""1915""]}",6619490,Blackdown,"[-2.7407, 51.31205]"
12,AWD0003hsp,diary,2,4,1915-12-12 10:00:00 UTC,12 Dec 1915,Blackdown,"[-2.7407, 51.31205]",1000AM,time,1000AM,{},6619490,Blackdown,"[-2.7407, 51.31205]"
13,AWD0003hsp,diary,2,7,1915-12-12 10:00:00 UTC,12 Dec 1915,Blackdown,"[-2.7407, 51.31205]",1000AM,person,Lieutenant F S Thompson,"{""first""=>[""F S""], ""surname""=>[""Thompson""], ""rank""=>[""Lieutenant""], ""number""=>[""""], ""reason""=>[""commander""], ""unit""=>[""""]}",6619490,Blackdown,"[-2.7407, 51.31205]"
16,AWD0003hsp,diary,2,4,1915-12-12 10:00:00 UTC,12 Dec 1915,Havres,"[0.0, 0.0]",1000AM,place,Havres,"{""place""=>[""Havres""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
18,AWD0003hsp,diary,2,6,1915-12-19 00:00:00 UTC,19 Dec 1915,Havres,"[0.0, 0.0]","",diaryDate,19 Dec 1915,"{""day""=>[""19""], ""month""=>[""Dec""], ""year""=>[""1915""]}",,,
19,AWD0003hsp,diary,2,6,1915-12-19 00:00:00 UTC,19 Dec 1915,Blackdown,"[-2.7407, 51.31205]","",place,Blackdown,"{""place""=>[""Blackdown""], ""location""=>[""true""], ""name""=>[""Blackdown"", """"], ""lat""=>[""51.31205"", """"], ""long""=>[""-2.7407"", """"], ""id""=>[""6619490"", """"]}",6619490,Blackdown,"[-2.7407, 51.31205]"
20,AWD0003hsp,diary,2,6,1915-12-19 00:00:00 UTC,19 Dec 1915,Blackdown,"[-2.7407, 51.31205]","",activity,movement,{},6619490,Blackdown,"[-2.7407, 51.31205]"
