Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
2,AWD0003jc1,diary,651,4,1917-09-01 00:00:00 UTC,1 Sep 1917,"","[0.0, 0.0]","",diaryDate,1 Sep 1917,"{""day""=>[""1""], ""month""=>[""Sep""], ""year""=>[""1917""]}",2985684,Pozières,"[2.72929, 50.04047]"
3,AWD0003jc1,diary,651,4,1917-09-01 00:00:00 UTC,1 Sep 1917,Ervillers,"[2.82441, 50.16123]","",place,Ervillers,"{""place""=>[""Ervillers""], ""location""=>[""true""], ""name""=>[""Ervillers""], ""lat""=>[""50.16123""], ""long""=>[""2.82441""], ""id""=>[""3019859""]}",3019859,Ervillers,"[2.82441, 50.16123]"
5,AWD0003jc1,diary,651,4,1917-09-01 00:00:00 UTC,1 Sep 1917,Ervillers,"[2.82441, 50.16123]","",activity,reserve,{},3019859,Ervillers,"[2.82441, 50.16123]"
6,AWD0003jc1,diary,651,4,1917-09-02 00:00:00 UTC,2 Sep 1917,Ervillers,"[2.82441, 50.16123]","",diaryDate,2 Sep 1917,"{""day""=>[""2""], ""month""=>[""Sep""], ""year""=>[""1917""]}",3019859,Ervillers,"[2.82441, 50.16123]"
7,AWD0003jc1,diary,651,5,1917-09-02 00:00:00 UTC,2 Sep 1917,Ervillers,"[2.82441, 50.16123]","",person,Lieutenant Colonel H N Young,"{""first""=>[""H N""], ""surname""=>[""Young""], ""rank""=>[""Lieutenant Colonel""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""""]}",3019859,Ervillers,"[2.82441, 50.16123]"
9,AWD0003jc1,diary,651,2,1917-09-02 00:00:00 UTC,2 Sep 1917,Ervillers,"[2.82441, 50.16123]","",person,"Lieutenant Colonel,Lieutenant H,H N Young","{""first""=>[""H"", ""H N""], ""surname""=>[""Young""], ""rank""=>[""Lieutenant Colonel"", ""Lieutenant""], ""number""=>[""""], ""reason""=>[""commander"", ""other""], ""unit""=>[""""]}",3019859,Ervillers,"[2.82441, 50.16123]"
10,AWD0003jc1,diary,651,2,1917-09-02 00:00:00 UTC,2 Sep 1917,Ervillers,"[2.82441, 50.16123]","",activity,repair,{},3019859,Ervillers,"[2.82441, 50.16123]"
1,AWD0003j9y,diary,652,4,1917-09-04 00:00:00 UTC,4 Sep 1917,Ervillers,"[2.82441, 50.16123]","",diaryDate,4 Sep 1917,"{""day""=>[""4""], ""month""=>[""Sep""], ""year""=>[""1917""]}",3019859,Ervillers,"[2.82441, 50.16123]"
2,AWD0003j9y,diary,652,2,1917-09-04 00:00:00 UTC,4 Sep 1917,Ervillers,"[2.82441, 50.16123]","",place,Ervillers,"{""place""=>[""Ervillers""], ""location""=>[""true""], ""name""=>[""Ervillers"", """"], ""lat""=>[""50.16123"", """"], ""long""=>[""2.82441"", """"], ""id""=>[""3019859"", """"]}",3019859,Ervillers,"[2.82441, 50.16123]"
5,AWD0003j9y,diary,652,2,1917-09-04 00:00:00 UTC,4 Sep 1917,Ervillers,"[2.82441, 50.16123]","",diaryDate,4 Sep 1917,"{""day""=>[""4""], ""month""=>[""Sep""], ""year""=>[""1917""]}",3019859,Ervillers,"[2.82441, 50.16123]"
6,AWD0003j9y,diary,652,2,1917-09-04 00:00:00 UTC,4 Sep 1917,Ervillers,"[2.82441, 50.16123]","",person,"Lieutenant Colonel ,H N Young","{""first""=>["""", ""H N""], ""surname""=>[""Young""], ""rank""=>[""Lieutenant Colonel""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>["""", ""7/8th Battalion Royal Inniskilling Fusiliers""]}",3019859,Ervillers,"[2.82441, 50.16123]"
7,AWD0003j9y,diary,652,5,1917-09-04 00:00:00 UTC,4 Sep 1917,Ervillers,"[2.82441, 50.16123]","",person,Major R G Kerr,"{""first""=>[""R G""], ""surname""=>[""Kerr""], ""rank""=>[""Major""], ""number""=>[""""], ""reason""=>[""commander""], ""unit""=>[""""]}",3019859,Ervillers,"[2.82441, 50.16123]"
8,AWD0003j9y,diary,652,2,1917-09-04 00:00:00 UTC,4 Sep 1917,Ervillers,"[2.82441, 50.16123]","",unit,9th Royal Dublin Fusiliers,"{""name""=>[""9th Royal Dublin Fusiliers""], ""context""=>[""relieved"", ""relieved_by""]}",3019859,Ervillers,"[2.82441, 50.16123]"
17,AWD0003j9y,diary,652,3,1917-09-06 00:00:00 UTC,6 Sep 1917,Ervillers,"[2.82441, 50.16123]","",diaryDate,6 Sep 1917,"{""day""=>[""6""], ""month""=>[""Sep""], ""year""=>[""1917""]}",3019859,Ervillers,"[2.82441, 50.16123]"
18,AWD0003j9y,diary,652,2,1917-09-06 00:00:00 UTC,6 Sep 1917,Ervillers,"[2.82441, 50.16123]","",activity,movement,{},3019859,Ervillers,"[2.82441, 50.16123]"
19,AWD0003j9y,diary,652,3,1917-09-10 00:00:00 UTC,10 Sep 1917,Ervillers,"[2.82441, 50.16123]","",diaryDate,10 Sep 1917,"{""day""=>[""10""], ""month""=>[""Sep""], ""year""=>[""1917""]}",3019859,Ervillers,"[2.82441, 50.16123]"
23,AWD0003j9y,diary,652,2,1917-09-10 00:00:00 UTC,10 Sep 1917,Ervillers,"[2.82441, 50.16123]","",activity,line,{},3019859,Ervillers,"[2.82441, 50.16123]"
26,AWD0003j9y,diary,652,3,1917-09-16 00:00:00 UTC,16 Sep 1917,Ervillers,"[2.82441, 50.16123]","",diaryDate,16 Sep 1917,"{""day""=>[""16""], ""month""=>[""Sep""], ""year""=>[""1917""]}",3019859,Ervillers,"[2.82441, 50.16123]"
28,AWD0003j9y,diary,652,2,1917-09-16 00:00:00 UTC,16 Sep 1917,Ervillers,"[2.82441, 50.16123]","",unit,"9th Royal Dubin Fusiliers, 9th Royal Dublin Fusiliers","{""name""=>[""9th Royal Dubin Fusiliers"", ""9th Royal Dublin Fusiliers""], ""context""=>[""relieved_by""]}",3019859,Ervillers,"[2.82441, 50.16123]"
31,AWD0003j9y,diary,652,2,1917-09-16 00:00:00 UTC,16 Sep 1917,Ervillers,"[2.82441, 50.16123]","",activity,reserve,{},3019859,Ervillers,"[2.82441, 50.16123]"
2,AWD0003j9l,diary,653,4,1917-09-16 00:00:00 UTC,16 Sep 1917,Ervillers,"[2.82441, 50.16123]","",diaryDate,16 Sep 1917,"{""day""=>[""16""], ""month""=>[""Sep""], ""year""=>[""1917""]}",3019859,Ervillers,"[2.82441, 50.16123]"
3,AWD0003j9l,diary,653,4,1917-09-16 00:00:00 UTC,16 Sep 1917,Ervillers,"[2.82441, 50.16123]","",place,Ervillers,"{""place""=>[""Ervillers""], ""location""=>[""true""], ""name""=>[""Ervillers""], ""lat""=>[""50.16123""], ""long""=>[""2.82441""], ""id""=>[""3019859""]}",3019859,Ervillers,"[2.82441, 50.16123]"
5,AWD0003j9l,diary,653,4,1917-09-28 00:00:00 UTC,28 Sep 1917,Ervillers,"[2.82441, 50.16123]","",diaryDate,28 Sep 1917,"{""day""=>[""28""], ""month""=>[""Sep""], ""year""=>[""1917""]}",3019859,Ervillers,"[2.82441, 50.16123]"
10,AWD0003j9l,diary,653,2,1917-09-28 00:00:00 UTC,28 Sep 1917,Ervillers,"[2.82441, 50.16123]","",unit,"9th Royal Dubin Fusiliers, 9th Royal Dublin Fusiliers","{""name""=>[""9th Royal Dubin Fusiliers"", ""9th Royal Dublin Fusiliers""], ""context""=>[""relieved"", ""relieved_by""]}",3019859,Ervillers,"[2.82441, 50.16123]"
3,AWD0003jc0,diary,655,2,,"10 ,Oct , 1917",Ervillers,"[2.82441, 50.16123]","",diaryDate,"10 ,Oct , 1917","{""day""=>[""10""], ""month""=>[nil, ""Oct""], ""year""=>[nil, ""1917""]}",3019859,Ervillers,"[2.82441, 50.16123]"
4,AWD0003jc0,diary,655,2,,"10 ,Oct , 1917",Ervillers,"[2.82441, 50.16123]","",activity,support,{},3019859,Ervillers,"[2.82441, 50.16123]"
10,AWD0003jc0,diary,655,2,,"10 ,Oct , 1917",Ervillers,"[2.82441, 50.16123]","",unit,2nd Royal Irish Regt,"{""name""=>[""2nd Royal Irish Regt""], ""context""=>[""relieved""]}",3019859,Ervillers,"[2.82441, 50.16123]"
