Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD0003jfx,diary,3,4,1916-02-01 00:00:00 UTC,1 Feb 1916,"","[0.0, 0.0]","",diaryDate,1 Feb 1916,"{""day""=>[""1""], ""month""=>[""Feb""], ""year""=>[""1916""]}",2985684,Pozières,"[2.72929, 50.04047]"
2,AWD0003jfx,diary,3,4,1916-02-01 00:00:00 UTC,1 Feb 1916,Bordon,"[-0.86245, 51.11357]","",place,Bordon,"{""place""=>[""Bordon""], ""location""=>[""true""], ""name""=>[""Bordon""], ""lat""=>[""51.11357""], ""long""=>[""-0.86245""], ""id""=>[""6693242""]}",6693242,Bordon,"[-0.86245, 51.11357]"
4,AWD0003jfx,diary,3,3,1916-02-15 00:00:00 UTC,15 Feb 1916,Bordon,"[-0.86245, 51.11357]","",diaryDate,15 Feb 1916,"{""day""=>[""15""], ""month""=>[""Feb""], ""year""=>[""1916""]}",6693242,Bordon,"[-0.86245, 51.11357]"
6,AWD0003jfx,diary,3,5,1916-02-15 00:00:00 UTC,15 Feb 1916,Bordon,"[-0.86245, 51.11357]","",activity,movement,{},6693242,Bordon,"[-0.86245, 51.11357]"
7,AWD0003jfx,diary,3,2,1916-02-15 00:00:00 UTC,15 Feb 1916,Bordon,"[-0.86245, 51.11357]","",place,Southampton,"{""place""=>[""Southampton""], ""location""=>[""false"", ""true""], ""name""=>[""Southampton""], ""lat""=>[""50.90395""], ""long""=>[""-1.40428""], ""id""=>[""2637487""]}",6693242,Bordon,"[-0.86245, 51.11357]"
8,AWD0003jfx,diary,3,4,1916-02-17 00:00:00 UTC,17 Feb 1916,Bordon,"[-0.86245, 51.11357]","",diaryDate,17 Feb 1916,"{""day""=>[""17""], ""month""=>[""Feb""], ""year""=>[""1916""]}",6693242,Bordon,"[-0.86245, 51.11357]"
10,AWD0003jfx,diary,3,2,1916-02-17 00:00:00 UTC,17 Feb 1916,Bordon,"[-0.86245, 51.11357]","",activity,movement,{},6693242,Bordon,"[-0.86245, 51.11357]"
11,AWD0003jfx,diary,3,4,1916-02-18 00:00:00 UTC,18 Feb 1916,Bordon,"[-0.86245, 51.11357]","",diaryDate,18 Feb 1916,"{""day""=>[""18""], ""month""=>[""Feb""], ""year""=>[""1916""]}",6693242,Bordon,"[-0.86245, 51.11357]"
12,AWD0003jfx,diary,3,2,1916-02-18 15:00:00 UTC,18 Feb 1916,Bordon,"[-0.86245, 51.11357]",0300PM,time,0300PM,{},6693242,Bordon,"[-0.86245, 51.11357]"
14,AWD0003jfx,diary,3,4,1916-02-18 15:00:00 UTC,18 Feb 1916,Southampton,"[-1.40428, 50.90395]",0300PM,place,Southampton,"{""place""=>[""Southampton""], ""location""=>[""true""], ""name""=>[""Southampton""], ""lat""=>[""50.90395""], ""long""=>[""-1.40428""], ""id""=>[""2637487""]}",2637487,Southampton,"[-1.40428, 50.90395]"
