Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD0003jh6,cover,2,2,,,,[],,diaryDate,"1 Feb,Dec 1916","{""day""=>[""1""], ""month""=>[""Feb"", ""Dec""], ""year""=>[""1916""]}",,,
1,AWD0003jgp,diary,3,4,1916-02-01 00:00:00 UTC,1 Feb 1916,"","[0.0, 0.0]","",diaryDate,1 Feb 1916,"{""day""=>[""1""], ""month""=>[""Feb""], ""year""=>[""1916""]}",2985684,Pozières,"[2.72929, 50.04047]"
2,AWD0003jgp,diary,3,4,1916-02-01 00:00:00 UTC,1 Feb 1916,Bordon,"[-0.86245, 51.11357]","",place,Bordon,"{""place""=>[""Bordon""], ""location""=>[""true""], ""name""=>[""Bordon""], ""lat""=>[""51.11357""], ""long""=>[""-0.86245""], ""id""=>[""6693242""]}",6693242,Bordon,"[-0.86245, 51.11357]"
3,AWD0003jgp,diary,3,3,1916-02-01 00:00:00 UTC,1 Feb 1916,Bordon,"[-0.86245, 51.11357]","",activity,movement,{},6693242,Bordon,"[-0.86245, 51.11357]"
4,AWD0003jgp,diary,3,2,1916-02-02 00:00:00 UTC,2 Feb 1916,Bordon,"[-0.86245, 51.11357]","",diaryDate,2 Feb 1916,"{""day""=>[""2""], ""month""=>[""Feb""], ""year""=>[""1916""]}",6693242,Bordon,"[-0.86245, 51.11357]"
5,AWD0003jgp,diary,3,2,1916-02-03 00:00:00 UTC,3 Feb 1916,Bordon,"[-0.86245, 51.11357]","",diaryDate,3 Feb 1916,"{""day""=>[""3""], ""month""=>[""Feb""], ""year""=>[""1916""]}",6693242,Bordon,"[-0.86245, 51.11357]"
6,AWD0003jgp,diary,3,2,1916-02-04 00:00:00 UTC,4 Feb 1916,Bordon,"[-0.86245, 51.11357]","",diaryDate,4 Feb 1916,"{""day""=>[""4""], ""month""=>[""Feb""], ""year""=>[""1916""]}",6693242,Bordon,"[-0.86245, 51.11357]"
7,AWD0003jgp,diary,3,2,1916-02-05 00:00:00 UTC,5 Feb 1916,Bordon,"[-0.86245, 51.11357]","",diaryDate,5 Feb 1916,"{""day""=>[""5""], ""month""=>[""Feb""], ""year""=>[""1916""]}",6693242,Bordon,"[-0.86245, 51.11357]"
8,AWD0003jgp,diary,3,2,1916-02-06 00:00:00 UTC,6 Feb 1916,Bordon,"[-0.86245, 51.11357]","",diaryDate,6 Feb 1916,"{""day""=>[""6""], ""month""=>[""Feb""], ""year""=>[""1916""]}",6693242,Bordon,"[-0.86245, 51.11357]"
9,AWD0003jgp,diary,3,2,1916-02-07 00:00:00 UTC,7 Feb 1916,Bordon,"[-0.86245, 51.11357]","",diaryDate,7 Feb 1916,"{""day""=>[""7""], ""month""=>[""Feb""], ""year""=>[""1916""]}",6693242,Bordon,"[-0.86245, 51.11357]"
