Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD0003la7,diary,138,4,1917-01-01 00:00:00 UTC,1 Jan 1917,"","[0.0, 0.0]","",diaryDate,1 Jan 1917,"{""day""=>[""1""], ""month""=>[""Jan""], ""year""=>[""1917""]}",2985684,Pozières,"[2.72929, 50.04047]"
3,AWD0003la7,diary,138,6,1917-01-01 00:00:00 UTC,1 Jan 1917,Regnauville,"[2.01667, 50.31667]","",place,Regnauville,"{""place""=>[""Regnauville""], ""location""=>[""true""], ""name""=>[""Regnauville""], ""lat""=>[""50.31667""], ""long""=>[""2.01667""], ""id""=>[""2984165""]}",2984165,Regnauville,"[2.01667, 50.31667]"
4,AWD0003la7,diary,138,6,1917-01-01 00:00:00 UTC,1 Jan 1917,Regnauville,"[2.01667, 50.31667]","",place,Hesdin,"{""place""=>[""Hesdin""], ""location""=>[""false""], ""name""=>[""Hesdin""], ""lat""=>[""50.37349""], ""long""=>[""2.0382""], ""id""=>[""3013365""]}",2984165,Regnauville,"[2.01667, 50.31667]"
5,AWD0003la7,diary,138,4,1917-01-01 00:00:00 UTC,1 Jan 1917,Regnauville,"[2.01667, 50.31667]","",person,Lieutenant  Holding,"{""first""=>[""""], ""surname""=>[""Holding""], ""rank""=>[""Lieutenant""], ""number""=>[""""], ""reason""=>[""returned_leave""], ""unit""=>[""""]}",2984165,Regnauville,"[2.01667, 50.31667]"
6,AWD0003la7,diary,138,4,1917-01-02 00:00:00 UTC,2 Jan 1917,Regnauville,"[2.01667, 50.31667]","",diaryDate,2 Jan 1917,"{""day""=>[""2""], ""month""=>[""Jan""], ""year""=>[""1917""]}",2984165,Regnauville,"[2.01667, 50.31667]"
8,AWD0003la7,diary,138,2,1917-01-03 00:00:00 UTC,3 Jan 1917,Regnauville,"[2.01667, 50.31667]","",diaryDate,3 Jan 1917,"{""day""=>[""3""], ""month""=>[""Jan""], ""year""=>[""1917""]}",2984165,Regnauville,"[2.01667, 50.31667]"
9,AWD0003la7,diary,138,2,1917-01-03 00:00:00 UTC,3 Jan 1917,Regnauville,"[2.01667, 50.31667]","",activity,other,{},2984165,Regnauville,"[2.01667, 50.31667]"
10,AWD0003la7,diary,138,2,1917-01-03 00:00:00 UTC,3 Jan 1917,Regnauville,"[2.01667, 50.31667]","",diaryDate,3 Jan 1917,"{""day""=>[""3""], ""month""=>[""Jan""], ""year""=>[""1917""]}",2984165,Regnauville,"[2.01667, 50.31667]"
11,AWD0003la7,diary,138,2,1917-01-03 00:00:00 UTC,3 Jan 1917,Regnauville,"[2.01667, 50.31667]","",place,Regnauville,"{""place""=>[""Regnauville""], ""location""=>[""true""], ""name""=>[""Regnauville""], ""lat""=>[""50.31667""], ""long""=>[""2.01667""], ""id""=>[""2984165""]}",2984165,Regnauville,"[2.01667, 50.31667]"
12,AWD0003la7,diary,138,6,1917-01-03 00:00:00 UTC,3 Jan 1917,Regnauville,"[2.01667, 50.31667]","",place,Hesdin,"{""place""=>[""Hesdin""], ""location""=>[""false""], ""name""=>[""Hesdin""], ""lat""=>[""50.37349""], ""long""=>[""2.0382""], ""id""=>[""3013365""]}",2984165,Regnauville,"[2.01667, 50.31667]"
14,AWD0003la7,diary,138,4,1917-01-04 00:00:00 UTC,4 Jan 1917,Regnauville,"[2.01667, 50.31667]","",diaryDate,4 Jan 1917,"{""day""=>[""4""], ""month""=>[""Jan""], ""year""=>[""1917""]}",2984165,Regnauville,"[2.01667, 50.31667]"
16,AWD0003la7,diary,138,4,1917-01-05 00:00:00 UTC,5 Jan 1917,Regnauville,"[2.01667, 50.31667]","",diaryDate,5 Jan 1917,"{""day""=>[""5""], ""month""=>[""Jan""], ""year""=>[""1917""]}",2984165,Regnauville,"[2.01667, 50.31667]"
19,AWD0003la7,diary,138,4,1917-01-05 00:00:00 UTC,5 Jan 1917,Regnauville,"[2.01667, 50.31667]","",place,Hesdin,"{""place""=>[""Hesdin""], ""location""=>[""false""], ""name""=>[""Hesdin""], ""lat""=>[""50.37349""], ""long""=>[""2.0382""], ""id""=>[""3013365""]}",2984165,Regnauville,"[2.01667, 50.31667]"
20,AWD0003la7,diary,138,4,1917-01-06 00:00:00 UTC,6 Jan 1917,Regnauville,"[2.01667, 50.31667]","",diaryDate,6 Jan 1917,"{""day""=>[""6""], ""month""=>[""Jan""], ""year""=>[""1917""]}",2984165,Regnauville,"[2.01667, 50.31667]"
22,AWD0003la7,diary,138,2,1917-01-06 00:00:00 UTC,6 Jan 1917,Regnauville,"[2.01667, 50.31667]","",place,Hesdin,"{""place""=>[""Hesdin""], ""location""=>[""false""], ""name""=>[""Hesdin""], ""lat""=>[""50.37349""], ""long""=>[""2.0382""], ""id""=>[""3013365""]}",2984165,Regnauville,"[2.01667, 50.31667]"
24,AWD0003la7,diary,138,3,1917-01-06 00:00:00 UTC,6 Jan 1917,Regnauville,"[2.01667, 50.31667]","",place,Savy,"{""place""=>[""Savy""], ""location""=>[""false""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2984165,Regnauville,"[2.01667, 50.31667]"
25,AWD0003la7,diary,138,4,1917-01-07 00:00:00 UTC,7 Jan 1917,Regnauville,"[2.01667, 50.31667]","",diaryDate,7 Jan 1917,"{""day""=>[""7""], ""month""=>[""Jan""], ""year""=>[""1917""]}",2984165,Regnauville,"[2.01667, 50.31667]"
26,AWD0003la7,diary,138,3,1917-01-07 00:00:00 UTC,7 Jan 1917,Regnauville,"[2.01667, 50.31667]","",place,Hesdin,"{""place""=>[""Hesdin""], ""location""=>[""false""], ""name""=>[""Hesdin""], ""lat""=>[""50.37349""], ""long""=>[""2.0382""], ""id""=>[""3013365""]}",2984165,Regnauville,"[2.01667, 50.31667]"
27,AWD0003la7,diary,138,3,1917-01-07 00:00:00 UTC,7 Jan 1917,Regnauville,"[2.01667, 50.31667]","",unit,3rd Canadian Division,"{""name""=>[""3rd Canadian Division""], ""context""=>[""other""]}",2984165,Regnauville,"[2.01667, 50.31667]"
30,AWD0003la7,diary,138,4,1917-01-07 00:00:00 UTC,7 Jan 1917,Regnauville,"[2.01667, 50.31667]","",person,Captain  Birch,"{""first""=>[""""], ""surname""=>[""Birch""], ""rank""=>[""Captain""], ""number""=>[""""], ""reason""=>[""returned_leave""], ""unit""=>[""""]}",2984165,Regnauville,"[2.01667, 50.31667]"
31,AWD0003la7,diary,138,4,1917-01-08 00:00:00 UTC,8 Jan 1917,Regnauville,"[2.01667, 50.31667]","",diaryDate,8 Jan 1917,"{""day""=>[""8""], ""month""=>[""Jan""], ""year""=>[""1917""]}",2984165,Regnauville,"[2.01667, 50.31667]"
33,AWD0003la7,diary,138,3,1917-01-08 00:00:00 UTC,8 Jan 1917,Regnauville,"[2.01667, 50.31667]","",place,Hesdin,"{""place""=>[""Hesdin""], ""location""=>[""false""], ""name""=>[""Hesdin""], ""lat""=>[""50.37349""], ""long""=>[""2.0382""], ""id""=>[""3013365""]}",2984165,Regnauville,"[2.01667, 50.31667]"
35,AWD0003la7,diary,138,2,1917-01-08 00:00:00 UTC,8 Jan 1917,Regnauville,"[2.01667, 50.31667]","",place,Regnauville,"{""place""=>[""Regnauville""], ""location""=>[""false""], ""name""=>[""Regnauville""], ""lat""=>[""50.31667""], ""long""=>[""2.01667""], ""id""=>[""2984165""]}",2984165,Regnauville,"[2.01667, 50.31667]"
