Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD0003lf3,diary,270,5,1917-08-01 00:00:00 UTC,1 Aug 1917,"","[0.0, 0.0]","",diaryDate,1 Aug 1917,"{""day""=>[""1""], ""month""=>[""Aug""], ""year""=>[""1917""]}",2985684,Pozières,"[2.72929, 50.04047]"
2,AWD0003lf3,diary,270,6,1917-08-01 00:00:00 UTC,1 Aug 1917,Frevent,"[2.28725, 50.27608]","",place,Frevent,"{""place""=>[""Frevent""], ""location""=>[""true""], ""name""=>[""Frévent""], ""lat""=>[""50.27608""], ""long""=>[""2.28725""], ""id""=>[""3017080""]}",3017080,Frévent,"[2.28725, 50.27608]"
3,AWD0003lf3,diary,270,4,1917-08-01 18:00:00 UTC,1 Aug 1917,Frevent,"[2.28725, 50.27608]",0600PM,time,0600PM,{},3017080,Frévent,"[2.28725, 50.27608]"
5,AWD0003lf3,diary,270,3,1917-08-01 18:00:00 UTC,1 Aug 1917,frevent,"[2.28725, 50.27608]",0600PM,place,frevent,"{""place""=>[""frevent""], ""location""=>[""true""], ""name""=>[""Frévent""], ""lat""=>[""50.27608""], ""long""=>[""2.28725""], ""id""=>[""3017080""]}",3017080,Frévent,"[2.28725, 50.27608]"
6,AWD0003lf3,diary,270,2,1917-08-01 18:00:00 UTC,1 Aug 1917,frevent,"[2.28725, 50.27608]",0600PM,activity,resupplying,{},3017080,Frévent,"[2.28725, 50.27608]"
7,AWD0003lf3,diary,270,2,1917-08-01 18:00:00 UTC,1 Aug 1917,frevent,"[2.28725, 50.27608]",0600PM,unit,"3rd Brigade & Div Troops, 3rd & 4th Brigade & Div Troops","{""name""=>[""3rd Brigade & Div Troops"", ""3rd & 4th Brigade & Div Troops""], ""context""=>[""other""]}",3017080,Frévent,"[2.28725, 50.27608]"
8,AWD0003lf3,diary,270,3,1917-08-01 18:00:00 UTC,1 Aug 1917,frevent,"[2.28725, 50.27608]",0600PM,person,Lieutenant  Coles,"{""first""=>[""""], ""surname""=>[""Coles""], ""rank""=>[""Lieutenant""], ""number""=>[""""], ""reason""=>[""departed_leave""], ""unit""=>[""""]}",3017080,Frévent,"[2.28725, 50.27608]"
10,AWD0003lf3,diary,270,2,1917-08-01 18:00:00 UTC,1 Aug 1917,frevent,"[2.28725, 50.27608]",0600PM,person,Major  ,"{""first""=>[""""], ""surname""=>[""""], ""rank""=>[""Major""], ""number""=>[""""], ""reason""=>[""commander""], ""unit""=>[""2nd Cav Supply Col"", ""2nd Cavalry Supply Cor.""]}",3017080,Frévent,"[2.28725, 50.27608]"
12,AWD0003lf3,diary,270,5,1917-08-02 00:00:00 UTC,2 Aug 1917,frevent,"[2.28725, 50.27608]","",diaryDate,2 Aug 1917,"{""day""=>[""2""], ""month""=>[""Aug""], ""year""=>[""1917""]}",3017080,Frévent,"[2.28725, 50.27608]"
13,AWD0003lf3,diary,270,5,1917-08-02 18:30:00 UTC,2 Aug 1917,frevent,"[2.28725, 50.27608]",0630PM,time,0630PM,{},3017080,Frévent,"[2.28725, 50.27608]"
16,AWD0003lf3,diary,270,2,1917-08-02 18:30:00 UTC,2 Aug 1917,frevent,"[2.28725, 50.27608]",0630PM,person,Major  ,"{""first""=>[""""], ""surname""=>[""""], ""rank""=>[""Major""], ""number""=>[""""], ""reason""=>[""commander""], ""unit""=>[""2nd Cav. Supply Cor."", ""2nd Cav Supply Col""]}",3017080,Frévent,"[2.28725, 50.27608]"
18,AWD0003lf3,diary,270,5,1917-08-02 18:10:00 UTC,2 Aug 1917,frevent,"[2.28725, 50.27608]",0610PM,time,0610PM,{},3017080,Frévent,"[2.28725, 50.27608]"
19,AWD0003lf3,diary,270,4,1917-08-03 00:00:00 UTC,3 Aug 1917,frevent,"[2.28725, 50.27608]","",diaryDate,3 Aug 1917,"{""day""=>[""3""], ""month""=>[""Aug""], ""year""=>[""1917""]}",3017080,Frévent,"[2.28725, 50.27608]"
21,AWD0003lf3,diary,270,5,1917-08-03 00:00:00 UTC,3 Aug 1917,Doullens,"[2.34019, 50.15724]","",place,Doullens,"{""place""=>[""Doullens""], ""location""=>[""true""], ""name""=>[""Doullens""], ""lat""=>[""50.15724""], ""long""=>[""2.34019""], ""id""=>[""3020944""]}",3020944,Doullens,"[2.34019, 50.15724]"
22,AWD0003lf3,diary,270,2,1917-08-03 00:00:00 UTC,3 Aug 1917,Doullens,"[2.34019, 50.15724]","",person,Major  ,"{""first""=>[""""], ""surname""=>[""""], ""rank""=>[""Major""], ""number""=>[""""], ""reason""=>[""commander""], ""unit""=>[""2nd Cav. Supply Cor."", ""2nd Cav Supply Col""]}",3020944,Doullens,"[2.34019, 50.15724]"
23,AWD0003lf3,diary,270,5,1917-08-04 00:00:00 UTC,4 Aug 1917,Doullens,"[2.34019, 50.15724]","",diaryDate,4 Aug 1917,"{""day""=>[""4""], ""month""=>[""Aug""], ""year""=>[""1917""]}",3020944,Doullens,"[2.34019, 50.15724]"
24,AWD0003lf3,diary,270,5,1917-08-04 18:00:00 UTC,4 Aug 1917,Doullens,"[2.34019, 50.15724]",0600PM,time,0600PM,{},3020944,Doullens,"[2.34019, 50.15724]"
25,AWD0003lf3,diary,270,4,1917-08-04 18:00:00 UTC,4 Aug 1917,"Frevent, frevent","[2.28725, 50.27608]",0600PM,place,"Frevent, frevent","{""place""=>[""Frevent"", ""frevent""], ""location""=>[""true""], ""name""=>[""Frévent""], ""lat""=>[""50.27608""], ""long""=>[""2.28725""], ""id""=>[""3017080""]}",3017080,Frévent,"[2.28725, 50.27608]"
