Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD0003liv,diary,433,3,1918-01-01 00:00:00 UTC,1 Jan 1918,"","[0.0, 0.0]","",diaryDate,1 Jan 1918,"{""day""=>[""1""], ""month""=>[""Jan""], ""year""=>[""1918""]}",2985684,Pozières,"[2.72929, 50.04047]"
2,AWD0003liv,diary,433,3,1918-01-01 00:00:00 UTC,1 Jan 1918,Saleux,"[2.23698, 49.8563]","",place,Saleux,"{""place""=>[""Saleux""], ""location""=>[""true""], ""name""=>[""Saleux""], ""lat""=>[""49.8563""], ""long""=>[""2.23698""], ""id""=>[""2976459""]}",2976459,Saleux,"[2.23698, 49.8563]"
3,AWD0003liv,diary,433,4,1918-01-01 08:00:00 UTC,1 Jan 1918,Saleux,"[2.23698, 49.8563]",0800AM,time,0800AM,{},2976459,Saleux,"[2.23698, 49.8563]"
4,AWD0003liv,diary,433,2,1918-01-01 08:00:00 UTC,1 Jan 1918,Saleux,"[2.23698, 49.8563]",0800AM,weather,cold,{},2976459,Saleux,"[2.23698, 49.8563]"
5,AWD0003liv,diary,433,2,1918-01-01 08:00:00 UTC,1 Jan 1918,Saleux,"[2.23698, 49.8563]",0800AM,place,Saleux,"{""place""=>[""Saleux""], ""location""=>[""true""], ""name""=>[""Saleux"", """"], ""lat""=>[""49.8563"", """"], ""long""=>[""2.23698"", """"], ""id""=>[""2976459"", """"]}",2976459,Saleux,"[2.23698, 49.8563]"
7,AWD0003liv,diary,433,3,1918-01-01 08:00:00 UTC,1 Jan 1918,Saleux,"[2.23698, 49.8563]",0800AM,place,Sains-en-Amiénois,"{""place""=>[""Sains-en-Amiénois""], ""location""=>[""false""], ""name""=>[""Sains-en-Amiénois""], ""lat""=>[""49.81716""], ""long""=>[""2.31862""], ""id""=>[""2981942""]}",2976459,Saleux,"[2.23698, 49.8563]"
9,AWD0003liv,diary,433,3,1918-01-01 10:00:00 UTC,1 Jan 1918,Saleux,"[2.23698, 49.8563]",1000AM,time,1000AM,{},2976459,Saleux,"[2.23698, 49.8563]"
10,AWD0003liv,diary,433,2,1918-01-01 15:00:00 UTC,1 Jan 1918,Saleux,"[2.23698, 49.8563]",0300PM,time,0300PM,{},2976459,Saleux,"[2.23698, 49.8563]"
13,AWD0003liv,diary,433,3,1918-01-01 16:00:00 UTC,1 Jan 1918,Saleux,"[2.23698, 49.8563]",0400PM,time,0400PM,{},2976459,Saleux,"[2.23698, 49.8563]"
14,AWD0003liv,diary,433,2,1918-01-01 16:00:00 UTC,1 Jan 1918,Saleux,"[2.23698, 49.8563]",0400PM,person,Sergeant  Read,"{""first""=>[""""], ""surname""=>[""Read""], ""rank""=>[""Sergeant""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""""]}",2976459,Saleux,"[2.23698, 49.8563]"
19,AWD0003liv,diary,433,3,1918-01-02 00:00:00 UTC,2 Jan 1918,Saleux,"[2.23698, 49.8563]","",diaryDate,2 Jan 1918,"{""day""=>[""2""], ""month""=>[""Jan""], ""year""=>[""1918""]}",2976459,Saleux,"[2.23698, 49.8563]"
22,AWD0003liv,diary,433,2,1918-01-02 00:00:00 UTC,2 Jan 1918,Saleux,"[2.23698, 49.8563]","",place,"Villers-Carbonnel, Villers Carbonnel","{""place""=>[""Villers-Carbonnel"", ""Villers Carbonnel""], ""location""=>[""false"", ""true""], ""name""=>[""Villers-Carbonnel""], ""lat""=>[""49.87592""], ""long""=>[""2.89506""], ""id""=>[""2968409""]}",2976459,Saleux,"[2.23698, 49.8563]"
23,AWD0003liv,diary,433,2,1918-01-02 08:00:00 UTC,2 Jan 1918,Saleux,"[2.23698, 49.8563]",0800AM,time,0800AM,{},2976459,Saleux,"[2.23698, 49.8563]"
25,AWD0003liv,diary,433,2,1918-01-02 08:00:00 UTC,2 Jan 1918,Saleux,"[2.23698, 49.8563]",0800AM,place,"Amiens, amiens","{""place""=>[""Amiens"", ""amiens""], ""location""=>[""true"", ""false""], ""name""=>[""Amiens""], ""lat""=>[""49.9""], ""long""=>[""2.3""], ""id""=>[""3037854""]}",2976459,Saleux,"[2.23698, 49.8563]"
28,AWD0003liv,diary,433,2,1918-01-02 07:30:00 UTC,2 Jan 1918,Saleux,"[2.23698, 49.8563]",0730AM,time,0730AM,{},2976459,Saleux,"[2.23698, 49.8563]"
29,AWD0003liv,diary,433,3,1918-01-02 07:30:00 UTC,2 Jan 1918,Saleux,"[2.23698, 49.8563]",0730AM,place,Brusle,"{""place""=>[""Brusle""], ""location""=>[""false""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2976459,Saleux,"[2.23698, 49.8563]"
32,AWD0003liv,diary,433,3,1918-01-02 07:30:00 UTC,2 Jan 1918,Saleux,"[2.23698, 49.8563]",0730AM,place,Le Plateau,"{""place""=>[""Le Plateau""], ""location""=>[""false""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2976459,Saleux,"[2.23698, 49.8563]"
33,AWD0003liv,diary,433,3,1918-01-02 09:00:00 UTC,2 Jan 1918,Saleux,"[2.23698, 49.8563]",0900AM,time,0900AM,{},2976459,Saleux,"[2.23698, 49.8563]"
