Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
2,AWD0003m7q,diary,399,4,1918-07-01 00:00:00 UTC,1 Jul 1918,"","[0.0, 0.0]","",diaryDate,1 Jul 1918,"{""day""=>[""1""], ""month""=>[""Jul""], ""year""=>[""1918""]}",2985684,Pozières,"[2.72929, 50.04047]"
3,AWD0003m7q,diary,399,2,1918-07-01 00:00:00 UTC,1 Jul 1918,"","[0.0, 0.0]","",place,"Wormout, Normfort?","{""place""=>[""Wormout"", ""Normfort?""], ""location""=>[""false"", ""true""], ""name""=>[""Farnborough"", """"], ""lat""=>[""51.29424"", """"], ""long""=>[""-0.75565"", """"], ""id""=>[""2649672"", """"]}",2985684,Pozières,"[2.72929, 50.04047]"
9,AWD0003m7q,diary,399,5,1918-07-02 00:00:00 UTC,2 Jul 1918,"","[0.0, 0.0]","",diaryDate,2 Jul 1918,"{""day""=>[""2""], ""month""=>[""Jul""], ""year""=>[""1918""]}",2985684,Pozières,"[2.72929, 50.04047]"
10,AWD0003m7q,diary,399,4,1918-07-02 00:00:00 UTC,2 Jul 1918,"","[0.0, 0.0]","",person,Lieutenant F F Grayson,"{""first""=>[""F F""], ""surname""=>[""Grayson""], ""rank""=>[""Lieutenant""], ""number""=>[""""], ""reason""=>[""departed_leave""], ""unit""=>[""""]}",2985684,Pozières,"[2.72929, 50.04047]"
11,AWD0003m7q,diary,399,5,1918-07-03 00:00:00 UTC,3 Jul 1918,"","[0.0, 0.0]","",diaryDate,3 Jul 1918,"{""day""=>[""3""], ""month""=>[""Jul""], ""year""=>[""1918""]}",2985684,Pozières,"[2.72929, 50.04047]"
13,AWD0003m7q,diary,399,2,1918-07-03 00:00:00 UTC,3 Jul 1918,"","[0.0, 0.0]","",domestic,inspections,{},2985684,Pozières,"[2.72929, 50.04047]"
14,AWD0003m7q,diary,399,5,1918-07-04 00:00:00 UTC,4 Jul 1918,"","[0.0, 0.0]","",diaryDate,4 Jul 1918,"{""day""=>[""4""], ""month""=>[""Jul""], ""year""=>[""1918""]}",2985684,Pozières,"[2.72929, 50.04047]"
15,AWD0003m7q,diary,399,4,1918-07-05 00:00:00 UTC,5 Jul 1918,"","[0.0, 0.0]","",diaryDate,5 Jul 1918,"{""day""=>[""5""], ""month""=>[""Jul""], ""year""=>[""1918""]}",2985684,Pozières,"[2.72929, 50.04047]"
16,AWD0003m7q,diary,399,2,,"6 Aug,Jul 1918","","[0.0, 0.0]","",diaryDate,"6 Aug,Jul 1918","{""day""=>[""6""], ""month""=>[""Aug"", ""Jul""], ""year""=>[""1918""]}",2985684,Pozières,"[2.72929, 50.04047]"
17,AWD0003m7q,diary,399,2,,"6 Aug,Jul 1918","","[0.0, 0.0]","",domestic,inspections,{},2985684,Pozières,"[2.72929, 50.04047]"
19,AWD0003m7q,diary,399,2,1918-07-06 00:00:00 UTC,6 Jul 1918,"","[0.0, 0.0]","",diaryDate,6 Jul 1918,"{""day""=>[""6""], ""month""=>[""Jul""], ""year""=>[""1918""]}",2985684,Pozières,"[2.72929, 50.04047]"
20,AWD0003m7q,diary,399,5,1918-07-06 00:00:00 UTC,6 Jul 1918,"","[0.0, 0.0]","",person,",Chaplain C C Lindsay","{""first""=>[""C C""], ""surname""=>[""Lindsay""], ""rank""=>["""", ""Chaplain""], ""number""=>[""""], ""reason""=>[""commander""], ""unit""=>[""""]}",2985684,Pozières,"[2.72929, 50.04047]"
4,AWD0003m8c,diary,400,4,1918-07-06 00:00:00 UTC,6 Jul 1918,"","[0.0, 0.0]","",diaryDate,6 Jul 1918,"{""day""=>[""6""], ""month""=>[""Jul""], ""year""=>[""1918""]}",2985684,Pozières,"[2.72929, 50.04047]"
7,AWD0003m8c,diary,400,5,1918-07-07 00:00:00 UTC,7 Jul 1918,"","[0.0, 0.0]","",diaryDate,7 Jul 1918,"{""day""=>[""7""], ""month""=>[""Jul""], ""year""=>[""1918""]}",2985684,Pozières,"[2.72929, 50.04047]"
