Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
2,AWD0003n0e,diary,774,3,1916-04-01 00:00:00 UTC,1 Apr 1916,"","[0.0, 0.0]","",diaryDate,1 Apr 1916,"{""day""=>[""1""], ""month""=>[""Apr""], ""year""=>[""1916""]}",2985684,Pozières,"[2.72929, 50.04047]"
3,AWD0003n0e,diary,774,3,1916-04-01 13:00:00 UTC,1 Apr 1916,"","[0.0, 0.0]",0100PM,time,0100PM,{},2985684,Pozières,"[2.72929, 50.04047]"
4,AWD0003n0e,diary,774,3,1916-04-01 13:00:00 UTC,1 Apr 1916,"","[0.0, 0.0]",0100PM,activity,fire,{},2985684,Pozières,"[2.72929, 50.04047]"
5,AWD0003n0e,diary,774,2,1916-04-01 13:00:00 UTC,1 Apr 1916,"","[0.0, 0.0]",0100PM,casualties,casualties: 0,{},2985684,Pozières,"[2.72929, 50.04047]"
7,AWD0003n0e,diary,774,3,1916-04-01 00:00:00 UTC,1 Apr 1916,"","[0.0, 0.0]","",diaryDate,1 Apr 1916,"{""day""=>[""1""], ""month""=>[""Apr""], ""year""=>[""1916""]}",2985684,Pozières,"[2.72929, 50.04047]"
8,AWD0003n0e,diary,774,4,1916-04-01 00:00:00 UTC,1 Apr 1916,"Les Brebis, les brebis","[0.0, 0.0]","",place,"Les Brebis, les brebis","{""place""=>[""Les Brebis"", ""les brebis""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2997620,Loos,"[3.01874, 50.60982]"
9,AWD0003n0e,diary,774,4,1916-04-02 00:00:00 UTC,2 Apr 1916,"Les Brebis, les brebis","[0.0, 0.0]","",diaryDate,2 Apr 1916,"{""day""=>[""2""], ""month""=>[""Apr""], ""year""=>[""1916""]}",2997620,Loos,"[3.01874, 50.60982]"
11,AWD0003n0e,diary,774,3,1916-04-02 00:00:00 UTC,2 Apr 1916,"Les Brebis, les brebis","[0.0, 0.0]","",activity,quiet,{},2997620,Loos,"[3.01874, 50.60982]"
13,AWD0003n0e,diary,774,4,1916-04-02 20:30:00 UTC,2 Apr 1916,"Les Brebis, les brebis","[0.0, 0.0]",0830PM,time,0830PM,{},2997620,Loos,"[3.01874, 50.60982]"
16,AWD0003n0e,diary,774,2,1916-04-02 20:30:00 UTC,2 Apr 1916,"Les Brebis, les brebis","[0.0, 0.0]",0830PM,unit,1st Gloucesters,"{""name""=>[""1st Gloucesters""], ""context""=>[""relieved""]}",2997620,Loos,"[3.01874, 50.60982]"
20,AWD0003n0e,diary,774,4,1916-04-03 00:00:00 UTC,3 Apr 1916,"Les Brebis, les brebis","[0.0, 0.0]","",diaryDate,3 Apr 1916,"{""day""=>[""3""], ""month""=>[""Apr""], ""year""=>[""1916""]}",2997620,Loos,"[3.01874, 50.60982]"
21,AWD0003n0e,diary,774,2,1916-04-03 00:00:00 UTC,3 Apr 1916,"Les Brebis, les brebis","[0.0, 0.0]","",place,Hulluch,"{""place""=>[""Hulluch""], ""location""=>[""true"", ""false""], ""name""=>[""Hulluch"", """"], ""lat""=>[""50.48961"", """"], ""long""=>[""2.81232"", """"], ""id""=>[""3013001"", """"]}",2997620,Loos,"[3.01874, 50.60982]"
22,AWD0003n0e,diary,774,3,1916-04-03 00:00:00 UTC,3 Apr 1916,"Les Brebis, les brebis","[0.0, 0.0]","",weather,fine,{},2997620,Loos,"[3.01874, 50.60982]"
23,AWD0003n0e,diary,774,2,1916-04-03 00:00:00 UTC,3 Apr 1916,"Les Brebis, les brebis","[0.0, 0.0]","",activity,other,{},2997620,Loos,"[3.01874, 50.60982]"
