Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD0003n75,diary,3,3,1917-01-01 00:00:00 UTC,1 Jan 1917,"","[0.0, 0.0]","",diaryDate,1 Jan 1917,"{""day""=>[""1""], ""month""=>[""Jan""], ""year""=>[""1917""]}",2985684,Pozières,"[2.72929, 50.04047]"
3,AWD0003n75,diary,3,2,1917-01-01 13:15:00 UTC,1 Jan 1917,"","[0.0, 0.0]",0115PM,time,0115PM,{},2985684,Pozières,"[2.72929, 50.04047]"
4,AWD0003n75,diary,3,4,1917-01-01 13:15:00 UTC,1 Jan 1917,"","[0.0, 0.0]",0115PM,activity,movement,{},2985684,Pozières,"[2.72929, 50.04047]"
5,AWD0003n75,diary,3,3,1917-01-01 13:15:00 UTC,1 Jan 1917,"","[0.0, 0.0]",0115PM,place,Bazentin,"{""place""=>[""Bazentin""], ""location""=>[""false""], ""name""=>[""Bazentin""], ""lat""=>[""50.03183""], ""long""=>[""2.76246""], ""id""=>[""3034449""]}",2985684,Pozières,"[2.72929, 50.04047]"
7,AWD0003n75,diary,3,3,1917-01-01 13:15:00 UTC,1 Jan 1917,Albert,"[2.65096, 50.00091]",0115PM,place,Albert,"{""place""=>[""Albert""], ""location""=>[""true""], ""name""=>[""Albert""], ""lat""=>[""50.00091""], ""long""=>[""2.65096""], ""id""=>[""3038271""]}",3038271,Albert,"[2.65096, 50.00091]"
8,AWD0003n75,diary,3,2,1917-01-01 13:15:00 UTC,1 Jan 1917,Albert,"[2.65096, 50.00091]",0115PM,place,Bazentin,"{""place""=>[""Bazentin""], ""location""=>[""false"", ""true""], ""name""=>[""Bazentin"", """"], ""lat""=>[""50.03183"", """"], ""long""=>[""2.76246"", """"], ""id""=>[""3034449"", """"]}",3038271,Albert,"[2.65096, 50.00091]"
9,AWD0003n75,diary,3,2,1917-01-01 13:15:00 UTC,1 Jan 1917,Albert,"[2.65096, 50.00091]",0115PM,domestic,accomodation,{},3038271,Albert,"[2.65096, 50.00091]"
10,AWD0003n75,diary,3,2,1917-01-01 13:15:00 UTC,1 Jan 1917,Albert,"[2.65096, 50.00091]",0115PM,place,"Albert, Aibert","{""place""=>[""Albert"", ""Aibert""], ""location""=>[""false"", ""true""], ""name""=>[""Albert"", """"], ""lat""=>[""50.00091"", """"], ""long""=>[""2.65096"", """"], ""id""=>[""3038271"", """"]}",3038271,Albert,"[2.65096, 50.00091]"
12,AWD0003n75,diary,3,2,1917-01-01 00:00:00 UTC,1 Jan 1917,Albert,"[2.65096, 50.00091]","",diaryDate,1 Jan 1917,"{""day""=>[""1""], ""month""=>[""Jan""], ""year""=>[""1917""]}",3038271,Albert,"[2.65096, 50.00091]"
15,AWD0003n75,diary,3,5,1917-01-02 00:00:00 UTC,2 Jan 1917,Albert,"[2.65096, 50.00091]","",diaryDate,2 Jan 1917,"{""day""=>[""2""], ""month""=>[""Jan""], ""year""=>[""1917""]}",3038271,Albert,"[2.65096, 50.00091]"
17,AWD0003n75,diary,3,2,1917-01-02 00:00:00 UTC,2 Jan 1917,Albert,"[2.65096, 50.00091]","",domestic,hygiene,{},3038271,Albert,"[2.65096, 50.00091]"
18,AWD0003n75,diary,3,5,1917-01-02 00:00:00 UTC,2 Jan 1917,Albert,"[2.65096, 50.00091]","",activity,working,{},3038271,Albert,"[2.65096, 50.00091]"
19,AWD0003n75,diary,3,5,1917-01-02 00:00:00 UTC,2 Jan 1917,Albert,"[2.65096, 50.00091]","",activity,training,{},3038271,Albert,"[2.65096, 50.00091]"
20,AWD0003n75,diary,3,5,1917-01-03 00:00:00 UTC,3 Jan 1917,Albert,"[2.65096, 50.00091]","",diaryDate,3 Jan 1917,"{""day""=>[""3""], ""month""=>[""Jan""], ""year""=>[""1917""]}",3038271,Albert,"[2.65096, 50.00091]"
21,AWD0003n75,diary,3,7,1917-01-03 00:00:00 UTC,3 Jan 1917,Albert,"[2.65096, 50.00091]","",activity,working,{},3038271,Albert,"[2.65096, 50.00091]"
22,AWD0003n75,diary,3,2,1917-01-03 00:00:00 UTC,3 Jan 1917,Albert,"[2.65096, 50.00091]","",activity,training,{},3038271,Albert,"[2.65096, 50.00091]"
23,AWD0003n75,diary,3,4,1917-01-04 00:00:00 UTC,4 Jan 1917,Albert,"[2.65096, 50.00091]","",diaryDate,4 Jan 1917,"{""day""=>[""4""], ""month""=>[""Jan""], ""year""=>[""1917""]}",3038271,Albert,"[2.65096, 50.00091]"
24,AWD0003n75,diary,3,5,1917-01-04 00:00:00 UTC,4 Jan 1917,Albert,"[2.65096, 50.00091]","",person,Lieutenant W C Smith,"{""first""=>[""W C""], ""surname""=>[""Smith""], ""rank""=>[""Lieutenant""], ""number""=>[""""], ""reason""=>[""joined""], ""unit""=>[""""]}",3038271,Albert,"[2.65096, 50.00091]"
26,AWD0003n75,diary,3,6,1917-01-04 00:00:00 UTC,4 Jan 1917,Albert,"[2.65096, 50.00091]","",activity,working,{},3038271,Albert,"[2.65096, 50.00091]"
27,AWD0003n75,diary,3,5,1917-01-05 00:00:00 UTC,5 Jan 1917,Albert,"[2.65096, 50.00091]","",diaryDate,5 Jan 1917,"{""day""=>[""5""], ""month""=>[""Jan""], ""year""=>[""1917""]}",3038271,Albert,"[2.65096, 50.00091]"
28,AWD0003n75,diary,3,2,1917-01-05 00:00:00 UTC,5 Jan 1917,Albert,"[2.65096, 50.00091]","",casualties,wounded: 5,{},3038271,Albert,"[2.65096, 50.00091]"
32,AWD0003n75,diary,3,5,1917-01-06 00:00:00 UTC,6 Jan 1917,Albert,"[2.65096, 50.00091]","",diaryDate,6 Jan 1917,"{""day""=>[""6""], ""month""=>[""Jan""], ""year""=>[""1917""]}",3038271,Albert,"[2.65096, 50.00091]"
33,AWD0003n75,diary,3,5,1917-01-06 00:00:00 UTC,6 Jan 1917,Albert,"[2.65096, 50.00091]","",activity,working,{},3038271,Albert,"[2.65096, 50.00091]"
34,AWD0003n75,diary,3,5,1917-01-06 00:00:00 UTC,6 Jan 1917,Albert,"[2.65096, 50.00091]","",person,Sergeant  Kelly,"{""first""=>[""""], ""surname""=>[""Kelly""], ""rank""=>[""Sergeant""], ""number""=>[""""], ""reason""=>[""casualty_died""], ""unit""=>[""""]}",3038271,Albert,"[2.65096, 50.00091]"
36,AWD0003n75,diary,3,2,1917-01-06 00:00:00 UTC,6 Jan 1917,Albert,"[2.65096, 50.00091]","",casualties,died: 1,{},3038271,Albert,"[2.65096, 50.00091]"
37,AWD0003n75,diary,3,5,1917-01-07 00:00:00 UTC,7 Jan 1917,Albert,"[2.65096, 50.00091]","",diaryDate,7 Jan 1917,"{""day""=>[""7""], ""month""=>[""Jan""], ""year""=>[""1917""]}",3038271,Albert,"[2.65096, 50.00091]"
40,AWD0003n75,diary,3,5,1917-01-07 00:00:00 UTC,7 Jan 1917,Albert,"[2.65096, 50.00091]","",domestic,religion,{},3038271,Albert,"[2.65096, 50.00091]"
41,AWD0003n75,diary,3,5,1917-01-07 00:00:00 UTC,7 Jan 1917,Albert,"[2.65096, 50.00091]","",activity,working,{},3038271,Albert,"[2.65096, 50.00091]"
