Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD0003nbs,diary,80,3,1919-02-01 00:00:00 UTC,1 Feb 1919,"","[0.0, 0.0]","",diaryDate,1 Feb 1919,"{""day""=>[""1""], ""month""=>[""Feb""], ""year""=>[""1919""]}",2985684,Pozières,"[2.72929, 50.04047]"
3,AWD0003nbs,diary,80,4,1919-02-01 00:00:00 UTC,1 Feb 1919,Duren,"[6.49299, 50.80434]","",place,Duren,"{""place""=>[""Duren""], ""location""=>[""true""], ""name""=>[""Düren""], ""lat""=>[""50.80434""], ""long""=>[""6.49299""], ""id""=>[""2934486""]}",2934486,Düren,"[6.49299, 50.80434]"
4,AWD0003nbs,diary,80,3,1919-02-01 00:00:00 UTC,1 Feb 1919,Duren,"[6.49299, 50.80434]","",activity,training,{},2934486,Düren,"[6.49299, 50.80434]"
5,AWD0003nbs,diary,80,2,1919-02-28 00:00:00 UTC,28 Feb 1919,Duren,"[6.49299, 50.80434]","",diaryDate,28 Feb 1919,"{""day""=>[""28""], ""month""=>[""Feb""], ""year""=>[""1919""]}",2934486,Düren,"[6.49299, 50.80434]"
7,AWD0003nbs,diary,80,5,1919-02-24 00:00:00 UTC,24 Feb 1919,Duren,"[6.49299, 50.80434]","",diaryDate,24 Feb 1919,"{""day""=>[""24""], ""month""=>[""Feb""], ""year""=>[""1919""]}",2934486,Düren,"[6.49299, 50.80434]"
8,AWD0003nbs,diary,80,2,1919-02-24 00:00:00 UTC,24 Feb 1919,Duren,"[6.49299, 50.80434]","",domestic,inspections,{},2934486,Düren,"[6.49299, 50.80434]"
9,AWD0003nbs,diary,80,4,1919-02-24 00:00:00 UTC,24 Feb 1919,Duren,"[6.49299, 50.80434]","",person,Major General  ,"{""first""=>[""""], ""surname""=>[""""], ""rank""=>[""Major General""], ""number""=>[""""], ""reason""=>[""commander"", ""other""], ""unit""=>["""", ""3rd Division""]}",2934486,Düren,"[6.49299, 50.80434]"
11,AWD0003nbs,diary,80,2,1919-02-24 18:00:00 UTC,24 Feb 1919,Duren,"[6.49299, 50.80434]",0600PM,time,0600PM,{},2934486,Düren,"[6.49299, 50.80434]"
14,AWD0003nbs,diary,80,2,1919-02-24 18:00:00 UTC,24 Feb 1919,Duren,"[6.49299, 50.80434]",0600PM,strength,"officer: 6, other: 210",{},2934486,Düren,"[6.49299, 50.80434]"
15,AWD0003nbs,diary,80,5,1919-02-26 00:00:00 UTC,26 Feb 1919,Duren,"[6.49299, 50.80434]","",diaryDate,26 Feb 1919,"{""day""=>[""26""], ""month""=>[""Feb""], ""year""=>[""1919""]}",2934486,Düren,"[6.49299, 50.80434]"
16,AWD0003nbs,diary,80,6,1919-02-26 18:00:00 UTC,26 Feb 1919,Duren,"[6.49299, 50.80434]",0600PM,time,0600PM,{},2934486,Düren,"[6.49299, 50.80434]"
17,AWD0003nbs,diary,80,2,1919-02-26 18:00:00 UTC,26 Feb 1919,Duren,"[6.49299, 50.80434]",0600PM,activity,movement,{},2934486,Düren,"[6.49299, 50.80434]"
18,AWD0003nbs,diary,80,3,1919-02-26 18:00:00 UTC,26 Feb 1919,"weisweller, Weisweiler, weisweiler","[0.0, 0.0]",0600PM,place,"weisweller, Weisweiler, weisweiler","{""place""=>[""weisweller"", ""Weisweiler"", ""weisweiler""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
19,AWD0003nbs,diary,80,3,1919-02-26 18:00:00 UTC,26 Feb 1919,"weisweller, Weisweiler, weisweiler","[0.0, 0.0]",0600PM,person,"Major  Corker, Coker DSO, coker","{""first""=>[""""], ""surname""=>[""Corker"", ""Coker DSO"", ""coker""], ""rank""=>[""Major""], ""number""=>[""""], ""reason""=>[""commander""], ""unit""=>[""""]}",,,
21,AWD0003nbs,diary,80,2,1919-02-26 18:00:00 UTC,26 Feb 1919,"weisweller, Weisweiler, weisweiler","[0.0, 0.0]",0600PM,person,Major  ,"{""first""=>[""""], ""surname""=>[""""], ""rank""=>[""Major""], ""number""=>[""""], ""reason""=>[""commander""], ""unit""=>[""""]}",,,
23,AWD0003nbs,diary,80,2,1919-02-26 23:00:00 UTC,26 Feb 1919,"weisweller, Weisweiler, weisweiler","[0.0, 0.0]",1100PM,time,1100PM,{},,,
28,AWD0003nbs,diary,80,4,1919-02-26 00:00:00 UTC,26 Feb 1919,"weisweller, Weisweiler, weisweiler","[0.0, 0.0]","",diaryDate,26 Feb 1919,"{""day""=>[""26""], ""month""=>[""Feb""], ""year""=>[""1919""]}",,,
