Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD0003nu6,diary,3,5,1919-03-23 00:00:00 UTC,23 Mar 1919,"","[0.0, 0.0]","",diaryDate,23 Mar 1919,"{""day""=>[""23""], ""month""=>[""Mar""], ""year""=>[""1919""]}",2985684,Pozières,"[2.72929, 50.04047]"
2,AWD0003nu6,diary,3,3,1919-03-23 00:00:00 UTC,23 Mar 1919,Brocton Camp,"[0.0, 0.0]","",place,Brocton Camp,"{""place""=>[""Brocton Camp""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
4,AWD0003nu6,diary,3,3,1919-03-23 01:00:00 UTC,23 Mar 1919,Brocton Camp,"[0.0, 0.0]",0100AM,time,0100AM,{},,,
5,AWD0003nu6,diary,3,6,1919-03-23 01:00:00 UTC,23 Mar 1919,Brocton Camp,"[0.0, 0.0]",0100AM,activity,movement,{},,,
6,AWD0003nu6,diary,3,2,1919-03-23 01:00:00 UTC,23 Mar 1919,"Milford, Milford ","[-2.05, 52.78333]",0100AM,place,"Milford, Milford ","{""place""=>[""Milford"", ""Milford ""], ""location""=>[""true""], ""name""=>[""Milford""], ""lat""=>[""52.78333""], ""long""=>[""-2.05""], ""id""=>[""2642536""]}",,,
7,AWD0003nu6,diary,3,2,1919-03-23 01:00:00 UTC,23 Mar 1919,Brocton,"[-2.05, 52.78333]",0100AM,place,Brocton,"{""place""=>[""Brocton""], ""location""=>[""true""], ""name""=>[""Milford"", """"], ""lat""=>[""52.78333"", """"], ""long""=>[""-2.05"", """"], ""id""=>[""2642536"", """"]}",,,
8,AWD0003nu6,diary,3,4,1919-03-23 03:40:00 UTC,23 Mar 1919,Brocton,"[-2.05, 52.78333]",0340AM,time,0340AM,{},,,
11,AWD0003nu6,diary,3,2,1919-03-23 03:40:00 UTC,23 Mar 1919,Brocton,"[-2.05, 52.78333]",0340AM,place,"Milford, Milford ","{""place""=>[""Milford"", ""Milford ""], ""location""=>[""false"", ""true""], ""name""=>["""", ""Milford""], ""lat""=>["""", ""52.78333""], ""long""=>["""", ""-2.05""], ""id""=>["""", ""2642536""]}",,,
15,AWD0003nu6,diary,3,4,1919-03-23 11:10:00 UTC,23 Mar 1919,Brocton,"[-2.05, 52.78333]",1110AM,time,1110AM,{},,,
16,AWD0003nu6,diary,3,10,1919-03-23 11:10:00 UTC,23 Mar 1919,Dover,"[1.3, 51.13333]",1110AM,place,Dover,"{""place""=>[""Dover""], ""location""=>[""true""], ""name""=>[""Dover""], ""lat""=>[""51.13333""], ""long""=>[""1.3""], ""id""=>[""2651048""]}",2651048,Dover,"[1.3, 51.13333]"
17,AWD0003nu6,diary,3,2,1919-03-23 11:10:00 UTC,23 Mar 1919,Dover,"[1.3, 51.13333]",1110AM,activity,movement,{},2651048,Dover,"[1.3, 51.13333]"
19,AWD0003nu6,diary,3,2,1919-03-23 12:00:00 UTC,23 Mar 1919,Dover,"[1.3, 51.13333]",1200PM,time,1200PM,{},2651048,Dover,"[1.3, 51.13333]"
20,AWD0003nu6,diary,3,4,1919-03-23 12:00:00 UTC,23 Mar 1919,No. 2 Rest Camp ,"[1.3, 51.13333]",1200PM,place,No. 2 Rest Camp ,"{""place""=>[""No. 2 Rest Camp ""], ""location""=>[""true""], ""name""=>[""Dover"", """"], ""lat""=>[""51.13333"", """"], ""long""=>[""1.3"", """"], ""id""=>[""2651048"", """"]}",,,
