Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD0003ocd,diary,4,5,1914-10-04 00:00:00 UTC,4 Oct 1914,"","[0.0, 0.0]","",diaryDate,4 Oct 1914,"{""day""=>[""4""], ""month""=>[""Oct""], ""year""=>[""1914""]}",2985684,Pozières,"[2.72929, 50.04047]"
2,AWD0003ocd,diary,4,3,1914-10-04 18:00:00 UTC,4 Oct 1914,"","[0.0, 0.0]",0600PM,time,0600PM,{},2985684,Pozières,"[2.72929, 50.04047]"
3,AWD0003ocd,diary,4,5,1914-10-04 15:40:00 UTC,4 Oct 1914,"","[0.0, 0.0]",0340PM,time,0340PM,{},2985684,Pozières,"[2.72929, 50.04047]"
4,AWD0003ocd,diary,4,2,1914-10-04 15:40:00 UTC,4 Oct 1914,Ashurst,"[0.0, 0.0]",0340PM,place,Ashurst,"{""place""=>[""Ashurst""], ""location""=>[""true""], ""name""=>[""Ashurst""], ""lat""=>[""51.12979"", ""50.8974""], ""long""=>[""0.15424"", ""-1.51663""], ""id""=>[""10109471"", ""8714248""]}",,,
5,AWD0003ocd,diary,4,3,1914-10-04 20:00:00 UTC,4 Oct 1914,Ashurst,"[0.0, 0.0]",0800PM,time,0800PM,{},,,
6,AWD0003ocd,diary,4,6,1914-10-04 20:00:00 UTC,4 Oct 1914,Ashurst,"[0.0, 0.0]",0800PM,activity,movement,{},,,
12,AWD0003ocd,diary,4,2,1914-10-04 07:25:00 UTC,4 Oct 1914,Ashurst,"[0.0, 0.0]",0725AM,time,0725AM,{},,,
13,AWD0003ocd,diary,4,2,1914-10-05 00:00:00 UTC,5 Oct 1914,Ashurst,"[0.0, 0.0]","",diaryDate,5 Oct 1914,"{""day""=>[""5""], ""month""=>[""Oct""], ""year""=>[""1914""]}",,,
14,AWD0003ocd,diary,4,3,1914-10-05 13:30:00 UTC,5 Oct 1914,Ashurst,"[0.0, 0.0]",0130PM,time,0130PM,{},,,
17,AWD0003ocd,diary,4,2,1914-10-05 00:00:00 UTC,5 Oct 1914,Ashurst,"[0.0, 0.0]","",diaryDate,5 Oct 1914,"{""day""=>[""5""], ""month""=>[""Oct""], ""year""=>[""1914""]}",,,
18,AWD0003ocd,diary,4,2,1914-10-06 00:00:00 UTC,6 Oct 1914,Ashurst,"[0.0, 0.0]","",diaryDate,6 Oct 1914,"{""day""=>[""6""], ""month""=>[""Oct""], ""year""=>[""1914""]}",,,
