Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
2,AWD0003pbv,diary,3,5,1916-01-01 00:00:00 UTC,1 Jan 1916,"","[0.0, 0.0]","",diaryDate,1 Jan 1916,"{""day""=>[""1""], ""month""=>[""Jan""], ""year""=>[""1916""]}",2985684,Pozières,"[2.72929, 50.04047]"
3,AWD0003pbv,diary,3,4,1916-01-01 00:00:00 UTC,1 Jan 1916,Boeschepe,"[2.7, 50.8]","",place,Boeschepe,"{""place""=>[""Boeschepe""], ""location""=>[""true""], ""name""=>[""Boeschepe""], ""lat""=>[""50.8""], ""long""=>[""2.7""], ""id""=>[""3032146""]}",3032146,Boeschepe,"[2.7, 50.8]"
4,AWD0003pbv,diary,3,3,1916-01-01 00:00:00 UTC,1 Jan 1916,Boeschepe,"[2.7, 50.8]","",activity,reserve,{},3032146,Boeschepe,"[2.7, 50.8]"
5,AWD0003pbv,diary,3,2,1916-01-01 00:00:00 UTC,1 Jan 1916,Boeschepe,"[2.7, 50.8]","",place,"Boeschepe, boeschepe","{""place""=>[""Boeschepe"", ""boeschepe""], ""location""=>[""false"", ""true""], ""name""=>[""Boeschepe""], ""lat""=>[""50.8""], ""long""=>[""2.7""], ""id""=>[""3032146""]}",3032146,Boeschepe,"[2.7, 50.8]"
6,AWD0003pbv,diary,3,3,1916-01-06 00:00:00 UTC,6 Jan 1916,Boeschepe,"[2.7, 50.8]","",diaryDate,6 Jan 1916,"{""day""=>[""6""], ""month""=>[""Jan""], ""year""=>[""1916""]}",3032146,Boeschepe,"[2.7, 50.8]"
7,AWD0003pbv,diary,3,5,1916-01-07 00:00:00 UTC,7 Jan 1916,Boeschepe,"[2.7, 50.8]","",diaryDate,7 Jan 1916,"{""day""=>[""7""], ""month""=>[""Jan""], ""year""=>[""1916""]}",3032146,Boeschepe,"[2.7, 50.8]"
8,AWD0003pbv,diary,3,5,1916-01-07 00:00:00 UTC,7 Jan 1916,Boeschepe,"[2.7, 50.8]","",person,Major E S Allsup,"{""first""=>[""E S""], ""surname""=>[""Allsup""], ""rank""=>[""Major""], ""number""=>[""""], ""reason""=>[""returned_hospital""], ""unit""=>[""40th Brigade RFA""]}",3032146,Boeschepe,"[2.7, 50.8]"
9,AWD0003pbv,diary,3,4,1916-01-08 00:00:00 UTC,8 Jan 1916,Boeschepe,"[2.7, 50.8]","",diaryDate,8 Jan 1916,"{""day""=>[""8""], ""month""=>[""Jan""], ""year""=>[""1916""]}",3032146,Boeschepe,"[2.7, 50.8]"
12,AWD0003pbv,diary,3,2,1916-01-15 00:00:00 UTC,15 Jan 1916,Boeschepe,"[2.7, 50.8]","",diaryDate,15 Jan 1916,"{""day""=>[""15""], ""month""=>[""Jan""], ""year""=>[""1916""]}",3032146,Boeschepe,"[2.7, 50.8]"
13,AWD0003pbv,diary,3,5,1916-01-16 00:00:00 UTC,16 Jan 1916,Boeschepe,"[2.7, 50.8]","",diaryDate,16 Jan 1916,"{""day""=>[""16""], ""month""=>[""Jan""], ""year""=>[""1916""]}",3032146,Boeschepe,"[2.7, 50.8]"
15,AWD0003pbv,diary,3,2,1916-01-17 00:00:00 UTC,17 Jan 1916,Boeschepe,"[2.7, 50.8]","",diaryDate,17 Jan 1916,"{""day""=>[""17""], ""month""=>[""Jan""], ""year""=>[""1916""]}",3032146,Boeschepe,"[2.7, 50.8]"
16,AWD0003pbv,diary,3,2,1916-01-17 00:00:00 UTC,17 Jan 1916,Boeschepe,"[2.7, 50.8]","",unit,6/7th Belgian Bty,"{""name""=>[""6/7th Belgian Bty""], ""context""=>[""relieved""]}",3032146,Boeschepe,"[2.7, 50.8]"
17,AWD0003pbv,diary,3,3,1916-01-17 00:00:00 UTC,17 Jan 1916,Boeschepe,"[2.7, 50.8]","",diaryDate,17 Jan 1916,"{""day""=>[""17""], ""month""=>[""Jan""], ""year""=>[""1916""]}",3032146,Boeschepe,"[2.7, 50.8]"
18,AWD0003pbv,diary,3,4,1916-01-18 00:00:00 UTC,18 Jan 1916,Boeschepe,"[2.7, 50.8]","",diaryDate,18 Jan 1916,"{""day""=>[""18""], ""month""=>[""Jan""], ""year""=>[""1916""]}",3032146,Boeschepe,"[2.7, 50.8]"
19,AWD0003pbv,diary,3,4,1916-01-19 00:00:00 UTC,19 Jan 1916,Boeschepe,"[2.7, 50.8]","",diaryDate,19 Jan 1916,"{""day""=>[""19""], ""month""=>[""Jan""], ""year""=>[""1916""]}",3032146,Boeschepe,"[2.7, 50.8]"
21,AWD0003pbv,diary,3,4,1916-01-20 00:00:00 UTC,20 Jan 1916,Boeschepe,"[2.7, 50.8]","",diaryDate,20 Jan 1916,"{""day""=>[""20""], ""month""=>[""Jan""], ""year""=>[""1916""]}",3032146,Boeschepe,"[2.7, 50.8]"
22,AWD0003pbv,diary,3,2,1916-01-20 00:00:00 UTC,20 Jan 1916,Boeschepe,"[2.7, 50.8]","",unit,3/7th Belgian Bty,"{""name""=>[""3/7th Belgian Bty""], ""context""=>[""relieved""]}",3032146,Boeschepe,"[2.7, 50.8]"
23,AWD0003pbv,diary,3,5,1916-01-21 00:00:00 UTC,21 Jan 1916,Boeschepe,"[2.7, 50.8]","",diaryDate,21 Jan 1916,"{""day""=>[""21""], ""month""=>[""Jan""], ""year""=>[""1916""]}",3032146,Boeschepe,"[2.7, 50.8]"
24,AWD0003pbv,diary,3,4,1916-01-21 00:00:00 UTC,21 Jan 1916,Boeschepe,"[2.7, 50.8]","",person,"Second Lieutenant,Lieutenant  Garside","{""first""=>[""""], ""surname""=>[""Garside""], ""rank""=>[""Second Lieutenant"", ""Lieutenant""], ""number""=>[""""], ""reason""=>[""joined""], ""unit""=>[""23rd Bty, 40th Bde RFA"", ""23rd battery"", ""23rd Battery"", """"]}",3032146,Boeschepe,"[2.7, 50.8]"
25,AWD0003pbv,diary,3,4,1916-01-22 00:00:00 UTC,22 Jan 1916,Boeschepe,"[2.7, 50.8]","",diaryDate,22 Jan 1916,"{""day""=>[""22""], ""month""=>[""Jan""], ""year""=>[""1916""]}",3032146,Boeschepe,"[2.7, 50.8]"
