Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD0003syy,diary,14,5,1919-03-01 00:00:00 UTC,1 Mar 1919,"","[0.0, 0.0]","",diaryDate,1 Mar 1919,"{""day""=>[""1""], ""month""=>[""Mar""], ""year""=>[""1919""]}",2985684,Pozières,"[2.72929, 50.04047]"
3,AWD0003syy,diary,14,5,1919-03-01 00:00:00 UTC,1 Mar 1919,Jumet,"[4.43745, 50.4422]","",place,Jumet,"{""place""=>[""Jumet""], ""location""=>[""true""], ""name""=>[""Jumet""], ""lat""=>[""50.4422""], ""long""=>[""4.43745""], ""id""=>[""2794860""]}",,,
5,AWD0003syy,diary,14,4,1919-03-01 00:00:00 UTC,1 Mar 1919,Jumet,"[4.43745, 50.4422]","",strength,"officer: 12, other: 230",{},,,
10,AWD0003syy,diary,14,4,1919-03-01 00:00:00 UTC,1 Mar 1919,Jumet,"[4.43745, 50.4422]","",person,Lieutenant C E Carr,"{""first""=>[""C E""], ""surname""=>[""Carr""], ""rank""=>[""Lieutenant""], ""number""=>[""""], ""reason""=>[""departed_posted""], ""unit""=>[""""]}",,,
11,AWD0003syy,diary,14,4,1919-03-01 00:00:00 UTC,1 Mar 1919,Jumet,"[4.43745, 50.4422]","",person,Captain  Putman,"{""first""=>[""""], ""surname""=>[""Putman""], ""rank""=>[""Captain""], ""number""=>[""""], ""reason""=>[""joined""], ""unit""=>[""""]}",,,
12,AWD0003syy,diary,14,4,1919-03-01 00:00:00 UTC,1 Mar 1919,Jumet,"[4.43745, 50.4422]","",person,Second Lieutenant M F Nicholson,"{""first""=>[""M F""], ""surname""=>[""Nicholson""], ""rank""=>[""Second Lieutenant""], ""number""=>[""""], ""reason""=>[""departed_posted""], ""unit""=>[""""]}",,,
13,AWD0003syy,diary,14,4,1919-03-01 00:00:00 UTC,1 Mar 1919,Jumet,"[4.43745, 50.4422]","",person,Second Lieutenant J T Casserly,"{""first""=>[""J T""], ""surname""=>[""Casserly""], ""rank""=>[""Second Lieutenant""], ""number""=>[""""], ""reason""=>[""departed_posted""], ""unit""=>[""""]}",,,
14,AWD0003syy,diary,14,2,1919-03-01 00:00:00 UTC,1 Mar 1919,Jumet,"[4.43745, 50.4422]","",unit,"13th Bn Rifle Brigade, 13th Bn. Rifle Brigade","{""name""=>[""13th Bn Rifle Brigade"", ""13th Bn. Rifle Brigade""], ""context""=>[""joined"", ""other""]}",,,
16,AWD0003syy,diary,14,2,1919-03-01 13:00:00 UTC,1 Mar 1919,Jumet,"[4.43745, 50.4422]",0100PM,time,0100PM,{},,,
17,AWD0003syy,diary,14,2,1919-03-01 13:00:00 UTC,1 Mar 1919,Jumet,"[4.43745, 50.4422]",0100PM,place,"Hauteville, Hautezville","{""place""=>[""Hauteville"", ""Hautezville""], ""location""=>[""false""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
19,AWD0003syy,diary,14,2,1919-03-01 13:00:00 UTC,1 Mar 1919,Jumet,"[4.43745, 50.4422]",0100PM,place,Charleroi,"{""place""=>[""Charleroi""], ""location""=>[""false""], ""name""=>[""Charleroi"", """"], ""lat""=>[""50.41136"", """"], ""long""=>[""4.44448"", """"], ""id""=>[""2800481"", """"]}",,,
22,AWD0003syy,diary,14,2,1919-03-02 00:00:00 UTC,2 Mar 1919,Jumet,"[4.43745, 50.4422]","",diaryDate,2 Mar 1919,"{""day""=>[""2""], ""month""=>[""Mar""], ""year""=>[""1919""]}",,,
23,AWD0003syy,diary,14,4,1919-03-02 00:00:00 UTC,2 Mar 1919,"cologne , Cologne","[6.95, 50.93333]","",place,"cologne , Cologne","{""place""=>[""cologne "", ""Cologne""], ""location""=>[""true""], ""name""=>[""Köln""], ""lat""=>[""50.93333""], ""long""=>[""6.95""], ""id""=>[""2886242""]}",,,
25,AWD0003syy,diary,14,3,1919-03-02 00:00:00 UTC,2 Mar 1919,"cologne , Cologne","[6.95, 50.93333]","",diaryDate,2 Mar 1919,"{""day""=>[""2""], ""month""=>[""Mar""], ""year""=>[""1919""]}",,,
26,AWD0003syy,diary,14,4,1919-03-02 00:00:00 UTC,2 Mar 1919,Oberaussem,"[6.68261, 50.97259]","",place,Oberaussem,"{""place""=>[""Oberaussem""], ""location""=>[""true""], ""name""=>[""Oberaußem"", """"], ""lat""=>[""50.97259"", """"], ""long""=>[""6.68261"", """"], ""id""=>[""2861354"", """"]}",,,
27,AWD0003syy,diary,14,2,1919-03-02 09:00:00 UTC,2 Mar 1919,Oberaussem,"[6.68261, 50.97259]",0900AM,time,0900AM,{},,,
28,AWD0003syy,diary,14,2,1919-03-02 11:00:00 UTC,2 Mar 1919,Oberaussem,"[6.68261, 50.97259]",1100AM,time,1100AM,{},,,
