Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD0003t05,diary,177,4,1919-03-01 00:00:00 UTC,1 Mar 1919,"","[0.0, 0.0]","",diaryDate,1 Mar 1919,"{""day""=>[""1""], ""month""=>[""Mar""], ""year""=>[""1919""]}",2985684,Pozières,"[2.72929, 50.04047]"
2,AWD0003t05,diary,177,2,1919-03-01 00:00:00 UTC,1 Mar 1919,"","[0.0, 0.0]","",place,"Leuze, Wedze","{""place""=>[""Leuze"", ""Wedze""], ""location""=>[""false""], ""name""=>[""Leuze"", """"], ""lat""=>[""50.6"", """"], ""long""=>[""3.6"", """"], ""id""=>[""2792474"", """"]}",2985684,Pozières,"[2.72929, 50.04047]"
6,AWD0003t05,diary,177,3,1919-03-02 00:00:00 UTC,2 Mar 1919,"","[0.0, 0.0]","",diaryDate,2 Mar 1919,"{""day""=>[""2""], ""month""=>[""Mar""], ""year""=>[""1919""]}",2985684,Pozières,"[2.72929, 50.04047]"
7,AWD0003t05,diary,177,3,1919-03-02 00:00:00 UTC,2 Mar 1919,Duren,"[6.49299, 50.80434]","",place,Duren,"{""place""=>[""Duren""], ""location""=>[""true""], ""name""=>[""Düren""], ""lat""=>[""50.80434""], ""long""=>[""6.49299""], ""id""=>[""2934486""]}",2934486,Düren,"[6.49299, 50.80434]"
10,AWD0003t05,diary,177,2,1919-03-02 00:00:00 UTC,2 Mar 1919,Duren,"[6.49299, 50.80434]","",domestic,accomodation,{},2934486,Düren,"[6.49299, 50.80434]"
14,AWD0003t05,diary,177,3,1919-03-03 00:00:00 UTC,3 Mar 1919,Duren,"[6.49299, 50.80434]","",diaryDate,3 Mar 1919,"{""day""=>[""3""], ""month""=>[""Mar""], ""year""=>[""1919""]}",2934486,Düren,"[6.49299, 50.80434]"
16,AWD0003t05,diary,177,7,1919-03-03 00:00:00 UTC,3 Mar 1919,Duren,"[6.49299, 50.80434]","",domestic,parades,{},2934486,Düren,"[6.49299, 50.80434]"
17,AWD0003t05,diary,177,3,1919-03-04 00:00:00 UTC,4 Mar 1919,Duren,"[6.49299, 50.80434]","",diaryDate,4 Mar 1919,"{""day""=>[""4""], ""month""=>[""Mar""], ""year""=>[""1919""]}",2934486,Düren,"[6.49299, 50.80434]"
18,AWD0003t05,diary,177,2,1919-03-04 09:30:00 UTC,4 Mar 1919,Duren,"[6.49299, 50.80434]",0930AM,time,0930AM,{},2934486,Düren,"[6.49299, 50.80434]"
19,AWD0003t05,diary,177,3,1919-03-05 00:00:00 UTC,5 Mar 1919,Duren,"[6.49299, 50.80434]","",diaryDate,5 Mar 1919,"{""day""=>[""5""], ""month""=>[""Mar""], ""year""=>[""1919""]}",2934486,Düren,"[6.49299, 50.80434]"
20,AWD0003t05,diary,177,3,1919-03-05 00:00:00 UTC,5 Mar 1919,Duren,"[6.49299, 50.80434]","",domestic,parades,{},2934486,Düren,"[6.49299, 50.80434]"
21,AWD0003t05,diary,177,3,1919-03-06 00:00:00 UTC,6 Mar 1919,Duren,"[6.49299, 50.80434]","",diaryDate,6 Mar 1919,"{""day""=>[""6""], ""month""=>[""Mar""], ""year""=>[""1919""]}",2934486,Düren,"[6.49299, 50.80434]"
23,AWD0003t05,diary,177,3,1919-03-07 00:00:00 UTC,7 Mar 1919,Duren,"[6.49299, 50.80434]","",diaryDate,7 Mar 1919,"{""day""=>[""7""], ""month""=>[""Mar""], ""year""=>[""1919""]}",2934486,Düren,"[6.49299, 50.80434]"
24,AWD0003t05,diary,177,3,1919-03-07 00:00:00 UTC,7 Mar 1919,Duren,"[6.49299, 50.80434]","",domestic,parades,{},2934486,Düren,"[6.49299, 50.80434]"
26,AWD0003t05,diary,177,3,1919-03-08 00:00:00 UTC,8 Mar 1919,Duren,"[6.49299, 50.80434]","",diaryDate,8 Mar 1919,"{""day""=>[""8""], ""month""=>[""Mar""], ""year""=>[""1919""]}",2934486,Düren,"[6.49299, 50.80434]"
