Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
2,AWD0003pau,diary,2,3,1919-03-01 00:00:00 UTC,1 Mar 1919,"","[0.0, 0.0]","",diaryDate,1 Mar 1919,"{""day""=>[""1""], ""month""=>[""Mar""], ""year""=>[""1919""]}",2985684,Pozières,"[2.72929, 50.04047]"
3,AWD0003pau,diary,2,5,1919-03-01 00:00:00 UTC,1 Mar 1919,Lovenich,"[0.0, 0.0]","",place,Lovenich,"{""place""=>[""Lovenich""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
5,AWD0003pau,diary,2,2,1919-03-31 00:00:00 UTC,31 Mar 1919,Lovenich,"[0.0, 0.0]","",diaryDate,31 Mar 1919,"{""day""=>[""31""], ""month""=>[""Mar""], ""year""=>[""1919""]}",,,
12,AWD0003pau,diary,2,2,1919-03-20 00:00:00 UTC,20 Mar 1919,Lovenich,"[0.0, 0.0]","",diaryDate,20 Mar 1919,"{""day""=>[""20""], ""month""=>[""Mar""], ""year""=>[""1919""]}",,,
13,AWD0003pau,diary,2,3,1919-03-20 00:00:00 UTC,20 Mar 1919,London,"[-0.12574, 51.50853]","",place,London,"{""place""=>[""London""], ""location""=>[""true""], ""name""=>[""London""], ""lat""=>[""51.50853""], ""long""=>[""-0.12574""], ""id""=>[""2643743""]}",2643743,London,"[-0.12574, 51.50853]"
16,AWD0003pau,diary,2,3,1919-03-20 00:00:00 UTC,20 Mar 1919,London,"[-0.12574, 51.50853]","",person,Lieutenant Colonel  Vickery,"{""first""=>[""""], ""surname""=>[""Vickery""], ""rank""=>[""Lieutenant Colonel""], ""number""=>[""""], ""reason""=>[""commander""], ""unit""=>[""""]}",2643743,London,"[-0.12574, 51.50853]"
17,AWD0003pau,diary,2,2,1919-03-20 00:00:00 UTC,20 Mar 1919,London,"[-0.12574, 51.50853]","",place,London,"{""place""=>[""London""], ""location""=>[""false"", ""true""], ""name""=>[""London""], ""lat""=>[""51.50853""], ""long""=>[""-0.12574""], ""id""=>[""2643743""]}",2643743,London,"[-0.12574, 51.50853]"
19,AWD0003pau,diary,2,3,1919-03-20 00:00:00 UTC,20 Mar 1919,London,"[-0.12574, 51.50853]","",person,Captain J S Johnston,"{""first""=>[""J S""], ""surname""=>[""Johnston""], ""rank""=>[""Captain""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""""]}",2643743,London,"[-0.12574, 51.50853]"
2,AWD0003p9z,diary,4,2,1919-03-20 00:00:00 UTC,20 Mar 1919,"Lovenick Weiden Junkersdorf, Lovenich-Weiden-Junkersdorf","[0.9775, 43.72214]","",place,"Lovenick Weiden Junkersdorf, Lovenich-Weiden-Junkersdorf","{""place""=>[""Lovenick Weiden Junkersdorf"", ""Lovenich-Weiden-Junkersdorf""], ""location""=>[""true""], ""name""=>[""Cologne"", """"], ""lat""=>[""43.72214"", """"], ""long""=>[""0.9775"", """"], ""id""=>[""3024280"", """"]}",,,
3,AWD0003p9z,diary,4,5,1919-03-20 00:00:00 UTC,20 Mar 1919,Cologne,"[0.9775, 43.72214]","",place,Cologne,"{""place""=>[""Cologne""], ""location""=>[""true""], ""name""=>[""Cologne""], ""lat""=>[""43.72214"", """"], ""long""=>[""0.9775"", """"], ""id""=>[""3024280"", """"]}",3031862,Bologne,"[5.14209, 48.20004]"
4,AWD0003p9z,diary,4,4,1919-04-01 00:00:00 UTC,1 Apr 1919,Cologne,"[0.9775, 43.72214]","",diaryDate,1 Apr 1919,"{""day""=>[""1""], ""month""=>[""Apr""], ""year""=>[""1919""]}",3031862,Bologne,"[5.14209, 48.20004]"
5,AWD0003p9z,diary,4,2,1919-04-01 00:00:00 UTC,1 Apr 1919,Lovenich,"[6.8251, 50.94796]","",place,Lovenich,"{""place""=>[""Lovenich""], ""location""=>[""true""], ""name""=>[""Lövenich""], ""lat""=>[""50.94796""], ""long""=>[""6.8251""], ""id""=>[""2875695""]}",,,
8,AWD0003p9z,diary,4,3,1919-04-01 00:00:00 UTC,1 Apr 1919,Lovenich,"[6.8251, 50.94796]","",activity,other,{},,,
10,AWD0003p9z,diary,4,2,1919-04-30 00:00:00 UTC,30 Apr 1919,Lovenich,"[6.8251, 50.94796]","",diaryDate,30 Apr 1919,"{""day""=>[""30""], ""month""=>[""Apr""], ""year""=>[""1919""]}",,,
11,AWD0003p9z,diary,4,4,1919-04-30 00:00:00 UTC,30 Apr 1919,Lovenich,"[6.8251, 50.94796]","",activity,training,{},,,
12,AWD0003p9z,diary,4,2,1919-04-30 00:00:00 UTC,30 Apr 1919,Lovenich,"[6.8251, 50.94796]","",strength,other: 16,{},,,
13,AWD0003p9z,diary,4,2,1919-04-13 00:00:00 UTC,13 Apr 1919,Lovenich,"[6.8251, 50.94796]","",diaryDate,13 Apr 1919,"{""day""=>[""13""], ""month""=>[""Apr""], ""year""=>[""1919""]}",,,
14,AWD0003p9z,diary,4,5,1919-04-13 00:00:00 UTC,13 Apr 1919,Lovenich,"[6.8251, 50.94796]","",person,Lieutenant Colonel  Vickery,"{""first""=>[""""], ""surname""=>[""Vickery""], ""rank""=>[""Lieutenant Colonel""], ""number""=>[""""], ""reason""=>[""departed_posted""], ""unit""=>[""""]}",,,
16,AWD0003p9z,diary,4,4,1919-04-13 00:00:00 UTC,13 Apr 1919,Lovenich,"[6.8251, 50.94796]","",person,Lieutenant Colonel F G West,"{""first""=>[""F G""], ""surname""=>[""West""], ""rank""=>[""Lieutenant Colonel""], ""number""=>[""""], ""reason""=>[""commander""], ""unit""=>[""74th BDE RFA Northern Division"", """", ""74th Brigade RFA, Northern Division"", ""late 42nd Bdr RFA""]}",,,
19,AWD0003p9z,diary,4,5,1919-04-13 00:00:00 UTC,13 Apr 1919,Lovenich,"[6.8251, 50.94796]","",person,"Major G N C, Martin","{""first""=>[""G N C"", """"], ""surname""=>[""Martin""], ""rank""=>[""Major""], ""number""=>[""""], ""reason""=>[""departed_posted""], ""unit""=>[""""]}",,,
20,AWD0003p9z,diary,4,5,1919-04-13 00:00:00 UTC,13 Apr 1919,Lovenich,"[6.8251, 50.94796]","",person,Major G W Holt,"{""first""=>[""G W""], ""surname""=>[""Holt""], ""rank""=>[""Major""], ""number""=>[""""], ""reason""=>[""departed_posted""], ""unit""=>[""""]}",,,
22,AWD0003p9z,diary,4,5,1919-04-13 00:00:00 UTC,13 Apr 1919,Lovenich,"[6.8251, 50.94796]","",person,Captain J S Johnston,"{""first""=>[""J S""], ""surname""=>[""Johnston""], ""rank""=>[""Captain""], ""number""=>[""""], ""reason""=>[""resigned""], ""unit""=>[""""]}",,,
23,AWD0003p9z,diary,4,5,1919-04-13 00:00:00 UTC,13 Apr 1919,Lovenich,"[6.8251, 50.94796]","",person,Captain T L Vaisey,"{""first""=>[""T L""], ""surname""=>[""Vaisey""], ""rank""=>[""Captain""], ""number""=>[""""], ""reason""=>[""resigned""], ""unit""=>[""""]}",,,
24,AWD0003p9z,diary,4,5,1919-04-13 00:00:00 UTC,13 Apr 1919,Lovenich,"[6.8251, 50.94796]","",person,Second Lieutenant P O Simpson,"{""first""=>[""P O""], ""surname""=>[""Simpson""], ""rank""=>[""Second Lieutenant""], ""number""=>[""""], ""reason""=>[""resigned""], ""unit""=>[""""]}",,,
25,AWD0003p9z,diary,4,5,1919-04-13 00:00:00 UTC,13 Apr 1919,Lovenich,"[6.8251, 50.94796]","",person,Second Lieutenant A S Mitchell,"{""first""=>[""A S""], ""surname""=>[""Mitchell""], ""rank""=>[""Second Lieutenant""], ""number""=>[""""], ""reason""=>[""resigned""], ""unit""=>[""""]}",,,
26,AWD0003p9z,diary,4,5,1919-04-13 00:00:00 UTC,13 Apr 1919,Lovenich,"[6.8251, 50.94796]","",person,Second Lieutenant S J Rossdale,"{""first""=>[""S J""], ""surname""=>[""Rossdale""], ""rank""=>[""Second Lieutenant""], ""number""=>[""""], ""reason""=>[""resigned""], ""unit""=>[""""]}",,,
27,AWD0003p9z,diary,4,5,1919-04-13 00:00:00 UTC,13 Apr 1919,Lovenich,"[6.8251, 50.94796]","",person,Second Lieutenant R Doncaster,"{""first""=>[""R""], ""surname""=>[""Doncaster""], ""rank""=>[""Second Lieutenant""], ""number""=>[""""], ""reason""=>[""resigned""], ""unit""=>[""""]}",,,
28,AWD0003p9z,diary,4,5,1919-04-13 00:00:00 UTC,13 Apr 1919,Lovenich,"[6.8251, 50.94796]","",person,Lieutenant C E Crain,"{""first""=>[""C E""], ""surname""=>[""Crain""], ""rank""=>[""Lieutenant""], ""number""=>[""""], ""reason""=>[""resigned""], ""unit""=>[""""]}",,,
29,AWD0003p9z,diary,4,4,1919-04-13 00:00:00 UTC,13 Apr 1919,Lovenich,"[6.8251, 50.94796]","",person,Lieutenant A L Kershaw,"{""first""=>[""A L""], ""surname""=>[""Kershaw""], ""rank""=>[""Lieutenant""], ""number""=>[""""], ""reason""=>[""departed_posted""], ""unit""=>[""""]}",,,
30,AWD0003p9z,diary,4,4,1919-04-13 00:00:00 UTC,13 Apr 1919,Lovenich,"[6.8251, 50.94796]","",person,Lieutenant F Percival,"{""first""=>[""F""], ""surname""=>[""Percival""], ""rank""=>[""Lieutenant""], ""number""=>[""""], ""reason""=>[""departed_posted""], ""unit""=>[""""]}",,,
31,AWD0003p9z,diary,4,5,1919-04-13 00:00:00 UTC,13 Apr 1919,Lovenich,"[6.8251, 50.94796]","",person,Lieutenant O D Mason,"{""first""=>[""O D""], ""surname""=>[""Mason""], ""rank""=>[""Lieutenant""], ""number""=>[""""], ""reason""=>[""departed_sick""], ""unit""=>[""""]}",,,
33,AWD0003p9z,diary,4,2,1919-04-13 00:00:00 UTC,13 Apr 1919,Lovenich,"[6.8251, 50.94796]","",person,"Major,  ","{""first""=>[""""], ""surname""=>[""""], ""rank""=>[""Major"", """"], ""number""=>[""""], ""reason""=>[""commander""], ""unit""=>[""""]}",,,
2,AWD0003pa2,diary,5,2,1919-04-01 00:00:00 UTC,1 Apr 1919,Lovenich,"[6.8251, 50.94796]","",diaryDate,1 Apr 1919,"{""day""=>[""1""], ""month""=>[""Apr""], ""year""=>[""1919""]}",,,
4,AWD0003pa2,diary,5,3,1919-04-01 00:00:00 UTC,1 Apr 1919,Cologne,"[0.0, 0.0]","",place,Cologne,"{""place""=>[""Cologne""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",3031862,Bologne,"[5.14209, 48.20004]"
5,AWD0003pa2,diary,5,4,1919-04-01 00:00:00 UTC,1 Apr 1919,Cologne,"[0.0, 0.0]","",person,Major R R M Percival,"{""first""=>[""R R M""], ""surname""=>[""Percival""], ""rank""=>[""Major""], ""number""=>[""""], ""reason""=>[""joined""], ""unit""=>[""""]}",3031862,Bologne,"[5.14209, 48.20004]"
6,AWD0003pa2,diary,5,4,1919-04-01 00:00:00 UTC,1 Apr 1919,Cologne,"[0.0, 0.0]","",person,Major P Nicol,"{""first""=>[""P""], ""surname""=>[""Nicol""], ""rank""=>[""Major""], ""number""=>[""""], ""reason""=>[""joined""], ""unit""=>[""""]}",3031862,Bologne,"[5.14209, 48.20004]"
7,AWD0003pa2,diary,5,4,1919-04-01 00:00:00 UTC,1 Apr 1919,Cologne,"[0.0, 0.0]","",person,Major H C Worrall,"{""first""=>[""H C""], ""surname""=>[""Worrall""], ""rank""=>[""Major""], ""number""=>[""""], ""reason""=>[""joined""], ""unit""=>[""""]}",3031862,Bologne,"[5.14209, 48.20004]"
8,AWD0003pa2,diary,5,4,1919-04-01 00:00:00 UTC,1 Apr 1919,Cologne,"[0.0, 0.0]","",person,Lieutenant H M Duncan,"{""first""=>[""H M""], ""surname""=>[""Duncan""], ""rank""=>[""Lieutenant""], ""number""=>[""""], ""reason""=>[""joined""], ""unit""=>[""""]}",3031862,Bologne,"[5.14209, 48.20004]"
9,AWD0003pa2,diary,5,3,1919-04-01 00:00:00 UTC,1 Apr 1919,Cologne,"[0.0, 0.0]","",person,"Lieutenant C A McMurtry, McMuntry, MacMunstry","{""first""=>[""C A""], ""surname""=>[""McMurtry"", ""McMuntry"", ""MacMunstry""], ""rank""=>[""Lieutenant""], ""number""=>[""""], ""reason""=>[""joined""], ""unit""=>[""""]}",3031862,Bologne,"[5.14209, 48.20004]"
10,AWD0003pa2,diary,5,4,1919-04-01 00:00:00 UTC,1 Apr 1919,Cologne,"[0.0, 0.0]","",person,Lieutenant T A Charlesworth,"{""first""=>[""T A""], ""surname""=>[""Charlesworth""], ""rank""=>[""Lieutenant""], ""number""=>[""""], ""reason""=>[""joined""], ""unit""=>[""""]}",3031862,Bologne,"[5.14209, 48.20004]"
11,AWD0003pa2,diary,5,4,1919-04-01 00:00:00 UTC,1 Apr 1919,Cologne,"[0.0, 0.0]","",person,Lieutenant A Hollingworth,"{""first""=>[""A""], ""surname""=>[""Hollingworth""], ""rank""=>[""Lieutenant""], ""number""=>[""""], ""reason""=>[""joined""], ""unit""=>[""""]}",3031862,Bologne,"[5.14209, 48.20004]"
