Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD0003p9r,diary,2,3,1919-04-01 00:00:00 UTC,1 Apr 1919,"","[0.0, 0.0]","",diaryDate,1 Apr 1919,"{""day""=>[""1""], ""month""=>[""Apr""], ""year""=>[""1919""]}",2985684,Pozières,"[2.72929, 50.04047]"
3,AWD0003p9r,diary,2,4,1919-04-01 00:00:00 UTC,1 Apr 1919,"GrossKoenigsdorf, gros konigsdorf, Gross Konigsdorf, Gros Konigsdorf","[0.0, 0.0]","",place,"GrossKoenigsdorf, gros konigsdorf, Gross Konigsdorf, Gros Konigsdorf","{""place""=>[""GrossKoenigsdorf"", ""gros konigsdorf"", ""Gross Konigsdorf"", ""Gros Konigsdorf""], ""location""=>[""true""], ""name""=>[""Großkönigsdorf"", ""Vauxtin"", """", ""Aldershot""], ""lat""=>[""50.93333"", ""49.34988"", """", ""51.24827""], ""long""=>[""6.78333"", ""3.60321"", """", ""-0.76389""], ""id""=>[""2915399"", ""2970309"", """", ""2657540""]}",,,
5,AWD0003p9r,diary,2,4,1919-04-01 00:00:00 UTC,1 Apr 1919,"GrossKoenigsdorf, gros konigsdorf, Gross Konigsdorf, Gros Konigsdorf","[0.0, 0.0]","",person,Lieutenant Colonel S W L Aschwanden,"{""first""=>[""S W L""], ""surname""=>[""Aschwanden""], ""rank""=>[""Lieutenant Colonel""], ""number""=>[""""], ""reason""=>[""commander""], ""unit""=>[""""]}",,,
6,AWD0003p9r,diary,2,4,1919-04-01 00:00:00 UTC,1 Apr 1919,"GrossKoenigsdorf, gros konigsdorf, Gross Konigsdorf, Gros Konigsdorf","[0.0, 0.0]","",person,Lieutenant Colonel T Kirkland,"{""first""=>[""T""], ""surname""=>[""Kirkland""], ""rank""=>[""Lieutenant Colonel""], ""number""=>[""""], ""reason""=>[""departed_posted""], ""unit""=>[""""]}",,,
7,AWD0003p9r,diary,2,3,1919-04-01 00:00:00 UTC,1 Apr 1919,"GrossKoenigsdorf, gros konigsdorf, Gross Konigsdorf, Gros Konigsdorf","[0.0, 0.0]","",activity,training,{},,,
9,AWD0003p9r,diary,2,3,1919-04-01 00:00:00 UTC,1 Apr 1919,"GrossKoenigsdorf, gros konigsdorf, Gross Konigsdorf, Gros Konigsdorf","[0.0, 0.0]","",domestic,sport,{},,,
10,AWD0003p9r,diary,2,3,1919-04-01 00:00:00 UTC,1 Apr 1919,"GrossKoenigsdorf, gros konigsdorf, Gross Konigsdorf, Gros Konigsdorf","[0.0, 0.0]","",activity,construction,{},,,
3,AWD0003pal,diary,3,3,1919-04-01 00:00:00 UTC,1 Apr 1919,"GrossKoenigsdorf, gros konigsdorf, Gross Konigsdorf, Gros Konigsdorf","[0.0, 0.0]","",diaryDate,1 Apr 1919,"{""day""=>[""1""], ""month""=>[""Apr""], ""year""=>[""1919""]}",,,
4,AWD0003pal,diary,3,4,1919-04-01 00:00:00 UTC,1 Apr 1919,GrossKoenigsdorf,"[6.78333, 50.93333]","",place,GrossKoenigsdorf,"{""place""=>[""GrossKoenigsdorf""], ""location""=>[""true""], ""name""=>[""Großkönigsdorf""], ""lat""=>[""50.93333""], ""long""=>[""6.78333""], ""id""=>[""2915399""]}",,,
5,AWD0003pal,diary,3,4,1919-04-01 00:00:00 UTC,1 Apr 1919,GrossKoenigsdorf,"[6.78333, 50.93333]","",person,Lieutenant Colonel S W L Aschwanden,"{""first""=>[""S W L""], ""surname""=>[""Aschwanden""], ""rank""=>[""Lieutenant Colonel""], ""number""=>[""""], ""reason""=>[""commander"", ""joined""], ""unit""=>[""""]}",,,
