Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
2,AWD0003p7i,diary,5,6,,"",Devenport,"[0.0, 0.0]","",place,Devenport,"{""place""=>[""Devenport""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
5,AWD0003p7i,diary,5,2,,"",Devenport,"[0.0, 0.0]","",activity,movement,{},,,
6,AWD0003p7i,diary,5,5,1914-08-05 00:00:00 UTC,5 Aug 1914,Devenport,"[0.0, 0.0]","",diaryDate,5 Aug 1914,"{""day""=>[""5""], ""month""=>[""Aug""], ""year""=>[""1914""]}",,,
7,AWD0003p7i,diary,5,3,1914-08-05 16:00:00 UTC,5 Aug 1914,Devenport,"[0.0, 0.0]",0400PM,time,0400PM,{},,,
8,AWD0003p7i,diary,5,4,1914-08-05 16:00:00 UTC,5 Aug 1914,Devenport,"[0.0, 0.0]",0400PM,person,Lieutenant Colonel C A Stone,"{""first""=>[""C A""], ""surname""=>[""Stone""], ""rank""=>[""Lieutenant Colonel""], ""number""=>[""""], ""reason""=>[""commander""], ""unit""=>[""RAMC""]}",,,
10,AWD0003p7i,diary,5,4,1914-08-05 16:00:00 UTC,5 Aug 1914,Devenport,"[0.0, 0.0]",0400PM,person,Major A G Thompson,"{""first""=>[""A G""], ""surname""=>[""Thompson""], ""rank""=>[""Major""], ""number""=>[""""], ""reason""=>[""joined""], ""unit""=>[""""]}",,,
11,AWD0003p7i,diary,5,2,1914-08-05 16:00:00 UTC,5 Aug 1914,Devenport,"[0.0, 0.0]",0400PM,strength,nco: 23,{},,,
12,AWD0003p7i,diary,5,2,1914-08-05 16:00:00 UTC,5 Aug 1914,Devenport,"[0.0, 0.0]",0400PM,domestic,accomodation,{},,,
13,AWD0003p7i,diary,5,2,1914-08-05 16:00:00 UTC,5 Aug 1914,Devenport,"[0.0, 0.0]",0400PM,place,"ST DUNSTANS ABBEY SCHOOL, St Dunstans Abbey School","{""place""=>[""ST DUNSTANS ABBEY SCHOOL"", ""St Dunstans Abbey School""], ""location""=>[""true"", ""false""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
14,AWD0003p7i,diary,5,2,1914-08-05 16:00:00 UTC,5 Aug 1914,Devenport,"[0.0, 0.0]",0400PM,place,"Woldson St School, WOLSDON ST SCHOOL","{""place""=>[""Woldson St School"", ""WOLSDON ST SCHOOL""], ""location""=>[""false"", ""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
16,AWD0003p7i,diary,5,2,1914-08-05 16:00:00 UTC,5 Aug 1914,Devenport,"[0.0, 0.0]",0400PM,place,"ST PETERS SCHOOL, St Peter's School","{""place""=>[""ST PETERS SCHOOL"", ""St Peter's School""], ""location""=>[""true"", ""false""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
17,AWD0003p7i,diary,5,2,1914-08-05 16:00:00 UTC,5 Aug 1914,Plymouth,"[-4.14305, 50.37153]",0400PM,place,Plymouth,"{""place""=>[""Plymouth""], ""location""=>[""true""], ""name""=>[""Plymouth""], ""lat""=>[""50.37153""], ""long""=>[""-4.14305""], ""id""=>[""2640194""]}",2640194,Plymouth,"[-4.14305, 50.37153]"
19,AWD0003p7i,diary,5,3,1914-08-05 16:00:00 UTC,5 Aug 1914,Plymouth,"[-4.14305, 50.37153]",0400PM,domestic,hygiene,{},2640194,Plymouth,"[-4.14305, 50.37153]"
20,AWD0003p7i,diary,5,4,1914-08-05 16:00:00 UTC,5 Aug 1914,Plymouth,"[-4.14305, 50.37153]",0400PM,domestic,accomodation,{},2640194,Plymouth,"[-4.14305, 50.37153]"
23,AWD0003p7i,diary,5,6,1914-08-06 00:00:00 UTC,6 Aug 1914,Plymouth,"[-4.14305, 50.37153]","",diaryDate,6 Aug 1914,"{""day""=>[""6""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2640194,Plymouth,"[-4.14305, 50.37153]"
24,AWD0003p7i,diary,5,2,1914-08-06 00:00:00 UTC,6 Aug 1914,Plymouth,"[-4.14305, 50.37153]","",activity,movement,{},2640194,Plymouth,"[-4.14305, 50.37153]"
25,AWD0003p7i,diary,5,3,1914-08-06 10:00:00 UTC,6 Aug 1914,Plymouth,"[-4.14305, 50.37153]",1000AM,time,1000AM,{},2640194,Plymouth,"[-4.14305, 50.37153]"
26,AWD0003p7i,diary,5,3,1914-08-06 10:00:00 UTC,6 Aug 1914,"devonport, Devenport, DEVENPORT","[0.0, 0.0]",1000AM,place,"devonport, Devenport, DEVENPORT","{""place""=>[""devonport"", ""Devenport"", ""DEVENPORT""], ""location""=>[""true""], ""name""=>[""Devonport"", ""Weiden"", """"], ""lat""=>[""50.37807"", ""49.67682"", """"], ""long""=>[""-4.17534"", ""12.15613"", """"], ""id""=>[""2651289"", ""2813040"", """"]}",,,
27,AWD0003p7i,diary,5,2,1914-08-06 10:00:00 UTC,6 Aug 1914,"ST DUNSTANS ABBEY SCHOOL, St Dunstans Abbey School","[0.0, 0.0]",1000AM,place,"ST DUNSTANS ABBEY SCHOOL, St Dunstans Abbey School","{""place""=>[""ST DUNSTANS ABBEY SCHOOL"", ""St Dunstans Abbey School""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
1,AWD0003p2a,diary,6,5,1914-08-06 10:00:00 UTC,6 Aug 1914,Devenport,"[0.0, 0.0]",1000AM,place,Devenport,"{""place""=>[""Devenport""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
2,AWD0003p2a,diary,6,2,1914-08-06 10:00:00 UTC,6 Aug 1914,Devenport,"[0.0, 0.0]",1000AM,activity,movement,{},,,
3,AWD0003p2a,diary,6,5,1914-08-05 00:00:00 UTC,5 Aug 1914,Devenport,"[0.0, 0.0]","",diaryDate,5 Aug 1914,"{""day""=>[""5""], ""month""=>[""Aug""], ""year""=>[""1914""]}",,,
