Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD0003or6,diary,446,5,,"","","[0.0, 0.0]","",person,Major E W Bliss,"{""first""=>[""E W""], ""surname""=>[""Bliss""], ""rank""=>[""Major""], ""number""=>[""""], ""reason""=>[""joined""], ""unit""=>[""O.C. \""B\"" Section""]}",2985684,Pozières,"[2.72929, 50.04047]"
2,AWD0003or6,diary,446,3,1914-08-05 00:00:00 UTC,5 Aug 1914,"","[0.0, 0.0]","",diaryDate,5 Aug 1914,"{""day""=>[""5""], ""month""=>[""Aug""], ""year""=>[""1914""]}",2985684,Pozières,"[2.72929, 50.04047]"
3,AWD0003or6,diary,446,4,1914-08-05 19:00:00 UTC,5 Aug 1914,"","[0.0, 0.0]",0700PM,time,0700PM,{},2985684,Pozières,"[2.72929, 50.04047]"
4,AWD0003or6,diary,446,4,1914-08-05 19:00:00 UTC,5 Aug 1914,"","[0.0, 0.0]",0700PM,person,Lieutenant Colonel G S McLoughlan,"{""first""=>[""G S""], ""surname""=>[""McLoughlan""], ""rank""=>[""Lieutenant Colonel""], ""number""=>[""""], ""reason""=>[""joined""], ""unit""=>[""O.C. Unit""]}",2985684,Pozières,"[2.72929, 50.04047]"
7,AWD0003or6,diary,446,5,1914-08-05 19:00:00 UTC,5 Aug 1914,Southsea,"[-1.08593, 50.79205]",0700PM,place,Southsea,"{""place""=>[""Southsea""], ""location""=>[""true""], ""name""=>[""Southsea""], ""lat""=>[""50.79205""], ""long""=>[""-1.08593""], ""id""=>[""2637330""]}",,,
8,AWD0003or6,diary,446,5,1914-08-05 19:00:00 UTC,5 Aug 1914,Southsea,"[-1.08593, 50.79205]",0700PM,person,Captain  Roberts,"{""first""=>[""""], ""surname""=>[""Roberts""], ""rank""=>[""Captain""], ""number""=>[""""], ""reason""=>[""joined""], ""unit""=>[""""]}",,,
9,AWD0003or6,diary,446,5,1914-08-05 19:00:00 UTC,5 Aug 1914,Southsea,"[-1.08593, 50.79205]",0700PM,person,Major W E Hudleston,"{""first""=>[""W E""], ""surname""=>[""Hudleston""], ""rank""=>[""Major""], ""number""=>[""""], ""reason""=>[""joined""], ""unit""=>[""O.C. \""C\"" Section""]}",,,
10,AWD0003or6,diary,446,2,1914-08-05 19:00:00 UTC,5 Aug 1914,Southsea,"[-1.08593, 50.79205]",0700PM,domestic,accomodation,{},,,
11,AWD0003or6,diary,446,4,1914-08-05 19:00:00 UTC,5 Aug 1914,Southsea,"[-1.08593, 50.79205]",0700PM,person,Lieutenant  Conway,"{""first""=>[""""], ""surname""=>[""Conway""], ""rank""=>[""Lieutenant""], ""number""=>[""""], ""reason""=>[""joined""], ""unit""=>[""""]}",,,
12,AWD0003or6,diary,446,2,1914-08-05 19:00:00 UTC,5 Aug 1914,Southsea,"[-1.08593, 50.79205]",0700PM,place,Royal Beach Hotel,"{""place""=>[""Royal Beach Hotel""], ""location""=>[""true"", ""false""], ""name""=>[""Southsea""], ""lat""=>[""50.79205""], ""long""=>[""-1.08593""], ""id""=>[""2637330""]}",,,
