Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD0003sre,diary,390,4,1915-03-01 00:00:00 UTC,1 Mar 1915,"","[0.0, 0.0]","",diaryDate,1 Mar 1915,"{""day""=>[""1""], ""month""=>[""Mar""], ""year""=>[""1915""]}",2985684,Pozières,"[2.72929, 50.04047]"
2,AWD0003sre,diary,390,2,1915-03-01 00:00:00 UTC,1 Mar 1915,"","[0.0, 0.0]","",person,"Captain W W,WW BOYER, Boyce","{""first""=>[""W W"", ""WW""], ""surname""=>[""BOYER"", ""Boyce""], ""rank""=>[""Captain""], ""number""=>[""""], ""reason""=>[""departed_leave""], ""unit""=>["""", ""RAMC""]}",2985684,Pozières,"[2.72929, 50.04047]"
5,AWD0003sre,diary,390,2,1915-03-01 00:00:00 UTC,1 Mar 1915,"","[0.0, 0.0]","",person,Lieutenant  McCullagh,"{""first""=>[""""], ""surname""=>[""McCullagh""], ""rank""=>[""Lieutenant""], ""number""=>[""""], ""reason""=>[""departed_leave""], ""unit""=>[""""]}",2985684,Pozières,"[2.72929, 50.04047]"
6,AWD0003sre,diary,390,3,1915-03-01 00:00:00 UTC,1 Mar 1915,Bethune,"[2.63333, 50.53333]","",place,Bethune,"{""place""=>[""Bethune""], ""location""=>[""true""], ""name""=>[""Béthune""], ""lat""=>[""50.53333""], ""long""=>[""2.63333""], ""id""=>[""3033002""]}",3033002,Béthune,"[2.63333, 50.53333]"
7,AWD0003sre,diary,390,2,1915-03-01 00:00:00 UTC,1 Mar 1915,Bethune,"[2.63333, 50.53333]","",domestic,inspections,{},3033002,Béthune,"[2.63333, 50.53333]"
8,AWD0003sre,diary,390,3,1915-03-01 00:00:00 UTC,1 Mar 1915,Bethune,"[2.63333, 50.53333]","",person,Brigadier General H C Lowther,"{""first""=>[""H C""], ""surname""=>[""Lowther""], ""rank""=>[""Brigadier General""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""""]}",3033002,Béthune,"[2.63333, 50.53333]"
9,AWD0003sre,diary,390,3,1915-03-01 00:00:00 UTC,1 Mar 1915,Bethune,"[2.63333, 50.53333]","",person,"Brigadier General  EARL OF CAVAN, The Earl of Cavan, Earl of Cavan","{""first""=>[""""], ""surname""=>[""EARL OF CAVAN"", ""The Earl of Cavan"", ""Earl of Cavan""], ""rank""=>[""Brigadier General""], ""number""=>[""""], ""reason""=>[""casualty_wounded""], ""unit""=>[""""]}",3033002,Béthune,"[2.63333, 50.53333]"
10,AWD0003sre,diary,390,3,1915-03-01 00:00:00 UTC,1 Mar 1915,Bethune,"[2.63333, 50.53333]","",casualties,other: 39,{},3033002,Béthune,"[2.63333, 50.53333]"
11,AWD0003sre,diary,390,2,1915-03-01 00:00:00 UTC,1 Mar 1915,Bethune,"[2.63333, 50.53333]","",person,"Lieutenant R CRANE, Crane","{""first""=>[""R""], ""surname""=>[""CRANE"", ""Crane""], ""rank""=>[""Lieutenant""], ""number""=>[""""], ""reason""=>[""resigned"", ""casualty_wounded""], ""unit""=>[""""]}",3033002,Béthune,"[2.63333, 50.53333]"
12,AWD0003sre,diary,390,2,1915-03-01 00:00:00 UTC,1 Mar 1915,Bethune,"[2.63333, 50.53333]","",person,Second Lieutenant A Silcock,"{""first""=>[""A""], ""surname""=>[""Silcock""], ""rank""=>[""Second Lieutenant""], ""number""=>[""""], ""reason""=>[""casualty_wounded""], ""unit""=>[""2nd Sth Staffs"", ""2 South Staffs""]}",3033002,Béthune,"[2.63333, 50.53333]"
13,AWD0003sre,diary,390,3,1915-03-01 00:00:00 UTC,1 Mar 1915,Bethune,"[2.63333, 50.53333]","",person, J Percival,"{""first""=>[""J""], ""surname""=>[""Percival""], ""rank""=>[""""], ""number""=>[""2749""], ""reason""=>[""commander""], ""unit""=>[""3rd Coldstream Guards""]}",3033002,Béthune,"[2.63333, 50.53333]"
3,AWD0003sp1,diary,391,3,1915-03-02 00:00:00 UTC,2 Mar 1915,Bethune,"[2.63333, 50.53333]","",diaryDate,2 Mar 1915,"{""day""=>[""2""], ""month""=>[""Mar""], ""year""=>[""1915""]}",3033002,Béthune,"[2.63333, 50.53333]"
4,AWD0003sp1,diary,391,4,1915-03-02 00:00:00 UTC,2 Mar 1915,Bethune,"[2.63333, 50.53333]","",person,Captain P A Lloyd-Jones,"{""first""=>[""P A""], ""surname""=>[""Lloyd-Jones""], ""rank""=>[""Captain""], ""number""=>[""""], ""reason""=>[""departed_leave""], ""unit""=>[""RAMC"", """"]}",3033002,Béthune,"[2.63333, 50.53333]"
6,AWD0003sp1,diary,391,4,1915-03-02 00:00:00 UTC,2 Mar 1915,Bethune,"[2.63333, 50.53333]","",person,Lieutenant H H P Morton,"{""first""=>[""H H P""], ""surname""=>[""Morton""], ""rank""=>[""Lieutenant""], ""number""=>[""""], ""reason""=>[""departed_leave""], ""unit""=>[""""]}",3033002,Béthune,"[2.63333, 50.53333]"
8,AWD0003sp1,diary,391,5,1915-03-02 00:00:00 UTC,2 Mar 1915,Bethune,"[2.63333, 50.53333]","",place,Bethune,"{""place""=>[""Bethune""], ""location""=>[""true""], ""name""=>[""Béthune""], ""lat""=>[""50.53333""], ""long""=>[""2.63333""], ""id""=>[""3033002""]}",3033002,Béthune,"[2.63333, 50.53333]"
12,AWD0003sp1,diary,391,4,1915-03-02 00:00:00 UTC,2 Mar 1915,Bethune,"[2.63333, 50.53333]","",casualties,other: 23,{},3033002,Béthune,"[2.63333, 50.53333]"
1,AWD0003srl,diary,392,5,1915-03-03 00:00:00 UTC,3 Mar 1915,Bethune,"[2.63333, 50.53333]","",diaryDate,3 Mar 1915,"{""day""=>[""3""], ""month""=>[""Mar""], ""year""=>[""1915""]}",3033002,Béthune,"[2.63333, 50.53333]"
3,AWD0003srl,diary,392,4,1915-03-03 00:00:00 UTC,3 Mar 1915,Bethune,"[2.63333, 50.53333]","",casualties,other: 11,{},3033002,Béthune,"[2.63333, 50.53333]"
4,AWD0003srl,diary,392,6,1915-03-03 00:00:00 UTC,3 Mar 1915,Bethune,"[2.63333, 50.53333]","",place,Bethune,"{""place""=>[""Bethune""], ""location""=>[""true""], ""name""=>[""Béthune""], ""lat""=>[""50.53333""], ""long""=>[""2.63333""], ""id""=>[""3033002""]}",3033002,Béthune,"[2.63333, 50.53333]"
1,AWD0003sq6,diary,393,5,1915-03-04 00:00:00 UTC,4 Mar 1915,Bethune,"[2.63333, 50.53333]","",diaryDate,4 Mar 1915,"{""day""=>[""4""], ""month""=>[""Mar""], ""year""=>[""1915""]}",3033002,Béthune,"[2.63333, 50.53333]"
3,AWD0003sq6,diary,393,3,1915-03-04 00:00:00 UTC,4 Mar 1915,Bethune,"[2.63333, 50.53333]","",person,"Brigadier General  The Earl of Cavan, Earl of Cavan, CAVAN","{""first""=>[""""], ""surname""=>[""The Earl of Cavan"", ""Earl of Cavan"", ""CAVAN""], ""rank""=>[""Brigadier General""], ""number""=>[""""], ""reason""=>[""other"", ""returned_hospital"", ""returned_leave""], ""unit""=>[""""]}",3033002,Béthune,"[2.63333, 50.53333]"
5,AWD0003sq6,diary,393,5,1915-03-04 00:00:00 UTC,4 Mar 1915,Bethune,"[2.63333, 50.53333]","",place,Bethune,"{""place""=>[""Bethune""], ""location""=>[""true""], ""name""=>[""Béthune""], ""lat""=>[""50.53333""], ""long""=>[""2.63333""], ""id""=>[""3033002""]}",3033002,Béthune,"[2.63333, 50.53333]"
6,AWD0003sq6,diary,393,4,1915-03-04 00:00:00 UTC,4 Mar 1915,Bethune,"[2.63333, 50.53333]","",casualties,other: 20,{},3033002,Béthune,"[2.63333, 50.53333]"
7,AWD0003sq6,diary,393,2,1915-03-04 00:00:00 UTC,4 Mar 1915,Bethune,"[2.63333, 50.53333]","",person,"Major P Henderson, Huderson","{""first""=>[""P""], ""surname""=>[""Henderson"", ""Huderson""], ""rank""=>[""Major""], ""number""=>[""""], ""reason""=>[""other"", ""casualty_wounded""], ""unit""=>["""", ""1st Truro""]}",3033002,Béthune,"[2.63333, 50.53333]"
