Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD0003tks,orders,4,2,,,,[],,date,13 Nov 1915,{},,,
2,AWD0003tks,orders,4,2,,,,[],,date,29 Oct 1915,{},,,
3,AWD0003tky,report,5,4,,,,[],,person,Captain S H Dix,"{""first""=>[""S H""], ""surname""=>[""Dix""], ""rank""=>[""Captain""], ""number""=>[""""], ""reason""=>[""award""], ""unit""=>[""""]}",,,
4,AWD0003tky,report,5,3,,,,[],,person,"Company Sergeant Major H Cerigat, Wright, Ceriglet","{""first""=>[""H""], ""surname""=>[""Cerigat"", ""Wright"", ""Ceriglet""], ""rank""=>[""Company Sergeant Major""], ""number""=>[""""], ""reason""=>[""award""], ""unit""=>[""""]}",,,
5,AWD0003tky,report,5,3,,,,[],,person,Captain S H Dix,"{""first""=>[""S H""], ""surname""=>[""Dix""], ""rank""=>[""Captain""], ""number""=>[""""], ""reason""=>[""award""], ""unit""=>[""""]}",,,
6,AWD0003tky,report,5,3,,,,[],,person,Corporal  Bailey,"{""first""=>[""""], ""surname""=>[""Bailey""], ""rank""=>[""Corporal""], ""number""=>[""""], ""reason""=>[""award""], ""unit""=>[""""]}",,,
7,AWD0003tky,report,5,3,,,,[],,person,"Corporal  Sampson, Squimpson, Sympson","{""first""=>[""""], ""surname""=>[""Sampson"", ""Squimpson"", ""Sympson""], ""rank""=>[""Corporal""], ""number""=>[""""], ""reason""=>[""award""], ""unit""=>[""""]}",,,
8,AWD0003tky,report,5,3,,,,[],,person,"Private  Danagle, Danagh, Danaghe","{""first""=>[""""], ""surname""=>[""Danagle"", ""Danagh"", ""Danaghe""], ""rank""=>[""Private""], ""number""=>[""""], ""reason""=>[""award""], ""unit""=>[""""]}",,,
10,AWD0003tky,report,5,2,,,,[],,person,Private  Sibley,"{""first""=>[""""], ""surname""=>[""Sibley""], ""rank""=>[""Private""], ""number""=>[""""], ""reason""=>[""award""], ""unit""=>["""", ""Divisional Cyclist Company""]}",,,
11,AWD0003tky,report,5,3,,,,[],,person,Private  Tyrell,"{""first""=>[""""], ""surname""=>[""Tyrell""], ""rank""=>[""Private""], ""number""=>[""""], ""reason""=>[""award""], ""unit""=>[""""]}",,,
2,AWD0003tkt,diary,6,2,,"",Hounslow,"[-0.36092, 51.46839]","",place,Hounslow,"{""place""=>[""Hounslow""], ""location""=>[""true""], ""name""=>[""Hounslow"", """"], ""lat""=>[""51.46839"", """"], ""long""=>[""-0.36092"", """"], ""id""=>[""2646517"", """"]}",2646517,Hounslow,"[-0.36092, 51.46839]"
10,AWD0003tkt,diary,6,2,1914-05-30 00:00:00 UTC,30 May 1914,Hounslow,"[-0.36092, 51.46839]","",diaryDate,30 May 1914,"{""day""=>[""30""], ""month""=>[""May""], ""year""=>[""1914""]}",2646517,Hounslow,"[-0.36092, 51.46839]"
13,AWD0003tkt,diary,6,2,1914-05-30 00:00:00 UTC,30 May 1914,Hounslow,"[-0.36092, 51.46839]","",strength,"officer: 4, other: 40",{},2646517,Hounslow,"[-0.36092, 51.46839]"
