Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
8,AWD0003sju,cover,1,2,,,,[],,activity,movement,{},,,
10,AWD0003sju,cover,1,2,,,,[],,casualties,sick: 1,{},,,
15,AWD0003sju,cover,1,2,,,,[],,activity,movement,{},,,
16,AWD0003sju,cover,1,2,,,,[],,casualties,sick: 1,{},,,
22,AWD0003sju,cover,1,3,,,,[],,activity,movement,{},,,
29,AWD0003sju,cover,1,2,,,,[],,activity,movement,{},,,
43,AWD0003sju,cover,1,2,,,,[],,casualties,sick: 1,{},,,
2,AWD0003sln,diary,3,5,1914-09-13 00:00:00 UTC,13 Sep 1914,"","[0.0, 0.0]","",diaryDate,13 Sep 1914,"{""day""=>[""13""], ""month""=>[""Sep""], ""year""=>[""1914""]}",2985684,Pozières,"[2.72929, 50.04047]"
3,AWD0003sln,diary,3,4,1914-09-13 00:00:00 UTC,13 Sep 1914,"","[0.0, 0.0]","",person,"Lieutenant Colonel C M RYAN, Ryan","{""first""=>[""C M""], ""surname""=>[""RYAN"", ""Ryan""], ""rank""=>[""Lieutenant Colonel""], ""number""=>[""""], ""reason""=>[""commander""], ""unit""=>[""""]}",2985684,Pozières,"[2.72929, 50.04047]"
4,AWD0003sln,diary,3,4,1914-09-13 00:00:00 UTC,13 Sep 1914,"","[0.0, 0.0]","",person,"Major H G BURRARD, Burrard","{""first""=>[""H G""], ""surname""=>[""BURRARD"", ""Burrard""], ""rank""=>[""Major""], ""number""=>[""""], ""reason""=>[""joined""], ""unit""=>[""""]}",2985684,Pozières,"[2.72929, 50.04047]"
5,AWD0003sln,diary,3,5,1914-09-13 00:00:00 UTC,13 Sep 1914,Lyndhurst,"[-1.57662, 50.87259]","",place,Lyndhurst,"{""place""=>[""Lyndhurst""], ""location""=>[""true""], ""name""=>[""Lyndhurst""], ""lat""=>[""50.87259""], ""long""=>[""-1.57662""], ""id""=>[""2643304""]}",2643304,Lyndhurst,"[-1.57662, 50.87259]"
6,AWD0003sln,diary,3,4,1914-09-13 00:00:00 UTC,13 Sep 1914,Lyndhurst,"[-1.57662, 50.87259]","",person,"Captain J C M CANNY, Canny","{""first""=>[""J C M""], ""surname""=>[""CANNY"", ""Canny""], ""rank""=>[""Captain""], ""number""=>[""""], ""reason""=>[""joined""], ""unit""=>[""""]}",2643304,Lyndhurst,"[-1.57662, 50.87259]"
7,AWD0003sln,diary,3,2,1914-09-13 00:00:00 UTC,13 Sep 1914,Lyndhurst,"[-1.57662, 50.87259]","",activity,movement,{},2643304,Lyndhurst,"[-1.57662, 50.87259]"
8,AWD0003sln,diary,3,5,1914-09-14 00:00:00 UTC,14 Sep 1914,Lyndhurst,"[-1.57662, 50.87259]","",diaryDate,14 Sep 1914,"{""day""=>[""14""], ""month""=>[""Sep""], ""year""=>[""1914""]}",2643304,Lyndhurst,"[-1.57662, 50.87259]"
9,AWD0003sln,diary,3,4,1914-09-14 00:00:00 UTC,14 Sep 1914,Lyndhurst,"[-1.57662, 50.87259]","",person,Lieutenant W Ormsby,"{""first""=>[""W""], ""surname""=>[""Ormsby""], ""rank""=>[""Lieutenant""], ""number""=>[""""], ""reason""=>[""joined""], ""unit""=>[""""]}",2643304,Lyndhurst,"[-1.57662, 50.87259]"
10,AWD0003sln,diary,3,3,1914-09-14 00:00:00 UTC,14 Sep 1914,Lyndhurst,"[-1.57662, 50.87259]","",place,Lyndhurst,"{""place""=>[""Lyndhurst""], ""location""=>[""true""], ""name""=>[""Lyndhurst""], ""lat""=>[""50.87259""], ""long""=>[""-1.57662""], ""id""=>[""2643304""]}",2643304,Lyndhurst,"[-1.57662, 50.87259]"
12,AWD0003sln,diary,3,5,1914-09-15 00:00:00 UTC,15 Sep 1914,Lyndhurst,"[-1.57662, 50.87259]","",diaryDate,15 Sep 1914,"{""day""=>[""15""], ""month""=>[""Sep""], ""year""=>[""1914""]}",2643304,Lyndhurst,"[-1.57662, 50.87259]"
13,AWD0003sln,diary,3,3,1914-09-15 00:00:00 UTC,15 Sep 1914,Lyndhurst,"[-1.57662, 50.87259]","",place,Lyndhurst,"{""place""=>[""Lyndhurst""], ""location""=>[""true""], ""name""=>[""Lyndhurst""], ""lat""=>[""50.87259""], ""long""=>[""-1.57662""], ""id""=>[""2643304""]}",2643304,Lyndhurst,"[-1.57662, 50.87259]"
14,AWD0003sln,diary,3,4,1914-09-15 00:00:00 UTC,15 Sep 1914,Lyndhurst,"[-1.57662, 50.87259]","",person,"Captain H G Seth-Smith, SETHSMITH, BETH SMITH, Smith","{""first""=>[""H G""], ""surname""=>[""Seth-Smith"", ""SETHSMITH"", ""BETH SMITH"", ""Smith""], ""rank""=>[""Captain""], ""number""=>[""""], ""reason""=>[""joined""], ""unit""=>[""""]}",2643304,Lyndhurst,"[-1.57662, 50.87259]"
15,AWD0003sln,diary,3,3,1914-09-15 00:00:00 UTC,15 Sep 1914,Lyndhurst,"[-1.57662, 50.87259]","",person,Lieutenant N WINTLE,"{""first""=>[""N""], ""surname""=>[""WINTLE""], ""rank""=>[""Lieutenant""], ""number""=>[""""], ""reason""=>[""joined"", ""commander"", ""other""], ""unit""=>[""""]}",2643304,Lyndhurst,"[-1.57662, 50.87259]"
17,AWD0003sln,diary,3,2,1914-09-15 00:00:00 UTC,15 Sep 1914,Lyndhurst,"[-1.57662, 50.87259]","",diaryDate,15 Sep 1914,"{""day""=>[""15""], ""month""=>[""Sep""], ""year""=>[""1914""]}",2643304,Lyndhurst,"[-1.57662, 50.87259]"
18,AWD0003sln,diary,3,2,1914-09-15 00:00:00 UTC,15 Sep 1914,Lyndhurst,"[-1.57662, 50.87259]","",place,Malta,"{""place""=>[""Malta""], ""location""=>[""false""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2643304,Lyndhurst,"[-1.57662, 50.87259]"
19,AWD0003sln,diary,3,2,1914-09-15 00:00:00 UTC,15 Sep 1914,Lyndhurst,"[-1.57662, 50.87259]","",place,"LYNDHURST, Lyndhurst","{""place""=>[""LYNDHURST"", ""Lyndhurst""], ""location""=>[""false"", ""true""], ""name""=>[""Lyndhurst""], ""lat""=>[""50.87259""], ""long""=>[""-1.57662""], ""id""=>[""2643304""]}",2643304,Lyndhurst,"[-1.57662, 50.87259]"
20,AWD0003sln,diary,3,5,1914-09-16 00:00:00 UTC,16 Sep 1914,Lyndhurst,"[-1.57662, 50.87259]","",diaryDate,16 Sep 1914,"{""day""=>[""16""], ""month""=>[""Sep""], ""year""=>[""1914""]}",2643304,Lyndhurst,"[-1.57662, 50.87259]"
22,AWD0003sln,diary,3,3,1914-09-16 00:00:00 UTC,16 Sep 1914,Lyndhurst,"[-1.57662, 50.87259]","",place,Lyndhurst,"{""place""=>[""Lyndhurst""], ""location""=>[""true""], ""name""=>[""Lyndhurst""], ""lat""=>[""50.87259""], ""long""=>[""-1.57662""], ""id""=>[""2643304""]}",2643304,Lyndhurst,"[-1.57662, 50.87259]"
24,AWD0003sln,diary,3,5,1914-09-17 00:00:00 UTC,17 Sep 1914,Lyndhurst,"[-1.57662, 50.87259]","",diaryDate,17 Sep 1914,"{""day""=>[""17""], ""month""=>[""Sep""], ""year""=>[""1914""]}",2643304,Lyndhurst,"[-1.57662, 50.87259]"
25,AWD0003sln,diary,3,3,1914-09-17 00:00:00 UTC,17 Sep 1914,Lyndhurst,"[-1.57662, 50.87259]","",place,Lyndhurst,"{""place""=>[""Lyndhurst""], ""location""=>[""true""], ""name""=>[""Lyndhurst""], ""lat""=>[""50.87259""], ""long""=>[""-1.57662""], ""id""=>[""2643304""]}",2643304,Lyndhurst,"[-1.57662, 50.87259]"
26,AWD0003sln,diary,3,5,1914-09-18 00:00:00 UTC,18 Sep 1914,Lyndhurst,"[-1.57662, 50.87259]","",diaryDate,18 Sep 1914,"{""day""=>[""18""], ""month""=>[""Sep""], ""year""=>[""1914""]}",2643304,Lyndhurst,"[-1.57662, 50.87259]"
28,AWD0003sln,diary,3,3,1914-09-18 00:00:00 UTC,18 Sep 1914,Lyndhurst,"[-1.57662, 50.87259]","",person,"Major W C CROSSE, Crose, Cross","{""first""=>[""W C""], ""surname""=>[""CROSSE"", ""Crose"", ""Cross""], ""rank""=>[""Major""], ""number""=>[""""], ""reason""=>[""joined""], ""unit""=>[""""]}",2643304,Lyndhurst,"[-1.57662, 50.87259]"
29,AWD0003sln,diary,3,3,1914-09-19 00:00:00 UTC,19 Sep 1914,Lyndhurst,"[-1.57662, 50.87259]","",diaryDate,19 Sep 1914,"{""day""=>[""19""], ""month""=>[""Sep""], ""year""=>[""1914""]}",2643304,Lyndhurst,"[-1.57662, 50.87259]"
