Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD0003teg,diary,6,5,1914-09-08 00:00:00 UTC,8 Sep 1914,"","[0.0, 0.0]","",diaryDate,8 Sep 1914,"{""day""=>[""8""], ""month""=>[""Sep""], ""year""=>[""1914""]}",2985684,Pozières,"[2.72929, 50.04047]"
2,AWD0003teg,diary,6,4,1914-09-08 00:00:00 UTC,8 Sep 1914,Southampton,"[-1.40428, 50.90395]","",place,Southampton,"{""place""=>[""Southampton""], ""location""=>[""true""], ""name""=>[""Southampton""], ""lat""=>[""50.90395""], ""long""=>[""-1.40428""], ""id""=>[""2637487""]}",2637487,Southampton,"[-1.40428, 50.90395]"
3,AWD0003teg,diary,6,3,1914-09-08 00:00:00 UTC,8 Sep 1914,Southampton,"[-1.40428, 50.90395]","",person,Captain D A Forbes,"{""first""=>[""D A""], ""surname""=>[""Forbes""], ""rank""=>[""Captain""], ""number""=>[""""], ""reason""=>[""joined""], ""unit""=>[""""]}",2637487,Southampton,"[-1.40428, 50.90395]"
5,AWD0003teg,diary,6,3,1914-09-08 00:00:00 UTC,8 Sep 1914,Southampton,"[-1.40428, 50.90395]","",person,Lieutenant N Thiele,"{""first""=>[""N""], ""surname""=>[""Thiele""], ""rank""=>[""Lieutenant""], ""number""=>[""""], ""reason""=>[""joined""], ""unit""=>[""""]}",2637487,Southampton,"[-1.40428, 50.90395]"
7,AWD0003teg,diary,6,5,1914-09-09 00:00:00 UTC,9 Sep 1914,Southampton,"[-1.40428, 50.90395]","",diaryDate,9 Sep 1914,"{""day""=>[""9""], ""month""=>[""Sep""], ""year""=>[""1914""]}",2637487,Southampton,"[-1.40428, 50.90395]"
9,AWD0003teg,diary,6,4,1914-09-09 00:00:00 UTC,9 Sep 1914,Southampton,"[-1.40428, 50.90395]","",person,Major T C W Molony,"{""first""=>[""T C W""], ""surname""=>[""Molony""], ""rank""=>[""Major""], ""number""=>[""""], ""reason""=>[""commander"", ""joined""], ""unit""=>[""""]}",2637487,Southampton,"[-1.40428, 50.90395]"
12,AWD0003teg,diary,6,5,1914-09-09 00:00:00 UTC,9 Sep 1914,Southampton,"[-1.40428, 50.90395]","",person,Captain H Spencer,"{""first""=>[""H""], ""surname""=>[""Spencer""], ""rank""=>[""Captain""], ""number""=>[""""], ""reason""=>[""joined""], ""unit""=>[""""]}",2637487,Southampton,"[-1.40428, 50.90395]"
13,AWD0003teg,diary,6,4,1914-09-09 00:00:00 UTC,9 Sep 1914,Southampton,"[-1.40428, 50.90395]","",person,"Lieutenant,Second Lieutenant W McGee","{""first""=>[""W""], ""surname""=>[""McGee""], ""rank""=>[""Lieutenant"", ""Second Lieutenant""], ""number""=>[""""], ""reason""=>[""joined""], ""unit""=>[""""]}",2637487,Southampton,"[-1.40428, 50.90395]"
14,AWD0003teg,diary,6,4,1914-09-09 00:00:00 UTC,9 Sep 1914,Southampton,"[-1.40428, 50.90395]","",person,"Lieutenant,Second Lieutenant M A Motion","{""first""=>[""M A""], ""surname""=>[""Motion""], ""rank""=>[""Lieutenant"", ""Second Lieutenant""], ""number""=>[""""], ""reason""=>[""joined""], ""unit""=>[""""]}",2637487,Southampton,"[-1.40428, 50.90395]"
15,AWD0003teg,diary,6,5,1914-09-10 00:00:00 UTC,10 Sep 1914,Southampton,"[-1.40428, 50.90395]","",diaryDate,10 Sep 1914,"{""day""=>[""10""], ""month""=>[""Sep""], ""year""=>[""1914""]}",2637487,Southampton,"[-1.40428, 50.90395]"
17,AWD0003teg,diary,6,4,1914-09-10 00:00:00 UTC,10 Sep 1914,Southampton,"[-1.40428, 50.90395]","",person,Lieutenant R H Radford,"{""first""=>[""R H""], ""surname""=>[""Radford""], ""rank""=>[""Lieutenant""], ""number""=>[""""], ""reason""=>[""joined""], ""unit""=>[""""]}",2637487,Southampton,"[-1.40428, 50.90395]"
18,AWD0003teg,diary,6,4,1914-09-10 00:00:00 UTC,10 Sep 1914,Southampton,"[-1.40428, 50.90395]","",person,"Lieutenant,Second Lieutenant L B Thomas","{""first""=>[""L B""], ""surname""=>[""Thomas""], ""rank""=>[""Lieutenant"", ""Second Lieutenant""], ""number""=>[""""], ""reason""=>[""joined""], ""unit""=>[""""]}",2637487,Southampton,"[-1.40428, 50.90395]"
19,AWD0003teg,diary,6,5,1914-09-10 00:00:00 UTC,10 Sep 1914,Southampton,"[-1.40428, 50.90395]","",person,Captain H Ostler,"{""first""=>[""H""], ""surname""=>[""Ostler""], ""rank""=>[""Captain""], ""number""=>[""""], ""reason""=>[""joined""], ""unit""=>[""""]}",2637487,Southampton,"[-1.40428, 50.90395]"
20,AWD0003teg,diary,6,4,1914-09-10 00:00:00 UTC,10 Sep 1914,Southampton,"[-1.40428, 50.90395]","",person,"Lieutenant,Second Lieutenant S P Hannam","{""first""=>[""S P""], ""surname""=>[""Hannam""], ""rank""=>[""Lieutenant"", ""Second Lieutenant""], ""number""=>[""""], ""reason""=>[""joined""], ""unit""=>[""""]}",2637487,Southampton,"[-1.40428, 50.90395]"
22,AWD0003teg,diary,6,2,1914-09-10 00:00:00 UTC,10 Sep 1914,Southampton,"[-1.40428, 50.90395]","",place,"portsmouth, Portsmouth","{""place""=>[""portsmouth"", ""Portsmouth""], ""location""=>[""false""], ""name""=>["""", ""Portsmouth""], ""lat""=>["""", ""50.79899""], ""long""=>["""", ""-1.09125""], ""id""=>["""", ""2639996""]}",2637487,Southampton,"[-1.40428, 50.90395]"
23,AWD0003teg,diary,6,2,1914-09-10 00:00:00 UTC,10 Sep 1914,Southampton,"[-1.40428, 50.90395]","",diaryDate,10 Sep 1914,"{""day""=>[""10""], ""month""=>[""Sep""], ""year""=>[""1914""]}",2637487,Southampton,"[-1.40428, 50.90395]"
26,AWD0003teg,diary,6,2,1914-09-10 00:00:00 UTC,10 Sep 1914,Southampton,"[-1.40428, 50.90395]","",place,"cambridge, Cambridge","{""place""=>[""cambridge"", ""Cambridge""], ""location""=>[""false"", ""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2637487,Southampton,"[-1.40428, 50.90395]"
28,AWD0003teg,diary,6,4,1914-09-10 00:00:00 UTC,10 Sep 1914,Southampton,"[-1.40428, 50.90395]","",activity,movement,{},2637487,Southampton,"[-1.40428, 50.90395]"
29,AWD0003teg,diary,6,4,1914-09-12 00:00:00 UTC,12 Sep 1914,Southampton,"[-1.40428, 50.90395]","",diaryDate,12 Sep 1914,"{""day""=>[""12""], ""month""=>[""Sep""], ""year""=>[""1914""]}",2637487,Southampton,"[-1.40428, 50.90395]"
30,AWD0003teg,diary,6,5,1914-09-12 00:00:00 UTC,12 Sep 1914,Portsmouth,"[-1.09125, 50.79899]","",place,Portsmouth,"{""place""=>[""Portsmouth""], ""location""=>[""true""], ""name""=>[""Portsmouth""], ""lat""=>[""50.79899""], ""long""=>[""-1.09125""], ""id""=>[""2639996""]}",2639996,Portsmouth,"[-1.09125, 50.79899]"
1,AWD0003tez,diary,7,5,1914-09-15 00:00:00 UTC,15 Sep 1914,Portsmouth,"[-1.09125, 50.79899]","",diaryDate,15 Sep 1914,"{""day""=>[""15""], ""month""=>[""Sep""], ""year""=>[""1914""]}",2639996,Portsmouth,"[-1.09125, 50.79899]"
2,AWD0003tez,diary,7,4,1914-09-15 00:00:00 UTC,15 Sep 1914,Portsmouth,"[-1.09125, 50.79899]","",place,Portsmouth,"{""place""=>[""Portsmouth""], ""location""=>[""true""], ""name""=>[""Portsmouth""], ""lat""=>[""50.79899""], ""long""=>[""-1.09125""], ""id""=>[""2639996""]}",2639996,Portsmouth,"[-1.09125, 50.79899]"
