Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD0003uda,diary,521,5,1918-07-01 00:00:00 UTC,1 Jul 1918,"","[0.0, 0.0]","",diaryDate,1 Jul 1918,"{""day""=>[""1""], ""month""=>[""Jul""], ""year""=>[""1918""]}",2985684,Pozières,"[2.72929, 50.04047]"
3,AWD0003uda,diary,521,2,1918-07-01 00:00:00 UTC,1 Jul 1918,"","[0.0, 0.0]","",domestic,inspections,{},2985684,Pozières,"[2.72929, 50.04047]"
4,AWD0003uda,diary,521,5,1918-07-01 00:00:00 UTC,1 Jul 1918,"","[0.0, 0.0]","",weather,hot,{},2985684,Pozières,"[2.72929, 50.04047]"
5,AWD0003uda,diary,521,4,1918-07-01 00:00:00 UTC,1 Jul 1918,Riex Du Vinage,"[0.0, 0.0]","",place,Riex Du Vinage,"{""place""=>[""Riex Du Vinage""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
14,AWD0003uda,diary,521,6,1918-07-02 00:00:00 UTC,2 Jul 1918,Riex Du Vinage,"[0.0, 0.0]","",diaryDate,2 Jul 1918,"{""day""=>[""2""], ""month""=>[""Jul""], ""year""=>[""1918""]}",,,
15,AWD0003uda,diary,521,2,1918-07-02 00:00:00 UTC,2 Jul 1918,Riex Du Vinage,"[0.0, 0.0]","",activity,quiet,{},,,
16,AWD0003uda,diary,521,5,1918-07-02 00:00:00 UTC,2 Jul 1918,Riex Du Vinage,"[0.0, 0.0]","",activity,reconnoitered,{},,,
17,AWD0003uda,diary,521,4,1918-07-02 00:00:00 UTC,2 Jul 1918,Riex Du Vinage,"[0.0, 0.0]","",person,Second Lieutenant S H Powning,"{""first""=>[""S H""], ""surname""=>[""Powning""], ""rank""=>[""Second Lieutenant""], ""number""=>[""""], ""reason""=>[""commander""], ""unit""=>[""""]}",,,
18,AWD0003uda,diary,521,5,1918-07-02 00:00:00 UTC,2 Jul 1918,Riex Du Vinage,"[0.0, 0.0]","",weather,fine,{},,,
19,AWD0003uda,diary,521,5,1918-07-03 00:00:00 UTC,3 Jul 1918,Riex Du Vinage,"[0.0, 0.0]","",diaryDate,3 Jul 1918,"{""day""=>[""3""], ""month""=>[""Jul""], ""year""=>[""1918""]}",,,
