Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
3,AWD0003ui7,diary,429,3,1916-07-01 00:00:00 UTC,1 Jul 1916,"","[0.0, 0.0]","",diaryDate,1 Jul 1916,"{""day""=>[""1""], ""month""=>[""Jul""], ""year""=>[""1916""]}",2985684,Pozières,"[2.72929, 50.04047]"
4,AWD0003ui7,diary,429,3,1916-07-01 00:00:00 UTC,1 Jul 1916,"","[0.0, 0.0]","",weather,fine,{},2985684,Pozières,"[2.72929, 50.04047]"
7,AWD0003ui7,diary,429,3,1916-07-01 00:00:00 UTC,1 Jul 1916,"","[0.0, 0.0]","",place,Grandcourt,"{""place""=>[""Grandcourt""], ""location""=>[""false""], ""name""=>[""Grandcourt""], ""lat""=>[""50.07998""], ""long""=>[""2.71103""], ""id""=>[""3015265""]}",2985684,Pozières,"[2.72929, 50.04047]"
9,AWD0003ui7,diary,429,2,1916-07-01 00:00:00 UTC,1 Jul 1916,"","[0.0, 0.0]","",place,"PUISIEUX-AU-MONT, Puisieux-au-Mont","{""place""=>[""PUISIEUX-AU-MONT"", ""Puisieux-au-Mont""], ""location""=>[""false""], ""name""=>["""", ""Grandcourt""], ""lat""=>["""", ""50.07998""], ""long""=>["""", ""2.71103""], ""id""=>["""", ""3015265""]}",2985684,Pozières,"[2.72929, 50.04047]"
11,AWD0003ui7,diary,429,2,1916-07-01 00:00:00 UTC,1 Jul 1916,"","[0.0, 0.0]","",unit,"11th Bde, 12th Bde","{""name""=>[""11th Bde"", ""12th Bde""], ""context""=>[""joined""]}",2985684,Pozières,"[2.72929, 50.04047]"
13,AWD0003ui7,diary,429,3,1916-07-01 00:00:00 UTC,1 Jul 1916,"","[0.0, 0.0]","",place,Munich Trench,"{""place""=>[""Munich Trench""], ""location""=>[""false""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2985684,Pozières,"[2.72929, 50.04047]"
16,AWD0003ui7,diary,429,2,1916-07-01 00:00:00 UTC,1 Jul 1916,"","[0.0, 0.0]","",unit,"12th Brigade, 11th Brigade","{""name""=>[""12th Brigade"", ""11th Brigade""], ""context""=>[""other""]}",2985684,Pozières,"[2.72929, 50.04047]"
18,AWD0003ui7,diary,429,2,1916-07-01 00:00:00 UTC,1 Jul 1916,"","[0.0, 0.0]","",place,"Somme, SOMME","{""place""=>[""Somme"", ""SOMME""], ""location""=>[""false""], ""name""=>[""Doullens"", """"], ""lat""=>[""50.15724"", """"], ""long""=>[""2.34019"", """"], ""id""=>[""3020944"", """"]}",2985684,Pozières,"[2.72929, 50.04047]"
27,AWD0003ui7,diary,429,2,1916-07-01 00:00:00 UTC,1 Jul 1916,"","[0.0, 0.0]","",unit,31st (New Army) Division,"{""name""=>[""31st (New Army) Division""], ""context""=>[""left""]}",2985684,Pozières,"[2.72929, 50.04047]"
28,AWD0003ui7,diary,429,2,1916-07-01 00:00:00 UTC,1 Jul 1916,"","[0.0, 0.0]","",unit,29th (Gallipoli) Division,"{""name""=>[""29th (Gallipoli) Division""], ""context""=>[""right""]}",2985684,Pozières,"[2.72929, 50.04047]"
