Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD00043ib,diary,4,4,1916-03-11 00:00:00 UTC,11 Mar 1916,"","[0.0, 0.0]","",diaryDate,11 Mar 1916,"{""day""=>[""11""], ""month""=>[""Mar""], ""year""=>[""1916""]}",2985684,Pozières,"[2.72929, 50.04047]"
2,AWD00043ib,diary,4,2,1916-03-11 00:00:00 UTC,11 Mar 1916,"","[0.0, 0.0]","",place,Pont Remy,"{""place""=>[""Pont Remy""], ""location""=>[""true"", ""false""], ""name""=>["""", ""Pont-Remy""], ""lat""=>["""", ""50.05""], ""long""=>["""", ""1.91667""], ""id""=>["""", ""2986122""]}",2985684,Pozières,"[2.72929, 50.04047]"
3,AWD00043ib,diary,4,5,1916-03-11 00:00:00 UTC,11 Mar 1916,Huppy,"[1.76385, 50.02523]","",place,Huppy,"{""place""=>[""Huppy""], ""location""=>[""true""], ""name""=>[""Huppy""], ""lat""=>[""50.02523""], ""long""=>[""1.76385""], ""id""=>[""3012970""]}",3012970,Huppy,"[1.76386, 50.02523]"
4,AWD00043ib,diary,4,2,1916-03-11 11:00:00 UTC,11 Mar 1916,Huppy,"[1.76385, 50.02523]",1100AM,time,1100AM,{},3012970,Huppy,"[1.76386, 50.02523]"
6,AWD00043ib,diary,4,4,1916-03-11 11:00:00 UTC,11 Mar 1916,Huppy,"[1.76385, 50.02523]",1100AM,activity,movement,{},3012970,Huppy,"[1.76386, 50.02523]"
7,AWD00043ib,diary,4,4,1916-03-11 11:00:00 UTC,11 Mar 1916,Huppy,"[1.76385, 50.02523]",1100AM,domestic,accomodation,{},3012970,Huppy,"[1.76386, 50.02523]"
8,AWD00043ib,diary,4,3,1916-03-16 00:00:00 UTC,16 Mar 1916,Huppy,"[1.76385, 50.02523]","",diaryDate,16 Mar 1916,"{""day""=>[""16""], ""month""=>[""Mar""], ""year""=>[""1916""]}",3012970,Huppy,"[1.76386, 50.02523]"
9,AWD00043ib,diary,4,3,1916-03-16 00:00:00 UTC,16 Mar 1916,Huppy,"[1.76385, 50.02523]","",activity,movement,{},3012970,Huppy,"[1.76386, 50.02523]"
10,AWD00043ib,diary,4,2,1916-03-16 00:00:00 UTC,16 Mar 1916,Huppy,"[1.76385, 50.02523]","",place,Gezaincourt,"{""place""=>[""Gezaincourt""], ""location""=>[""false""], ""name""=>[""Gézaincourt""], ""lat""=>[""50.14074""], ""long""=>[""2.32098""], ""id""=>[""3016138""]}",3012970,Huppy,"[1.76386, 50.02523]"
11,AWD00043ib,diary,4,3,1916-03-16 08:00:00 UTC,16 Mar 1916,Huppy,"[1.76385, 50.02523]",0800AM,time,0800AM,{},3012970,Huppy,"[1.76386, 50.02523]"
12,AWD00043ib,diary,4,2,1916-03-16 08:00:00 UTC,16 Mar 1916,Huppy,"[1.76385, 50.02523]",0800AM,place,Flesselles,"{""place""=>[""Flesselles""], ""location""=>[""false""], ""name""=>[""Flesselles""], ""lat""=>[""50.00202""], ""long""=>[""2.26119""], ""id""=>[""3018332""]}",3012970,Huppy,"[1.76386, 50.02523]"
13,AWD00043ib,diary,4,4,1916-03-26 00:00:00 UTC,26 Mar 1916,Huppy,"[1.76385, 50.02523]","",diaryDate,26 Mar 1916,"{""day""=>[""26""], ""month""=>[""Mar""], ""year""=>[""1916""]}",3012970,Huppy,"[1.76386, 50.02523]"
14,AWD00043ib,diary,4,3,1916-03-26 00:00:00 UTC,26 Mar 1916,Huppy,"[1.76385, 50.02523]","",place,Huppy,"{""place""=>[""Huppy""], ""location""=>[""true""], ""name""=>[""Huppy""], ""lat""=>[""50.02523""], ""long""=>[""1.76385""], ""id""=>[""3012970""]}",3012970,Huppy,"[1.76386, 50.02523]"
15,AWD00043ib,diary,4,3,1916-03-26 00:00:00 UTC,26 Mar 1916,Longpre,"[0.0, 0.0]","",place,Longpre,"{""place""=>[""Longpre""], ""location""=>[""true""], ""name""=>[""Longpré-les-Corps-Saints"", ""Longpré"", """"], ""lat""=>[""50.01239"", ""50.54365"", """"], ""long""=>[""1.99287"", ""5.14709"", """"], ""id""=>[""2997694"", ""2792137"", """"]}",2997694,Longpré-les-Corps-Saints,"[1.99287, 50.01239]"
16,AWD00043ib,diary,4,6,1916-03-26 00:00:00 UTC,26 Mar 1916,Longpre,"[0.0, 0.0]","",activity,movement,{},2997694,Longpré-les-Corps-Saints,"[1.99287, 50.01239]"
17,AWD00043ib,diary,4,4,1916-03-27 00:00:00 UTC,27 Mar 1916,Longpre,"[0.0, 0.0]","",diaryDate,27 Mar 1916,"{""day""=>[""27""], ""month""=>[""Mar""], ""year""=>[""1916""]}",2997694,Longpré-les-Corps-Saints,"[1.99287, 50.01239]"
18,AWD00043ib,diary,4,6,1916-03-27 08:00:00 UTC,27 Mar 1916,Longpre,"[0.0, 0.0]",0800AM,time,0800AM,{},2997694,Longpré-les-Corps-Saints,"[1.99287, 50.01239]"
19,AWD00043ib,diary,4,8,1916-03-27 08:00:00 UTC,27 Mar 1916,Longpre,"[0.0, 0.0]",0800AM,domestic,accomodation,{},2997694,Longpré-les-Corps-Saints,"[1.99287, 50.01239]"
20,AWD00043ib,diary,4,3,1916-03-27 08:00:00 UTC,27 Mar 1916,Longpre,"[0.0, 0.0]",0800AM,place,Longpre,"{""place""=>[""Longpre""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2997694,Longpré-les-Corps-Saints,"[1.99287, 50.01239]"
21,AWD00043ib,diary,4,3,1916-03-27 08:00:00 UTC,27 Mar 1916,Vignacourt,"[2.19743, 50.01236]",0800AM,place,Vignacourt,"{""place""=>[""Vignacourt""], ""location""=>[""true""], ""name""=>[""Vignacourt""], ""lat""=>[""50.01236""], ""long""=>[""2.19743""], ""id""=>[""2969146""]}",2969146,Vignacourt,"[2.19743, 50.01236]"
22,AWD00043ib,diary,4,4,1916-03-28 00:00:00 UTC,28 Mar 1916,Vignacourt,"[2.19743, 50.01236]","",diaryDate,28 Mar 1916,"{""day""=>[""28""], ""month""=>[""Mar""], ""year""=>[""1916""]}",2969146,Vignacourt,"[2.19743, 50.01236]"
23,AWD00043ib,diary,4,6,1916-03-28 00:00:00 UTC,28 Mar 1916,Vignacourt,"[2.19743, 50.01236]","",activity,movement,{},2969146,Vignacourt,"[2.19743, 50.01236]"
24,AWD00043ib,diary,4,3,1916-03-28 00:00:00 UTC,28 Mar 1916,Vignacourt,"[2.19743, 50.01236]","",place,Vignacourt,"{""place""=>[""Vignacourt""], ""location""=>[""true""], ""name""=>[""Vignacourt""], ""lat""=>[""50.01236""], ""long""=>[""2.19743""], ""id""=>[""2969146""]}",2969146,Vignacourt,"[2.19743, 50.01236]"
25,AWD00043ib,diary,4,3,1916-03-28 00:00:00 UTC,28 Mar 1916,Beauval,"[2.33269, 50.10789]","",place,Beauval,"{""place""=>[""Beauval""], ""location""=>[""true""], ""name""=>[""Beauval""], ""lat""=>[""50.10789""], ""long""=>[""2.33269""], ""id""=>[""3034001""]}",3034001,Beauval,"[2.33269, 50.10789]"
26,AWD00043ib,diary,4,7,1916-03-28 00:00:00 UTC,28 Mar 1916,Beauval,"[2.33269, 50.10789]","",domestic,accomodation,{},3034001,Beauval,"[2.33269, 50.10789]"
27,AWD00043ib,diary,4,2,1916-03-29 00:00:00 UTC,29 Mar 1916,Beauval,"[2.33269, 50.10789]","",diaryDate,29 Mar 1916,"{""day""=>[""29""], ""month""=>[""Mar""], ""year""=>[""1916""]}",3034001,Beauval,"[2.33269, 50.10789]"
28,AWD00043ib,diary,4,5,1916-03-29 08:00:00 UTC,29 Mar 1916,Beauval,"[2.33269, 50.10789]",0800AM,time,0800AM,{},3034001,Beauval,"[2.33269, 50.10789]"
29,AWD00043ib,diary,4,2,1916-03-29 00:00:00 UTC,29 Mar 1916,Beauval,"[2.33269, 50.10789]","",diaryDate,29 Mar 1916,"{""day""=>[""29""], ""month""=>[""Mar""], ""year""=>[""1916""]}",3034001,Beauval,"[2.33269, 50.10789]"
30,AWD00043ib,diary,4,3,1916-03-29 00:00:00 UTC,29 Mar 1916,Beauval,"[2.33269, 50.10789]","",place,Beauval,"{""place""=>[""Beauval""], ""location""=>[""true""], ""name""=>[""Beauval""], ""lat""=>[""50.10789""], ""long""=>[""2.33269""], ""id""=>[""3034001""]}",3034001,Beauval,"[2.33269, 50.10789]"
31,AWD00043ib,diary,4,3,1916-03-29 00:00:00 UTC,29 Mar 1916,Bertrancourt,"[2.55829, 50.09298]","",place,Bertrancourt,"{""place""=>[""Bertrancourt""], ""location""=>[""true""], ""name""=>[""Bertrancourt""], ""lat""=>[""50.09298""], ""long""=>[""2.55829""], ""id""=>[""3033168""]}",3033026,Béthancourt-en-Valois,"[2.87704, 49.2855]"
32,AWD00043ib,diary,4,4,1916-03-29 00:00:00 UTC,29 Mar 1916,Bertrancourt,"[2.55829, 50.09298]","",activity,movement,{},3033026,Béthancourt-en-Valois,"[2.87704, 49.2855]"
2,AWD00043hj,diary,5,4,1916-03-02 00:00:00 UTC,2 Mar 1916,Bertrancourt,"[2.55829, 50.09298]","",diaryDate,2 Mar 1916,"{""day""=>[""2""], ""month""=>[""Mar""], ""year""=>[""1916""]}",3033026,Béthancourt-en-Valois,"[2.87704, 49.2855]"
3,AWD00043hj,diary,5,2,1916-03-02 00:00:00 UTC,2 Mar 1916,Bertrancourt,"[2.55829, 50.09298]","",activity,movement,{},3033026,Béthancourt-en-Valois,"[2.87704, 49.2855]"
4,AWD00043hj,diary,5,4,1916-03-02 00:00:00 UTC,2 Mar 1916,Bertrancourt,"[2.55829, 50.09298]","",place,Port Said,"{""place""=>[""Port Said""], ""location""=>[""true"", ""false""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",3033026,Béthancourt-en-Valois,"[2.87704, 49.2855]"
6,AWD00043hj,diary,5,5,1916-03-02 00:00:00 UTC,2 Mar 1916,Kantara,"[0.0, 0.0]","",place,Kantara,"{""place""=>[""Kantara""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
8,AWD00043hj,diary,5,2,1916-03-02 00:00:00 UTC,2 Mar 1916,Kantara,"[0.0, 0.0]","",place,"port Said, Port Said","{""place""=>[""port Said"", ""Port Said""], ""location""=>[""false""], ""name""=>["""", ""Marseille""], ""lat""=>["""", ""43.29695""], ""long""=>["""", ""5.38107""], ""id""=>["""", ""2995469""]}",,,
9,AWD00043hj,diary,5,5,1916-03-02 00:00:00 UTC,2 Mar 1916,Kantara,"[0.0, 0.0]","",person,Second Lieutenant  Kohn,"{""first""=>[""""], ""surname""=>[""Kohn""], ""rank""=>[""Second Lieutenant""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""""]}",,,
10,AWD00043hj,diary,5,2,1916-03-03 00:00:00 UTC,3 Mar 1916,Kantara,"[0.0, 0.0]","",diaryDate,3 Mar 1916,"{""day""=>[""3""], ""month""=>[""Mar""], ""year""=>[""1916""]}",,,
11,AWD00043hj,diary,5,3,1916-03-08 00:00:00 UTC,8 Mar 1916,Kantara,"[0.0, 0.0]","",diaryDate,8 Mar 1916,"{""day""=>[""8""], ""month""=>[""Mar""], ""year""=>[""1916""]}",,,
12,AWD00043hj,diary,5,6,1916-03-08 00:00:00 UTC,8 Mar 1916,Marseille,"[5.38107, 43.29695]","",place,Marseille,"{""place""=>[""Marseille""], ""location""=>[""true""], ""name""=>[""Marseille""], ""lat""=>[""43.29695""], ""long""=>[""5.38107""], ""id""=>[""2995469""]}",2995469,Marseille,"[5.38107, 43.29695]"
