Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD00041r0,diary,4,3,1918-04-01 00:00:00 UTC,1 Apr 1918,"","[0.0, 0.0]","",diaryDate,1 Apr 1918,"{""day""=>[""1""], ""month""=>[""Apr""], ""year""=>[""1918""]}",2985684,Pozières,"[2.72929, 50.04047]"
3,AWD00041r0,diary,4,3,1918-04-01 00:00:00 UTC,1 Apr 1918,"","[0.0, 0.0]","",activity,movement,{},2985684,Pozières,"[2.72929, 50.04047]"
4,AWD00041r0,diary,4,5,1918-04-01 00:00:00 UTC,1 Apr 1918,Ivergny,"[2.39193, 50.23932]","",place,Ivergny,"{""place""=>[""Ivergny""], ""location""=>[""true""], ""name""=>[""Ivergny""], ""lat""=>[""50.23932""], ""long""=>[""2.39193""], ""id""=>[""3012634""]}",3012634,Ivergny,"[2.39193, 50.23932]"
6,AWD00041r0,diary,4,2,1918-04-01 00:00:00 UTC,1 Apr 1918,Ivergny,"[2.39193, 50.23932]","",casualties,wounded: 1,{},3012634,Ivergny,"[2.39193, 50.23932]"
8,AWD00041r0,diary,4,2,,"1 Apr,Jan 1918",Ivergny,"[2.39193, 50.23932]","",diaryDate,"1 Apr,Jan 1918","{""day""=>[""1""], ""month""=>[""Apr"", ""Jan""], ""year""=>[""1918""]}",3012634,Ivergny,"[2.39193, 50.23932]"
10,AWD00041r0,diary,4,3,,"1 Apr,Jan 1918",Ivergny,"[2.39193, 50.23932]","",casualties,wounded: 1,{},3012634,Ivergny,"[2.39193, 50.23932]"
12,AWD00041r0,diary,4,4,1918-04-02 00:00:00 UTC,2 Apr 1918,Ivergny,"[2.39193, 50.23932]","",diaryDate,2 Apr 1918,"{""day""=>[""2""], ""month""=>[""Apr""], ""year""=>[""1918""]}",3012634,Ivergny,"[2.39193, 50.23932]"
13,AWD00041r0,diary,4,4,1918-04-02 00:00:00 UTC,2 Apr 1918,Ivergny,"[2.39193, 50.23932]","",activity,movement,{},3012634,Ivergny,"[2.39193, 50.23932]"
14,AWD00041r0,diary,4,5,1918-04-02 00:00:00 UTC,2 Apr 1918,Magnicourt,"[2.5, 50.4]","",place,Magnicourt,"{""place""=>[""Magnicourt""], ""location""=>[""true""], ""name""=>[""Magnicourt-en-Comte"", """"], ""lat""=>[""50.4"", """"], ""long""=>[""2.5"", """"], ""id""=>[""2996788"", """"]}",3014669,Gricourt,"[3.24376, 49.88735]"
16,AWD00041r0,diary,4,2,1918-04-02 00:00:00 UTC,2 Apr 1918,Magnicourt,"[2.5, 50.4]","",place,Tinques,"{""place""=>[""Tinques""], ""location""=>[""false"", ""true""], ""name""=>[""Tincques""], ""lat""=>[""50.35904""], ""long""=>[""2.49306""], ""id""=>[""2972553""]}",3014669,Gricourt,"[3.24376, 49.88735]"
17,AWD00041r0,diary,4,4,1918-04-03 00:00:00 UTC,3 Apr 1918,Magnicourt,"[2.5, 50.4]","",diaryDate,3 Apr 1918,"{""day""=>[""3""], ""month""=>[""Apr""], ""year""=>[""1918""]}",3014669,Gricourt,"[3.24376, 49.88735]"
19,AWD00041r0,diary,4,2,,"4 Apr,Jan 1918",Magnicourt,"[2.5, 50.4]","",diaryDate,"4 Apr,Jan 1918","{""day""=>[""4""], ""month""=>[""Apr"", ""Jan""], ""year""=>[""1918""]}",3014669,Gricourt,"[3.24376, 49.88735]"
20,AWD00041r0,diary,4,3,,"4 Apr,Jan 1918",Magnicourt,"[2.5, 50.4]","",activity,resting,{},3014669,Gricourt,"[3.24376, 49.88735]"
24,AWD00041r0,diary,4,4,1918-04-05 00:00:00 UTC,5 Apr 1918,Magnicourt,"[2.5, 50.4]","",diaryDate,5 Apr 1918,"{""day""=>[""5""], ""month""=>[""Apr""], ""year""=>[""1918""]}",3014669,Gricourt,"[3.24376, 49.88735]"
26,AWD00041r0,diary,4,5,1918-04-06 00:00:00 UTC,6 Apr 1918,Magnicourt,"[2.5, 50.4]","",diaryDate,6 Apr 1918,"{""day""=>[""6""], ""month""=>[""Apr""], ""year""=>[""1918""]}",3014669,Gricourt,"[3.24376, 49.88735]"
27,AWD00041r0,diary,4,4,1918-04-07 00:00:00 UTC,7 Apr 1918,Magnicourt,"[2.5, 50.4]","",diaryDate,7 Apr 1918,"{""day""=>[""7""], ""month""=>[""Apr""], ""year""=>[""1918""]}",3014669,Gricourt,"[3.24376, 49.88735]"
