Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD00043w2,diary,565,4,1916-05-07 00:00:00 UTC,7 May 1916,"","[0.0, 0.0]","",diaryDate,7 May 1916,"{""day""=>[""7""], ""month""=>[""May""], ""year""=>[""1916""]}",2985684,Pozières,"[2.72929, 50.04047]"
2,AWD00043w2,diary,565,4,1916-05-07 00:00:00 UTC,7 May 1916,Warnemont Wood,"[0.0, 0.0]","",place,Warnemont Wood,"{""place""=>[""Warnemont Wood""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
3,AWD00043w2,diary,565,5,1916-05-07 00:00:00 UTC,7 May 1916,Warnemont Wood,"[0.0, 0.0]","",domestic,religion,{},,,
4,AWD00043w2,diary,565,2,1916-05-07 00:00:00 UTC,7 May 1916,Warnemont Wood,"[0.0, 0.0]","",domestic,parades,{},,,
5,AWD00043w2,diary,565,4,1916-05-07 00:00:00 UTC,7 May 1916,Warnemont Wood,"[0.0, 0.0]","",activity,resting,{},,,
6,AWD00043w2,diary,565,3,1916-05-07 00:00:00 UTC,7 May 1916,Warnemont Wood,"[0.0, 0.0]","",weather,rain,{},,,
8,AWD00043w2,diary,565,4,1916-05-08 00:00:00 UTC,8 May 1916,Warnemont Wood,"[0.0, 0.0]","",diaryDate,8 May 1916,"{""day""=>[""8""], ""month""=>[""May""], ""year""=>[""1916""]}",,,
9,AWD00043w2,diary,565,6,1916-05-08 00:00:00 UTC,8 May 1916,Warnemont Wood,"[0.0, 0.0]","",activity,training,{},,,
10,AWD00043w2,diary,565,4,1916-05-09 00:00:00 UTC,9 May 1916,Warnemont Wood,"[0.0, 0.0]","",diaryDate,9 May 1916,"{""day""=>[""9""], ""month""=>[""May""], ""year""=>[""1916""]}",,,
11,AWD00043w2,diary,565,5,1916-05-09 00:00:00 UTC,9 May 1916,Warnemont Wood,"[0.0, 0.0]","",activity,training,{},,,
14,AWD00043w2,diary,565,4,1916-05-10 00:00:00 UTC,10 May 1916,Warnemont Wood,"[0.0, 0.0]","",diaryDate,10 May 1916,"{""day""=>[""10""], ""month""=>[""May""], ""year""=>[""1916""]}",,,
15,AWD00043w2,diary,565,3,1916-05-10 00:00:00 UTC,10 May 1916,Warnemont Wood,"[0.0, 0.0]","",domestic,hygiene,{},,,
16,AWD00043w2,diary,565,4,1916-05-10 00:00:00 UTC,10 May 1916,Warnemont Wood,"[0.0, 0.0]","",domestic,parades,{},,,
17,AWD00043w2,diary,565,3,1916-05-10 00:00:00 UTC,10 May 1916,Warnemont Wood,"[0.0, 0.0]","",activity,training,{},,,
19,AWD00043w2,diary,565,4,1916-05-10 00:00:00 UTC,10 May 1916,Warnemont Wood,"[0.0, 0.0]","",person,Lieutenant  Hudson,"{""first""=>[""""], ""surname""=>[""Hudson""], ""rank""=>[""Lieutenant""], ""number""=>[""""], ""reason""=>[""departed_leave""], ""unit""=>[""""]}",,,
20,AWD00043w2,diary,565,4,1916-05-10 00:00:00 UTC,10 May 1916,Warnemont Wood,"[0.0, 0.0]","",weather,fine,{},,,
22,AWD00043w2,diary,565,4,1916-05-11 00:00:00 UTC,11 May 1916,Warnemont Wood,"[0.0, 0.0]","",diaryDate,11 May 1916,"{""day""=>[""11""], ""month""=>[""May""], ""year""=>[""1916""]}",,,
23,AWD00043w2,diary,565,4,1916-05-11 00:00:00 UTC,11 May 1916,Warnemont Wood,"[0.0, 0.0]","",activity,training,{},,,
25,AWD00043w2,diary,565,4,1916-05-12 00:00:00 UTC,12 May 1916,Warnemont Wood,"[0.0, 0.0]","",diaryDate,12 May 1916,"{""day""=>[""12""], ""month""=>[""May""], ""year""=>[""1916""]}",,,
26,AWD00043w2,diary,565,2,1916-05-12 00:00:00 UTC,12 May 1916,Warnemont Wood,"[0.0, 0.0]","",activity,training,{},,,
31,AWD00043w2,diary,565,2,1916-05-12 00:00:00 UTC,12 May 1916,Warnemont Wood,"[0.0, 0.0]","",activity,training,{},,,
33,AWD00043w2,diary,565,2,1916-05-12 00:00:00 UTC,12 May 1916,Warnemont Wood,"[0.0, 0.0]","",activity,training,{},,,
34,AWD00043w2,diary,565,4,1916-05-12 00:00:00 UTC,12 May 1916,Warnemont Wood,"[0.0, 0.0]","",person,Private  Cranshaw,"{""first""=>[""""], ""surname""=>[""Cranshaw""], ""rank""=>[""Private""], ""number""=>[""895""], ""reason""=>[""departed_leave""], ""unit""=>[""""]}",,,
35,AWD00043w2,diary,565,4,1916-05-12 00:00:00 UTC,12 May 1916,Warnemont Wood,"[0.0, 0.0]","",person,Private S Jackson,"{""first""=>[""S""], ""surname""=>[""Jackson""], ""rank""=>[""Private""], ""number""=>[""1084""], ""reason""=>[""joined""], ""unit""=>[""14th Y L"", ""14th Y. L."", ""14th York Lancaster"", """"]}",,,
36,AWD00043w2,diary,565,5,1916-05-12 00:00:00 UTC,12 May 1916,Warnemont Wood,"[0.0, 0.0]","",person,Private G Marshall,"{""first""=>[""G""], ""surname""=>[""Marshall""], ""rank""=>[""Private""], ""number""=>[""226""], ""reason""=>[""departed_posted""], ""unit""=>[""14th Y L"", """"]}",,,
37,AWD00043w2,diary,565,5,1916-05-12 00:00:00 UTC,12 May 1916,Warnemont Wood,"[0.0, 0.0]","",person,Private A Ashton,"{""first""=>[""A""], ""surname""=>[""Ashton""], ""rank""=>[""Private""], ""number""=>[""861""], ""reason""=>[""departed_posted""], ""unit""=>[""14th Y L"", """"]}",,,
38,AWD00043w2,diary,565,4,1916-05-12 00:00:00 UTC,12 May 1916,Warnemont Wood,"[0.0, 0.0]","",person,Private G Merry,"{""first""=>[""G""], ""surname""=>[""Merry""], ""rank""=>[""Private""], ""number""=>[""1311""], ""reason""=>[""joined""], ""unit""=>[""14th Y L""]}",,,
39,AWD00043w2,diary,565,5,1916-05-12 00:00:00 UTC,12 May 1916,Warnemont Wood,"[0.0, 0.0]","",person,Private T Barraclough,"{""first""=>[""T""], ""surname""=>[""Barraclough""], ""rank""=>[""Private""], ""number""=>[""405""], ""reason""=>[""departed_posted""], ""unit""=>[""14th Y L"", """"]}",,,
40,AWD00043w2,diary,565,4,1916-05-12 00:00:00 UTC,12 May 1916,Warnemont Wood,"[0.0, 0.0]","",person,Private C Sharp,"{""first""=>[""C""], ""surname""=>[""Sharp""], ""rank""=>[""Private""], ""number""=>[""662""], ""reason""=>[""joined""], ""unit""=>[""14th Y L""]}",,,
41,AWD00043w2,diary,565,4,1916-05-13 00:00:00 UTC,13 May 1916,Warnemont Wood,"[0.0, 0.0]","",diaryDate,13 May 1916,"{""day""=>[""13""], ""month""=>[""May""], ""year""=>[""1916""]}",,,
42,AWD00043w2,diary,565,3,1916-05-13 00:00:00 UTC,13 May 1916,Warnemont Wood,"[0.0, 0.0]","",weather,rain,{},,,
43,AWD00043w2,diary,565,5,1916-05-13 00:00:00 UTC,13 May 1916,Warnemont Wood,"[0.0, 0.0]","",activity,training,{},,,
44,AWD00043w2,diary,565,4,1916-05-14 00:00:00 UTC,14 May 1916,Warnemont Wood,"[0.0, 0.0]","",diaryDate,14 May 1916,"{""day""=>[""14""], ""month""=>[""May""], ""year""=>[""1916""]}",,,
45,AWD00043w2,diary,565,5,1916-05-14 00:00:00 UTC,14 May 1916,Warnemont Wood,"[0.0, 0.0]","",domestic,religion,{},,,
46,AWD00043w2,diary,565,2,1916-05-14 00:00:00 UTC,14 May 1916,Warnemont Wood,"[0.0, 0.0]","",domestic,parades,{},,,
47,AWD00043w2,diary,565,5,1916-05-14 00:00:00 UTC,14 May 1916,Warnemont Wood,"[0.0, 0.0]","",weather,overcast,{},,,
49,AWD00043w2,diary,565,3,1916-05-14 00:00:00 UTC,14 May 1916,Warnemont Wood,"[0.0, 0.0]","",place,"Coureilles, Conreilles, Comreilles","{""place""=>[""Coureilles"", ""Conreilles"", ""Comreilles""], ""location""=>[""false""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
1,AWD00043vn,diary,566,4,1916-05-15 00:00:00 UTC,15 May 1916,Warnemont Wood,"[0.0, 0.0]","",diaryDate,15 May 1916,"{""day""=>[""15""], ""month""=>[""May""], ""year""=>[""1916""]}",,,
4,AWD00043vn,diary,566,4,1916-05-15 00:00:00 UTC,15 May 1916,Bertrancourt,"[2.55829, 50.09298]","",place,Bertrancourt,"{""place""=>[""Bertrancourt""], ""location""=>[""true""], ""name""=>[""Bertrancourt""], ""lat""=>[""50.09298""], ""long""=>[""2.55829""], ""id""=>[""3033168""]}",3033026,Béthancourt-en-Valois,"[2.87704, 49.2855]"
5,AWD00043vn,diary,566,4,1916-05-15 11:00:00 UTC,15 May 1916,Bertrancourt,"[2.55829, 50.09298]",1100AM,time,1100AM,{},3033026,Béthancourt-en-Valois,"[2.87704, 49.2855]"
6,AWD00043vn,diary,566,5,1916-05-15 11:00:00 UTC,15 May 1916,Bertrancourt,"[2.55829, 50.09298]",1100AM,person,Second Lieutenant  Potter,"{""first""=>[""""], ""surname""=>[""Potter""], ""rank""=>[""Second Lieutenant""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""""]}",3033026,Béthancourt-en-Valois,"[2.87704, 49.2855]"
7,AWD00043vn,diary,566,3,1916-05-15 11:00:00 UTC,15 May 1916,Bertrancourt,"[2.55829, 50.09298]",1100AM,activity,movement,{},3033026,Béthancourt-en-Valois,"[2.87704, 49.2855]"
8,AWD00043vn,diary,566,5,1916-05-15 11:00:00 UTC,15 May 1916,Courcelles,"[0.0, 0.0]",1100AM,place,Courcelles,"{""place""=>[""Courcelles""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2800063,Courcelles,"[4.3747, 50.46379]"
10,AWD00043vn,diary,566,3,1916-05-15 11:00:00 UTC,15 May 1916,Courcelles,"[0.0, 0.0]",1100AM,domestic,accomodation,{},2800063,Courcelles,"[4.3747, 50.46379]"
14,AWD00043vn,diary,566,5,1916-05-16 00:00:00 UTC,16 May 1916,Courcelles,"[0.0, 0.0]","",diaryDate,16 May 1916,"{""day""=>[""16""], ""month""=>[""May""], ""year""=>[""1916""]}",2800063,Courcelles,"[4.3747, 50.46379]"
16,AWD00043vn,diary,566,5,1916-05-16 00:00:00 UTC,16 May 1916,courcelles,"[6.03759, 48.3725]","",place,courcelles,"{""place""=>[""courcelles""], ""location""=>[""true""], ""name""=>[""Courcelles""], ""lat""=>[""48.3725""], ""long""=>[""6.03759""], ""id""=>[""3023116""]}",2800063,Courcelles,"[4.3747, 50.46379]"
