Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD00040c9,diary,4,2,1918-03-01 00:00:00 UTC,1 Mar 1918,"","[0.0, 0.0]","",diaryDate,1 Mar 1918,"{""day""=>[""1""], ""month""=>[""Mar""], ""year""=>[""1918""]}",2985684,Pozières,"[2.72929, 50.04047]"
3,AWD00040c9,diary,4,2,1918-03-01 00:00:00 UTC,1 Mar 1918,"","[0.0, 0.0]","",diaryDate,1 Mar 1918,"{""day""=>[""1""], ""month""=>[""Mar""], ""year""=>[""1918""]}",2985684,Pozières,"[2.72929, 50.04047]"
4,AWD00040c9,diary,4,5,1918-03-01 00:00:00 UTC,1 Mar 1918,Roclincourt,"[2.78688, 50.32619]","",place,Roclincourt,"{""place""=>[""Roclincourt""], ""location""=>[""true""], ""name""=>[""Roclincourt""], ""lat""=>[""50.32619""], ""long""=>[""2.78688""], ""id""=>[""2983186""]}",2983186,Roclincourt,"[2.78688, 50.32619]"
8,AWD00040c9,diary,4,2,1918-03-01 00:00:00 UTC,1 Mar 1918,"Brunhault Farm, brunhault farm","[2.77091, 50.33068]","",place,"Brunhault Farm, brunhault farm","{""place""=>[""Brunhault Farm"", ""brunhault farm""], ""location""=>[""true""], ""name""=>["""", ""Écurie""], ""lat""=>["""", ""50.33068""], ""long""=>["""", ""2.77091""], ""id""=>["""", ""3020381""]}",,,
9,AWD00040c9,diary,4,2,1918-03-01 00:00:00 UTC,1 Mar 1918,"Brunhault Farm, brunhault farm","[2.77091, 50.33068]","",place,"la comte, Lacomte","{""place""=>[""la comte"", ""Lacomte""], ""location""=>[""true"", ""false""], ""name""=>[""La Comté"", """"], ""lat""=>[""50.42563"", """"], ""long""=>[""2.4918"", """"], ""id""=>[""3009940"", """"]}",,,
11,AWD00040c9,diary,4,3,1918-03-01 00:00:00 UTC,1 Mar 1918,"Brunhault Farm, brunhault farm","[2.77091, 50.33068]","",activity,quiet,{},,,
12,AWD00040c9,diary,4,4,1918-03-02 00:00:00 UTC,2 Mar 1918,"Brunhault Farm, brunhault farm","[2.77091, 50.33068]","",diaryDate,2 Mar 1918,"{""day""=>[""2""], ""month""=>[""Mar""], ""year""=>[""1918""]}",,,
13,AWD00040c9,diary,4,2,1918-03-02 00:00:00 UTC,2 Mar 1918,"Brunhault Farm, brunhault farm","[2.77091, 50.33068]","",activity,movement,{},,,
14,AWD00040c9,diary,4,2,1918-03-02 00:00:00 UTC,2 Mar 1918,"Brunhault Farm, brunhault farm","[2.77091, 50.33068]","",place,Brunhault Farm,"{""place""=>[""Brunhault Farm""], ""location""=>[""false""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
15,AWD00040c9,diary,4,2,1918-03-02 00:00:00 UTC,2 Mar 1918,"Brunhault Farm, brunhault farm","[2.77091, 50.33068]","",place,La Comte,"{""place""=>[""La Comte""], ""location""=>[""true"", ""false""], ""name""=>[""La Comté"", """"], ""lat""=>[""50.42563"", """"], ""long""=>[""2.4918"", """"], ""id""=>[""3009940"", """"]}",,,
16,AWD00040c9,diary,4,3,1918-03-02 00:00:00 UTC,2 Mar 1918,"Brunhault Farm, brunhault farm","[2.77091, 50.33068]","",person,"Captain,Quarter Master Sergeant,Regimental Quarter Master Sergeant  Mogan","{""first""=>[""""], ""surname""=>[""Mogan""], ""rank""=>[""Captain"", ""Quarter Master Sergeant"", ""Regimental Quarter Master Sergeant""], ""number""=>[""""], ""reason""=>[""joined""], ""unit""=>[""""]}",,,
17,AWD00040c9,diary,4,4,1918-03-02 00:00:00 UTC,2 Mar 1918,"Brunhault Farm, brunhault farm","[2.77091, 50.33068]","",person,Regimental Sergeant Major  Scott,"{""first""=>[""""], ""surname""=>[""Scott""], ""rank""=>[""Regimental Sergeant Major""], ""number""=>[""""], ""reason""=>[""joined""], ""unit""=>[""""]}",,,
18,AWD00040c9,diary,4,4,1918-03-02 00:00:00 UTC,2 Mar 1918,"Brunhault Farm, brunhault farm","[2.77091, 50.33068]","",person,Regimental Quarter Master Sergeant  Pitchers,"{""first""=>[""""], ""surname""=>[""Pitchers""], ""rank""=>[""Regimental Quarter Master Sergeant""], ""number""=>[""""], ""reason""=>[""joined""], ""unit""=>[""""]}",,,
19,AWD00040c9,diary,4,4,1918-03-02 00:00:00 UTC,2 Mar 1918,"Brunhault Farm, brunhault farm","[2.77091, 50.33068]","",person,Sergeant  Little,"{""first""=>[""""], ""surname""=>[""Little""], ""rank""=>[""Sergeant""], ""number""=>[""""], ""reason""=>[""joined""], ""unit""=>[""""]}",,,
23,AWD00040c9,diary,4,3,1918-03-02 00:00:00 UTC,2 Mar 1918,Roberts Camp,"[0.0, 0.0]","",place,Roberts Camp,"{""place""=>[""Roberts Camp""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",0,",Écurie","[0.0, 0.0]"
24,AWD00040c9,diary,4,4,1918-03-03 00:00:00 UTC,3 Mar 1918,Roberts Camp,"[0.0, 0.0]","",diaryDate,3 Mar 1918,"{""day""=>[""3""], ""month""=>[""Mar""], ""year""=>[""1918""]}",0,",Écurie","[0.0, 0.0]"
25,AWD00040c9,diary,4,4,1918-03-03 00:00:00 UTC,3 Mar 1918,Roberts Camp,"[0.0, 0.0]","",activity,movement,{},0,",Écurie","[0.0, 0.0]"
26,AWD00040c9,diary,4,2,1918-03-03 00:00:00 UTC,3 Mar 1918,Roberts Camp,"[0.0, 0.0]","",place,Roberts Camp,"{""place""=>[""Roberts Camp""], ""location""=>[""false""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",0,",Écurie","[0.0, 0.0]"
27,AWD00040c9,diary,4,2,1918-03-03 00:00:00 UTC,3 Mar 1918,Roberts Camp,"[0.0, 0.0]","",place,La Comte,"{""place""=>[""La Comte""], ""location""=>[""true"", ""false""], ""name""=>[""La Comté"", """"], ""lat""=>[""50.42563"", """"], ""long""=>[""2.4918"", """"], ""id""=>[""3009940"", """"]}",0,",Écurie","[0.0, 0.0]"
30,AWD00040c9,diary,4,2,1918-03-03 12:00:00 UTC,3 Mar 1918,Roberts Camp,"[0.0, 0.0]",1200PM,time,1200PM,{},0,",Écurie","[0.0, 0.0]"
32,AWD00040c9,diary,4,4,1918-03-04 00:00:00 UTC,4 Mar 1918,Roberts Camp,"[0.0, 0.0]","",diaryDate,4 Mar 1918,"{""day""=>[""4""], ""month""=>[""Mar""], ""year""=>[""1918""]}",0,",Écurie","[0.0, 0.0]"
33,AWD00040c9,diary,4,3,1918-03-04 00:00:00 UTC,4 Mar 1918,Roberts Camp,"[0.0, 0.0]","",activity,movement,{},0,",Écurie","[0.0, 0.0]"
34,AWD00040c9,diary,4,2,1918-03-04 00:00:00 UTC,4 Mar 1918,Roberts Camp,"[0.0, 0.0]","",place,Thelus,"{""place""=>[""Thelus""], ""location""=>[""false"", ""true""], ""name""=>[""Thélus"", ""La Comté""], ""lat""=>[""50.35441"", ""50.42563""], ""long""=>[""2.80146"", ""2.4918""], ""id""=>[""2972969"", ""3009940""]}",0,",Écurie","[0.0, 0.0]"
35,AWD00040c9,diary,4,2,1918-03-04 00:00:00 UTC,4 Mar 1918,Roberts Camp,"[0.0, 0.0]","",place,La Comte,"{""place""=>[""La Comte""], ""location""=>[""false""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",0,",Écurie","[0.0, 0.0]"
37,AWD00040c9,diary,4,2,1918-03-04 00:00:00 UTC,4 Mar 1918,La Comte,"[2.4918, 50.42563]","",place,La Comte,"{""place""=>[""La Comte""], ""location""=>[""true""], ""name""=>[""La Comté""], ""lat""=>[""50.42563""], ""long""=>[""2.4918""], ""id""=>[""3009940""]}",3009940,La Comté,"[2.4918, 50.42563]"
1,AWD000403v,diary,5,3,1918-03-05 00:00:00 UTC,5 Mar 1918,La Comte,"[2.4918, 50.42563]","",diaryDate,5 Mar 1918,"{""day""=>[""5""], ""month""=>[""Mar""], ""year""=>[""1918""]}",3009940,La Comté,"[2.4918, 50.42563]"
2,AWD000403v,diary,5,4,1918-03-05 00:00:00 UTC,5 Mar 1918,La Comte,"[2.4918, 50.42563]","",place,La Comte,"{""place""=>[""La Comte""], ""location""=>[""true""], ""name""=>[""La Comté""], ""lat""=>[""50.42563""], ""long""=>[""2.4918""], ""id""=>[""3009940""]}",3009940,La Comté,"[2.4918, 50.42563]"
5,AWD000403v,diary,5,5,1918-03-05 00:00:00 UTC,5 Mar 1918,La Comte,"[2.4918, 50.42563]","",person,Captain  York,"{""first""=>[""""], ""surname""=>[""York""], ""rank""=>[""Captain""], ""number""=>[""""], ""reason""=>[""departed_leave""], ""unit""=>[""B Coy, 31st Bn Machine Gun Corps""]}",3009940,La Comté,"[2.4918, 50.42563]"
7,AWD000403v,diary,5,4,1918-03-06 00:00:00 UTC,6 Mar 1918,La Comte,"[2.4918, 50.42563]","",diaryDate,6 Mar 1918,"{""day""=>[""6""], ""month""=>[""Mar""], ""year""=>[""1918""]}",3009940,La Comté,"[2.4918, 50.42563]"
8,AWD000403v,diary,5,2,1918-03-06 00:00:00 UTC,6 Mar 1918,La Comte,"[2.4918, 50.42563]","",activity,training,{},3009940,La Comté,"[2.4918, 50.42563]"
9,AWD000403v,diary,5,3,1918-03-06 00:00:00 UTC,6 Mar 1918,La Comte,"[2.4918, 50.42563]","",person,"Lieutenant  woods, Woods, WOODS","{""first""=>[""""], ""surname""=>[""woods"", ""Woods"", ""WOODS""], ""rank""=>[""Lieutenant""], ""number""=>[""""], ""reason""=>[""commander""], ""unit""=>[""""]}",3009940,La Comté,"[2.4918, 50.42563]"
11,AWD000403v,diary,5,4,1918-03-07 00:00:00 UTC,7 Mar 1918,La Comte,"[2.4918, 50.42563]","",diaryDate,7 Mar 1918,"{""day""=>[""7""], ""month""=>[""Mar""], ""year""=>[""1918""]}",3009940,La Comté,"[2.4918, 50.42563]"
12,AWD000403v,diary,5,4,1918-03-07 00:00:00 UTC,7 Mar 1918,La Comte,"[2.4918, 50.42563]","",person,Lance Corporal L Clough,"{""first""=>[""L""], ""surname""=>[""Clough""], ""rank""=>[""Lance Corporal""], ""number""=>[""30554""], ""reason""=>[""award""], ""unit""=>[""""]}",3009940,La Comté,"[2.4918, 50.42563]"
13,AWD000403v,diary,5,3,1918-03-08 00:00:00 UTC,8 Mar 1918,La Comte,"[2.4918, 50.42563]","",diaryDate,8 Mar 1918,"{""day""=>[""8""], ""month""=>[""Mar""], ""year""=>[""1918""]}",3009940,La Comté,"[2.4918, 50.42563]"
14,AWD000403v,diary,5,2,1918-03-08 00:00:00 UTC,8 Mar 1918,La Comte,"[2.4918, 50.42563]","",domestic,sport,{},3009940,La Comté,"[2.4918, 50.42563]"
20,AWD000403v,diary,5,2,1918-03-08 00:00:00 UTC,8 Mar 1918,La Comte,"[2.4918, 50.42563]","",person,  ,"{""first""=>[""""], ""surname""=>[""""], ""rank""=>[""""], ""number""=>[""""], ""reason""=>[""departed_sick"", ""returned_leave""], ""unit""=>[""""]}",3009940,La Comté,"[2.4918, 50.42563]"
21,AWD000403v,diary,5,4,1918-03-09 00:00:00 UTC,9 Mar 1918,La Comte,"[2.4918, 50.42563]","",diaryDate,9 Mar 1918,"{""day""=>[""9""], ""month""=>[""Mar""], ""year""=>[""1918""]}",3009940,La Comté,"[2.4918, 50.42563]"
26,AWD000403v,diary,5,2,1918-03-09 00:00:00 UTC,9 Mar 1918,La Comte,"[2.4918, 50.42563]","",place,"Gosnay, gosnay","{""place""=>[""Gosnay"", ""gosnay""], ""location""=>[""false"", ""true""], ""name""=>[""Gosnay""], ""lat""=>[""50.50622""], ""long""=>[""2.58904""], ""id""=>[""3015636""]}",3009940,La Comté,"[2.4918, 50.42563]"
