Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD00043so,diary,239,4,1916-05-15 00:00:00 UTC,15 May 1916,"","[0.0, 0.0]","",diaryDate,15 May 1916,"{""day""=>[""15""], ""month""=>[""May""], ""year""=>[""1916""]}",2985684,Pozières,"[2.72929, 50.04047]"
2,AWD00043so,diary,239,4,1916-05-15 00:00:00 UTC,15 May 1916,"","[0.0, 0.0]","",activity,movement,{},2985684,Pozières,"[2.72929, 50.04047]"
3,AWD00043so,diary,239,4,1916-05-15 00:00:00 UTC,15 May 1916,"","[0.0, 0.0]","",place,Grantham,"{""place""=>[""Grantham""], ""location""=>[""false""], ""name""=>[""Grantham""], ""lat""=>[""52.91149""], ""long""=>[""-0.64184""], ""id""=>[""2648208""]}",2985684,Pozières,"[2.72929, 50.04047]"
4,AWD00043so,diary,239,4,1916-05-17 00:00:00 UTC,17 May 1916,"","[0.0, 0.0]","",diaryDate,17 May 1916,"{""day""=>[""17""], ""month""=>[""May""], ""year""=>[""1916""]}",2985684,Pozières,"[2.72929, 50.04047]"
5,AWD00043so,diary,239,4,1916-05-17 00:00:00 UTC,17 May 1916,Havre,"[0.10767, 49.4938]","",place,Havre,"{""place""=>[""Havre""], ""location""=>[""true""], ""name""=>[""Le Havre""], ""lat""=>[""49.4938""], ""long""=>[""0.10767""], ""id""=>[""3003796""]}",3003796,Le Havre,"[0.10767, 49.4938]"
6,AWD00043so,diary,239,4,1916-05-17 00:00:00 UTC,17 May 1916,Havre,"[0.10767, 49.4938]","",activity,movement,{},3003796,Le Havre,"[0.10767, 49.4938]"
7,AWD00043so,diary,239,4,1916-05-21 00:00:00 UTC,21 May 1916,Havre,"[0.10767, 49.4938]","",diaryDate,21 May 1916,"{""day""=>[""21""], ""month""=>[""May""], ""year""=>[""1916""]}",3003796,Le Havre,"[0.10767, 49.4938]"
8,AWD00043so,diary,239,4,1916-05-21 00:00:00 UTC,21 May 1916,Courcelles,"[0.0, 0.0]","",place,Courcelles,"{""place""=>[""Courcelles""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2800063,Courcelles,"[4.3747, 50.46379]"
9,AWD00043so,diary,239,2,1916-05-21 00:00:00 UTC,21 May 1916,Courcelles,"[0.0, 0.0]","",activity,movement,{},2800063,Courcelles,"[4.3747, 50.46379]"
11,AWD00043so,diary,239,5,1916-05-22 00:00:00 UTC,22 May 1916,Courcelles,"[0.0, 0.0]","",diaryDate,22 May 1916,"{""day""=>[""22""], ""month""=>[""May""], ""year""=>[""1916""]}",2800063,Courcelles,"[4.3747, 50.46379]"
12,AWD00043so,diary,239,4,1916-05-22 00:00:00 UTC,22 May 1916,Courcelles,"[0.0, 0.0]","",person,Lieutenant  Williams,"{""first""=>[""""], ""surname""=>[""Williams""], ""rank""=>[""Lieutenant""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""No. 1 Section, 94th Machine Gun Company"", ""No. 1  Section"", """", ""no 1 section""]}",2800063,Courcelles,"[4.3747, 50.46379]"
15,AWD00043so,diary,239,3,1916-05-22 00:00:00 UTC,22 May 1916,Courcelles,"[0.0, 0.0]","",person,"Lieutenant  Saunders, saunders, SAUNDERS","{""first""=>[""""], ""surname""=>[""Saunders"", ""saunders"", ""SAUNDERS""], ""rank""=>[""Lieutenant""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""No. 1 Section"", ""no 1 section"", """"]}",2800063,Courcelles,"[4.3747, 50.46379]"
16,AWD00043so,diary,239,2,1916-05-22 00:00:00 UTC,22 May 1916,Courcelles,"[0.0, 0.0]","",activity,movement,{},2800063,Courcelles,"[4.3747, 50.46379]"
28,AWD00043so,diary,239,5,1916-05-23 00:00:00 UTC,23 May 1916,Courcelles,"[0.0, 0.0]","",diaryDate,23 May 1916,"{""day""=>[""23""], ""month""=>[""May""], ""year""=>[""1916""]}",2800063,Courcelles,"[4.3747, 50.46379]"
31,AWD00043so,diary,239,4,1916-05-23 00:00:00 UTC,23 May 1916,Courcelles,"[0.0, 0.0]","",person,Lieutenant  Williams,"{""first""=>[""""], ""surname""=>[""Williams""], ""rank""=>[""Lieutenant""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""94th Machine Gun Company"", ""No. 1 Section"", ""no 1 section"", """"]}",2800063,Courcelles,"[4.3747, 50.46379]"
32,AWD00043so,diary,239,2,1916-05-23 00:00:00 UTC,23 May 1916,Courcelles,"[0.0, 0.0]","",activity,attack,{},2800063,Courcelles,"[4.3747, 50.46379]"
35,AWD00043so,diary,239,2,1916-05-23 00:00:00 UTC,23 May 1916,Courcelles,"[0.0, 0.0]","",activity,fire,{},2800063,Courcelles,"[4.3747, 50.46379]"
37,AWD00043so,diary,239,4,1916-05-23 00:00:00 UTC,23 May 1916,Courcelles,"[0.0, 0.0]","",activity,training,{},2800063,Courcelles,"[4.3747, 50.46379]"
1,AWD00043t6,diary,240,5,1916-05-24 00:00:00 UTC,24 May 1916,Courcelles,"[0.0, 0.0]","",diaryDate,24 May 1916,"{""day""=>[""24""], ""month""=>[""May""], ""year""=>[""1916""]}",2800063,Courcelles,"[4.3747, 50.46379]"
4,AWD00043t6,diary,240,3,1916-05-24 00:00:00 UTC,24 May 1916,Courcelles,"[0.0, 0.0]","",activity,quiet,{},2800063,Courcelles,"[4.3747, 50.46379]"
5,AWD00043t6,diary,240,5,1916-05-25 00:00:00 UTC,25 May 1916,Courcelles,"[0.0, 0.0]","",diaryDate,25 May 1916,"{""day""=>[""25""], ""month""=>[""May""], ""year""=>[""1916""]}",2800063,Courcelles,"[4.3747, 50.46379]"
6,AWD00043t6,diary,240,3,1916-05-25 00:00:00 UTC,25 May 1916,Courcelles,"[0.0, 0.0]","",person,"Lieutenant  williams, Williams, WILLIAMS","{""first""=>[""""], ""surname""=>[""williams"", ""Williams"", ""WILLIAMS""], ""rank""=>[""Lieutenant""], ""number""=>[""""], ""reason""=>[""joined"", ""commander"", ""combat""], ""unit""=>[""""]}",2800063,Courcelles,"[4.3747, 50.46379]"
9,AWD00043t6,diary,240,3,1916-05-25 00:00:00 UTC,25 May 1916,Courcelles,"[0.0, 0.0]","",activity,attack,{},2800063,Courcelles,"[4.3747, 50.46379]"
11,AWD00043t6,diary,240,3,1916-05-25 00:00:00 UTC,25 May 1916,Courcelles,"[0.0, 0.0]","",activity,fire,{},2800063,Courcelles,"[4.3747, 50.46379]"
16,AWD00043t6,diary,240,4,1916-05-25 00:00:00 UTC,25 May 1916,Courcelles,"[0.0, 0.0]","",person,"Second Lieutenant,Lieutenant  Saunders","{""first""=>[""""], ""surname""=>[""Saunders""], ""rank""=>[""Second Lieutenant"", ""Lieutenant""], ""number""=>[""""], ""reason""=>[""other"", ""combat"", ""joined"", ""commander""], ""unit""=>[""""]}",2800063,Courcelles,"[4.3747, 50.46379]"
17,AWD00043t6,diary,240,2,1916-05-25 00:00:00 UTC,25 May 1916,Courcelles,"[0.0, 0.0]","",activity,enemy_activity,{},2800063,Courcelles,"[4.3747, 50.46379]"
1,AWD00043q7,diary,241,5,1916-05-26 00:00:00 UTC,26 May 1916,Courcelles,"[0.0, 0.0]","",diaryDate,26 May 1916,"{""day""=>[""26""], ""month""=>[""May""], ""year""=>[""1916""]}",2800063,Courcelles,"[4.3747, 50.46379]"
3,AWD00043q7,diary,241,3,1916-05-26 00:00:00 UTC,26 May 1916,Courcelles,"[0.0, 0.0]","",activity,quiet,{},2800063,Courcelles,"[4.3747, 50.46379]"
8,AWD00043q7,diary,241,2,1916-05-26 00:00:00 UTC,26 May 1916,Courcelles,"[0.0, 0.0]","",gridRef,K 29 B 2 2,{},2800063,Courcelles,"[4.3747, 50.46379]"
11,AWD00043q7,diary,241,2,1916-05-26 00:00:00 UTC,26 May 1916,Courcelles,"[0.0, 0.0]","",unit,"no 2 section 94th mgc, no 1 section 94th mgc","{""name""=>[""no 2 section 94th mgc"", ""no 1 section 94th mgc""], ""context""=>[""relieved"", ""relieved_by""]}",2800063,Courcelles,"[4.3747, 50.46379]"
13,AWD00043q7,diary,241,4,1916-05-26 00:00:00 UTC,26 May 1916,Courcelles,"[0.0, 0.0]","",person,Second Lieutenant  Hill,"{""first""=>[""""], ""surname""=>[""Hill""], ""rank""=>[""Second Lieutenant""], ""number""=>[""""], ""reason""=>[""commander""], ""unit""=>[""""]}",2800063,Courcelles,"[4.3747, 50.46379]"
14,AWD00043q7,diary,241,4,1916-05-26 00:00:00 UTC,26 May 1916,Courcelles,"[0.0, 0.0]","",person,Second Lieutenant  Howard,"{""first""=>[""""], ""surname""=>[""Howard""], ""rank""=>[""Second Lieutenant""], ""number""=>[""""], ""reason""=>[""commander""], ""unit""=>[""""]}",2800063,Courcelles,"[4.3747, 50.46379]"
16,AWD00043q7,diary,241,5,1916-05-27 00:00:00 UTC,27 May 1916,Courcelles,"[0.0, 0.0]","",diaryDate,27 May 1916,"{""day""=>[""27""], ""month""=>[""May""], ""year""=>[""1916""]}",2800063,Courcelles,"[4.3747, 50.46379]"
18,AWD00043q7,diary,241,2,1916-05-27 00:00:00 UTC,27 May 1916,Courcelles,"[0.0, 0.0]","",activity,fire,{},2800063,Courcelles,"[4.3747, 50.46379]"
20,AWD00043q7,diary,241,4,1916-05-27 00:00:00 UTC,27 May 1916,Courcelles,"[0.0, 0.0]","",place,Rob Roy Trench,"{""place""=>[""Rob Roy Trench""], ""location""=>[""false"", ""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2800063,Courcelles,"[4.3747, 50.46379]"
21,AWD00043q7,diary,241,2,1916-05-27 16:00:00 UTC,27 May 1916,Courcelles,"[0.0, 0.0]",0400PM,time,0400PM,{},2800063,Courcelles,"[4.3747, 50.46379]"
22,AWD00043q7,diary,241,2,1916-05-27 09:00:00 UTC,27 May 1916,Courcelles,"[0.0, 0.0]",0900AM,time,0900AM,{},2800063,Courcelles,"[4.3747, 50.46379]"
26,AWD00043q7,diary,241,2,1916-05-27 09:00:00 UTC,27 May 1916,Courcelles,"[0.0, 0.0]",0900AM,activity,training,{},2800063,Courcelles,"[4.3747, 50.46379]"
1,AWD00043v3,diary,242,5,1916-05-28 00:00:00 UTC,28 May 1916,Courcelles,"[0.0, 0.0]","",diaryDate,28 May 1916,"{""day""=>[""28""], ""month""=>[""May""], ""year""=>[""1916""]}",2800063,Courcelles,"[4.3747, 50.46379]"
3,AWD00043v3,diary,242,2,1916-05-28 00:00:00 UTC,28 May 1916,Courcelles,"[0.0, 0.0]","",domestic,religion,{},2800063,Courcelles,"[4.3747, 50.46379]"
4,AWD00043v3,diary,242,3,1916-05-28 00:00:00 UTC,28 May 1916,Courcelles,"[0.0, 0.0]","",domestic,parades,{},2800063,Courcelles,"[4.3747, 50.46379]"
6,AWD00043v3,diary,242,2,1916-05-28 00:00:00 UTC,28 May 1916,Courcelles,"[0.0, 0.0]","",activity,attack,{},2800063,Courcelles,"[4.3747, 50.46379]"
7,AWD00043v3,diary,242,3,1916-05-28 00:00:00 UTC,28 May 1916,Courcelles,"[0.0, 0.0]","",activity,fire,{},2800063,Courcelles,"[4.3747, 50.46379]"
8,AWD00043v3,diary,242,2,1916-05-28 00:00:00 UTC,28 May 1916,Courcelles,"[0.0, 0.0]","",person,"Major General,General  Coy, Gay","{""first""=>[""""], ""surname""=>[""Coy"", ""Gay""], ""rank""=>[""Major General"", ""General""], ""number""=>[""""], ""reason""=>[""combat"", ""commander""], ""unit""=>[""""]}",2800063,Courcelles,"[4.3747, 50.46379]"
9,AWD00043v3,diary,242,5,1916-05-29 00:00:00 UTC,29 May 1916,Courcelles,"[0.0, 0.0]","",diaryDate,29 May 1916,"{""day""=>[""29""], ""month""=>[""May""], ""year""=>[""1916""]}",2800063,Courcelles,"[4.3747, 50.46379]"
10,AWD00043v3,diary,242,2,1916-05-29 00:00:00 UTC,29 May 1916,Courcelles,"[0.0, 0.0]","",activity,training,{},2800063,Courcelles,"[4.3747, 50.46379]"
14,AWD00043v3,diary,242,2,1916-05-29 00:00:00 UTC,29 May 1916,Courcelles,"[0.0, 0.0]","",activity,resupplying,{},2800063,Courcelles,"[4.3747, 50.46379]"
17,AWD00043v3,diary,242,3,1916-05-29 00:00:00 UTC,29 May 1916,Courcelles,"[0.0, 0.0]","",person,"Corporal  HARKINSON, Markinson, harkinson","{""first""=>[""""], ""surname""=>[""HARKINSON"", ""Markinson"", ""harkinson""], ""rank""=>[""Corporal""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""94th Machine Gun Coy"", """", ""no 2 section?""]}",2800063,Courcelles,"[4.3747, 50.46379]"
18,AWD00043v3,diary,242,2,1916-05-29 00:00:00 UTC,29 May 1916,Courcelles,"[0.0, 0.0]","",person,"Corporal  JACKSON, jackson","{""first""=>[""""], ""surname""=>[""JACKSON"", ""jackson""], ""rank""=>[""Corporal""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""94th Machine Gun Coy"", ""no 2 section?""]}",2800063,Courcelles,"[4.3747, 50.46379]"
1,AWD00043o4,diary,243,5,1916-05-30 00:00:00 UTC,30 May 1916,Courcelles,"[0.0, 0.0]","",diaryDate,30 May 1916,"{""day""=>[""30""], ""month""=>[""May""], ""year""=>[""1916""]}",2800063,Courcelles,"[4.3747, 50.46379]"
4,AWD00043o4,diary,243,2,1916-05-30 00:00:00 UTC,30 May 1916,Courcelles,"[0.0, 0.0]","",activity,quiet,{},2800063,Courcelles,"[4.3747, 50.46379]"
6,AWD00043o4,diary,243,3,1916-05-30 00:00:00 UTC,30 May 1916,Courcelles,"[0.0, 0.0]","",person,"Lieutenant  Walsh, WALSH, walsh","{""first""=>[""""], ""surname""=>[""Walsh"", ""WALSH"", ""walsh""], ""rank""=>[""Lieutenant""], ""number""=>[""""], ""reason""=>[""commander"", ""other"", ""joined""], ""unit""=>[""No. 3 Section, 94th Machine Gun Company"", """", ""no 3 section""]}",2800063,Courcelles,"[4.3747, 50.46379]"
8,AWD00043o4,diary,243,2,1916-05-30 00:00:00 UTC,30 May 1916,Courcelles,"[0.0, 0.0]","",person,"Lieutenant  fisher, FISHER","{""first""=>[""""], ""surname""=>[""fisher"", ""FISHER""], ""rank""=>[""Lieutenant""], ""number""=>[""""], ""reason""=>[""joined"", ""other""], ""unit""=>[""no 3 section"", """"]}",2800063,Courcelles,"[4.3747, 50.46379]"
11,AWD00043o4,diary,243,3,1916-05-30 00:00:00 UTC,30 May 1916,Courcelles,"[0.0, 0.0]","",place,Courcelles,"{""place""=>[""Courcelles""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2800063,Courcelles,"[4.3747, 50.46379]"
1,AWD00043v0,diary,246,5,1916-06-22 00:00:00 UTC,22 Jun 1916,Courcelles,"[0.0, 0.0]","",diaryDate,22 Jun 1916,"{""day""=>[""22""], ""month""=>[""Jun""], ""year""=>[""1916""]}",2800063,Courcelles,"[4.3747, 50.46379]"
2,AWD00043v0,diary,246,2,1916-06-22 00:00:00 UTC,22 Jun 1916,Courcelles,"[0.0, 0.0]","",activity,other,{},2800063,Courcelles,"[4.3747, 50.46379]"
5,AWD00043v0,diary,246,2,1916-06-22 00:00:00 UTC,22 Jun 1916,Courcelles,"[0.0, 0.0]","",activity,working,{},2800063,Courcelles,"[4.3747, 50.46379]"
8,AWD00043v0,diary,246,5,1916-06-23 00:00:00 UTC,23 Jun 1916,Courcelles,"[0.0, 0.0]","",diaryDate,23 Jun 1916,"{""day""=>[""23""], ""month""=>[""Jun""], ""year""=>[""1916""]}",2800063,Courcelles,"[4.3747, 50.46379]"
10,AWD00043v0,diary,246,2,1916-06-25 00:00:00 UTC,25 Jun 1916,Courcelles,"[0.0, 0.0]","",diaryDate,25 Jun 1916,"{""day""=>[""25""], ""month""=>[""Jun""], ""year""=>[""1916""]}",2800063,Courcelles,"[4.3747, 50.46379]"
11,AWD00043v0,diary,246,3,1916-06-25 00:00:00 UTC,25 Jun 1916,Courcelles,"[0.0, 0.0]","",activity,working,{},2800063,Courcelles,"[4.3747, 50.46379]"
13,AWD00043v0,diary,246,5,1916-06-26 00:00:00 UTC,26 Jun 1916,Courcelles,"[0.0, 0.0]","",diaryDate,26 Jun 1916,"{""day""=>[""26""], ""month""=>[""Jun""], ""year""=>[""1916""]}",2800063,Courcelles,"[4.3747, 50.46379]"
16,AWD00043v0,diary,246,3,1916-06-26 00:00:00 UTC,26 Jun 1916,Courcelles,"[0.0, 0.0]","",activity,working,{},2800063,Courcelles,"[4.3747, 50.46379]"
19,AWD00043v0,diary,246,2,1916-06-26 00:00:00 UTC,26 Jun 1916,Courcelles,"[0.0, 0.0]","",activity,attack,{},2800063,Courcelles,"[4.3747, 50.46379]"
22,AWD00043v0,diary,246,5,1916-06-29 00:00:00 UTC,29 Jun 1916,Courcelles,"[0.0, 0.0]","",diaryDate,29 Jun 1916,"{""day""=>[""29""], ""month""=>[""Jun""], ""year""=>[""1916""]}",2800063,Courcelles,"[4.3747, 50.46379]"
23,AWD00043v0,diary,246,2,1916-06-29 00:00:00 UTC,29 Jun 1916,Courcelles,"[0.0, 0.0]","",activity,other,{},2800063,Courcelles,"[4.3747, 50.46379]"
26,AWD00043v0,diary,246,2,1916-06-29 00:00:00 UTC,29 Jun 1916,Courcelles,"[0.0, 0.0]","",activity,working,{},2800063,Courcelles,"[4.3747, 50.46379]"
27,AWD00043v0,diary,246,5,1916-06-30 00:00:00 UTC,30 Jun 1916,Courcelles,"[0.0, 0.0]","",diaryDate,30 Jun 1916,"{""day""=>[""30""], ""month""=>[""Jun""], ""year""=>[""1916""]}",2800063,Courcelles,"[4.3747, 50.46379]"
31,AWD00043v0,diary,246,5,1916-06-30 00:00:00 UTC,30 Jun 1916,Courcelles,"[0.0, 0.0]","",person,"Second Lieutenant  Gascoine, gascoine","{""first""=>[""""], ""surname""=>[""Gascoine"", ""gascoine""], ""rank""=>[""Second Lieutenant""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""""]}",2800063,Courcelles,"[4.3747, 50.46379]"
1,AWD00043pq,"other, report",247,2,,,,[],,date,16 Aug 1916,{},,,
3,AWD00043qy,"report, other",253,2,,,,[],,person,"Captain G D, Melville, melville","{""first""=>[""G D"", """"], ""surname""=>[""Melville"", ""melville""], ""rank""=>[""Captain""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""31st Div"", """"]}",,,
