Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
3,AWD000410b,diary,2,3,,"",Ballah East,"[0.0, 0.0]","",place,Ballah East,"{""place""=>[""Ballah East""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
4,AWD000410b,diary,2,4,1916-02-12 00:00:00 UTC,12 Feb 1916,Ballah East,"[0.0, 0.0]","",diaryDate,12 Feb 1916,"{""day""=>[""12""], ""month""=>[""Feb""], ""year""=>[""1916""]}",,,
7,AWD000410b,diary,2,3,1916-02-12 14:00:00 UTC,12 Feb 1916,Ballah East,"[0.0, 0.0]",0200PM,time,0200PM,{},,,
9,AWD000410b,diary,2,2,1916-02-12 14:00:00 UTC,12 Feb 1916,Ballah East,"[0.0, 0.0]",0200PM,place,"SUEZ CANAL, Suez Canal","{""place""=>[""SUEZ CANAL"", ""Suez Canal""], ""location""=>[""false""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
12,AWD000410b,diary,2,5,1916-02-12 14:00:00 UTC,12 Feb 1916,"","[0.0, 0.0]",0200PM,place,"","{""place""=>[""""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2985684,Pozières,"[2.72929, 50.04047]"
13,AWD000410b,diary,2,3,1916-02-13 00:00:00 UTC,13 Feb 1916,"","[0.0, 0.0]","",diaryDate,13 Feb 1916,"{""day""=>[""13""], ""month""=>[""Feb""], ""year""=>[""1916""]}",2985684,Pozières,"[2.72929, 50.04047]"
15,AWD000410b,diary,2,3,1916-02-13 16:00:00 UTC,13 Feb 1916,"","[0.0, 0.0]",0400PM,time,0400PM,{},2985684,Pozières,"[2.72929, 50.04047]"
18,AWD000410b,diary,2,3,1916-02-13 16:00:00 UTC,13 Feb 1916,"","[0.0, 0.0]",0400PM,place,"","{""place""=>[""""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2985684,Pozières,"[2.72929, 50.04047]"
19,AWD000410b,diary,2,3,1916-02-14 00:00:00 UTC,14 Feb 1916,"","[0.0, 0.0]","",diaryDate,14 Feb 1916,"{""day""=>[""14""], ""month""=>[""Feb""], ""year""=>[""1916""]}",2985684,Pozières,"[2.72929, 50.04047]"
20,AWD000410b,diary,2,4,1916-02-14 00:00:00 UTC,14 Feb 1916,Bally Bunion,"[0.0, 0.0]","",place,Bally Bunion,"{""place""=>[""Bally Bunion""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
21,AWD000410b,diary,2,3,1916-02-14 15:00:00 UTC,14 Feb 1916,Bally Bunion,"[0.0, 0.0]",0300PM,time,0300PM,{},,,
22,AWD000410b,diary,2,3,1916-02-04 00:00:00 UTC,4 Feb 1916,Bally Bunion,"[0.0, 0.0]","",diaryDate,4 Feb 1916,"{""day""=>[""4""], ""month""=>[""Feb""], ""year""=>[""1916""]}",,,
23,AWD000410b,diary,2,4,1916-02-04 00:00:00 UTC,4 Feb 1916,Bally Bunion,"[0.0, 0.0]","",activity,movement,{},,,
24,AWD000410b,diary,2,4,1916-02-04 00:00:00 UTC,4 Feb 1916,Bally Bunion,"[0.0, 0.0]","",activity,construction,{},,,
25,AWD000410b,diary,2,2,1916-02-04 00:00:00 UTC,4 Feb 1916,Bally Bunion,"[0.0, 0.0]","",activity,support,{},,,
27,AWD000410b,diary,2,4,1916-02-28 00:00:00 UTC,28 Feb 1916,Bally Bunion,"[0.0, 0.0]","",diaryDate,28 Feb 1916,"{""day""=>[""28""], ""month""=>[""Feb""], ""year""=>[""1916""]}",,,
28,AWD000410b,diary,2,4,1916-02-28 00:00:00 UTC,28 Feb 1916,Ballah West,"[0.0, 0.0]","",place,Ballah West,"{""place""=>[""Ballah West""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
31,AWD000410b,diary,2,2,1916-02-28 00:00:00 UTC,28 Feb 1916,Ballah West,"[0.0, 0.0]","",activity,movement,{},,,
33,AWD000410b,diary,2,2,,"22 Feb,Dec 1916, 1915",Ballah West,"[0.0, 0.0]","",diaryDate,"22 Feb,Dec 1916, 1915","{""day""=>[""22""], ""month""=>[""Feb"", ""Dec""], ""year""=>[""1916"", ""1915""]}",,,
36,AWD000410b,diary,2,4,1916-02-29 00:00:00 UTC,29 Feb 1916,Ballah West,"[0.0, 0.0]","",diaryDate,29 Feb 1916,"{""day""=>[""29""], ""month""=>[""Feb""], ""year""=>[""1916""]}",,,
37,AWD000410b,diary,2,3,1916-02-29 00:00:00 UTC,29 Feb 1916,Ballah West,"[0.0, 0.0]","",activity,movement,{},,,
38,AWD000410b,diary,2,4,1916-02-29 00:00:00 UTC,29 Feb 1916,Port Said,"[0.0, 0.0]","",place,Port Said,"{""place""=>[""Port Said""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2995469,Marseille,"[5.38107, 43.29695]"
39,AWD000410b,diary,2,4,1916-02-29 13:00:00 UTC,29 Feb 1916,Port Said,"[0.0, 0.0]",0100PM,time,0100PM,{},2995469,Marseille,"[5.38107, 43.29695]"
41,AWD000410b,diary,2,2,1916-02-29 13:00:00 UTC,29 Feb 1916,Port Said,"[0.0, 0.0]",0100PM,strength,"officer: 28, other: 922",{},2995469,Marseille,"[5.38107, 43.29695]"
48,AWD000410b,diary,2,3,1916-02-29 13:00:00 UTC,29 Feb 1916,Port Said,"[0.0, 0.0]",0100PM,person,Second Lieutenant  WILSON,"{""first""=>[""""], ""surname""=>[""WILSON""], ""rank""=>[""Second Lieutenant""], ""number""=>[""""], ""reason""=>[""joined"", ""other"", ""commander""], ""unit""=>[""""]}",2995469,Marseille,"[5.38107, 43.29695]"
49,AWD000410b,diary,2,4,1916-03-01 00:00:00 UTC,1 Mar 1916,Port Said,"[0.0, 0.0]","",diaryDate,1 Mar 1916,"{""day""=>[""1""], ""month""=>[""Mar""], ""year""=>[""1916""]}",2995469,Marseille,"[5.38107, 43.29695]"
50,AWD000410b,diary,2,3,1916-03-01 06:00:00 UTC,1 Mar 1916,Port Said,"[0.0, 0.0]",0600AM,time,0600AM,{},2995469,Marseille,"[5.38107, 43.29695]"
51,AWD000410b,diary,2,3,1916-03-01 06:00:00 UTC,1 Mar 1916,Port Said,"[0.0, 0.0]",0600AM,activity,movement,{},2995469,Marseille,"[5.38107, 43.29695]"
52,AWD000410b,diary,2,2,1916-03-01 06:00:00 UTC,1 Mar 1916,Port Said,"[0.0, 0.0]",0600AM,strength,other: 39,{},2995469,Marseille,"[5.38107, 43.29695]"
54,AWD000410b,diary,2,4,1916-03-01 06:00:00 UTC,1 Mar 1916,Marseilles,"[5.38107, 43.29695]",0600AM,place,Marseilles,"{""place""=>[""Marseilles""], ""location""=>[""true""], ""name""=>[""Marseille""], ""lat""=>[""43.29695""], ""long""=>[""5.38107""], ""id""=>[""2995469""]}",2995469,Marseille,"[5.38107, 43.29695]"
55,AWD000410b,diary,2,3,1916-03-08 00:00:00 UTC,8 Mar 1916,Marseilles,"[5.38107, 43.29695]","",diaryDate,8 Mar 1916,"{""day""=>[""8""], ""month""=>[""Mar""], ""year""=>[""1916""]}",2995469,Marseille,"[5.38107, 43.29695]"
59,AWD000410b,diary,2,2,1916-03-08 23:50:00 UTC,8 Mar 1916,Marseilles,"[5.38107, 43.29695]",1150PM,time,1150PM,{},2995469,Marseille,"[5.38107, 43.29695]"
60,AWD000410b,diary,2,4,1916-03-09 00:00:00 UTC,9 Mar 1916,Marseilles,"[5.38107, 43.29695]","",diaryDate,9 Mar 1916,"{""day""=>[""9""], ""month""=>[""Mar""], ""year""=>[""1916""]}",2995469,Marseille,"[5.38107, 43.29695]"
62,AWD000410b,diary,2,2,1916-03-09 16:00:00 UTC,9 Mar 1916,Marseilles,"[5.38107, 43.29695]",0400PM,time,0400PM,{},2995469,Marseille,"[5.38107, 43.29695]"
64,AWD000410b,diary,2,2,1916-03-09 23:00:00 UTC,9 Mar 1916,Marseilles,"[5.38107, 43.29695]",1100PM,time,1100PM,{},2995469,Marseille,"[5.38107, 43.29695]"
65,AWD000410b,diary,2,4,1916-03-10 00:00:00 UTC,10 Mar 1916,Marseilles,"[5.38107, 43.29695]","",diaryDate,10 Mar 1916,"{""day""=>[""10""], ""month""=>[""Mar""], ""year""=>[""1916""]}",2995469,Marseille,"[5.38107, 43.29695]"
66,AWD000410b,diary,2,5,1916-03-10 00:00:00 UTC,10 Mar 1916,Marseilles,"[5.38107, 43.29695]","",activity,movement,{},2995469,Marseille,"[5.38107, 43.29695]"
67,AWD000410b,diary,2,3,1916-03-10 05:20:00 UTC,10 Mar 1916,Marseilles,"[5.38107, 43.29695]",0520AM,time,0520AM,{},2995469,Marseille,"[5.38107, 43.29695]"
68,AWD000410b,diary,2,4,1916-03-12 00:00:00 UTC,12 Mar 1916,Marseilles,"[5.38107, 43.29695]","",diaryDate,12 Mar 1916,"{""day""=>[""12""], ""month""=>[""Mar""], ""year""=>[""1916""]}",2995469,Marseille,"[5.38107, 43.29695]"
69,AWD000410b,diary,2,4,1916-03-12 00:00:00 UTC,12 Mar 1916,Pont Remy,"[1.91667, 50.05]","",place,Pont Remy,"{""place""=>[""Pont Remy""], ""location""=>[""true""], ""name""=>[""Pont-Remy""], ""lat""=>[""50.05""], ""long""=>[""1.91667""], ""id""=>[""2986122""]}",2986122,Pont-Remy,"[1.91667, 50.05]"
70,AWD000410b,diary,2,3,1916-03-12 06:30:00 UTC,12 Mar 1916,Pont Remy,"[1.91667, 50.05]",0630AM,time,0630AM,{},2986122,Pont-Remy,"[1.91667, 50.05]"
1,AWD000410t,diary,3,4,1916-03-12 00:00:00 UTC,12 Mar 1916,Pont Remy,"[1.91667, 50.05]","",diaryDate,12 Mar 1916,"{""day""=>[""12""], ""month""=>[""Mar""], ""year""=>[""1916""]}",2986122,Pont-Remy,"[1.91667, 50.05]"
2,AWD000410t,diary,3,3,1916-03-12 00:00:00 UTC,12 Mar 1916,Pont Remy,"[1.91667, 50.05]","",activity,movement,{},2986122,Pont-Remy,"[1.91667, 50.05]"
3,AWD000410t,diary,3,4,1916-03-12 00:00:00 UTC,12 Mar 1916,Airaines,"[1.94266, 49.96826]","",place,Airaines,"{""place""=>[""Airaines""], ""location""=>[""true""], ""name""=>[""Airaines""], ""lat""=>[""49.96826""], ""long""=>[""1.94266""], ""id""=>[""3038400""]}",3038400,Airaines,"[1.94266, 49.96826]"
4,AWD000410t,diary,3,3,1916-03-12 11:20:00 UTC,12 Mar 1916,Airaines,"[1.94266, 49.96826]",1120AM,time,1120AM,{},3038400,Airaines,"[1.94266, 49.96826]"
5,AWD000410t,diary,3,2,1916-03-22 00:00:00 UTC,22 Mar 1916,Airaines,"[1.94266, 49.96826]","",diaryDate,22 Mar 1916,"{""day""=>[""22""], ""month""=>[""Mar""], ""year""=>[""1916""]}",3038400,Airaines,"[1.94266, 49.96826]"
7,AWD000410t,diary,3,2,1916-03-22 00:00:00 UTC,22 Mar 1916,Airaines,"[1.94266, 49.96826]","",diaryDate,22 Mar 1916,"{""day""=>[""22""], ""month""=>[""Mar""], ""year""=>[""1916""]}",3038400,Airaines,"[1.94266, 49.96826]"
9,AWD000410t,diary,3,3,1916-03-22 10:30:00 UTC,22 Mar 1916,Airaines,"[1.94266, 49.96826]",1030AM,time,1030AM,{},3038400,Airaines,"[1.94266, 49.96826]"
10,AWD000410t,diary,3,3,1916-03-22 10:30:00 UTC,22 Mar 1916,Airaines,"[1.94266, 49.96826]",1030AM,strength,"officer: 10, nco: 40",{},3038400,Airaines,"[1.94266, 49.96826]"
11,AWD000410t,diary,3,4,1916-03-25 00:00:00 UTC,25 Mar 1916,Airaines,"[1.94266, 49.96826]","",diaryDate,25 Mar 1916,"{""day""=>[""25""], ""month""=>[""Mar""], ""year""=>[""1916""]}",3038400,Airaines,"[1.94266, 49.96826]"
12,AWD000410t,diary,3,4,1916-03-25 00:00:00 UTC,25 Mar 1916,Vignacourt,"[2.19743, 50.01236]","",place,Vignacourt,"{""place""=>[""Vignacourt""], ""location""=>[""true""], ""name""=>[""Vignacourt""], ""lat""=>[""50.01236""], ""long""=>[""2.19743""], ""id""=>[""2969146""]}",2969146,Vignacourt,"[2.19743, 50.01236]"
13,AWD000410t,diary,3,3,1916-03-25 14:00:00 UTC,25 Mar 1916,Vignacourt,"[2.19743, 50.01236]",0200PM,time,0200PM,{},2969146,Vignacourt,"[2.19743, 50.01236]"
15,AWD000410t,diary,3,6,1916-03-25 14:00:00 UTC,25 Mar 1916,Vignacourt,"[2.19743, 50.01236]",0200PM,activity,movement,{},2969146,Vignacourt,"[2.19743, 50.01236]"
16,AWD000410t,diary,3,3,1916-03-26 00:00:00 UTC,26 Mar 1916,Vignacourt,"[2.19743, 50.01236]","",diaryDate,26 Mar 1916,"{""day""=>[""26""], ""month""=>[""Mar""], ""year""=>[""1916""]}",2969146,Vignacourt,"[2.19743, 50.01236]"
17,AWD000410t,diary,3,3,1916-03-26 00:00:00 UTC,26 Mar 1916,Beauquesne,"[2.39276, 50.08526]","",place,Beauquesne,"{""place""=>[""Beauquesne""], ""location""=>[""true""], ""name""=>[""Beauquesne""], ""lat""=>[""50.08526""], ""long""=>[""2.39276""], ""id""=>[""3034106""]}",3034106,Beauquesne,"[2.39276, 50.08526]"
18,AWD000410t,diary,3,3,1916-03-26 14:10:00 UTC,26 Mar 1916,Beauquesne,"[2.39276, 50.08526]",0210PM,time,0210PM,{},3034106,Beauquesne,"[2.39276, 50.08526]"
20,AWD000410t,diary,3,4,1916-03-29 00:00:00 UTC,29 Mar 1916,Beauquesne,"[2.39276, 50.08526]","",diaryDate,29 Mar 1916,"{""day""=>[""29""], ""month""=>[""Mar""], ""year""=>[""1916""]}",3034106,Beauquesne,"[2.39276, 50.08526]"
21,AWD000410t,diary,3,3,1916-03-29 00:00:00 UTC,29 Mar 1916,Beauquesne,"[2.39276, 50.08526]","",activity,movement,{},3034106,Beauquesne,"[2.39276, 50.08526]"
22,AWD000410t,diary,3,4,1916-03-29 00:00:00 UTC,29 Mar 1916,Acheux,"[0.0, 0.0]","",place,Acheux,"{""place""=>[""Acheux""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",3038707,Acheux-en-Amiénois,"[2.53201, 50.07279]"
23,AWD000410t,diary,3,3,1916-03-29 16:30:00 UTC,29 Mar 1916,Acheux,"[0.0, 0.0]",0430PM,time,0430PM,{},3038707,Acheux-en-Amiénois,"[2.53201, 50.07279]"
24,AWD000410t,diary,3,4,1916-03-31 00:00:00 UTC,31 Mar 1916,Acheux,"[0.0, 0.0]","",diaryDate,31 Mar 1916,"{""day""=>[""31""], ""month""=>[""Mar""], ""year""=>[""1916""]}",3038707,Acheux-en-Amiénois,"[2.53201, 50.07279]"
27,AWD000410t,diary,3,3,1916-03-31 17:00:00 UTC,31 Mar 1916,Acheux,"[0.0, 0.0]",0500PM,time,0500PM,{},3038707,Acheux-en-Amiénois,"[2.53201, 50.07279]"
28,AWD000410t,diary,3,2,1916-03-31 17:00:00 UTC,31 Mar 1916,Acheux,"[0.0, 0.0]",0500PM,strength,"officer: 4, nco: 25",{},3038707,Acheux-en-Amiénois,"[2.53201, 50.07279]"
32,AWD000410t,diary,3,4,1916-03-31 17:00:00 UTC,31 Mar 1916,Bertrancourt,"[2.55829, 50.09298]",0500PM,place,Bertrancourt,"{""place""=>[""Bertrancourt""], ""location""=>[""true""], ""name""=>[""Bertrancourt""], ""lat""=>[""50.09298""], ""long""=>[""2.55829""], ""id""=>[""3033168""]}",3033026,Béthancourt-en-Valois,"[2.87704, 49.2855]"
33,AWD000410t,diary,3,2,1916-04-02 00:00:00 UTC,2 Apr 1916,Bertrancourt,"[2.55829, 50.09298]","",diaryDate,2 Apr 1916,"{""day""=>[""2""], ""month""=>[""Apr""], ""year""=>[""1916""]}",3033026,Béthancourt-en-Valois,"[2.87704, 49.2855]"
34,AWD000410t,diary,3,3,1916-04-02 00:00:00 UTC,2 Apr 1916,Bertrancourt,"[2.55829, 50.09298]","",activity,movement,{},3033026,Béthancourt-en-Valois,"[2.87704, 49.2855]"
