Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD0003znk,diary,4,6,1916-03-08 00:00:00 UTC,8 Mar 1916,"","[0.0, 0.0]","",diaryDate,8 Mar 1916,"{""day""=>[""8""], ""month""=>[""Mar""], ""year""=>[""1916""]}",2985684,Pozières,"[2.72929, 50.04047]"
2,AWD0003znk,diary,4,6,1916-03-08 00:00:00 UTC,8 Mar 1916,Marseilles,"[5.38107, 43.29695]","",place,Marseilles,"{""place""=>[""Marseilles""], ""location""=>[""true""], ""name""=>[""Marseille""], ""lat""=>[""43.29695""], ""long""=>[""5.38107""], ""id""=>[""2995469""]}",2995469,Marseille,"[5.38107, 43.29695]"
3,AWD0003znk,diary,4,5,1916-03-08 00:00:00 UTC,8 Mar 1916,Marseilles,"[5.38107, 43.29695]","",activity,movement,{},2995469,Marseille,"[5.38107, 43.29695]"
4,AWD0003znk,diary,4,3,1916-03-08 00:00:00 UTC,8 Mar 1916,marseilles,"[5.38107, 43.29695]","",place,marseilles,"{""place""=>[""marseilles""], ""location""=>[""true""], ""name""=>[""Marseille""], ""lat""=>[""43.29695""], ""long""=>[""5.38107""], ""id""=>[""2995469""]}",2995469,Marseille,"[5.38107, 43.29695]"
5,AWD0003znk,diary,4,2,1916-03-08 16:30:00 UTC,8 Mar 1916,marseilles,"[5.38107, 43.29695]",0430PM,time,0430PM,{},2995469,Marseille,"[5.38107, 43.29695]"
8,AWD0003znk,diary,4,6,1916-03-10 00:00:00 UTC,10 Mar 1916,marseilles,"[5.38107, 43.29695]","",diaryDate,10 Mar 1916,"{""day""=>[""10""], ""month""=>[""Mar""], ""year""=>[""1916""]}",2995469,Marseille,"[5.38107, 43.29695]"
9,AWD0003znk,diary,4,4,1916-03-10 00:00:00 UTC,10 Mar 1916,"Pont-Remy, port remy, pont remy, Pont Remy","[1.91667, 50.05]","",place,"Pont-Remy, port remy, pont remy, Pont Remy","{""place""=>[""Pont-Remy"", ""port remy"", ""pont remy"", ""Pont Remy""], ""location""=>[""true""], ""name""=>[""Pont-Remy""], ""lat""=>[""50.05""], ""long""=>[""1.91667""], ""id""=>[""2986122""]}",,,
11,AWD0003znk,diary,4,3,1916-03-10 00:00:00 UTC,10 Mar 1916,"Pont Remy, pont remy, port remy","[1.91667, 50.05]","",place,"Pont Remy, pont remy, port remy","{""place""=>[""Pont Remy"", ""pont remy"", ""port remy""], ""location""=>[""true""], ""name""=>[""Pont-Remy""], ""lat""=>[""50.05""], ""long""=>[""1.91667""], ""id""=>[""2986122""]}",,,
12,AWD0003znk,diary,4,2,1916-03-10 18:00:00 UTC,10 Mar 1916,"Pont Remy, pont remy, port remy","[1.91667, 50.05]",0600PM,time,0600PM,{},,,
13,AWD0003znk,diary,4,6,1916-03-11 00:00:00 UTC,11 Mar 1916,"Pont Remy, pont remy, port remy","[1.91667, 50.05]","",diaryDate,11 Mar 1916,"{""day""=>[""11""], ""month""=>[""Mar""], ""year""=>[""1916""]}",,,
15,AWD0003znk,diary,4,4,1916-03-11 00:00:00 UTC,11 Mar 1916,"Hocquincourt, hookingcourt, Hoeckingcourt, Hockingcourt","[0.0, 0.0]","",place,"Hocquincourt, hookingcourt, Hoeckingcourt, Hockingcourt","{""place""=>[""Hocquincourt"", ""hookingcourt"", ""Hoeckingcourt"", ""Hockingcourt""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
16,AWD0003znk,diary,4,2,1916-03-11 00:00:00 UTC,11 Mar 1916,"Hocquincourt, hookingcourt, Hoeckingcourt, Hockingcourt","[0.0, 0.0]","",activity,movement,{},,,
