Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD00044bn,cover,1,5,,,,[],,diaryDate,1 Jan 1916,"{""day""=>[""1""], ""month""=>[""Jan""], ""year""=>[""1916""]}",,,
1,AWD00044dl,diary,3,3,1915-12-29 00:00:00 UTC,29 Dec 1915,"","[0.0, 0.0]","",diaryDate,29 Dec 1915,"{""day""=>[""29""], ""month""=>[""Dec""], ""year""=>[""1915""]}",2985684,Pozières,"[2.72929, 50.04047]"
7,AWD00044dl,diary,3,5,1915-12-29 00:00:00 UTC,29 Dec 1915,"","[0.0, 0.0]","",person,Major D K Tweedie,"{""first""=>[""D K""], ""surname""=>[""Tweedie""], ""rank""=>[""Major""], ""number""=>[""""], ""reason""=>[""commander""], ""unit""=>[""""]}",2985684,Pozières,"[2.72929, 50.04047]"
10,AWD00044dl,diary,3,4,1915-12-29 00:00:00 UTC,29 Dec 1915,"","[0.0, 0.0]","",person,Captain R O Powell,"{""first""=>[""R O""], ""surname""=>[""Powell""], ""rank""=>[""Captain""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""HQ, 164th Bde Royal Field Artillery"", """", ""Headquaters 16th Brigade RFA"", ""RFA""]}",2985684,Pozières,"[2.72929, 50.04047]"
11,AWD00044dl,diary,3,3,1915-12-29 00:00:00 UTC,29 Dec 1915,"","[0.0, 0.0]","",person,Second Lieutenant H M Taylor,"{""first""=>[""H M""], ""surname""=>[""Taylor""], ""rank""=>[""Second Lieutenant""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""HQ, 164th Bde Royal Field Artillery"", ""RFA"", ""Headquaters 16th Brigade RFA""]}",2985684,Pozières,"[2.72929, 50.04047]"
12,AWD00044dl,diary,3,3,1915-12-29 00:00:00 UTC,29 Dec 1915,"","[0.0, 0.0]","",person,Lieutenant W N Child,"{""first""=>[""W N""], ""surname""=>[""Child""], ""rank""=>[""Lieutenant""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""HQ, 164th Bde Royal Field Artillery"", ""RAMC"", ""Headquaters 16th Brigade RAMC""]}",2985684,Pozières,"[2.72929, 50.04047]"
13,AWD00044dl,diary,3,3,1915-12-29 00:00:00 UTC,29 Dec 1915,"","[0.0, 0.0]","",person,Captain E Pease Watkin,"{""first""=>[""E Pease""], ""surname""=>[""Watkin""], ""rank""=>[""Captain""], ""number""=>[""""], ""reason""=>[""commander""], ""unit""=>[""B Bty, 164th Bde Royal Field Artiller"", ""B/16th Brigade RFA"", ""B/164 Brigade RFA""]}",2985684,Pozières,"[2.72929, 50.04047]"
14,AWD00044dl,diary,3,3,1915-12-29 00:00:00 UTC,29 Dec 1915,"","[0.0, 0.0]","",person,Captain W J Calnan,"{""first""=>[""W J""], ""surname""=>[""Calnan""], ""rank""=>[""Captain""], ""number""=>[""""], ""reason""=>[""commander""], ""unit""=>[""A Bty, 164th Bde Royal Field Artillery"", ""A/16th Brigade RFA"", ""A/164 Brigade RFA""]}",2985684,Pozières,"[2.72929, 50.04047]"
15,AWD00044dl,diary,3,3,1915-12-29 00:00:00 UTC,29 Dec 1915,"","[0.0, 0.0]","",person,Lieutenant C C Drabble,"{""first""=>[""C C""], ""surname""=>[""Drabble""], ""rank""=>[""Lieutenant""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""C Bty, 164th Bde Royal Field Artiller"", ""C/164 Brigade RFA"", ""C/16th Brigade RFA""]}",2985684,Pozières,"[2.72929, 50.04047]"
16,AWD00044dl,diary,3,3,1915-12-29 00:00:00 UTC,29 Dec 1915,"","[0.0, 0.0]","",person,Lieutenant C E Burgess,"{""first""=>[""C E""], ""surname""=>[""Burgess""], ""rank""=>[""Lieutenant""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""B Bty, 164th Bde Royal Field Artiller"", ""B/164 Brigade RFA"", ""B/16th Brigade ""]}",2985684,Pozières,"[2.72929, 50.04047]"
