Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD00043bn,diary,442,2,1916-03-01 00:00:00 UTC,1 Mar 1916,"","[0.0, 0.0]","",diaryDate,1 Mar 1916,"{""day""=>[""1""], ""month""=>[""Mar""], ""year""=>[""1916""]}",2985684,Pozières,"[2.72929, 50.04047]"
4,AWD00043bn,diary,442,4,1916-03-01 00:00:00 UTC,1 Mar 1916,"","[0.0, 0.0]","",weather,fine,{},2985684,Pozières,"[2.72929, 50.04047]"
5,AWD00043bn,diary,442,3,1916-03-01 00:00:00 UTC,1 Mar 1916,"","[0.0, 0.0]","",diaryDate,1 Mar 1916,"{""day""=>[""1""], ""month""=>[""Mar""], ""year""=>[""1916""]}",2985684,Pozières,"[2.72929, 50.04047]"
6,AWD00043bn,diary,442,3,1916-03-01 07:30:00 UTC,1 Mar 1916,"","[0.0, 0.0]",0730AM,time,0730AM,{},2985684,Pozières,"[2.72929, 50.04047]"
7,AWD00043bn,diary,442,3,1916-03-01 07:30:00 UTC,1 Mar 1916,"","[0.0, 0.0]",0730AM,activity,movement,{},2985684,Pozières,"[2.72929, 50.04047]"
8,AWD00043bn,diary,442,2,1916-03-01 07:30:00 UTC,1 Mar 1916,"","[0.0, 0.0]",0730AM,place,Kantara,"{""place""=>[""Kantara""], ""location""=>[""false""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2985684,Pozières,"[2.72929, 50.04047]"
9,AWD00043bn,diary,442,3,1916-03-01 07:30:00 UTC,1 Mar 1916,El Ferdan,"[0.0, 0.0]",0730AM,place,El Ferdan,"{""place""=>[""El Ferdan""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
10,AWD00043bn,diary,442,2,1916-03-01 07:30:00 UTC,1 Mar 1916,El Ferdan,"[0.0, 0.0]",0730AM,place,Ballah,"{""place""=>[""Ballah""], ""location""=>[""false""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
11,AWD00043bn,diary,442,2,1916-03-01 07:30:00 UTC,1 Mar 1916,El Ferdan,"[0.0, 0.0]",0730AM,domestic,accomodation,{},,,
13,AWD00043bn,diary,442,5,1916-03-02 00:00:00 UTC,2 Mar 1916,El Ferdan,"[0.0, 0.0]","",diaryDate,2 Mar 1916,"{""day""=>[""2""], ""month""=>[""Mar""], ""year""=>[""1916""]}",,,
14,AWD00043bn,diary,442,4,1916-03-02 00:00:00 UTC,2 Mar 1916,Kantara,"[0.0, 0.0]","",place,Kantara,"{""place""=>[""Kantara""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
15,AWD00043bn,diary,442,4,1916-03-02 00:00:00 UTC,2 Mar 1916,Kantara,"[0.0, 0.0]","",weather,fine,{},,,
20,AWD00043bn,diary,442,3,1916-03-02 00:00:00 UTC,2 Mar 1916,Kantara,"[0.0, 0.0]","",place,Kantara,"{""place""=>[""Kantara""], ""location""=>[""false""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
21,AWD00043bn,diary,442,3,1916-03-02 19:30:00 UTC,2 Mar 1916,Kantara,"[0.0, 0.0]",0730PM,time,0730PM,{},,,
24,AWD00043bn,diary,442,5,1916-03-03 00:00:00 UTC,3 Mar 1916,Kantara,"[0.0, 0.0]","",diaryDate,3 Mar 1916,"{""day""=>[""3""], ""month""=>[""Mar""], ""year""=>[""1916""]}",,,
25,AWD00043bn,diary,442,4,1916-03-03 00:00:00 UTC,3 Mar 1916,Kantara,"[0.0, 0.0]","",weather,fine,{},,,
26,AWD00043bn,diary,442,2,1916-03-03 00:00:00 UTC,3 Mar 1916,Kantara,"[0.0, 0.0]","",place,Kantara,"{""place""=>[""Kantara""], ""location""=>[""true"", ""false""], ""name""=>[""Domvast"", """"], ""lat""=>[""50.19792"", """"], ""long""=>[""1.92156"", """"], ""id""=>[""3021106"", """"]}",,,
27,AWD00043bn,diary,442,4,1916-03-03 00:00:00 UTC,3 Mar 1916,Kantara,"[0.0, 0.0]","",domestic,parades,{},,,
28,AWD00043bn,diary,442,2,1916-03-03 00:00:00 UTC,3 Mar 1916,Kantara,"[0.0, 0.0]","",person,"Brigadier General  Carter Campbell, CARTER CAMPBELL","{""first""=>[""""], ""surname""=>[""Carter Campbell"", ""CARTER CAMPBELL""], ""rank""=>[""Brigadier General""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""94th Inf Bde"", """"]}",,,
