Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD0003zj9,diary,4,4,1916-04-07 00:00:00 UTC,7 Apr 1916,"","[0.0, 0.0]","",diaryDate,7 Apr 1916,"{""day""=>[""7""], ""month""=>[""Apr""], ""year""=>[""1916""]}",2985684,Pozières,"[2.72929, 50.04047]"
2,AWD0003zj9,diary,4,4,1916-04-07 00:00:00 UTC,7 Apr 1916,Colincamps,"[2.60194, 50.09883]","",place,Colincamps,"{""place""=>[""Colincamps""], ""location""=>[""true""], ""name""=>[""Colincamps""], ""lat""=>[""50.09883""], ""long""=>[""2.60194""], ""id""=>[""3024348""]}",3024348,"Colincamps,","[2.60194, 50.09883]"
4,AWD0003zj9,diary,4,2,1916-04-07 00:00:00 UTC,7 Apr 1916,Colincamps,"[2.60194, 50.09883]","",activity,movement,{},3024348,"Colincamps,","[2.60194, 50.09883]"
6,AWD0003zj9,diary,4,3,1916-04-07 00:00:00 UTC,7 Apr 1916,Colincamps,"[2.60194, 50.09883]","",place,Valheureux,"{""place""=>[""Valheureux""], ""location""=>[""false""], ""name""=>[""Candas"", ""Aldershot"", """"], ""lat""=>[""50.10715"", ""51.24827"", """"], ""long""=>[""2.25944"", ""-0.76389"", """"], ""id""=>[""3028852"", ""2657540"", """"]}",3024348,"Colincamps,","[2.60194, 50.09883]"
14,AWD0003zj9,diary,4,3,1916-04-07 00:00:00 UTC,7 Apr 1916,Colincamps,"[2.60194, 50.09883]","",unit,"170th Brigade, Royal Field Artillery","{""name""=>[""170th Brigade, Royal Field Artillery""], ""context""=>[""other""]}",3024348,"Colincamps,","[2.60194, 50.09883]"
19,AWD0003zj9,diary,4,2,1916-04-07 00:00:00 UTC,7 Apr 1916,Colincamps,"[2.60194, 50.09883]","",place,Colincamps,"{""place""=>[""Colincamps""], ""location""=>[""false""], ""name""=>[""Colincamps""], ""lat""=>[""50.09883""], ""long""=>[""2.60194""], ""id""=>[""3024348""]}",3024348,"Colincamps,","[2.60194, 50.09883]"
23,AWD0003zj9,diary,4,2,1916-04-07 00:00:00 UTC,7 Apr 1916,Colincamps,"[2.60194, 50.09883]","",activity,reconnoitered,{},3024348,"Colincamps,","[2.60194, 50.09883]"
26,AWD0003zj9,diary,4,2,1916-04-07 00:00:00 UTC,7 Apr 1916,Colincamps,"[2.60194, 50.09883]","",gridRef,K 23 d 3 2,{},3024348,"Colincamps,","[2.60194, 50.09883]"
28,AWD0003zj9,diary,4,2,1916-04-07 00:00:00 UTC,7 Apr 1916,Colincamps,"[2.60194, 50.09883]","",gridRef,K 34 d 98 02,{},3024348,"Colincamps,","[2.60194, 50.09883]"
29,AWD0003zj9,diary,4,5,1916-04-08 00:00:00 UTC,8 Apr 1916,Colincamps,"[2.60194, 50.09883]","",diaryDate,8 Apr 1916,"{""day""=>[""8""], ""month""=>[""Apr""], ""year""=>[""1916""]}",3024348,"Colincamps,","[2.60194, 50.09883]"
31,AWD0003zj9,diary,4,2,,"26 Apr,Jul 1916",Colincamps,"[2.60194, 50.09883]","",diaryDate,"26 Apr,Jul 1916","{""day""=>[""26""], ""month""=>[""Apr"", ""Jul""], ""year""=>[""1916""]}",3024348,"Colincamps,","[2.60194, 50.09883]"
32,AWD0003zj9,diary,4,2,,"26 Apr,Jul 1916",Colincamps,"[2.60194, 50.09883]","",domestic,accomodation,{},3024348,"Colincamps,","[2.60194, 50.09883]"
36,AWD0003zj9,diary,4,3,,"26 Apr,Jul 1916",Colincamps,"[2.60194, 50.09883]","",activity,reconnoitered,{},3024348,"Colincamps,","[2.60194, 50.09883]"
37,AWD0003zj9,diary,4,2,1916-04-26 00:00:00 UTC,26 Apr 1916,Colincamps,"[2.60194, 50.09883]","",diaryDate,26 Apr 1916,"{""day""=>[""26""], ""month""=>[""Apr""], ""year""=>[""1916""]}",3024348,"Colincamps,","[2.60194, 50.09883]"
1,AWD0003zdm,diary,5,5,1916-04-27 00:00:00 UTC,27 Apr 1916,Colincamps,"[2.60194, 50.09883]","",diaryDate,27 Apr 1916,"{""day""=>[""27""], ""month""=>[""Apr""], ""year""=>[""1916""]}",3024348,"Colincamps,","[2.60194, 50.09883]"
2,AWD0003zdm,diary,5,2,1916-04-27 00:00:00 UTC,27 Apr 1916,Bus,"[2.96583, 50.06401]","",place,Bus,"{""place""=>[""Bus""], ""location""=>[""true""], ""name""=>[""Bus""], ""lat""=>[""50.06401""], ""long""=>[""2.96583""], ""id""=>[""3029480""]}",3029480,Bus,"[2.96583, 50.06401]"
4,AWD0003zdm,diary,5,2,1916-04-27 00:00:00 UTC,27 Apr 1916,Bus,"[2.96583, 50.06401]","",unit,"X31 TM Battery, Z31 TM Battery","{""name""=>[""X31 TM Battery"", ""Z31 TM Battery""], ""context""=>[""relieved"", ""relieved_by""]}",3029480,Bus,"[2.96583, 50.06401]"
10,AWD0003zdm,diary,5,3,1916-05-07 00:00:00 UTC,7 May 1916,Bus,"[2.96583, 50.06401]","",diaryDate,7 May 1916,"{""day""=>[""7""], ""month""=>[""May""], ""year""=>[""1916""]}",3029480,Bus,"[2.96583, 50.06401]"
11,AWD0003zdm,diary,5,3,1916-04-29 00:00:00 UTC,29 Apr 1916,Bus,"[2.96583, 50.06401]","",diaryDate,29 Apr 1916,"{""day""=>[""29""], ""month""=>[""Apr""], ""year""=>[""1916""]}",3029480,Bus,"[2.96583, 50.06401]"
14,AWD0003zdm,diary,5,3,1916-04-29 00:00:00 UTC,29 Apr 1916,Bus,"[2.96583, 50.06401]","",person,Lieutenant W Dawn,"{""first""=>[""W""], ""surname""=>[""Dawn""], ""rank""=>[""Lieutenant""], ""number""=>[""""], ""reason""=>[""departed_leave""], ""unit""=>[""""]}",3029480,Bus,"[2.96583, 50.06401]"
15,AWD0003zdm,diary,5,2,1916-05-05 00:00:00 UTC,5 May 1916,Bus,"[2.96583, 50.06401]","",diaryDate,5 May 1916,"{""day""=>[""5""], ""month""=>[""May""], ""year""=>[""1916""]}",3029480,Bus,"[2.96583, 50.06401]"
16,AWD0003zdm,diary,5,2,1916-05-05 00:00:00 UTC,5 May 1916,Bus,"[2.96583, 50.06401]","",person,Second Lieutenant Walter Dann,"{""first""=>[""Walter""], ""surname""=>[""Dann""], ""rank""=>[""Second Lieutenant""], ""number""=>[""""], ""reason""=>[""departed_leave"", ""returned_leave""], ""unit""=>[""""]}",3029480,Bus,"[2.96583, 50.06401]"
17,AWD0003zdm,diary,5,2,1916-05-05 00:00:00 UTC,5 May 1916,Bus,"[2.96583, 50.06401]","",person,"other,Lieutenant ,R M Alexander","{""first""=>["""", ""R M""], ""surname""=>[""Alexander""], ""rank""=>[""other"", ""Lieutenant""], ""number""=>[""""], ""reason""=>[""departed_leave""], ""unit""=>[""""]}",3029480,Bus,"[2.96583, 50.06401]"
19,AWD0003zdm,diary,5,2,1916-05-07 00:00:00 UTC,7 May 1916,Bus,"[2.96583, 50.06401]","",diaryDate,7 May 1916,"{""day""=>[""7""], ""month""=>[""May""], ""year""=>[""1916""]}",3029480,Bus,"[2.96583, 50.06401]"
22,AWD0003zdm,diary,5,5,1916-05-08 00:00:00 UTC,8 May 1916,Bus,"[2.96583, 50.06401]","",diaryDate,8 May 1916,"{""day""=>[""8""], ""month""=>[""May""], ""year""=>[""1916""]}",3029480,Bus,"[2.96583, 50.06401]"
23,AWD0003zdm,diary,5,6,1916-05-08 00:00:00 UTC,8 May 1916,Colincamps,"[2.60194, 50.09883]","",place,Colincamps,"{""place""=>[""Colincamps""], ""location""=>[""true""], ""name""=>[""Colincamps""], ""lat""=>[""50.09883""], ""long""=>[""2.60194""], ""id""=>[""3024348""]}",3024348,"Colincamps,","[2.60194, 50.09883]"
25,AWD0003zdm,diary,5,2,1916-05-08 00:00:00 UTC,8 May 1916,Colincamps,"[2.60194, 50.09883]","",domestic,accomodation,{},3024348,"Colincamps,","[2.60194, 50.09883]"
27,AWD0003zdm,diary,5,4,1916-05-14 00:00:00 UTC,14 May 1916,Colincamps,"[2.60194, 50.09883]","",diaryDate,14 May 1916,"{""day""=>[""14""], ""month""=>[""May""], ""year""=>[""1916""]}",3024348,"Colincamps,","[2.60194, 50.09883]"
